#K OBJECT   'G_63-9'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 114762
#K OBJRA    13:12:19.74
#K OBJDEC   +17:31:01.6
#K OBJBMAG  7.850000E+00
#K OBJVMAG  7.300000E+00
#K SPTYPE   F9V
#K OBJRV    4.990000E+01
#K HDNAME   HD 114762
#K BDNAME   BD+18 2700
#K HIPNAME  HIP 64426
#K SAONAME  SAO 100458
#K VHELIO   2.06949406794141E+01
#K VLSR     2.85675921355280E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434742E+03
#K CMAX1    4.762927E+03
#K PICKTYPE F8V
#K NCOMBINE 6
#K TEFF     5871  1993A&A...275..101E (Edvardsson)
#K LOGG     4.240000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -7.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9443.4
#K OBSTITLE 114762

#      wavelength        spectrum
#       angstroms                

            3465.       0.5814741
           3465.4       0.5436947
           3465.8       0.5218278
           3466.2       0.5306103
           3466.6       0.5617343
            3467.       0.5886137
           3467.4       0.6074068
           3467.8       0.6201047
           3468.2       0.6184953
           3468.6       0.6026012
            3469.       0.5865269
           3469.4       0.5918915
           3469.8       0.6079805
           3470.2       0.6324399
           3470.6       0.6361167
            3471.       0.6222813
           3471.4       0.6019877
           3471.8       0.5887215
           3472.2       0.5833825
           3472.6       0.5755471
            3473.       0.5626783
           3473.4       0.5492244
           3473.8       0.5338553
           3474.2       0.5199122
           3474.6       0.5138771
            3475.       0.4922323
           3475.4       0.4636914
           3475.8       0.4591612
           3476.2       0.4564462
           3476.6       0.4576109
            3477.       0.4687321
           3477.4       0.5059242
           3477.8       0.5597274
           3478.2       0.5966071
           3478.6       0.6101852
            3479.       0.6154011
           3479.4       0.6162941
           3479.8       0.6139929
           3480.2       0.6141806
           3480.6       0.6086628
            3481.       0.6135625
           3481.4       0.6231783
           3481.8       0.6249442
           3482.2       0.6130245
           3482.6       0.5872082
            3483.       0.5565903
           3483.4       0.5412403
           3483.8       0.5473422
           3484.2       0.5632424
           3484.6        0.577647
            3485.       0.5767546
           3485.4       0.5759022
           3485.8       0.6041937
           3486.2       0.6230597
           3486.6       0.6527628
            3487.       0.6685559
           3487.4       0.6694171
           3487.8       0.6542291
           3488.2       0.6249059
           3488.6       0.5959111
            3489.       0.5649084
           3489.4       0.5349626
           3489.8       0.5182271
           3490.2        0.496296
           3490.6       0.4787705
            3491.       0.5029489
           3491.4       0.5563695
           3491.8       0.5863434
           3492.2       0.5874944
           3492.6       0.5479267
            3493.       0.5141842
           3493.4       0.5315669
           3493.8        0.579828
           3494.2        0.612316
           3494.6       0.6058419
            3495.       0.5688761
           3495.4       0.5261006
           3495.8       0.5027298
           3496.2       0.4939336
           3496.6       0.4959112
            3497.       0.4939249
           3497.4       0.4981623
           3497.8       0.5239126
           3498.2       0.5682818
           3498.6       0.6225612
            3499.       0.6612965
           3499.4       0.6750723
           3499.8       0.6695635
           3500.2       0.6374689
           3500.6       0.6079382
            3501.       0.6151338
           3501.4       0.6240508
           3501.8       0.6267799
           3502.2       0.6115305
           3502.6       0.6246168
            3503.       0.6567847
           3503.4       0.6782545
           3503.8       0.6803408
           3504.2       0.6518037
           3504.6       0.6135499
            3505.       0.5949038
           3505.4       0.5919238
           3505.8       0.5933297
           3506.2       0.5829322
           3506.6       0.5925763
            3507.       0.6118202
           3507.4       0.6206445
           3507.8        0.639156
           3508.2       0.6440058
           3508.6       0.6497154
            3509.       0.6488091
           3509.4       0.6200264
           3509.8        0.586454
           3510.2        0.555409
           3510.6       0.5456781
            3511.       0.5872898
           3511.4       0.6108047
           3511.8       0.6171361
           3512.2       0.6042406
           3512.6       0.5872734
            3513.       0.5653102
           3513.4       0.5390918
           3513.8       0.5210704
           3514.2       0.5295067
           3514.6        0.542463
            3515.       0.5524538
           3515.4       0.5812055
           3515.8       0.6209759
           3516.2        0.644047
           3516.6       0.6437058
            3517.       0.6506409
           3517.4       0.6734888
           3517.8       0.6699067
           3518.2       0.6503904
           3518.6       0.6460432
            3519.       0.6434954
           3519.4       0.6266822
           3519.8        0.600564
           3520.2       0.5864809
           3520.6       0.5825858
            3521.       0.5699556
           3521.4       0.5629861
           3521.8       0.5781549
           3522.2       0.5983521
           3522.6       0.6054199
            3523.       0.5967164
           3523.4       0.5699811
           3523.8       0.5277234
           3524.2       0.4889743
           3524.6       0.4821594
            3525.       0.5120623
           3525.4       0.5217333
           3525.8       0.4788226
           3526.2       0.4292594
           3526.6       0.4370323
            3527.       0.5067869
           3527.4       0.5634937
           3527.8       0.6046333
           3528.2         0.62693
           3528.6       0.6540827
            3529.       0.6523905
           3529.4       0.6430795
           3529.8       0.6243238
           3530.2       0.6164132
           3530.6       0.6298091
            3531.       0.6426383
           3531.4       0.6393504
           3531.8       0.6196076
           3532.2       0.6012928
           3532.6       0.5926781
            3533.        0.590304
           3533.4        0.607749
           3533.8         0.64415
           3534.2        0.679256
           3534.6       0.6880693
            3535.       0.6679372
           3535.4       0.6465048
           3535.8       0.6411752
           3536.2       0.6479387
           3536.6       0.6515059
            3537.       0.6487048
           3537.4       0.6458503
           3537.8       0.6369095
           3538.2       0.6512336
           3538.6        0.685761
            3539.       0.7233559
           3539.4       0.7324732
           3539.8       0.7169756
           3540.2       0.6830634
           3540.6       0.6474011
            3541.       0.6287796
