#K OBJECT   'G_90-25'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 64090
#K OBJRA    07:53:33.12
#K OBJDEC   +30:36:18.3
#K OBJBMAG  8.950000E+00
#K OBJVMAG  8.300000E+00
#K SPTYPE   sdG2
#K OBJRV    -240
#K HDNAME   HD 64090
#K BDNAME   BD+31 1684
#K HIPNAME  HIP 38541
#K SAONAME  SAO 60416
#K VHELIO   -1.79430559370322E+01
#K VLSR     -2.60817815818735E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.795864E+03
#K CMAX1    8.132442E+03
#K PICKTYPE G2V
#K NCOMBINE 4
#K TEFF     5370  2000A&A...353..978M (Mishenina)
#K LOGG     4.000000E+00  2000A&A...353..978M (Mishenina)
#K FEH      -1.760000E+00  2000A&A...353..978M (Mishenina)
#K COVERAGE 3465.0-9452.2
#K GAPS     6010.6-6795.4
#K OBSTITLE 64090

#      wavelength        spectrum
#       angstroms                

            3465.       0.5078309
           3465.4       0.4649915
           3465.8        0.420205
           3466.2       0.4095068
           3466.6       0.4423474
            3467.       0.4854583
           3467.4       0.5031093
           3467.8       0.5196978
           3468.2       0.5227276
           3468.6       0.5119206
            3469.       0.5127062
           3469.4        0.517348
           3469.8       0.5092114
           3470.2       0.5160872
           3470.6       0.5255108
            3471.       0.5208262
           3471.4       0.5059912
           3471.8        0.495892
           3472.2       0.4875472
           3472.6       0.4683858
            3473.       0.4720498
           3473.4       0.4730763
           3473.8        0.463527
           3474.2       0.4497116
           3474.6       0.4304431
            3475.       0.3876705
           3475.4       0.3604544
           3475.8       0.3506889
           3476.2       0.3593938
           3476.6       0.3761649
            3477.       0.3848988
           3477.4       0.4153113
           3477.8       0.4664485
           3478.2       0.4993716
           3478.6       0.5307387
            3479.       0.5372381
           3479.4       0.5341721
           3479.8        0.528389
           3480.2       0.5272854
           3480.6        0.539459
            3481.        0.548686
           3481.4        0.552228
           3481.8       0.5481704
           3482.2       0.5340207
           3482.6       0.5165035
            3483.       0.4977704
           3483.4        0.484064
           3483.8       0.4797418
           3484.2       0.4864208
           3484.6       0.5022631
            3485.       0.5069743
           3485.4       0.5014913
           3485.8       0.5132388
           3486.2       0.5284861
           3486.6       0.5307469
            3487.       0.5443053
           3487.4       0.5534012
           3487.8       0.5376439
           3488.2       0.5221111
           3488.6       0.5074059
            3489.       0.4926966
           3489.4       0.4667487
           3489.8       0.4300526
           3490.2        0.385401
           3490.6       0.3670227
            3491.       0.3841446
           3491.4       0.4230359
           3491.8       0.4636669
           3492.2       0.4730364
           3492.6       0.4431035
            3493.       0.4230616
           3493.4       0.4345972
           3493.8       0.4591859
           3494.2       0.5050502
           3494.6       0.5203388
            3495.       0.5031644
           3495.4       0.4778899
           3495.8       0.4662128
           3496.2       0.4559053
           3496.6       0.4517888
            3497.       0.4411268
           3497.4       0.4237957
           3497.8       0.4272122
           3498.2       0.4600017
           3498.6       0.5000607
            3499.       0.5303988
           3499.4       0.5496128
           3499.8       0.5474875
           3500.2       0.5262176
           3500.6       0.5135729
            3501.       0.4940113
           3501.4       0.5102191
           3501.8       0.5191868
           3502.2       0.4981743
           3502.6       0.5043494
            3503.        0.524736
           3503.4       0.5366583
           3503.8       0.5465456
           3504.2       0.5382295
           3504.6       0.5297743
            3505.       0.5198674
           3505.4       0.5118958
           3505.8       0.5137957
           3506.2       0.5031551
           3506.6       0.5011255
            3507.       0.5120698
           3507.4       0.5211331
           3507.8       0.5333396
           3508.2       0.5348178
           3508.6       0.5332447
            3509.       0.5331488
           3509.4       0.5127485
           3509.8       0.4822128
           3510.2       0.4492364
           3510.6       0.4503343
            3511.       0.4844578
           3511.4       0.5093966
           3511.8       0.5196146
           3512.2       0.5221485
           3512.6       0.5036159
            3513.       0.4798903
           3513.4       0.4512011
           3513.8       0.4342353
           3514.2       0.4296437
           3514.6       0.4223028
            3515.       0.4318672
           3515.4       0.4463618
           3515.8       0.4803026
           3516.2       0.5144034
           3516.6        0.526352
            3517.       0.5432659
           3517.4       0.5496632
           3517.8       0.5505785
           3518.2       0.5356223
           3518.6       0.5305564
            3519.       0.5355225
           3519.4       0.5192357
           3519.8       0.4993877
           3520.2       0.4921744
           3520.6       0.4788477
            3521.       0.4629073
           3521.4       0.4488313
           3521.8        0.460928
           3522.2       0.4888141
           3522.6       0.5105267
            3523.          0.5098
           3523.4         0.47192
           3523.8       0.4267596
           3524.2       0.3880491
           3524.6       0.3724783
            3525.       0.3922001
           3525.4       0.4024653
