#K OBJECT   '100470'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 100470
#K OBJRA    11:33:56.28
#K OBJDEC   +36:48:56.2
#K OBJBMAG  7.434000E+00
#K OBJVMAG  6.386000E+00
#K SPTYPE   K0III
#K OBJRV    18
#K HDNAME   HD 100470
#K BDNAME   BD+37 2195
#K HIPNAME  HIP 56410
#K SAONAME  SAO 62604
#K VHELIO   5.32015699816638E+00
#K VLSR     9.50973218400076E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679697E+03
#K CMAX1    6.009848E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4667  1986A&A...161..314C (Cottrell)
#K LOGG     2.500000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -4.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-9469.0
#K GAPS     6792.6-6827.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2110803
           3465.4       0.1792792
           3465.8       0.1564141
           3466.2       0.1418219
           3466.6       0.1473689
            3467.       0.1667173
           3467.4       0.1829198
           3467.8       0.2001877
           3468.2       0.2119492
           3468.6       0.2171771
            3469.       0.2046237
           3469.4       0.2074379
           3469.8       0.2200484
           3470.2       0.2377862
           3470.6       0.2579009
            3471.       0.2525021
           3471.4       0.2238441
           3471.8       0.2009771
           3472.2       0.1805032
           3472.6       0.1673223
            3473.       0.1744395
           3473.4       0.1654024
           3473.8       0.1579509
           3474.2       0.1484972
           3474.6       0.1376549
            3475.       0.1281589
           3475.4       0.1128131
           3475.8       0.1022819
           3476.2       0.1041793
           3476.6       0.1037697
            3477.       0.1066026
           3477.4       0.1347245
           3477.8       0.1707575
           3478.2       0.1866502
           3478.6       0.1899224
            3479.       0.2001473
           3479.4       0.1961907
           3479.8       0.1891337
           3480.2       0.1773989
           3480.6       0.1808458
            3481.       0.1885253
           3481.4       0.1945756
           3481.8       0.2041443
           3482.2       0.2014252
           3482.6       0.1893234
            3483.       0.1698355
           3483.4       0.1526641
           3483.8        0.154232
           3484.2       0.1717676
           3484.6       0.1748461
            3485.       0.1694865
           3485.4       0.1646649
           3485.8       0.1719885
           3486.2       0.1924821
           3486.6       0.2275396
            3487.       0.2570946
           3487.4        0.263551
           3487.8       0.2572634
           3488.2       0.2344497
           3488.6       0.2110416
