#K OBJECT   '100920'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 100920
#K OBJRA    11:36:56.93
#K OBJDEC   -00:49:25.5
#K OBJBMAG  5.285000E+00
#K OBJVMAG  4.310000E+00
#K SPTYPE   G9III
#K OBJRV    1.000000E+00
#K HDNAME   HD 100920
#K BDNAME   BD-00 2458
#K HIPNAME  HIP 56647
#K SAONAME  SAO 138298
#K VHELIO   2.70347015541811E+01
#K VLSR     2.48626571561654E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.678257E+03
#K CMAX1    6.005314E+03
#K PICKTYPE G8III
#K NCOMBINE 3
#K TEFF     4800  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.930000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -3.400000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-6794.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2460609
           3465.4       0.2123239
           3465.8       0.1749225
           3466.2        0.164959
           3466.6       0.1815222
            3467.       0.2031716
           3467.4       0.2194637
           3467.8       0.2343915
           3468.2       0.2469214
           3468.6        0.246091
            3469.       0.2346592
           3469.4       0.2333317
           3469.8       0.2498972
           3470.2       0.2767919
           3470.6       0.2929129
            3471.       0.2784604
           3471.4       0.2482542
           3471.8        0.218012
           3472.2       0.2004773
           3472.6       0.1947833
            3473.       0.1930044
           3473.4       0.1906213
           3473.8       0.1800882
           3474.2       0.1683182
           3474.6       0.1617599
            3475.       0.1438868
           3475.4       0.1289115
           3475.8       0.1242529
           3476.2       0.1242665
           3476.6       0.1250491
            3477.       0.1360515
           3477.4       0.1642828
           3477.8       0.1966811
           3478.2          0.2138
           3478.6       0.2172178
            3479.       0.2172581
           3479.4       0.2141671
           3479.8       0.2106135
           3480.2        0.201568
           3480.6       0.2031662
            3481.       0.2073699
           3481.4       0.2129558
           3481.8        0.218578
           3482.2       0.2168972
           3482.6       0.2028968
            3483.        0.180494
           3483.4       0.1677273
           3483.8       0.1754374
           3484.2       0.1885084
           3484.6       0.1918848
            3485.       0.1863075
           3485.4       0.1783127
           3485.8       0.1928606
           3486.2       0.2228753
           3486.6       0.2497685
            3487.       0.2725404
           3487.4       0.2849465
           3487.8       0.2706243
           3488.2       0.2394276
           3488.6        0.211009
            3489.       0.1867832
           3489.4       0.1670924
           3489.8       0.1539378
           3490.2       0.1396158
           3490.6       0.1304076
            3491.       0.1404435
           3491.4       0.1707817
           3491.8       0.1906164
           3492.2       0.1824447
           3492.6       0.1594201
            3493.       0.1467164
           3493.4       0.1624854
           3493.8       0.1923869
           3494.2       0.2199775
           3494.6       0.2326629
            3495.       0.2233695
           3495.4       0.2049893
           3495.8       0.1728435
           3496.2       0.1562431
           3496.6        0.152229
            3497.       0.1460506
           3497.4       0.1425517
           3497.8       0.1508146
           3498.2       0.1784719
           3498.6       0.2180659
            3499.       0.2584174
           3499.4       0.2871816
           3499.8       0.2931102
           3500.2       0.2773387
           3500.6       0.2605282
            3501.       0.2664274
           3501.4        0.276609
           3501.8       0.2710888
           3502.2        0.252968
           3502.6       0.2654548
            3503.       0.2897691
           3503.4       0.3244109
           3503.8       0.3439347
           3504.2       0.3214236
           3504.6       0.2783455
            3505.       0.2448653
           3505.4       0.2282241
           3505.8       0.2239553
           3506.2       0.2209007
           3506.6       0.2204707
            3507.       0.2347025
           3507.4       0.2577263
           3507.8       0.2717464
           3508.2        0.280871
           3508.6       0.2796599
            3509.       0.2662304
           3509.4       0.2442994
           3509.8       0.2086181
           3510.2       0.1785827
           3510.6        0.187397
            3511.       0.2216212
           3511.4       0.2405804
           3511.8       0.2313074
           3512.2       0.2107162
           3512.6       0.1972362
            3513.       0.1841333
           3513.4       0.1695116
           3513.8        0.154007
           3514.2       0.1473254
           3514.6       0.1465858
            3515.       0.1522653
           3515.4       0.1744165
           3515.8       0.2110154
           3516.2       0.2446164
           3516.6       0.2657823
            3517.       0.2854094
           3517.4       0.3059315
           3517.8       0.3206483
           3518.2       0.3177039
           3518.6       0.3037764
            3519.       0.2923102
           3519.4        0.278118
           3519.8       0.2569649
           3520.2       0.2372614
           3520.6       0.2194097
            3521.       0.1965522
           3521.4        0.178409
           3521.8       0.1814527
           3522.2       0.1991049
           3522.6       0.2078376
            3523.       0.1914418
           3523.4        0.165769
           3523.8        0.138932
           3524.2       0.1225304
           3524.6         0.11714
            3525.       0.1299347
           3525.4       0.1440756
           3525.8       0.1361609
           3526.2       0.1207722
           3526.6       0.1301656
            3527.       0.1677094
           3527.4       0.2046628
           3527.8       0.2239012
           3528.2       0.2453135
           3528.6       0.2688534
            3529.       0.2786995
           3529.4       0.2646832
           3529.8       0.2527142
           3530.2       0.2532011
           3530.6       0.2550466
            3531.       0.2542856
           3531.4       0.2433617
           3531.8       0.2205376
           3532.2       0.2024939
           3532.6       0.1954732
            3533.       0.1978036
           3533.4       0.2160533
           3533.8       0.2505441
           3534.2       0.2739753
           3534.6       0.2794711
            3535.       0.2700381
           3535.4       0.2654065
           3535.8       0.2633239
           3536.2       0.2604707
           3536.6       0.2615769
            3537.       0.2567922
