#K OBJECT   '102634'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 102634
#K OBJRA    11:49:01.28
#K OBJDEC   -00:19:07.2
#K OBJBMAG  6.670000E+00
#K OBJVMAG  6.150000E+00
#K SPTYPE   F7V
#K OBJRV    4
#K HDNAME   HD 102634
#K BDNAME   BD+00 2843
#K HIPNAME  HIP 57629
#K SAONAME  SAO 138420
#K VHELIO   1.46566066409984E+01
#K VLSR     1.34816871828036E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791812E+03
#K CMAX1    8.127348E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     6387  1993A&A...275..101E (Edvardsson)
#K LOGG     4.180000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      2.400000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9445.0
#K GAPS     5414.6-5461.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.6216718
           3465.4       0.5702515
           3465.8         0.53511
           3466.2       0.5458262
           3466.6       0.5674223
            3467.       0.5918644
           3467.4       0.6287555
           3467.8       0.6377937
           3468.2        0.636901
           3468.6       0.6146368
            3469.       0.5938485
           3469.4       0.5970045
           3469.8        0.636656
           3470.2       0.6743221
           3470.6       0.6858063
            3471.       0.6570462
           3471.4       0.6012281
           3471.8       0.5742291
           3472.2       0.5579464
           3472.6        0.565434
            3473.       0.5779358
           3473.4       0.5675745
           3473.8       0.5405517
           3474.2       0.5263676
           3474.6        0.516874
            3475.       0.5018972
           3475.4        0.477558
           3475.8       0.4662126
           3476.2       0.4638386
           3476.6       0.4511358
            3477.       0.4606234
           3477.4       0.5090652
           3477.8       0.5654274
           3478.2       0.5838613
           3478.6       0.5987068
            3479.       0.6068313
           3479.4       0.5993769
           3479.8       0.5938514
           3480.2       0.5902863
           3480.6       0.5858676
            3481.       0.5827025
           3481.4       0.5773434
           3481.8       0.5794389
           3482.2       0.5787217
           3482.6       0.5414091
            3483.       0.5015368
           3483.4        0.491134
           3483.8       0.5101023
           3484.2       0.5318919
           3484.6       0.5324894
            3485.       0.5212688
           3485.4       0.5213731
           3485.8       0.5544102
           3486.2       0.5996437
           3486.6       0.6507225
            3487.       0.6944444
           3487.4       0.6959921
           3487.8       0.6579971
           3488.2       0.5896516
           3488.6        0.543218
            3489.       0.5123706
           3489.4       0.5020748
           3489.8       0.5047103
           3490.2       0.4906328
           3490.6       0.4950886
            3491.       0.5218202
           3491.4       0.5680144
           3491.8       0.6017466
           3492.2       0.5776767
           3492.6       0.5317277
            3493.       0.5106239
           3493.4       0.5166091
           3493.8       0.5671221
           3494.2       0.5885661
           3494.6       0.5966156
            3495.       0.5618719
           3495.4       0.4985683
           3495.8        0.463476
           3496.2       0.4570022
           3496.6       0.4528433
            3497.        0.452071
           3497.4       0.4543985
           3497.8       0.4735813
           3498.2       0.5330976
           3498.6       0.6126598
            3499.       0.6837044
           3499.4       0.7011439
           3499.8       0.6896015
           3500.2       0.6634874
           3500.6       0.6380904
            3501.       0.6536455
           3501.4       0.6653001
           3501.8       0.6582113
           3502.2       0.6429656
           3502.6       0.6513746
            3503.       0.6932389
           3503.4        0.733409
           3503.8       0.7494688
           3504.2       0.7021404
           3504.6        0.636445
            3505.       0.5947457
           3505.4       0.5882181
           3505.8       0.5902486
           3506.2       0.5836564
           3506.6       0.5934196
            3507.       0.6137751
           3507.4       0.6391121
           3507.8       0.6527864
           3508.2       0.6616443
           3508.6       0.6734543
            3509.       0.6623984
           3509.4        0.644265
           3509.8       0.5918326
           3510.2       0.5541365
           3510.6       0.5472791
            3511.       0.5835198
           3511.4       0.6237883
           3511.8       0.6088004
           3512.2       0.5813382
           3512.6       0.5684137
            3513.       0.5523513
           3513.4       0.5324863
           3513.8       0.5258884
           3514.2       0.5366661
           3514.6       0.5446721
            3515.       0.5637029
           3515.4       0.6123032
           3515.8       0.6466404
           3516.2       0.6672887
           3516.6       0.6756042
            3517.       0.6742656
