#K OBJECT   '102870'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 102870
#K OBJRA    11:50:41.72
#K OBJDEC   +01:45:53.0
#K OBJBMAG  4.160000E+00
#K OBJVMAG  3.610000E+00
#K SPTYPE   F9V
#K OBJRV    4.600000E+00
#K HDNAME   HD 102870
#K BDNAME   BD+02 2489
#K HIPNAME  HIP 57757
#K SAONAME  SAO 119076
#K VHELIO   1.72937392107902E+01
#K VLSR     1.66082448355339E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435893E+03
#K CMAX1    4.764243E+03
#K PICKTYPE F8V
#K NCOMBINE 6
#K TEFF     6176  1993A&A...275..101E (Edvardsson)
#K LOGG     4.140000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      1.300000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6271174
           3465.4       0.5821188
           3465.8       0.5318981
           3466.2       0.5281388
           3466.6       0.5626416
            3467.       0.5958719
           3467.4       0.6226763
           3467.8       0.6443248
           3468.2       0.6397217
           3468.6       0.6250867
            3469.       0.6018003
           3469.4       0.5918816
           3469.8       0.6243838
           3470.2        0.672185
           3470.6       0.6937672
            3471.       0.6697105
           3471.4       0.6252902
           3471.8        0.590845
           3472.2       0.5702499
           3472.6       0.5705947
            3473.       0.5800709
           3473.4       0.5740635
           3473.8       0.5567218
           3474.2       0.5343716
           3474.6       0.5152006
            3475.       0.4923307
           3475.4       0.4643708
           3475.8       0.4567819
           3476.2        0.462983
           3476.6       0.4636393
            3477.       0.4615772
           3477.4       0.5036942
           3477.8       0.5530578
           3478.2       0.5846767
           3478.6       0.5999221
            3479.       0.6037325
           3479.4       0.6007408
           3479.8       0.5965559
           3480.2       0.5911976
           3480.6       0.5870086
            3481.       0.5883421
           3481.4       0.5909077
           3481.8       0.5918798
           3482.2       0.5779485
           3482.6       0.5487962
            3483.       0.5188282
           3483.4       0.4969196
           3483.8       0.5001642
           3484.2       0.5221375
           3484.6       0.5342722
            3485.        0.528447
           3485.4       0.5248567
           3485.8       0.5475835
           3486.2       0.5925334
           3486.6       0.6435426
            3487.       0.6907935
           3487.4        0.689124
           3487.8       0.6684644
           3488.2       0.6170014
           3488.6       0.5506476
            3489.         0.50867
           3489.4       0.5043101
           3489.8       0.5008231
           3490.2       0.4923546
           3490.6       0.4868516
            3491.       0.5036798
           3491.4       0.5594246
           3491.8       0.6000153
           3492.2       0.5820457
           3492.6        0.531545
            3493.       0.4981528
           3493.4       0.5080319
           3493.8       0.5645375
           3494.2        0.598917
           3494.6       0.6081613
            3495.       0.5789755
           3495.4       0.5208689
           3495.8       0.4710315
           3496.2       0.4483851
           3496.6       0.4442545
            3497.       0.4409377
           3497.4        0.448782
           3497.8       0.4742377
           3498.2       0.5233904
           3498.6       0.6000445
            3499.       0.6742421
           3499.4       0.7061912
           3499.8       0.6935068
           3500.2       0.6692097
           3500.6       0.6556863
            3501.       0.6669142
           3501.4       0.6815424
           3501.8       0.6691143
           3502.2       0.6532565
           3502.6       0.6672744
            3503.       0.7110987
           3503.4       0.7454923
           3503.8       0.7486199
           3504.2       0.7172556
           3504.6       0.6576539
            3505.       0.6038789
           3505.4        0.587775
           3505.8       0.5894089
           3506.2       0.5882159
           3506.6       0.5887509
            3507.       0.6064584
           3507.4       0.6401209
           3507.8       0.6584436
           3508.2       0.6653964
           3508.6       0.6769585
            3509.       0.6730958
           3509.4        0.654667
           3509.8       0.6072012
           3510.2       0.5559821
           3510.6       0.5493618
            3511.       0.5889701
           3511.4       0.6198773
           3511.8       0.6159092
           3512.2       0.5976828
           3512.6         0.57978
            3513.       0.5612559
           3513.4       0.5367677
           3513.8       0.5207801
           3514.2       0.5252597
           3514.6       0.5358089
            3515.       0.5484269
           3515.4       0.5914378
           3515.8       0.6432549
           3516.2        0.669088
           3516.6       0.6770057
            3517.       0.6935145
           3517.4       0.7192968
           3517.8       0.7303462
           3518.2       0.7177916
           3518.6       0.6995213
            3519.       0.6892751
           3519.4       0.6822379
           3519.8       0.6391783
           3520.2        0.612711
           3520.6       0.6092951
            3521.       0.5942326
           3521.4        0.568231
           3521.8       0.5791234
           3522.2       0.6124009
           3522.6       0.6202407
            3523.       0.5970141
           3523.4       0.5588956
           3523.8       0.5252712
           3524.2       0.4865721
           3524.6       0.4835668
            3525.       0.5208414
           3525.4       0.5511092
           3525.8       0.5164596
           3526.2       0.4305387
           3526.6       0.4118484
            3527.        0.483651
           3527.4       0.5586844
           3527.8       0.6088289
           3528.2       0.6552284
           3528.6        0.687369
            3529.       0.6979993
           3529.4       0.6803616
           3529.8       0.6461316
           3530.2       0.6407282
           3530.6       0.6524746
            3531.       0.6591297
           3531.4       0.6456753
           3531.8        0.610177
           3532.2       0.5733538
           3532.6       0.5570864
            3533.       0.5683264
           3533.4       0.6031091
           3533.8       0.6587895
           3534.2       0.7121999
           3534.6       0.7154528
            3535.       0.6894673
           3535.4       0.6628854
           3535.8       0.6614547
           3536.2         0.66238
           3536.6        0.662806
            3537.       0.6578458
           3537.4       0.6413378
           3537.8        0.628515
           3538.2       0.6420564
           3538.6       0.6894476
            3539.       0.7536789
           3539.4       0.7969251
           3539.8       0.7904013
           3540.2       0.7443705
           3540.6       0.6904355
            3541.       0.6506106
           3541.4       0.6451027
           3541.8        0.650951
           3542.2       0.6463992
           3542.6        0.664677
            3543.       0.6934172
           3543.4       0.7126778
           3543.8       0.7271631
           3544.2       0.7383459
           3544.6       0.7356414
            3545.       0.6982149
           3545.4        0.682317
           3545.8       0.6805326
           3546.2       0.7171775
           3546.6       0.7463902
            3547.       0.7431519
           3547.4       0.7018473
           3547.8       0.6490883
           3548.2       0.6365591
           3548.6        0.671336
            3549.       0.7108313
           3549.4       0.7405966
           3549.8       0.7579616
           3550.2       0.7422252
           3550.6       0.7322121
            3551.       0.7260917
           3551.4       0.7110587
           3551.8       0.6934311
           3552.2       0.6913348
           3552.6       0.6786527
            3553.       0.6536198
           3553.4       0.6362034
           3553.8       0.6128057
           3554.2       0.5895256
           3554.6       0.5864336
            3555.       0.6075861
           3555.4       0.6736619
           3555.8       0.7378569
           3556.2        0.732197
           3556.6       0.6851611
            3557.        0.676289
           3557.4       0.7102154
           3557.8       0.7129385
           3558.2       0.6724087
           3558.6       0.6305036
            3559.       0.6328095
           3559.4       0.6630153
           3559.8        0.675512
           3560.2       0.6653791
           3560.6       0.6448124
            3561.       0.6392183
           3561.4       0.6458437
           3561.8       0.6610419
           3562.2       0.7102485
           3562.6       0.7645745
            3563.       0.8006875
           3563.4       0.8129744
           3563.8       0.7905992
           3564.2       0.7204351
           3564.6       0.6176041
            3565.       0.5189282
           3565.4       0.4498802
           3565.8       0.4196741
           3566.2       0.4336462
           3566.6       0.4927233
            3567.       0.5618642
           3567.4       0.6179954
           3567.8       0.6522632
           3568.2       0.6563553
           3568.6       0.6172831
            3569.       0.5499873
           3569.4       0.4660664
           3569.8       0.3975369
           3570.2       0.4033613
           3570.6       0.4793642
            3571.       0.5584255
           3571.4       0.5934551
           3571.8       0.5663338
           3572.2       0.5444933
           3572.6       0.5676096
            3573.       0.5982829
           3573.4       0.5942612
           3573.8       0.5626442
           3574.2       0.5615084
           3574.6       0.5752563
            3575.       0.5725426
           3575.4       0.5811738
