#K OBJECT   '10476'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 10476
#K OBJRA    01:42:29.76
#K OBJDEC   +20:16:06.6
#K OBJBMAG  6.040000E+00
#K OBJVMAG  5.200000E+00
#K SPTYPE   K1V
#K OBJRV    -3.350000E+01
#K HDNAME   HD 10476
#K BDNAME   BD+19 279
#K HIPNAME  HIP 7981
#K SAONAME  SAO 74883
#K VHELIO   4.88129157687426E+00
#K VLSR     1.56753771002612E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453864E+03
#K CMAX1    4.778665E+03
#K PICKTYPE K2V
#K NCOMBINE 6
#K TEFF     5196  1983A&A...128..347P (Perrin)
#K LOGG     4.500000E+00  1983A&A...128..347P (Perrin)
#K FEH      -2.000000E-01  1983A&A...128..347P (Perrin)
#K COVERAGE 3465.0-9469.0
#K GAPS     8122.2-8146.6
#K OBSTITLE 11503

#      wavelength        spectrum
#       angstroms                

            3465.        0.236694
           3465.4       0.1898907
           3465.8       0.1597544
           3466.2       0.1695169
           3466.6       0.1970732
            3467.        0.224398
           3467.4       0.2602281
           3467.8       0.2912568
           3468.2       0.2996201
           3468.6       0.2947994
            3469.       0.2816246
           3469.4       0.2887144
           3469.8       0.3118525
           3470.2       0.3286398
           3470.6       0.3293726
            3471.        0.312569
           3471.4       0.2849908
           3471.8       0.2492146
           3472.2       0.2208877
           3472.6       0.2110528
            3473.        0.210544
           3473.4       0.2090699
           3473.8         0.19539
           3474.2       0.1841509
           3474.6       0.1524721
            3475.       0.1332076
           3475.4       0.1130387
           3475.8       0.1080911
           3476.2       0.1165593
           3476.6       0.1249856
            3477.       0.1518844
           3477.4       0.1986596
           3477.8       0.2395826
           3478.2       0.2640059
           3478.6       0.2820791
            3479.       0.2992658
           3479.4         0.29636
           3479.8        0.292682
           3480.2       0.2799928
           3480.6       0.2787609
            3481.       0.2763117
           3481.4       0.2791638
           3481.8       0.2916522
           3482.2       0.2842003
           3482.6       0.2548903
            3483.       0.2253783
           3483.4       0.2099187
           3483.8       0.2190739
           3484.2       0.2320679
           3484.6       0.2269365
            3485.       0.2260325
           3485.4       0.2327979
           3485.8       0.2505484
           3486.2       0.2852455
           3486.6       0.3255777
            3487.         0.33054
           3487.4       0.3302983
           3487.8       0.3156476
           3488.2         0.27499
           3488.6       0.2363497
            3489.       0.2028544
           3489.4       0.1773711
           3489.8       0.1475113
           3490.2       0.1294263
           3490.6       0.1210479
            3491.       0.1393947
           3491.4       0.1726291
           3491.8       0.1866898
           3492.2       0.1803394
           3492.6       0.1620369
            3493.       0.1627561
           3493.4       0.1915065
           3493.8       0.2306348
           3494.2       0.2676247
           3494.6       0.2820317
            3495.       0.2692138
           3495.4       0.2439278
           3495.8       0.2221325
           3496.2       0.1967974
           3496.6       0.1790676
            3497.       0.1671232
           3497.4       0.1546758
           3497.8       0.1669886
           3498.2       0.1959933
           3498.6       0.2484317
            3499.       0.3146885
           3499.4       0.3489124
           3499.8        0.345172
           3500.2        0.321065
           3500.6        0.307521
            3501.       0.3042327
           3501.4         0.32329
           3501.8       0.3218512
           3502.2       0.3003413
           3502.6       0.3120555
            3503.       0.3564364
           3503.4       0.3958887
           3503.8       0.4087581
           3504.2        0.377158
           3504.6       0.3280049
            3505.       0.3108868
           3505.4        0.305476
           3505.8       0.2928335
           3506.2       0.2826667
           3506.6        0.284856
            3507.       0.3076158
           3507.4       0.3318756
           3507.8       0.3463649
           3508.2       0.3539281
           3508.6       0.3389035
            3509.       0.3114279
           3509.4       0.2813857
           3509.8       0.2330755
           3510.2       0.2146774
           3510.6       0.1557438
            3511.      0.04227725
           3511.4       0.2560108
           3511.8       0.2738791
           3512.2       0.2527674
           3512.6       0.2325125
            3513.       0.2026225
           3513.4       0.1814481
           3513.8       0.1662791
           3514.2       0.1513091
           3514.6       0.1434518
            3515.       0.1583634
           3515.4        0.198175
           3515.8        0.241688
           3516.2       0.2735654
           3516.6       0.2980538
            3517.       0.3365708
           3517.4       0.3658154
           3517.8       0.3747438
           3518.2       0.3587563
           3518.6       0.3416436
            3519.       0.3252548
           3519.4       0.2962334
           3519.8       0.2704208
           3520.2       0.2539108
           3520.6       0.2280056
            3521.       0.2046795
           3521.4       0.2020941
           3521.8        0.206265
           3522.2       0.2261701
           3522.6       0.2316018
            3523.       0.2131349
           3523.4       0.1751022
           3523.8       0.1470401
           3524.2       0.1243709
           3524.6       0.1181469
            3525.       0.1296178
           3525.4       0.1345418
           3525.8       0.1289021
           3526.2       0.1230349
           3526.6       0.1373071
            3527.       0.1901342
           3527.4       0.2308658
           3527.8       0.2534751
           3528.2       0.2851448
           3528.6       0.3111395
            3529.       0.3205839
           3529.4       0.3038867
           3529.8       0.2794908
           3530.2       0.2786695
           3530.6       0.2992482
            3531.        0.313004
           3531.4       0.3038342
           3531.8       0.2724129
           3532.2       0.2346554
           3532.6       0.2221209
            3533.       0.2346397
           3533.4       0.2718301
           3533.8       0.3166578
           3534.2       0.3533055
           3534.6       0.3699051
            3535.        0.355928
           3535.4        0.332115
           3535.8       0.3259072
           3536.2       0.3130937
           3536.6       0.2887371
            3537.       0.2866814
           3537.4       0.2828525
           3537.8       0.2787234
           3538.2       0.3081458
           3538.6       0.3423797
            3539.       0.3860649
           3539.4        0.404449
           3539.8       0.3714215
           3540.2       0.3278562
           3540.6       0.2828268
            3541.       0.2512913
           3541.4       0.2437329
           3541.8       0.2538236
           3542.2       0.2740329
           3542.6         0.29167
            3543.       0.3314849
           3543.4       0.3569084
           3543.8       0.3645581
           3544.2       0.3726312
           3544.6       0.3689937
            3545.       0.3538526
           3545.4       0.3338874
           3545.8       0.3398266
           3546.2       0.3562092
           3546.6        0.356491
            3547.       0.3376659
           3547.4       0.2954477
           3547.8       0.2601943
           3548.2        0.268981
           3548.6        0.306332
            3549.       0.3576383
           3549.4       0.3725001
           3549.8       0.3602182
           3550.2       0.3404082
           3550.6       0.3255865
            3551.       0.3111359
           3551.4       0.3105401
           3551.8       0.3177713
           3552.2       0.3154906
           3552.6       0.3006304
            3553.       0.2709808
           3553.4       0.2403161
           3553.8       0.2139437
           3554.2       0.2019809
           3554.6       0.1957346
            3555.       0.2110153
           3555.4       0.2700309
           3555.8        0.305821
           3556.2       0.2992378
           3556.6        0.278904
            3557.       0.2680178
           3557.4       0.2745752
           3557.8       0.2608562
           3558.2       0.2126778
           3558.6       0.1925545
            3559.       0.2081467
           3559.4       0.2419937
           3559.8       0.2769286
           3560.2       0.2832662
           3560.6       0.2884583
            3561.       0.2877049
           3561.4       0.2958308
           3561.8       0.3065144
           3562.2       0.3262512
           3562.6       0.3420123
            3563.        0.344923
           3563.4       0.3459704
           3563.8       0.3068862
           3564.2       0.2385484
           3564.6       0.1856312
            3565.       0.1358947
           3565.4       0.1034593
           3565.8      0.09793408
           3566.2       0.1171834
           3566.6       0.1541015
            3567.       0.1899142
           3567.4       0.2133099
           3567.8       0.2274088
           3568.2       0.2223816
           3568.6        0.189117
            3569.       0.1504322
           3569.4       0.1184951
           3569.8      0.08774509
           3570.2      0.09150234
           3570.6       0.1087462
            3571.       0.1306717
           3571.4       0.1462618
           3571.8       0.1609367
           3572.2       0.1865758
           3572.6       0.2263899
            3573.       0.2548775
           3573.4       0.2492567
           3573.8       0.2370656
           3574.2        0.241588
           3574.6       0.2394391
            3575.       0.2338673
           3575.4       0.2362948
           3575.8        0.251281
           3576.2       0.2548184
           3576.6       0.2642458
            3577.       0.2727879
           3577.4        0.247669
           3577.8       0.1988026
           3578.2       0.1552889
           3578.6       0.1328899
            3579.       0.1306786
           3579.4        0.134752
           3579.8       0.1326777
           3580.2       0.1167253
           3580.6      0.09651033
            3581.      0.07495807
           3581.4      0.07796478
           3581.8      0.08581067
           3582.2       0.1015915
           3582.6       0.1231861
            3583.       0.1413455
           3583.4       0.1532964
           3583.8       0.1585269
           3584.2       0.1503668
           3584.6       0.1246011
            3585.       0.1000171
           3585.4      0.09508266
           3585.8      0.09672099
           3586.2        0.105373
           3586.6        0.110944
            3587.       0.1108339
           3587.4       0.1277073
           3587.8       0.1490943
           3588.2       0.1637131
           3588.6       0.1707557
            3589.        0.169326
           3589.4        0.172727
           3589.8       0.1962775
           3590.2       0.2347918
           3590.6       0.2773162
            3591.       0.3193623
           3591.4       0.3496739
           3591.8       0.3447036
           3592.2       0.3293378
           3592.6       0.2775639
            3593.       0.2172606
           3593.4        0.185552
           3593.8       0.1958389
           3594.2       0.2246218
           3594.6       0.2555869
            3595.       0.2934582
           3595.4       0.3332564
           3595.8       0.3674904
           3596.2       0.3767157
           3596.6       0.3769225
            3597.       0.3606033
           3597.4       0.3222953
           3597.8       0.3108511
           3598.2       0.3221659
           3598.6       0.3360125
            3599.       0.3524956
           3599.4       0.3704151
           3599.8        0.392181
           3600.2       0.4252022
           3600.6        0.448271
            3601.       0.4250778
           3601.4       0.3685056
           3601.8       0.3192995
           3602.2       0.2796615
           3602.6       0.2545176
            3603.       0.2440744
           3603.4       0.2445027
           3603.8       0.2462031
           3604.2        0.248444
           3604.6       0.2246453
            3605.        0.187328
           3605.4       0.1740759
           3605.8       0.1860192
           3606.2       0.2139925
           3606.6       0.2343483
            3607.       0.2487212
           3607.4       0.2438585
           3607.8       0.2089717
           3608.2       0.1583629
           3608.6       0.1173384
            3609.       0.1119112
           3609.4       0.1265108
           3609.8       0.1398904
           3610.2       0.1548757
           3610.6       0.1909054
            3611.       0.2388082
           3611.4       0.2702219
           3611.8       0.2916892
           3612.2       0.2856589
           3612.6       0.2571133
            3613.        0.235681
           3613.4       0.2297523
           3613.8       0.2364077
           3614.2       0.2671175
           3614.6       0.2956678
            3615.         0.32456
           3615.4       0.3428167
           3615.8       0.3393134
           3616.2       0.3218788
           3616.6       0.2922418
            3617.          0.2672
           3617.4       0.2214373
           3617.8       0.1636055
           3618.2        0.117726
           3618.6      0.08994135
            3619.      0.08804695
           3619.4       0.1033175
           3619.8       0.1401341
           3620.2       0.1825669
           3620.6       0.2114737
            3621.       0.2270661
           3621.4       0.2367996
           3621.8       0.2595489
           3622.2       0.3097388
           3622.6       0.3508982
            3623.       0.3348933
           3623.4       0.2994268
           3623.8       0.2614504
           3624.2       0.2598372
           3624.6       0.2781414
            3625.       0.3044029
           3625.4       0.3586203
           3625.8       0.4065914
           3626.2        0.430229
           3626.6       0.4439356
            3627.       0.4320444
           3627.4       0.4018251
           3627.8       0.3854593
           3628.2       0.3885087
           3628.6       0.3836804
            3629.       0.3697425
           3629.4       0.3457541
           3629.8       0.3075778
           3630.2       0.2407471
           3630.6       0.1662561
            3631.       0.1210615
           3631.4       0.1070091
           3631.8        0.121109
           3632.2       0.1568001
           3632.6       0.1937371
            3633.       0.2329997
           3633.4       0.2548761
           3633.8       0.2584112
           3634.2         0.23078
           3634.6       0.2113495
            3635.       0.2203204
           3635.4       0.2621257
           3635.8        0.298822
           3636.2        0.302724
           3636.6       0.2975372
            3637.       0.3034951
           3637.4       0.3087884
           3637.8       0.3116921
           3638.2        0.321411
           3638.6       0.3413525
            3639.        0.382319
           3639.4       0.3806907
           3639.8        0.371929
           3640.2        0.374644
           3640.6       0.3779002
            3641.       0.3698885
           3641.4       0.3652498
           3641.8       0.3585428
           3642.2       0.3444043
           3642.6       0.3222023
            3643.       0.2939722
           3643.4       0.2935336
           3643.8       0.3003139
           3644.2       0.2743634
           3644.6        0.244068
            3645.        0.227133
           3645.4       0.2288799
           3645.8       0.2524073
           3646.2       0.2695303
           3646.6       0.2460248
            3647.       0.1976756
           3647.4       0.1510176
           3647.8       0.1238166
           3648.2        0.135762
           3648.6       0.1705568
            3649.       0.1925987
           3649.4       0.1992515
           3649.8       0.2191406
           3650.2       0.2579172
           3650.6       0.2973472
            3651.       0.2970311
           3651.4       0.2965827
           3651.8       0.3231377
           3652.2       0.3659265
           3652.6       0.4103126
            3653.       0.4198111
           3653.4       0.3880863
           3653.8       0.3718438
           3654.2       0.3837618
           3654.6       0.3882594
            3655.       0.3758301
           3655.4       0.3676971
           3655.8        0.380581
           3656.2        0.408708
           3656.6       0.4330827
            3657.       0.4496025
           3657.4       0.4248288
           3657.8       0.4063946
           3658.2       0.4349628
           3658.6       0.4696535
            3659.       0.4873976
           3659.4       0.4642728
           3659.8       0.4327586
           3660.2       0.4150878
