#K OBJECT   '104783'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 104783
#K OBJRA    12:04:05.21
#K OBJDEC   +37:59:59.0
#K OBJBMAG  9.910000E+00
#K OBJVMAG  9.160000E+00
#K SPTYPE   G5III
#K OBJRV    -5.400000E+01
#K HDNAME   HD 104783
#K BDNAME   BD+38 2297
#K HIPNAME  HIP 58839
#K SAONAME  SAO 62821
#K VHELIO   9.01383642756638E+00
#K VLSR     1.51853536086294E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.436469E+03
#K CMAX1    4.765042E+03
#K PICKTYPE G5III
#K NCOMBINE 4
#K TEFF     5.140000E+03  2001A&A...380..578T (Tautvaisiene)
#K LOGG     2.400000E+00  2001A&A...380..578T (Tautvaisiene)
#K FEH      -5.500000E-01  2001A&A...380..578T (Tautvaisiene)
#K COVERAGE 3465.0-8647.4
#K OBSTITLE Up38-49

#      wavelength        spectrum
#       angstroms                

            3465.       0.3500942
           3465.4       0.3165468
           3465.8       0.2870203
           3466.2        0.251998
           3466.6       0.2527519
            3467.       0.2818445
           3467.4       0.3092374
           3467.8       0.3213032
           3468.2        0.323687
           3468.6       0.3268471
            3469.       0.3079986
           3469.4       0.2931319
           3469.8       0.3037346
           3470.2       0.3210307
           3470.6       0.3516523
            3471.       0.3491708
           3471.4       0.3289019
           3471.8       0.3036921
           3472.2       0.2884872
           3472.6       0.2804443
            3473.       0.2769604
           3473.4       0.2748988
           3473.8       0.2599983
           3474.2       0.2470452
           3474.6       0.2445126
            3475.       0.2352038
           3475.4        0.211339
           3475.8       0.1995043
           3476.2       0.2037708
           3476.6       0.2024282
            3477.       0.1960909
           3477.4       0.2072414
           3477.8       0.2486732
           3478.2       0.2743385
           3478.6       0.2683312
            3479.       0.2703106
           3479.4       0.2729519
           3479.8       0.2673626
           3480.2       0.2628084
           3480.6       0.2669435
            3481.       0.2816533
           3481.4       0.2815304
           3481.8       0.2908821
           3482.2       0.2983858
           3482.6       0.2905442
            3483.       0.2715698
           3483.4       0.2463609
           3483.8       0.2314012
           3484.2       0.2430843
           3484.6       0.2634966
            3485.       0.2640375
           3485.4       0.2591872
           3485.8       0.2737971
           3486.2       0.2884452
           3486.6       0.3180116
            3487.       0.3410083
           3487.4       0.3550206
           3487.8        0.346076
           3488.2       0.3199532
           3488.6       0.2937406
            3489.       0.2698458
           3489.4       0.2519861
           3489.8       0.2392692
           3490.2       0.2237298
           3490.6       0.2104376
