#K OBJECT   '105262'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 105262
#K OBJRA    12:07:10.83
#K OBJDEC   +12:59:07.7
#K OBJBMAG  7.100000E+00
#K OBJVMAG  7.090000E+00
#K SPTYPE   B9
#K OBJRV    4.140000E+01
#K HDNAME   HD 105262
#K BDNAME   BD+13 2491
#K HIPNAME  HIP 59099
#K SAONAME  SAO 99943
#K VHELIO   1.47573213149155E+01
#K VLSR     1.72516118555668E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679408E+03
#K CMAX1    6.009497E+03
#K PICKTYPE A0I
#K NCOMBINE 7
#K TEFF     8542  1987SvA....31...37K (Klochkova)
#K LOGG     1.500000E+00  1987SvA....31...37K (Klochkova)
#K FEH      -1.370000E+00  1987SvA....31...37K (Klochkova)
#K COVERAGE 3465.0-9467.8

#      wavelength        spectrum
#       angstroms                

            3465.        1.084227
           3465.4        1.089256
           3465.8        1.099252
           3466.2        1.098717
           3466.6        1.089659
            3467.        1.105234
           3467.4        1.106436
           3467.8        1.099753
           3468.2        1.082421
           3468.6        1.090739
            3469.        1.097932
           3469.4        1.100423
           3469.8        1.081687
           3470.2        1.078825
           3470.6        1.085928
            3471.         1.07444
           3471.4        1.076447
           3471.8        1.079292
           3472.2        1.080563
           3472.6        1.094022
            3473.        1.082815
           3473.4        1.065233
           3473.8        1.061355
           3474.2        1.075346
           3474.6        1.080653
            3475.        1.086714
           3475.4        1.090459
           3475.8        1.094844
           3476.2        1.077886
           3476.6         1.05716
            3477.        1.079392
           3477.4        1.073937
           3477.8        1.073173
           3478.2        1.090445
           3478.6        1.087776
            3479.        1.088055
           3479.4        1.092184
           3479.8        1.085631
           3480.2        1.093542
           3480.6        1.086716
            3481.        1.080607
           3481.4        1.087905
           3481.8        1.088783
           3482.2          1.0966
           3482.6        1.086284
            3483.        1.066849
           3483.4        1.068078
           3483.8        1.075893
           3484.2        1.090297
           3484.6        1.085474
            3485.        1.094714
           3485.4         1.08401
           3485.8        1.077894
           3486.2         1.08661
           3486.6        1.081138
            3487.        1.075435
           3487.4        1.082521
           3487.8        1.086401
           3488.2        1.080924
           3488.6        1.077755
            3489.        1.082231
           3489.4         1.07006
           3489.8        1.068233
           3490.2        1.072512
           3490.6        1.051776
            3491.        1.058642
           3491.4        1.081963
           3491.8        1.068538
           3492.2        1.075103
           3492.6        1.100397
            3493.        1.072388
           3493.4         1.06028
           3493.8        1.061777
           3494.2        1.079156
           3494.6        1.072449
            3495.        1.073182
           3495.4        1.063056
           3495.8        1.081953
           3496.2        1.098489
           3496.6        1.093432
            3497.        1.080242
           3497.4        1.074051
           3497.8        1.073922
           3498.2        1.078982
           3498.6        1.098686
            3499.        1.090147
           3499.4        1.099034
           3499.8        1.094848
           3500.2        1.092295
           3500.6        1.096029
            3501.        1.085913
           3501.4        1.094297
           3501.8        1.097415
           3502.2         1.09955
           3502.6        1.103984
            3503.        1.094038
           3503.4        1.087548
           3503.8        1.075342
           3504.2        1.064272
           3504.6        1.072809
            3505.        1.081164
           3505.4        1.084917
           3505.8        1.057401
           3506.2        1.088924
           3506.6        1.093738
            3507.        1.102883
           3507.4        1.103276
           3507.8        1.096185
           3508.2        1.095881
           3508.6        1.075865
            3509.        1.095042
           3509.4        1.117173
           3509.8        1.110119
           3510.2        1.104376
           3510.6        1.070431
            3511.        1.077661
           3511.4        1.084038
           3511.8        1.077127
           3512.2           1.079
           3512.6        1.090527
            3513.        1.089075
           3513.4        1.077321
           3513.8        1.079719
           3514.2        1.086403
           3514.6        1.091116
            3515.        1.106965
           3515.4        1.098569
           3515.8        1.106199
           3516.2        1.110021
           3516.6         1.09652
            3517.        1.107798
           3517.4        1.121928
           3517.8        1.103452
           3518.2         1.10759
           3518.6        1.124841
            3519.        1.110079
           3519.4        1.101247
           3519.8        1.100303
           3520.2        1.097938
           3520.6        1.105464
            3521.        1.122514
           3521.4        1.122682
           3521.8        1.108219
           3522.2        1.100536
           3522.6        1.107221
            3523.        1.114949
           3523.4        1.111272
           3523.8        1.112118
           3524.2        1.115867
           3524.6        1.119483
            3525.        1.132005
           3525.4        1.125601
           3525.8        1.128676
           3526.2        1.120998
           3526.6        1.116554
            3527.        1.129174
           3527.4          1.1314
           3527.8        1.130112
           3528.2        1.121827
           3528.6        1.099058
            3529.        1.105117
           3529.4        1.118371
           3529.8        1.112115
           3530.2         1.11887
           3530.6        1.109573
            3531.         1.11919
           3531.4        1.115767
           3531.8        1.115943
           3532.2        1.119228
           3532.6        1.120442
            3533.         1.11974
           3533.4        1.112985
           3533.8        1.103145
           3534.2        1.103337
           3534.6        1.116588
            3535.        1.118066
           3535.4        1.106256
           3535.8        1.115401
           3536.2        1.129188
           3536.6        1.135664
            3537.         1.13982
           3537.4        1.132998
           3537.8        1.140844
           3538.2        1.148151
           3538.6        1.127234
            3539.        1.115451
           3539.4        1.130601
           3539.8        1.137368
           3540.2        1.124238
           3540.6        1.116375
            3541.        1.126854
           3541.4        1.135473
           3541.8        1.123335
           3542.2        1.127392
           3542.6        1.120791
            3543.        1.120989
           3543.4        1.111881
           3543.8        1.108037
           3544.2        1.118028
           3544.6        1.118772
            3545.        1.122787
           3545.4        1.138629
           3545.8        1.140436
           3546.2         1.13148
           3546.6        1.131922
            3547.        1.136867
           3547.4        1.123533
           3547.8        1.140179
           3548.2        1.134274
           3548.6        1.130957
            3549.        1.142759
           3549.4        1.136482
           3549.8        1.125007
           3550.2          1.1345
           3550.6        1.129098
            3551.         1.11215
           3551.4        1.123038
           3551.8        1.124524
           3552.2        1.123236
           3552.6        1.127268
            3553.        1.127016
           3553.4        1.131852
           3553.8        1.126732
           3554.2         1.12193
           3554.6        1.135614
            3555.        1.120344
           3555.4        1.115249
           3555.8        1.131403
           3556.2        1.131129
           3556.6          1.1205
            3557.        1.104841
           3557.4        1.128954
           3557.8        1.128039
           3558.2        1.123751
           3558.6        1.119077
            3559.        1.120839
           3559.4        1.120088
           3559.8        1.120092
           3560.2        1.125826
           3560.6        1.114185
            3561.        1.115513
           3561.4        1.129602
           3561.8         1.12904
           3562.2        1.135705
           3562.6        1.124534
            3563.        1.132156
           3563.4        1.135243
           3563.8        1.141877
           3564.2        1.127464
           3564.6        1.119462
            3565.        1.122699
           3565.4        1.131297
           3565.8        1.124976
           3566.2        1.128824
           3566.6        1.134323
            3567.        1.117827
           3567.4        1.120411
           3567.8         1.12528
           3568.2        1.121064
           3568.6        1.135058
            3569.        1.133904
           3569.4        1.136703
           3569.8        1.142706
           3570.2        1.122499
           3570.6        1.113757
            3571.        1.124055
           3571.4        1.127183
           3571.8        1.122912
           3572.2        1.121251
           3572.6        1.120801
            3573.         1.11587
           3573.4        1.114387
           3573.8        1.122238
           3574.2        1.111776
           3574.6        1.118587
            3575.         1.11565
           3575.4        1.120354
           3575.8        1.123703
           3576.2        1.124898
           3576.6        1.132147
            3577.        1.137775
           3577.4         1.13732
           3577.8        1.130547
           3578.2        1.121724
           3578.6         1.11698
            3579.        1.113656
           3579.4        1.140192
           3579.8        1.127568
           3580.2        1.112735
           3580.6        1.109511
            3581.        1.111679
           3581.4        1.103229
           3581.8        1.101307
           3582.2        1.117175
           3582.6        1.120677
            3583.        1.110921
           3583.4        1.112452
           3583.8        1.118605
           3584.2        1.130783
           3584.6        1.120385
            3585.        1.106935
           3585.4        1.100746
           3585.8        1.098751
           3586.2         1.10086
           3586.6        1.107414
            3587.        1.118248
           3587.4        1.115507
           3587.8        1.116999
           3588.2          1.1174
           3588.6         1.10576
            3589.        1.116886
           3589.4        1.089744
           3589.8        1.084794
           3590.2        1.098396
           3590.6        1.100194
            3591.        1.100444
           3591.4        1.098173
           3591.8         1.09618
           3592.2        1.098212
           3592.6        1.101001
            3593.        1.103767
           3593.4        1.103225
           3593.8        1.088922
           3594.2        1.081968
           3594.6        1.099104
            3595.         1.08788
           3595.4        1.103105
           3595.8        1.100886
           3596.2        1.083232
           3596.6        1.082555
            3597.        1.091906
           3597.4        1.109228
           3597.8        1.100025
           3598.2        1.082966
           3598.6        1.080828
            3599.        1.077399
           3599.4        1.083712
           3599.8        1.086424
           3600.2        1.098373
           3600.6        1.076851
            3601.        1.077273
           3601.4        1.078472
           3601.8        1.079681
           3602.2        1.086753
           3602.6         1.07857
            3603.         1.06475
           3603.4        1.064943
           3603.8        1.075189
           3604.2        1.083401
           3604.6        1.079881
            3605.        1.079718
           3605.4        1.091953
           3605.8        1.070794
           3606.2        1.072631
           3606.6        1.079461
            3607.        1.082022
           3607.4        1.090102
           3607.8        1.082191
           3608.2        1.073422
           3608.6        1.080309
            3609.        1.071662
           3609.4        1.054047
           3609.8        1.065466
           3610.2        1.068875
           3610.6        1.046929
            3611.        1.062217
           3611.4        1.069776
           3611.8        1.059323
           3612.2        1.066569
           3612.6        1.069835
            3613.        1.068853
           3613.4        1.050068
           3613.8         1.04715
           3614.2        1.048743
           3614.6         1.05393
            3615.         1.08475
           3615.4        1.084575
           3615.8          1.0792
           3616.2        1.072594
           3616.6        1.067047
            3617.        1.043282
           3617.4        1.045102
           3617.8        1.063688
           3618.2        1.070394
           3618.6        1.057931
            3619.        1.055814
           3619.4        1.056478
           3619.8        1.044522
           3620.2        1.047239
           3620.6        1.051732
            3621.        1.043604
           3621.4        1.062262
           3621.8        1.047353
           3622.2         1.04993
           3622.6        1.057716
            3623.        1.051057
           3623.4        1.054317
           3623.8        1.060414
           3624.2         1.04252
           3624.6        1.034939
            3625.        1.054294
           3625.4        1.057069
           3625.8        1.046877
           3626.2        1.056483
           3626.6        1.056664
            3627.        1.035995
           3627.4        1.039319
           3627.8        1.048329
           3628.2         1.05045
           3628.6        1.041744
            3629.        1.025523
           3629.4        1.029465
           3629.8        1.042796
           3630.2         1.04497
           3630.6        1.047195
            3631.        1.043335
           3631.4        1.033943
           3631.8        1.038845
           3632.2        1.025589
           3632.6        1.037633
            3633.        1.041259
           3633.4        1.036028
           3633.8        1.039993
           3634.2        1.043214
           3634.6        1.031599
            3635.        1.026864
           3635.4         1.03147
           3635.8        1.028243
           3636.2        1.021489
           3636.6        1.016265
            3637.        1.015091
           3637.4         1.01783
           3637.8        1.025259
           3638.2        1.022833
           3638.6        1.014465
            3639.        1.033221
           3639.4        1.034878
           3639.8        1.028379
           3640.2        1.022239
           3640.6        1.010747
            3641.        1.004824
           3641.4        1.013325
           3641.8        1.020659
           3642.2        1.005002
           3642.6        1.001578
            3643.       0.9984748
           3643.4        1.002328
           3643.8        1.010586
           3644.2        1.007406
           3644.6        1.006408
            3645.        1.008522
           3645.4        1.000891
           3645.8        1.001853
           3646.2        1.023623
           3646.6        1.026908
            3647.        1.009053
           3647.4        1.017431
           3647.8        1.019506
           3648.2        1.001769
           3648.6       0.9959595
            3649.       0.9940683
           3649.4         1.00868
           3649.8       0.9950759
           3650.2       0.9978191
           3650.6         1.00917
            3651.        1.001256
           3651.4       0.9980004
           3651.8       0.9982721
           3652.2       0.9947499
           3652.6        1.007462
            3653.        1.014866
           3653.4        0.998002
           3653.8        0.981636
           3654.2         1.00867
           3654.6        1.006677
            3655.       0.9929034
           3655.4       0.9947796
           3655.8       0.9928131
           3656.2        0.986355
           3656.6       0.9904103
            3657.       0.9960988
           3657.4       0.9890256
           3657.8       0.9859016
           3658.2       0.9930412
           3658.6       0.9771472
            3659.       0.9799294
           3659.4       0.9849504
           3659.8       0.9749933
           3660.2       0.9740239
           3660.6       0.9860334
            3661.       0.9840863
           3661.4       0.9707303
           3661.8       0.9730567
           3662.2       0.9798738
           3662.6       0.9791956
            3663.       0.9840004
           3663.4       0.9762078
           3663.8       0.9671606
           3664.2       0.9790733
           3664.6       0.9716449
            3665.       0.9765312
           3665.4       0.9833525
           3665.8       0.9691911
           3666.2       0.9609193
           3666.6       0.9764271
            3667.       0.9843088
           3667.4       0.9755117
           3667.8       0.9667207
           3668.2       0.9792081
           3668.6         1.00196
            3669.       0.9686997
           3669.4       0.9612709
           3669.8       0.9672881
           3670.2       0.9827839
           3670.6       0.9970717
            3671.       0.9740273
           3671.4       0.9362431
           3671.8        0.946138
           3672.2       0.9998426
           3672.6        1.042987
            3673.         1.03106
           3673.4       0.9661069
           3673.8       0.9155421
           3674.2       0.9456283
           3674.6        1.039073
            3675.         1.08735
           3675.4        1.080168
           3675.8         1.01079
           3676.2       0.9395257
           3676.6       0.9172043
            3677.        0.987549
           3677.4        1.092014
           3677.8        1.144738
           3678.2        1.136507
           3678.6        1.071511
            3679.       0.9612209
           3679.4       0.8916926
           3679.8       0.9417602
           3680.2        1.051849
           3680.6        1.181127
            3681.        1.285527
           3681.4        1.265913
           3681.8         1.17803
           3682.2        1.051635
           3682.6       0.9202138
            3683.        0.872884
           3683.4       0.9510436
           3683.8        1.108505
           3684.2        1.255016
           3684.6        1.331353
            3685.        1.341876
           3685.4        1.272616
           3685.8        1.155509
           3686.2        1.021348
           3686.6       0.8993251
            3687.        0.852578
           3687.4       0.9518499
           3687.8        1.106949
           3688.2        1.277776
           3688.6        1.454703
            3689.        1.548033
           3689.4         1.55694
           3689.8        1.516648
           3690.2        1.385139
           3690.6        1.204134
            3691.        1.015391
           3691.4       0.8750648
           3691.8       0.8456524
           3692.2       0.9419311
           3692.6        1.125482
            3693.        1.347826
           3693.4         1.54091
           3693.8        1.669372
           3694.2        1.760234
           3694.6        1.798244
            3695.        1.729249
           3695.4        1.596822
           3695.8        1.442081
           3696.2        1.218379
           3696.6         1.00198
            3697.       0.8648395
           3697.4       0.8352591
           3697.8        0.933248
           3698.2        1.131569
           3698.6        1.365539
            3699.        1.566895
           3699.4        1.744952
           3699.8        1.897685
           3700.2        1.969787
           3700.6        2.006961
            3701.        1.989182
           3701.4        1.900375
           3701.8         1.74849
           3702.2           1.591
           3702.6        1.367048
            3703.        1.141541
           3703.4        0.955366
           3703.8       0.8281404
           3704.2        0.829303
           3704.6       0.9666437
            3705.        1.171114
           3705.4        1.381529
           3705.8        1.575721
           3706.2        1.776047
           3706.6        1.937785
            3707.        2.080115
           3707.4        2.209686
           3707.8        2.277111
           3708.2        2.268538
           3708.6         2.22048
            3709.        2.146605
           3709.4        2.016744
           3709.8        1.842701
           3710.2        1.651005
           3710.6        1.435969
            3711.        1.216654
           3711.4       0.9978079
           3711.8       0.8248842
           3712.2       0.7984715
           3712.6       0.8926321
            3713.        1.077915
           3713.4        1.319328
           3713.8        1.560861
           3714.2        1.777365
           3714.6        1.960806
            3715.        2.118018
           3715.4        2.243631
           3715.8        2.338938
           3716.2        2.427163
           3716.6        2.490978
            3717.        2.544285
           3717.4        2.511413
           3717.8        2.477406
           3718.2        2.401291
           3718.6        2.300274
            3719.        2.185203
           3719.4        2.003983
           3719.8         1.81164
           3720.2        1.620797
           3720.6        1.398159
            3721.        1.174183
           3721.4       0.9572898
           3721.8       0.8011131
           3722.2       0.7647035
           3722.6       0.8785217
            3723.        1.094522
