#K OBJECT   '106591'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 106591
#K OBJRA    12:15:25.56
#K OBJDEC   +57:01:57.4
#K OBJBMAG  3.395000E+00
#K OBJVMAG  3.304000E+00
#K SPTYPE   A3V
#K OBJRV    -1.340000E+01
#K HDNAME   HD 106591
#K BDNAME   BD+57 1363
#K HIPNAME  HIP 59774
#K SAONAME  SAO 28315
#K VHELIO   1.53851960102004E+00
#K VLSR     1.04055899531595E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680040E+03
#K CMAX1    6.010313E+03
#K PICKTYPE A3V
#K NCOMBINE 7
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.8316306
           3465.4       0.8361093
           3465.8       0.8355522
           3466.2       0.8287971
           3466.6       0.8317376
            3467.       0.8398147
           3467.4       0.8423797
           3467.8       0.8389558
           3468.2        0.841183
           3468.6       0.8484409
            3469.       0.8488147
           3469.4       0.8490015
           3469.8        0.848619
           3470.2       0.8451998
           3470.6        0.846796
            3471.       0.8402538
           3471.4       0.8370352
           3471.8       0.8335297
           3472.2       0.8244257
           3472.6       0.8193853
            3473.       0.8029874
           3473.4       0.8030478
           3473.8       0.7962183
           3474.2       0.7882221
           3474.6       0.7834991
            3475.        0.779463
           3475.4       0.7824015
           3475.8       0.7839003
           3476.2       0.7912834
           3476.6       0.7950863
            3477.       0.7900293
           3477.4       0.7944641
           3477.8       0.8069645
           3478.2       0.8166553
           3478.6       0.8182782
            3479.       0.8193104
           3479.4       0.8253556
           3479.8       0.8319945
           3480.2        0.834046
           3480.6        0.833518
            3481.       0.8351316
           3481.4        0.834627
           3481.8       0.8260516
           3482.2       0.8231988
           3482.6       0.8303671
            3483.       0.8277369
           3483.4       0.8315822
           3483.8       0.8312389
           3484.2       0.8255833
           3484.6       0.8253596
            3485.       0.8329695
           3485.4       0.8393906
           3485.8       0.8402697
           3486.2       0.8440492
           3486.6       0.8445292
            3487.       0.8333593
           3487.4       0.8323249
           3487.8       0.8241309
           3488.2       0.8146021
           3488.6       0.8132762
            3489.       0.8042277
           3489.4       0.7989817
           3489.8       0.7944195
           3490.2       0.7994094
           3490.6       0.7989335
            3491.       0.7967368
           3491.4       0.8059992
           3491.8       0.8024664
           3492.2       0.7936727
           3492.6       0.7972298
            3493.       0.7966499
           3493.4       0.7891144
           3493.8       0.7791626
           3494.2       0.7796335
           3494.6       0.7783153
            3495.       0.7728918
           3495.4       0.7736058
           3495.8       0.7741431
           3496.2       0.7655146
           3496.6       0.7605236
            3497.       0.7680774
           3497.4       0.7777469
           3497.8       0.7834697
           3498.2       0.7846496
           3498.6       0.7962264
            3499.       0.8092964
           3499.4        0.818489
           3499.8        0.821251
           3500.2       0.8375552
           3500.6       0.8429462
            3501.       0.8368214
           3501.4       0.8345667
           3501.8       0.8323913
           3502.2       0.8277063
           3502.6       0.8263952
            3503.       0.8275204
           3503.4       0.8240789
           3503.8       0.8314124
           3504.2       0.8220087
           3504.6       0.8160837
            3505.       0.8173443
           3505.4       0.8142806
           3505.8       0.8122176
           3506.2       0.8144003
           3506.6       0.8240094
            3507.        0.823199
           3507.4        0.820296
           3507.8       0.8305804
           3508.2       0.8248917
           3508.6        0.818426
            3509.       0.8196225
           3509.4       0.8223001
           3509.8       0.8028071
           3510.2       0.8090587
           3510.6       0.8002477
            3511.       0.8013484
           3511.4       0.8058466
           3511.8       0.8048838
           3512.2        0.805389
           3512.6       0.8001091
            3513.       0.7989686
           3513.4       0.8055881
           3513.8       0.8063958
           3514.2       0.8138263
           3514.6       0.8043917
            3515.       0.8020738
           3515.4       0.8047055
           3515.8       0.8086173
           3516.2        0.820251
           3516.6       0.8207071
            3517.       0.8180606
           3517.4        0.823875
           3517.8       0.8358628
           3518.2       0.8349022
           3518.6        0.818716
            3519.        0.820314
           3519.4       0.8193097
           3519.8       0.8115671
           3520.2       0.8193412
           3520.6       0.8150949
            3521.       0.8182264
           3521.4       0.8079584
           3521.8       0.8069037
           3522.2       0.8161254
           3522.6       0.8151683
            3523.       0.8102378
           3523.4       0.8151049
           3523.8       0.8224756
           3524.2       0.8187289
           3524.6       0.8104165
            3525.        0.806252
           3525.4       0.8057258
           3525.8        0.807852
           3526.2        0.811009
           3526.6        0.810121
            3527.       0.8150429
           3527.4       0.8206097
           3527.8       0.8261423
           3528.2       0.8256809
           3528.6       0.8226006
            3529.       0.8287291
           3529.4       0.8387895
           3529.8       0.8408222
           3530.2       0.8298333
           3530.6       0.8404918
            3531.       0.8284456
           3531.4       0.8227271
           3531.8       0.8288389
           3532.2       0.8225446
           3532.6       0.8239817
            3533.       0.8267511
           3533.4       0.8282508
           3533.8       0.8220346
           3534.2       0.8122917
           3534.6        0.817315
            3535.       0.8155379
           3535.4       0.8152888
           3535.8       0.8215124
           3536.2       0.8197054
           3536.6       0.8179163
            3537.       0.8217543
           3537.4       0.8310619
           3537.8       0.8318142
           3538.2       0.8353862
           3538.6       0.8369538
            3539.       0.8312126
           3539.4       0.8324464
           3539.8       0.8321312
           3540.2       0.8269897
           3540.6       0.8334812
            3541.       0.8286611
           3541.4       0.8302605
           3541.8       0.8244532
           3542.2       0.8195694
           3542.6       0.8285205
            3543.       0.8243086
           3543.4       0.8232571
           3543.8       0.8243292
           3544.2       0.8243202
           3544.6       0.8227704
            3545.       0.8177154
           3545.4       0.8266434
           3545.8       0.8389937
           3546.2       0.8361263
           3546.6       0.8292909
            3547.       0.8350602
           3547.4       0.8228755
           3547.8        0.824059
           3548.2       0.8325503
           3548.6       0.8370411
            3549.       0.8337998
           3549.4       0.8255388
           3549.8         0.82767
           3550.2       0.8325594
           3550.6       0.8261864
            3551.       0.8276652
           3551.4       0.8347129
           3551.8       0.8304994
           3552.2       0.8259987
           3552.6       0.8290558
            3553.       0.8279949
           3553.4        0.815558
           3553.8       0.8141826
           3554.2       0.8113543
           3554.6       0.8046118
            3555.       0.8057657
           3555.4       0.8060479
           3555.8       0.8014367
           3556.2       0.8006945
           3556.6       0.8018661
            3557.       0.8002589
           3557.4       0.7978547
           3557.8       0.7990554
           3558.2       0.8047335
           3558.6       0.7984414
            3559.       0.8115595
           3559.4       0.8197908
           3559.8       0.8168902
           3560.2       0.8184348
           3560.6       0.8253146
            3561.       0.8265203
           3561.4       0.8209109
           3561.8       0.8271222
           3562.2        0.821496
           3562.6       0.8097721
            3563.       0.8205296
           3563.4       0.8117756
           3563.8       0.8023162
           3564.2       0.7999701
           3564.6        0.791777
            3565.       0.7835103
           3565.4       0.7809052
           3565.8       0.7795625
           3566.2       0.7808666
           3566.6       0.7796804
            3567.       0.7741955
           3567.4       0.7791253
           3567.8       0.7764095
           3568.2       0.7775431
           3568.6        0.778497
            3569.       0.7779402
           3569.4       0.7812367
           3569.8       0.7738957
           3570.2       0.7784519
           3570.6       0.7760816
            3571.       0.7681127
           3571.4       0.7670132
           3571.8       0.7646264
           3572.2       0.7743209
           3572.6       0.7784883
            3573.       0.7868094
           3573.4       0.7862284
           3573.8       0.7787482
           3574.2       0.7928815
           3574.6       0.7850215
            3575.       0.7835679
           3575.4       0.7862811
           3575.8       0.7829984
           3576.2       0.7894032
           3576.6       0.7874236
            3577.       0.7754362
           3577.4       0.7819512
           3577.8       0.7877387
           3578.2       0.7862746
           3578.6       0.7799051
            3579.       0.7878686
           3579.4       0.7939612
           3579.8       0.7876399
           3580.2       0.7749464
           3580.6       0.7698531
            3581.       0.7785622
           3581.4       0.7842883
           3581.8       0.7862273
           3582.2       0.7873589
           3582.6       0.7800361
            3583.       0.7767595
           3583.4       0.7743741
           3583.8       0.7667899
           3584.2       0.7615309
           3584.6       0.7598454
            3585.       0.7522798
           3585.4       0.7501777
           3585.8       0.7470362
           3586.2       0.7450544
           3586.6       0.7494766
            3587.       0.7497393
           3587.4       0.7488673
           3587.8       0.7554085
           3588.2       0.7621954
           3588.6        0.767194
            3589.        0.762925
           3589.4       0.7663139
           3589.8       0.7756599
           3590.2       0.7732199
           3590.6       0.7726463
            3591.       0.7764127
           3591.4       0.7747716
           3591.8       0.7767491
           3592.2       0.7817883
           3592.6       0.7835302
            3593.       0.7867752
           3593.4         0.78936
           3593.8        0.786377
           3594.2       0.7821115
           3594.6       0.7871202
            3595.        0.789185
           3595.4       0.7868041
           3595.8       0.7836735
           3596.2       0.7830127
           3596.6       0.7841007
            3597.       0.7927852
           3597.4       0.8009646
           3597.8       0.8059622
           3598.2       0.7994426
           3598.6       0.7908175
            3599.        0.805082
           3599.4       0.8015471
           3599.8       0.8014938
           3600.2        0.792215
           3600.6       0.8005024
            3601.       0.7896285
           3601.4        0.782841
           3601.8       0.7822481
           3602.2       0.7796352
           3602.6       0.7728747
            3603.       0.7696627
           3603.4       0.7671586
           3603.8       0.7615542
           3604.2       0.7645797
           3604.6       0.7629052
            3605.       0.7637839
           3605.4       0.7722496
           3605.8       0.7679152
           3606.2       0.7659262
           3606.6       0.7627062
            3607.       0.7684744
           3607.4       0.7692949
           3607.8       0.7691991
           3608.2        0.769019
           3608.6       0.7632393
            3609.       0.7612011
           3609.4       0.7628976
           3609.8        0.769207
           3610.2       0.7722418
           3610.6       0.7617401
            3611.       0.7669026
           3611.4         0.76195
           3611.8       0.7539041
           3612.2       0.7505714
           3612.6         0.75466
            3613.       0.7547686
           3613.4       0.7608275
           3613.8       0.7623127
           3614.2       0.7574104
           3614.6       0.7679268
            3615.       0.7682062
           3615.4       0.7668519
           3615.8       0.7674717
           3616.2       0.7723569
           3616.6       0.7741749
            3617.       0.7781053
           3617.4        0.777002
           3617.8       0.7700789
           3618.2       0.7671572
           3618.6       0.7633556
            3619.       0.7581614
           3619.4       0.7603464
           3619.8       0.7621128
           3620.2       0.7580128
           3620.6       0.7612251
            3621.        0.768526
           3621.4       0.7687521
           3621.8       0.7700853
           3622.2       0.7801953
           3622.6         0.77977
            3623.       0.7775872
           3623.4       0.7769499
           3623.8         0.77874
           3624.2       0.7827911
           3624.6       0.7856736
            3625.       0.7877078
           3625.4       0.7896224
           3625.8       0.7927992
           3626.2       0.7927998
           3626.6       0.7953585
            3627.       0.7982278
           3627.4       0.7986023
           3627.8         0.79587
           3628.2        0.798218
           3628.6       0.7961169
            3629.       0.7820377
           3629.4       0.7791137
