#K OBJECT   '106714'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 106714
#K OBJRA    12:16:20.54
#K OBJDEC   +23:56:43.5
#K OBJBMAG  5.876000E+00
#K OBJVMAG  4.938000E+00
#K SPTYPE   G8III
#K OBJRV    -2.770000E+01
#K HDNAME   HD 106714
#K BDNAME   BD+24 2443
#K HIPNAME  HIP 59847
#K SAONAME  SAO 82211
#K VHELIO   1.26502442451714E+01
#K VLSR     1.75683480129150E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680421E+03
#K CMAX1    6.010808E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4897  Jones..Coude.Feed.Library
#K LOGG     2.340000E+00  Jones..Coude.Feed.Library
#K FEH      -2.300000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2454894
           3465.4       0.2218053
           3465.8       0.1743216
           3466.2       0.1613563
           3466.6       0.1753404
            3467.       0.1967963
           3467.4       0.2177176
           3467.8        0.230175
           3468.2       0.2383118
           3468.6       0.2398048
            3469.       0.2311243
           3469.4       0.2290057
           3469.8       0.2463246
           3470.2        0.276719
           3470.6       0.2837145
            3471.       0.2659667
           3471.4       0.2431257
           3471.8       0.2170969
           3472.2       0.1954117
           3472.6       0.1911488
            3473.       0.1931819
           3473.4        0.189627
           3473.8        0.179497
           3474.2       0.1679372
           3474.6       0.1609914
            3475.       0.1499527
           3475.4       0.1326531
           3475.8       0.1267073
           3476.2        0.128649
           3476.6       0.1297798
            3477.       0.1374359
           3477.4       0.1562018
           3477.8       0.1893789
           3478.2       0.2062173
           3478.6       0.2072808
            3479.       0.2131393
           3479.4       0.2117081
           3479.8       0.1995398
           3480.2       0.1947098
           3480.6       0.1969327
            3481.       0.2050591
           3481.4       0.2075742
           3481.8       0.2100444
           3482.2       0.2068901
           3482.6        0.191834
            3483.       0.1748952
           3483.4       0.1659176
           3483.8       0.1699302
           3484.2        0.181042
           3484.6       0.1888607
            3485.       0.1837811
           3485.4       0.1737024
           3485.8       0.1856198
           3486.2       0.2138518
           3486.6       0.2464343
            3487.       0.2705748
           3487.4       0.2739947
           3487.8       0.2588014
           3488.2       0.2361829
           3488.6       0.2047042
            3489.       0.1823588
           3489.4       0.1671549
           3489.8       0.1514749
           3490.2       0.1404956
           3490.6       0.1319137
            3491.       0.1460302
           3491.4       0.1858507
           3491.8       0.1912572
           3492.2       0.1774742
           3492.6       0.1623734
            3493.       0.1537646
           3493.4       0.1552287
           3493.8       0.1861775
           3494.2        0.220749
           3494.6       0.2326397
            3495.       0.2218565
           3495.4        0.198194
           3495.8       0.1727194
           3496.2       0.1523039
           3496.6       0.1460172
            3497.       0.1444589
           3497.4       0.1416606
           3497.8       0.1511326
           3498.2       0.1749869
           3498.6       0.2137562
            3499.       0.2529398
           3499.4       0.2776383
           3499.8       0.2803279
           3500.2       0.2659189
           3500.6       0.2592649
            3501.        0.266511
           3501.4       0.2703823
           3501.8       0.2660483
           3502.2       0.2490789
           3502.6       0.2575526
            3503.       0.2915636
           3503.4       0.3243138
           3503.8       0.3289966
           3504.2       0.3002018
           3504.6       0.2694651
            3505.       0.2426461
           3505.4       0.2260743
           3505.8       0.2202522
           3506.2       0.2135384
           3506.6       0.2143244
            3507.       0.2297985
           3507.4       0.2535183
           3507.8       0.2694588
           3508.2       0.2771415
           3508.6       0.2816354
            3509.       0.2679582
           3509.4       0.2457607
           3509.8       0.2121303
           3510.2       0.1884949
           3510.6       0.1895343
            3511.       0.2159513
           3511.4       0.2381156
           3511.8       0.2293524
           3512.2       0.2137322
           3512.6       0.1991314
            3513.       0.1886707
           3513.4       0.1688869
           3513.8       0.1636978
           3514.2       0.1594959
           3514.6       0.1600613
            3515.       0.1619384
           3515.4       0.1785999
           3515.8       0.2146121
           3516.2       0.2488897
           3516.6       0.2669779
            3517.       0.2831348
           3517.4       0.3068998
           3517.8       0.3179414
           3518.2        0.314453
           3518.6       0.3052067
            3519.       0.2857265
           3519.4       0.2780976
           3519.8       0.2601021
           3520.2       0.2409953
           3520.6       0.2201661
            3521.       0.1949625
           3521.4       0.1797991
           3521.8       0.1863954
           3522.2       0.2034707
           3522.6       0.2067852
            3523.       0.1912951
           3523.4       0.1702145
           3523.8       0.1491468
           3524.2       0.1311143
           3524.6       0.1267377
            3525.       0.1433341
           3525.4       0.1571817
           3525.8       0.1455376
           3526.2       0.1241292
           3526.6       0.1365628
            3527.       0.1738834
           3527.4       0.2074145
           3527.8       0.2335195
           3528.2       0.2494056
           3528.6       0.2683487
            3529.       0.2719153
           3529.4       0.2625952
           3529.8       0.2499197
           3530.2       0.2476925
           3530.6       0.2517368
            3531.       0.2554963
           3531.4       0.2442216
           3531.8       0.2233286
           3532.2        0.204501
           3532.6       0.1962453
            3533.       0.2001269
           3533.4       0.2142546
           3533.8       0.2488212
           3534.2       0.2793253
           3534.6       0.2789306
            3535.       0.2661867
           3535.4        0.255411
           3535.8       0.2557583
           3536.2       0.2590183
           3536.6       0.2628291
            3537.       0.2562417
           3537.4        0.242118
           3537.8       0.2344266
           3538.2       0.2361193
           3538.6       0.2563209
            3539.       0.2967227
           3539.4       0.3262744
           3539.8       0.3269424
           3540.2       0.2987819
           3540.6       0.2675419
            3541.       0.2464884
           3541.4       0.2379597
           3541.8       0.2362415
           3542.2        0.236272
           3542.6       0.2389514
            3543.       0.2471747
           3543.4       0.2580877
           3543.8       0.2700755
           3544.2        0.283319
           3544.6       0.2844864
            3545.       0.2702334
           3545.4        0.256706
           3545.8       0.2506291
           3546.2       0.2619674
           3546.6       0.2658197
            3547.       0.2499015
           3547.4       0.2337383
           3547.8       0.2189779
           3548.2       0.2132957
           3548.6       0.2388763
            3549.       0.2717774
           3549.4       0.2761529
           3549.8       0.2700448
           3550.2       0.2593256
           3550.6       0.2433398
            3551.       0.2334252
           3551.4        0.231901
           3551.8       0.2327272
           3552.2       0.2322396
           3552.6       0.2243686
            3553.       0.2094261
           3553.4       0.1994229
           3553.8       0.1930792
           3554.2       0.1865599
           3554.6       0.1899225
            3555.        0.207327
           3555.4       0.2371723
           3555.8       0.2559518
           3556.2       0.2552648
           3556.6       0.2356449
            3557.       0.2259426
           3557.4       0.2298588
           3557.8       0.2342656
           3558.2       0.2085665
           3558.6       0.1751424
            3559.       0.1742109
           3559.4       0.1917343
           3559.8       0.2018192
           3560.2       0.2045664
           3560.6       0.2037327
            3561.       0.1996715
           3561.4       0.1979765
           3561.8       0.1992442
           3562.2       0.2157228
           3562.6       0.2475098
            3563.       0.2714355
           3563.4       0.2759585
           3563.8       0.2632066
           3564.2       0.2292663
           3564.6       0.1831684
            3565.       0.1420633
           3565.4        0.111164
           3565.8       0.1009767
           3566.2       0.1079356
           3566.6         0.12826
            3567.       0.1678509
           3567.4       0.1902403
           3567.8       0.2055872
           3568.2       0.2050278
           3568.6       0.1833775
            3569.        0.150238
           3569.4       0.1181206
           3569.8      0.09613772
           3570.2      0.09723211
           3570.6         0.12512
            3571.       0.1523785
           3571.4       0.1647864
           3571.8       0.1694104
           3572.2       0.1755099
           3572.6       0.2032928
            3573.       0.2237149
           3573.4       0.2219808
           3573.8       0.2101815
           3574.2       0.2064251
           3574.6       0.2080362
            3575.       0.2072617
           3575.4       0.2066605
           3575.8       0.2123124
           3576.2       0.2238766
           3576.6       0.2266447
            3577.       0.2259376
           3577.4       0.2190508
           3577.8       0.1965187
           3578.2       0.1620913
           3578.6        0.140036
            3579.       0.1428349
           3579.4       0.1525308
           3579.8       0.1487128
           3580.2       0.1266425
           3580.6      0.09719904
            3581.      0.07555992
           3581.4      0.06734644
           3581.8      0.07440586
           3582.2       0.0923517
           3582.6       0.1089723
            3583.       0.1222597
           3583.4       0.1299173
           3583.8       0.1306604
           3584.2       0.1244788
           3584.6        0.108751
            3585.      0.08917958
           3585.4      0.08037067
           3585.8      0.08612963
           3586.2      0.09773268
           3586.6       0.1044807
            3587.       0.1025143
           3587.4        0.106529
           3587.8       0.1177858
           3588.2        0.129715
           3588.6       0.1336698
            3589.       0.1255965
           3589.4       0.1189231
           3589.8       0.1209502
           3590.2       0.1449381
           3590.6       0.1890673
            3591.       0.2367109
           3591.4       0.2717767
           3591.8       0.2830386
           3592.2       0.2770217
           3592.6       0.2547186
            3593.       0.2171875
           3593.4       0.1993574
           3593.8       0.2126561
           3594.2       0.2411315
           3594.6       0.2521421
            3595.       0.2563604
           3595.4       0.2635181
           3595.8       0.2830965
           3596.2       0.3137779
           3596.6       0.3370033
            3597.       0.3422301
           3597.4       0.3283651
           3597.8       0.3117254
           3598.2       0.3086905
           3598.6        0.316884
            3599.       0.3152558
           3599.4         0.31722
           3599.8       0.3266399
           3600.2       0.3551596
           3600.6        0.365023
            3601.       0.3562887
           3601.4       0.3281398
           3601.8       0.2731965
           3602.2       0.2321258
           3602.6       0.2200839
            3603.       0.2255574
           3603.4       0.2411532
           3603.8       0.2399326
           3604.2       0.2420211
           3604.6       0.2350284
            3605.       0.2164849
           3605.4       0.2014354
           3605.8        0.212366
           3606.2       0.2388447
           3606.6         0.26067
            3607.        0.280888
           3607.4       0.2804502
           3607.8        0.249554
           3608.2        0.210308
           3608.6       0.1416174
            3609.       0.1239706
           3609.4       0.1364825
           3609.8       0.1570664
           3610.2       0.1687509
           3610.6       0.1770695
            3611.       0.2105321
           3611.4       0.2550296
           3611.8       0.2825412
           3612.2       0.2862649
           3612.6       0.2655269
            3613.       0.2295753
           3613.4       0.2055287
           3613.8       0.2144312
           3614.2       0.2412988
           3614.6       0.2718213
            3615.       0.3037805
           3615.4       0.3176463
           3615.8       0.3200172
           3616.2       0.3166537
           3616.6       0.3090684
            3617.       0.2951662
           3617.4       0.2583285
           3617.8       0.2009611
           3618.2       0.1483482
           3618.6       0.1094689
            3619.      0.09197458
           3619.4       0.1024051
           3619.8       0.1385553
           3620.2       0.1843862
           3620.6       0.2259186
            3621.       0.2386477
           3621.4       0.2358029
           3621.8       0.2688836
           3622.2       0.3222458
           3622.6       0.3430052
            3623.       0.3234378
           3623.4       0.2877135
           3623.8       0.2595598
           3624.2       0.2528198
           3624.6       0.2661474
            3625.       0.2919162
           3625.4       0.3451042
           3625.8       0.3772075
           3626.2       0.4053423
           3626.6       0.4123943
            3627.       0.3991397
           3627.4       0.3786572
           3627.8       0.3615379
           3628.2       0.3545794
           3628.6       0.3624086
            3629.       0.3760203
           3629.4       0.3631111
           3629.8       0.3301199
           3630.2        0.281579
           3630.6       0.2231624
            3631.       0.1544973
           3631.4       0.1186805
           3631.8       0.1254443
           3632.2       0.1657851
           3632.6       0.2132482
            3633.       0.2369855
           3633.4       0.2468418
           3633.8       0.2517653
           3634.2       0.2338733
           3634.6       0.2148959
            3635.       0.2201176
           3635.4       0.2384113
           3635.8       0.2851801
           3636.2        0.295971
           3636.6       0.2777517
            3637.       0.2743626
           3637.4       0.2848094
           3637.8       0.2882781
           3638.2        0.301912
           3638.6       0.3372578
            3639.        0.363232
           3639.4       0.3626024
           3639.8       0.3588417
           3640.2         0.36779
           3640.6       0.3755072
            3641.       0.3624569
           3641.4       0.3371695
