#K OBJECT   '109358'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 109358
#K OBJRA    12:33:44.54
#K OBJDEC   +41:21:26.9
#K OBJBMAG  4.850000E+00
#K OBJVMAG  4.260000E+00
#K SPTYPE   G0V
#K OBJRV    6.900000E+00
#K HDNAME   HD 109358
#K BDNAME   BD+42 2321
#K HIPNAME  HIP 61317
#K SAONAME  SAO 44230
#K VHELIO   -2.22469491288769E+01
#K VLSR     -1.39447737327513E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.783800E+03
#K CMAX1    8.119637E+03
#K PICKTYPE G0V
#K NCOMBINE 7
#K TEFF     5879  1993A&A...275..101E (Edvardsson)
#K LOGG     4.520000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.900000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5711776
           3465.4       0.5117691
           3465.8       0.4705011
           3466.2       0.4638266
           3466.6       0.5051547
            3467.       0.5482393
           3467.4        0.579279
           3467.8       0.6053186
           3468.2        0.607067
           3468.6       0.5835458
            3469.       0.5638171
           3469.4        0.566505
           3469.8        0.600805
           3470.2       0.6421306
           3470.6       0.6416228
            3471.       0.6193535
           3471.4       0.5824365
           3471.8       0.5551323
           3472.2       0.5253887
           3472.6       0.5234733
            3473.       0.5211523
           3473.4       0.5085805
           3473.8       0.4940626
           3474.2       0.4850625
           3474.6       0.4656941
            3475.       0.4307781
           3475.4       0.4051313
           3475.8       0.3931961
           3476.2       0.3957294
           3476.6       0.4052241
            3477.       0.4244901
           3477.4       0.4722098
           3477.8        0.517988
           3478.2       0.5498978
           3478.6       0.5717672
            3479.       0.5800779
           3479.4       0.5798614
           3479.8       0.5727935
           3480.2       0.5672885
           3480.6       0.5722984
            3481.       0.5729479
           3481.4       0.5700474
           3481.8       0.5765084
           3482.2       0.5761049
           3482.6       0.5426843
            3483.       0.4998757
           3483.4        0.478009
           3483.8       0.4874259
           3484.2       0.5119727
           3484.6        0.516575
            3485.       0.5079393
           3485.4       0.5141298
           3485.8       0.5353786
           3486.2       0.5756465
           3486.6       0.6254293
            3487.       0.6439518
           3487.4       0.6507093
           3487.8         0.62115
           3488.2       0.5841562
           3488.6       0.5386778
            3489.       0.4996757
           3489.4       0.4764445
           3489.8       0.4541396
           3490.2       0.4279045
           3490.6       0.4110073
            3491.       0.4432487
           3491.4       0.5136528
           3491.8       0.5412198
           3492.2       0.5207839
           3492.6       0.4708496
            3493.       0.4441008
           3493.4       0.4726492
           3493.8       0.5258679
           3494.2        0.563701
           3494.6       0.5679903
            3495.       0.5436329
           3495.4        0.501323
           3495.8       0.4653118
           3496.2       0.4438456
           3496.6        0.430336
            3497.       0.4263574
           3497.4       0.4228022
           3497.8       0.4375142
           3498.2       0.4933938
           3498.6        0.594785
            3499.         0.64209
           3499.4       0.6585675
           3499.8       0.6619484
           3500.2        0.633055
           3500.6       0.6105556
            3501.        0.619806
           3501.4       0.6360788
           3501.8       0.6274291
           3502.2       0.6035604
           3502.6       0.6153558
            3503.       0.6538453
           3503.4       0.6910833
           3503.8       0.7015505
           3504.2       0.6697732
           3504.6       0.6205825
            3505.       0.5857913
           3505.4       0.5753424
           3505.8       0.5696884
           3506.2       0.5596269
           3506.6        0.558561
            3507.       0.5797604
           3507.4       0.6111271
           3507.8       0.6297945
           3508.2       0.6382495
           3508.6       0.6384038
            3509.       0.6370475
           3509.4       0.6074972
           3509.8       0.5550802
           3510.2       0.5023767
           3510.6       0.5037015
            3511.       0.5556515
           3511.4       0.5880168
           3511.8       0.5822157
           3512.2       0.5634767
           3512.6       0.5428753
            3513.       0.5236624
           3513.4       0.4985156
           3513.8       0.4773028
           3514.2       0.4665099
           3514.6       0.4720491
            3515.       0.4831646
           3515.4       0.5290298
           3515.8        0.574141
           3516.2       0.6063171
           3516.6       0.6275434
            3517.       0.6497399
           3517.4       0.6775322
           3517.8       0.6867009
           3518.2       0.6722977
           3518.6       0.6525002
            3519.       0.6344449
           3519.4        0.622322
           3519.8       0.5843661
           3520.2       0.5713149
           3520.6       0.5643966
            3521.       0.5308546
           3521.4       0.5042899
           3521.8       0.5226483
           3522.2       0.5572633
           3522.6       0.5704759
            3523.       0.5530667
           3523.4       0.5138241
           3523.8       0.4672292
           3524.2       0.4198129
           3524.6       0.4118179
            3525.       0.4425979
           3525.4       0.4662856
           3525.8       0.4168661
           3526.2       0.3731087
           3526.6       0.3565687
            3527.       0.4601637
           3527.4       0.5452095
           3527.8       0.5655159
           3528.2       0.6121638
           3528.6       0.6435186
            3529.       0.6421502
           3529.4       0.6210783
           3529.8       0.6046838
           3530.2       0.6010714
           3530.6       0.6175413
            3531.       0.6310087
           3531.4       0.6168261
           3531.8       0.5870849
           3532.2       0.5494928
           3532.6       0.5262395
            3533.       0.5307892
           3533.4       0.5696105
           3533.8       0.6332294
           3534.2       0.6797216
           3534.6       0.6898534
            3535.        0.671286
           3535.4        0.639965
           3535.8       0.6383326
           3536.2       0.6338038
           3536.6       0.6310094
            3537.       0.6313303
           3537.4       0.6190723
           3537.8       0.6032493
           3538.2       0.6051787
           3538.6       0.6500754
            3539.       0.7119222
           3539.4        0.740873
           3539.8       0.7369513
           3540.2       0.6943008
