#K OBJECT   '10975'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 10975
#K OBJRA    01:48:38.92
#K OBJDEC   +37:57:10.3
#K OBJBMAG  6.908000E+00
#K OBJVMAG  5.947000E+00
#K SPTYPE   K0III
#K OBJRV    3.650000E+01
#K HDNAME   HD 10975
#K BDNAME   BD+37 372
#K HIPNAME  HIP 8423
#K SAONAME  SAO 54991
#K VHELIO   8.28818679088120E+00
#K VLSR     8.40961278863883E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453097E+03
#K CMAX1    4.777604E+03
#K PICKTYPE K0III
#K NCOMBINE 5
#K TEFF     4786  Jones..Coude.Feed.Library
#K LOGG     2.400000E+00  Jones..Coude.Feed.Library
#K FEH      -2.400000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8120.2-8144.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2139395
           3465.4       0.1780774
           3465.8       0.1532324
           3466.2        0.158141
           3466.6       0.1677072
            3467.       0.1840683
           3467.4       0.2038273
           3467.8        0.217417
           3468.2       0.2239671
           3468.6       0.2182594
            3469.       0.2101134
           3469.4        0.214663
           3469.8       0.2321637
           3470.2       0.2559713
           3470.6       0.2641806
            3471.       0.2432995
           3471.4       0.2149841
           3471.8       0.1949483
           3472.2       0.1774728
           3472.6       0.1722824
            3473.       0.1736685
           3473.4       0.1702345
           3473.8       0.1581983
           3474.2       0.1499666
           3474.6       0.1403049
            3475.       0.1266726
           3475.4       0.1206729
           3475.8       0.1174148
           3476.2       0.1131053
           3476.6       0.1138332
            3477.       0.1258037
           3477.4       0.1548855
           3477.8       0.1836696
           3478.2       0.1907015
           3478.6         0.19372
            3479.       0.1943154
           3479.4        0.186827
           3479.8       0.1826446
           3480.2       0.1754789
           3480.6       0.1751903
            3481.       0.1827662
           3481.4       0.1896486
           3481.8       0.1893421
           3482.2       0.1856103
           3482.6       0.1774288
            3483.       0.1558739
           3483.4       0.1480893
           3483.8       0.1560573
           3484.2       0.1649559
           3484.6       0.1655911
            3485.       0.1586012
           3485.4       0.1573699
           3485.8       0.1709871
           3486.2       0.1967036
           3486.6       0.2245579
            3487.       0.2425949
           3487.4       0.2463487
           3487.8       0.2360741
           3488.2       0.2136589
           3488.6        0.187591
            3489.       0.1601055
           3489.4       0.1430441
           3489.8         0.13304
           3490.2       0.1179138
           3490.6       0.1138087
            3491.       0.1382117
           3491.4       0.1591312
           3491.8       0.1686536
           3492.2       0.1621484
           3492.6       0.1407641
            3493.       0.1326664
           3493.4       0.1505937
           3493.8       0.1835786
           3494.2       0.2008894
           3494.6       0.2068787
            3495.       0.1900649
           3495.4       0.1646723
           3495.8       0.1474026
           3496.2       0.1363926
           3496.6       0.1278502
            3497.       0.1236777
           3497.4       0.1306693
           3497.8       0.1444033
           3498.2       0.1655495
           3498.6       0.1988253
            3499.       0.2292522
           3499.4       0.2514431
           3499.8       0.2515363
           3500.2       0.2361752
           3500.6       0.2368007
            3501.       0.2381025
           3501.4       0.2427979
           3501.8       0.2297605
           3502.2       0.2251311
           3502.6       0.2384139
            3503.       0.2641242
           3503.4       0.2930707
           3503.8       0.2931615
           3504.2       0.2656739
           3504.6       0.2328757
            3505.       0.2071842
           3505.4       0.1974922
           3505.8       0.1923039
           3506.2       0.1857536
           3506.6       0.1904571
            3507.       0.2050835
           3507.4       0.2225022
           3507.8       0.2383088
           3508.2       0.2462448
           3508.6       0.2475445
            3509.       0.2330403
           3509.4       0.2103374
           3509.8       0.1458075
           3510.2      0.02836466
           3510.6        0.157953
            3511.       0.2095211
           3511.4         0.21659
           3511.8       0.2005387
           3512.2       0.1829162
           3512.6        0.170806
            3513.       0.1571887
           3513.4         0.14717
           3513.8       0.1378066
           3514.2       0.1351856
           3514.6       0.1390567
            3515.       0.1374569
           3515.4       0.1649289
           3515.8       0.2011216
           3516.2       0.2220575
           3516.6       0.2324106
            3517.       0.2580881
           3517.4       0.2734396
           3517.8       0.2855541
           3518.2       0.2785317
           3518.6        0.261591
            3519.       0.2549709
           3519.4        0.245938
           3519.8       0.2262547
           3520.2       0.2060518
           3520.6       0.1907391
            3521.       0.1661309
           3521.4       0.1570838
           3521.8       0.1648334
           3522.2         0.18459
           3522.6        0.178596
            3523.       0.1624341
           3523.4       0.1412261
           3523.8       0.1197877
           3524.2       0.1068463
           3524.6       0.1091033
            3525.       0.1256304
           3525.4       0.1299464
           3525.8       0.1143019
           3526.2       0.1064061
           3526.6        0.121977
            3527.       0.1697658
           3527.4        0.189171
           3527.8       0.2063308
           3528.2       0.2306575
           3528.6       0.2465724
            3529.       0.2415636
           3529.4       0.2286388
           3529.8       0.2227841
           3530.2       0.2248615
           3530.6       0.2322037
            3531.       0.2287178
           3531.4       0.2094063
           3531.8        0.195215
           3532.2       0.1816601
           3532.6       0.1752143
            3533.       0.1794724
           3533.4       0.2003622
           3533.8       0.2313734
           3534.2       0.2511601
           3534.6       0.2503977
            3535.        0.242174
           3535.4       0.2358758
           3535.8       0.2288624
           3536.2       0.2277667
           3536.6       0.2345929
            3537.       0.2312154
           3537.4       0.2225535
           3537.8       0.2115676
           3538.2       0.2161309
           3538.6       0.2409331
            3539.       0.2811857
           3539.4       0.2966243
           3539.8       0.2868057
           3540.2       0.2659288
           3540.6       0.2397212
            3541.        0.223585
           3541.4       0.2216785
           3541.8       0.2201133
           3542.2        0.206513
           3542.6       0.2199465
            3543.       0.2275039
           3543.4        0.234452
           3543.8       0.2425646
           3544.2       0.2527896
           3544.6       0.2525508
            3545.       0.2423506
           3545.4       0.2317539
           3545.8       0.2315995
           3546.2       0.2388696
           3546.6       0.2360311
            3547.       0.2232756
           3547.4       0.2032167
           3547.8       0.1845469
           3548.2       0.1958494
           3548.6       0.2187985
            3549.       0.2463696
           3549.4       0.2572877
           3549.8       0.2458139
           3550.2       0.2348443
           3550.6       0.2290066
            3551.       0.2199595
           3551.4       0.2102756
           3551.8       0.2080429
           3552.2       0.2094205
           3552.6       0.1998127
            3553.       0.1892122
           3553.4       0.1749907
           3553.8       0.1704286
           3554.2       0.1703697
           3554.6       0.1727757
            3555.       0.1914873
           3555.4        0.229633
           3555.8        0.246869
           3556.2       0.2290837
           3556.6        0.212592
            3557.       0.2140948
           3557.4       0.2154234
           3557.8       0.2016049
           3558.2       0.1750581
           3558.6       0.1578697
            3559.       0.1633375
           3559.4       0.1843015
           3559.8       0.1892815
           3560.2       0.1785279
           3560.6       0.1837307
            3561.       0.1847699
           3561.4       0.1777129
           3561.8        0.184625
           3562.2       0.2055449
           3562.6       0.2323997
            3563.       0.2520387
           3563.4       0.2565107
           3563.8       0.2347011
           3564.2       0.1984816
           3564.6       0.1516753
            3565.       0.1097263
           3565.4      0.09138448
           3565.8      0.08910282
           3566.2       0.1039818
           3566.6        0.130774
            3567.       0.1574519
           3567.4       0.1746546
           3567.8       0.1812062
           3568.2       0.1800313
           3568.6       0.1570003
            3569.       0.1272061
           3569.4        0.101535
           3569.8      0.08054981
           3570.2      0.08838782
           3570.6       0.1163672
            3571.       0.1359147
           3571.4       0.1467764
           3571.8       0.1497579
           3572.2       0.1612943
           3572.6       0.1914234
            3573.       0.2073172
           3573.4       0.1925724
           3573.8       0.1785973
           3574.2       0.1839393
           3574.6       0.1855437
            3575.       0.1811944
           3575.4       0.1856341
           3575.8       0.1899765
           3576.2       0.1994931
           3576.6       0.2070118
            3577.       0.2082485
           3577.4       0.1956184
           3577.8       0.1660517
           3578.2       0.1349566
           3578.6       0.1220019
            3579.       0.1308138
           3579.4         0.13361
           3579.8       0.1245037
           3580.2       0.1095301
           3580.6      0.08328477
            3581.      0.06542346
           3581.4      0.05763284
           3581.8      0.07264929
           3582.2      0.09030481
           3582.6       0.1049936
            3583.       0.1164226
           3583.4       0.1192947
           3583.8       0.1214455
           3584.2       0.1136593
           3584.6      0.09760214
            3585.      0.07949466
           3585.4      0.06965291
           3585.8      0.07899171
           3586.2      0.09315022
           3586.6      0.09015971
            3587.      0.09178846
           3587.4       0.1013647
           3587.8       0.1124239
           3588.2       0.1215334
           3588.6       0.1214785
            3589.       0.1123328
           3589.4        0.105889
           3589.8        0.117425
           3590.2       0.1478162
           3590.6       0.1949414
            3591.       0.2280723
           3591.4       0.2547764
           3591.8       0.2511984
           3592.2       0.2424231
           3592.6       0.2272929
            3593.       0.1934341
           3593.4         0.17621
           3593.8       0.1945431
           3594.2       0.2156204
           3594.6       0.2246717
            3595.       0.2336002
           3595.4       0.2395647
           3595.8        0.257354
           3596.2       0.2862661
           3596.6       0.3084407
            3597.       0.3081644
           3597.4       0.2855677
           3597.8       0.2730191
           3598.2       0.2818343
           3598.6       0.2894225
            3599.       0.2838174
           3599.4       0.2841961
           3599.8       0.3006463
