#K OBJECT   '111028'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 111028
#K OBJRA    12:46:22.54
#K OBJDEC   +09:32:22.9
#K OBJBMAG  6.660000E+00
#K OBJVMAG  5.660000E+00
#K SPTYPE   K1III-IV
#K OBJRV    5.150000E+01
#K HDNAME   HD 111028
#K BDNAME   BD+10 2468
#K HIPNAME  HIP 62325
#K SAONAME  SAO 119580
#K VHELIO   -2.43082711925912E+01
#K VLSR     -1.94998638334054E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.444812E+03
#K CMAX1    4.770089E+03
#K PICKTYPE K1IV
#K NCOMBINE 6
#K TEFF     4710  1986A&A...161..314C (Cottrell)
#K LOGG     3.000000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -4.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-9467.8
#K GAPS     5414.2-5460.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.2193149
           3465.4       0.1788694
           3465.8       0.1428877
           3466.2       0.1343358
           3466.6       0.1522535
            3467.       0.1804245
           3467.4       0.2060953
           3467.8       0.2310073
           3468.2       0.2433545
           3468.6       0.2354025
            3469.       0.2295283
           3469.4       0.2259676
           3469.8       0.2459598
           3470.2       0.2714302
           3470.6       0.2847848
            3471.       0.2691768
           3471.4        0.237087
           3471.8       0.2080995
           3472.2       0.1865269
           3472.6       0.1770512
            3473.       0.1780944
           3473.4       0.1816343
           3473.8         0.17128
           3474.2       0.1542372
           3474.6       0.1400194
            3475.       0.1215712
           3475.4        0.106573
           3475.8      0.09918369
           3476.2       0.1002885
           3476.6       0.1047869
            3477.       0.1210417
           3477.4        0.157141
           3477.8       0.1951584
           3478.2       0.2149417
           3478.6       0.2171132
            3479.       0.2193161
           3479.4       0.2277665
           3479.8         0.21931
           3480.2       0.2044979
           3480.6       0.2022332
            3481.       0.2068806
           3481.4       0.2191454
           3481.8       0.2231352
           3482.2       0.2193359
           3482.6       0.2055787
            3483.       0.1800322
           3483.4        0.166956
           3483.8       0.1688405
           3484.2       0.1839935
           3484.6       0.1945359
            3485.       0.1816899
           3485.4       0.1762026
           3485.8       0.1889945
           3486.2       0.2167223
           3486.6       0.2475292
            3487.       0.2713137
           3487.4       0.2833686
           3487.8       0.2733178
           3488.2       0.2422387
           3488.6       0.2076348
            3489.       0.1771158
           3489.4        0.152095
           3489.8       0.1320793
           3490.2       0.1173742
           3490.6       0.1072441
            3491.        0.116858
           3491.4       0.1493138
           3491.8       0.1740196
           3492.2       0.1675784
           3492.6       0.1429164
            3493.       0.1290967
           3493.4       0.1438878
           3493.8       0.1830418
           3494.2       0.2237599
           3494.6       0.2412976
            3495.       0.2333512
           3495.4       0.2191497
           3495.8       0.1876991
           3496.2       0.1672249
           3496.6       0.1579207
            3497.       0.1426277
           3497.4       0.1327218
           3497.8       0.1389153
           3498.2       0.1649803
           3498.6       0.2098281
            3499.       0.2613771
           3499.4       0.2978699
           3499.8       0.3014951
           3500.2       0.2841063
           3500.6       0.2627764
            3501.       0.2621583
           3501.4       0.2742192
           3501.8       0.2668428
           3502.2       0.2471873
           3502.6       0.2530279
            3503.       0.2918437
           3503.4       0.3378683
           3503.8       0.3566031
           3504.2       0.3363506
           3504.6       0.2942215
            3505.       0.2553221
           3505.4       0.2409414
           3505.8       0.2356516
           3506.2       0.2275374
           3506.6       0.2244003
            3507.       0.2391839
           3507.4       0.2668709
           3507.8       0.2886174
           3508.2       0.2949558
           3508.6       0.2916368
            3509.       0.2761883
           3509.4       0.2459322
           3509.8       0.2062013
           3510.2       0.1733423
           3510.6       0.1793985
            3511.       0.2135351
           3511.4       0.2401784
           3511.8       0.2406966
           3512.2       0.2214371
           3512.6       0.2000279
            3513.       0.1809118
           3513.4       0.1623495
           3513.8       0.1444905
           3514.2       0.1360991
           3514.6       0.1334764
            3515.       0.1342792
           3515.4       0.1586871
           3515.8       0.2038505
           3516.2       0.2403134
           3516.6       0.2605893
            3517.       0.2885667
           3517.4       0.3116818
           3517.8       0.3276891
           3518.2       0.3224542
           3518.6       0.3045219
            3519.       0.2951025
           3519.4       0.2818799
           3519.8       0.2526573
           3520.2       0.2288927
           3520.6       0.2171247
            3521.       0.1927575
           3521.4       0.1666891
           3521.8       0.1770155
           3522.2       0.1988844
           3522.6       0.2024908
            3523.       0.1864164
           3523.4       0.1602218
           3523.8       0.1335013
           3524.2       0.1115916
           3524.6       0.1000731
            3525.       0.1102273
           3525.4       0.1250328
           3525.8       0.1176265
           3526.2       0.1061155
           3526.6       0.1181374
            3527.       0.1590374
           3527.4       0.2028425
           3527.8        0.222355
           3528.2       0.2375633
           3528.6       0.2630649
            3529.       0.2751184
           3529.4       0.2633822
           3529.8        0.249772
           3530.2        0.250346
           3530.6        0.259522
            3531.       0.2647347
           3531.4       0.2568618
           3531.8       0.2321576
           3532.2       0.2025459
           3532.6       0.1961514
            3533.       0.1936337
           3533.4       0.2091729
           3533.8       0.2460252
           3534.2       0.2850487
           3534.6        0.297958
            3535.       0.2863809
           3535.4       0.2751482
           3535.8       0.2722614
           3536.2       0.2693644
           3536.6       0.2640167
            3537.       0.2570263
           3537.4       0.2489049
           3537.8       0.2441249
           3538.2       0.2466971
           3538.6       0.2701706
            3539.       0.3005531
           3539.4       0.3294997
           3539.8       0.3343653
           3540.2       0.3052733
           3540.6       0.2622458
            3541.       0.2304029
           3541.4       0.2246355
           3541.8       0.2303118
           3542.2       0.2269601
           3542.6       0.2352984
            3543.        0.249362
           3543.4       0.2524496
           3543.8       0.2686097
           3544.2       0.2864139
           3544.6       0.2971357
            3545.       0.2858585
           3545.4       0.2650587
           3545.8       0.2571247
           3546.2       0.2659184
           3546.6       0.2695622
            3547.       0.2548475
           3547.4       0.2318664
           3547.8       0.2060198
           3548.2       0.2042799
           3548.6       0.2353369
            3549.       0.2736645
           3549.4       0.2876961
           3549.8       0.2744828
           3550.2       0.2504885
           3550.6       0.2399024
            3551.       0.2323067
           3551.4       0.2281115
           3551.8       0.2341151
           3552.2        0.242634
           3552.6       0.2400207
            3553.       0.2141875
           3553.4       0.1931578
           3553.8       0.1789188
           3554.2        0.173503
           3554.6       0.1737765
            3555.       0.1861973
           3555.4       0.2170711
           3555.8       0.2478354
           3556.2       0.2537176
           3556.6       0.2335739
            3557.       0.2183964
           3557.4       0.2262048
           3557.8       0.2222859
           3558.2       0.1845641
           3558.6       0.1560392
            3559.       0.1588791
           3559.4       0.1806866
           3559.8       0.2032237
           3560.2        0.208679
           3560.6       0.2044492
            3561.       0.2051588
           3561.4       0.2067256
           3561.8       0.2061406
           3562.2       0.2172016
           3562.6       0.2406083
            3563.       0.2623532
           3563.4       0.2738022
           3563.8       0.2601478
           3564.2       0.2199075
           3564.6       0.1689648
            3565.       0.1192987
           3565.4      0.08841431
           3565.8       0.0826461
           3566.2      0.09267782
           3566.6       0.1125758
            3567.       0.1429717
           3567.4       0.1718819
           3567.8        0.186833
           3568.2       0.1844947
           3568.6       0.1647467
            3569.       0.1354421
           3569.4       0.1037392
           3569.8      0.08181863
           3570.2       0.0752223
           3570.6      0.08843777
            3571.       0.1166293
           3571.4       0.1331675
           3571.8       0.1395579
           3572.2       0.1487862
           3572.6       0.1776019
            3573.       0.2109998
           3573.4       0.2148284
           3573.8       0.1998753
           3574.2       0.1964652
           3574.6        0.200982
            3575.       0.1953915
           3575.4       0.1912549
           3575.8       0.2039165
           3576.2       0.2153511
           3576.6       0.2166683
            3577.       0.2170045
           3577.4       0.2055637
           3577.8         0.17677
           3578.2       0.1399588
           3578.6       0.1107794
            3579.       0.1036805
           3579.4       0.1131735
           3579.8       0.1180895
           3580.2       0.1021935
           3580.6      0.07825369
