#K OBJECT   '111765'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 111765
#K OBJRA    12:51:36.89
#K OBJDEC   +03:03:24.4
#K OBJBMAG  7.321000E+00
#K OBJVMAG  6.021000E+00
#K SPTYPE   K4III:
#K OBJRV    3.100000E+00
#K HDNAME   HD 111765
#K BDNAME   BD+03 2703
#K HIPNAME  HIP 62757
#K SAONAME  SAO 119633
#K VHELIO   2.29706185220087E+01
#K VLSR     2.70817523073191E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434798E+03
#K CMAX1    4.763207E+03
#K PICKTYPE K4III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9450.6

#      wavelength        spectrum
#       angstroms                

            3465.      0.06961037
           3465.4      0.05985317
           3465.8      0.04581863
           3466.2      0.04222181
           3466.6      0.04896639
            3467.       0.0545486
           3467.4      0.06381871
           3467.8      0.07663994
           3468.2       0.0823723
           3468.6      0.08519137
            3469.        0.081608
           3469.4      0.07966473
           3469.8      0.08591843
           3470.2      0.09406231
           3470.6       0.1017978
            3471.       0.1000331
           3471.4      0.08696463
           3471.8      0.07325041
           3472.2      0.06410353
           3472.6      0.05691127
            3473.      0.05604282
           3473.4      0.05767208
           3473.8      0.04811748
           3474.2      0.04216877
           3474.6      0.03948991
            3475.      0.03517382
           3475.4      0.03163191
           3475.8       0.0281564
           3476.2      0.03317684
           3476.6      0.03374725
            3477.      0.03814211
           3477.4      0.05234519
           3477.8      0.06360131
           3478.2      0.06999768
           3478.6      0.07201243
            3479.      0.06988847
           3479.4       0.0722726
           3479.8      0.07142814
           3480.2      0.07054017
           3480.6      0.07090524
            3481.      0.07209972
           3481.4      0.07666429
           3481.8      0.08167812
           3482.2      0.08019539
           3482.6      0.06911781
            3483.      0.05797524
           3483.4      0.05339056
           3483.8      0.05380591
           3484.2      0.06185586
           3484.6      0.06757654
            3485.        0.063225
           3485.4      0.06258576
           3485.8      0.06710745
           3486.2       0.0756063
           3486.6      0.08729791
            3487.      0.09836462
           3487.4       0.1015952
           3487.8      0.09731399
           3488.2      0.08538959
           3488.6      0.07322931
            3489.      0.06597666
           3489.4      0.05374372
           3489.8      0.04287036
           3490.2      0.03485142
           3490.6      0.03409079
            3491.      0.03609772
           3491.4       0.0412754
           3491.8      0.05017717
           3492.2      0.05175748
           3492.6      0.04408779
            3493.      0.03930536
           3493.4       0.0439028
           3493.8       0.0575465
           3494.2      0.07223047
           3494.6      0.07849363
            3495.      0.07877307
           3495.4      0.06856702
           3495.8      0.05842096
           3496.2      0.04869928
           3496.6      0.04681759
            3497.      0.04518336
           3497.4      0.04062197
           3497.8      0.04253493
           3498.2      0.05220893
           3498.6      0.06714852
            3499.      0.08502416
           3499.4      0.09894974
           3499.8       0.1029233
           3500.2      0.09633218
           3500.6       0.0868434
            3501.      0.08466204
           3501.4      0.09075118
           3501.8      0.08878588
           3502.2      0.08269202
           3502.6      0.08433203
            3503.      0.09999771
           3503.4       0.1183495
           3503.8       0.1283704
           3504.2       0.1243359
           3504.6       0.1074517
            3505.      0.09029198
           3505.4      0.08112749
           3505.8      0.07889234
           3506.2      0.07446533
           3506.6      0.07135057
            3507.      0.07770576
           3507.4      0.08585659
           3507.8      0.09311997
           3508.2       0.1023498
           3508.6        0.102595
            3509.      0.09236774
           3509.4      0.07827767
           3509.8      0.06366116
           3510.2      0.05444939
           3510.6      0.05365345
            3511.      0.06178749
           3511.4      0.07342985
           3511.8      0.07523951
           3512.2      0.06849751
           3512.6       0.0611752
            3513.        0.051531
           3513.4      0.04699571
           3513.8      0.04190359
           3514.2      0.03535109
           3514.6      0.03492265
            3515.      0.03701594
           3515.4      0.04294026
           3515.8      0.05811983
           3516.2      0.07178033
           3516.6      0.08410007
            3517.       0.0911421
           3517.4       0.1041885
           3517.8        0.111397
           3518.2       0.1088279
           3518.6       0.1007867
            3519.      0.09585054
           3519.4       0.0907819
           3519.8      0.07827126
           3520.2      0.06936422
           3520.6      0.06641052
            3521.      0.05675574
           3521.4      0.05000297
