#K OBJECT   '112142'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 112142
#K OBJRA    12:54:21.16
#K OBJDEC   -09:32:20.4
#K OBJBMAG  6.383000E+00
#K OBJVMAG  4.808000E+00
#K SPTYPE   M3III
#K OBJRV    1.760000E+01
#K HDNAME   HD 112142
#K BDNAME   BD-08 3449
#K HIPNAME  HIP 62985
#K SAONAME  SAO 139033
#K VHELIO   7.97856224228269E+00
#K VLSR     1.00573447949862E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.440589E+03
#K CMAX1    4.766621E+03
#K PICKTYPE M3III
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-8645.8

#      wavelength        spectrum
#       angstroms                

            3465.      0.03166595
           3465.4       0.0293397
           3465.8      0.02430743
           3466.2      0.02162334
           3466.6      0.02157207
            3467.      0.02390894
           3467.4      0.02505568
           3467.8      0.02817335
           3468.2      0.03007198
           3468.6      0.03267267
            3469.      0.03056709
           3469.4      0.02877524
           3469.8      0.02989858
           3470.2      0.03029236
           3470.6      0.03158921
            3471.      0.03348022
           3471.4      0.03273383
           3471.8      0.03195907
           3472.2      0.03018508
           3472.6      0.02633488
            3473.      0.02378558
           3473.4      0.02432835
           3473.8      0.02342547
           3474.2      0.02312563
           3474.6      0.02245264
            3475.      0.02128455
           3475.4       0.0198267
           3475.8      0.01859986
           3476.2      0.01854997
           3476.6      0.01918208
            3477.      0.02045748
           3477.4      0.02249035
           3477.8      0.02478384
           3478.2      0.02690019
           3478.6      0.02949414
            3479.      0.02990943
           3479.4      0.03093952
           3479.8      0.03074715
           3480.2      0.03154115
           3480.6      0.03291292
            3481.      0.03152912
           3481.4       0.0317354
           3481.8      0.03468212
           3482.2      0.03434352
           3482.6      0.03315892
            3483.      0.03214056
           3483.4      0.02914761
           3483.8      0.02686973
           3484.2      0.02620727
           3484.6      0.02830501
            3485.      0.03007325
           3485.4      0.03065708
           3485.8      0.03133294
           3486.2      0.03275282
           3486.6        0.034514
            3487.      0.03602473
           3487.4      0.03798981
           3487.8      0.03819354
           3488.2      0.03437679
           3488.6      0.03431055
            3489.      0.03225344
           3489.4      0.03014096
           3489.8      0.02610704
           3490.2      0.02380504
           3490.6      0.02291963
            3491.      0.02105432
           3491.4      0.02118292
           3491.8      0.02429762
           3492.2       0.0270742
           3492.6       0.0275145
            3493.      0.02519546
           3493.4      0.02299427
           3493.8      0.02487377
           3494.2      0.02768092
           3494.6      0.03063867
            3495.       0.0314756
           3495.4      0.03073489
           3495.8      0.02908825
           3496.2      0.02456511
           3496.6      0.02257012
            3497.      0.02352381
           3497.4      0.02220373
           3497.8        0.022012
           3498.2      0.02451986
           3498.6      0.02577838
            3499.      0.03003347
           3499.4      0.03373099
           3499.8      0.03691342
           3500.2      0.03857418
           3500.6       0.0342121
            3501.       0.0319703
           3501.4      0.03246596
           3501.8      0.03290452
           3502.2      0.03245018
           3502.6      0.03159483
            3503.      0.03351459
           3503.4      0.04003837
           3503.8      0.04472674
           3504.2      0.04259044
           3504.6      0.04465936
            3505.       0.0410944
           3505.4      0.03642363
           3505.8      0.03425775
           3506.2      0.03149398
           3506.6      0.03115924
            3507.      0.03164342
           3507.4      0.03353795
           3507.8      0.03614551
           3508.2      0.03673911
           3508.6      0.03735483
            3509.      0.03855379
           3509.4      0.03801022
           3509.8      0.03174682
           3510.2      0.02731135
           3510.6       0.0258698
            3511.      0.02753844
           3511.4      0.03143051
           3511.8      0.03310988
           3512.2      0.03201777
           3512.6      0.03188197
            3513.      0.03079317
           3513.4      0.02744288
           3513.8      0.02443133
           3514.2      0.02256798
           3514.6      0.02354235
            3515.      0.02417498
           3515.4      0.02485956
           3515.8       0.0279705
           3516.2      0.03089911
           3516.6      0.03241289
            3517.      0.03680336
           3517.4      0.04065904
           3517.8      0.04002579
           3518.2      0.04150564
           3518.6      0.04425677
            3519.      0.04152682
           3519.4        0.037207
           3519.8      0.03449491
           3520.2      0.03261614
           3520.6      0.03009443
            3521.      0.02931015
           3521.4      0.02733821
           3521.8      0.02788717
           3522.2      0.03026798
           3522.6      0.03039372
            3523.      0.03067998
           3523.4      0.02889104
           3523.8      0.02635372
           3524.2      0.02420302
           3524.6       0.0214515
            3525.      0.02380911
           3525.4        0.024458
           3525.8      0.02342542
           3526.2       0.0221707
           3526.6      0.02169188
            3527.      0.02322687
           3527.4      0.02825752
           3527.8       0.0333577
           3528.2      0.03272799
           3528.6      0.03561303
            3529.      0.04003901
           3529.4      0.03896679
           3529.8      0.03798852
           3530.2      0.03869285
           3530.6      0.04131739
            3531.      0.03965569
           3531.4      0.04052718
           3531.8      0.04400455
           3532.2      0.03906535
           3532.6      0.03818227
            3533.      0.03654898
           3533.4      0.03444115
           3533.8      0.03716346
           3534.2      0.04108772
           3534.6      0.04450385
            3535.      0.04617355
           3535.4      0.04319365
           3535.8       0.0428642
           3536.2      0.04607955
           3536.6      0.04461123
            3537.      0.04699878
           3537.4      0.04789852
           3537.8      0.04654196
           3538.2      0.04568605
           3538.6       0.0492039
            3539.      0.05117813
           3539.4       0.0525384
           3539.8      0.05551983
           3540.2       0.0556493
           3540.6      0.05395869
            3541.      0.04995652
           3541.4      0.04472808
           3541.8      0.04812583
           3542.2      0.04715162
           3542.6      0.04562538
            3543.      0.04527178
           3543.4       0.0456437
           3543.8      0.04682722
           3544.2      0.04891961
           3544.6      0.05154597
            3545.      0.05231959
           3545.4       0.0503659
           3545.8       0.0460394
           3546.2      0.04384083
           3546.6      0.04864478
            3547.      0.04788601
           3547.4      0.04769479
           3547.8      0.04229949
           3548.2      0.03811627
           3548.6      0.03840959
            3549.      0.04265523
           3549.4      0.04583469
           3549.8      0.04795793
           3550.2      0.04649822
           3550.6      0.04363225
            3551.      0.04497558
           3551.4       0.0464249
           3551.8      0.04746012
           3552.2      0.04623238
           3552.6      0.04425616
            3553.      0.04369722
           3553.4      0.04257862
           3553.8      0.03997239
           3554.2      0.03935855
           3554.6      0.03996179
            3555.      0.03952625
           3555.4      0.04253057
           3555.8      0.04948406
           3556.2      0.05406686
           3556.6      0.05223085
            3557.      0.04697083
           3557.4      0.04798878
           3557.8      0.04925019
           3558.2      0.04720946
           3558.6      0.04210649
            3559.      0.04136866
           3559.4      0.04080747
           3559.8      0.04255008
           3560.2      0.04545474
           3560.6      0.04618021
            3561.      0.04780169
           3561.4      0.04687281
           3561.8      0.04320104
           3562.2      0.04687156
           3562.6      0.05091694
            3563.      0.05357866
           3563.4      0.05414115
           3563.8      0.05211247
           3564.2      0.04833331
           3564.6      0.04375929
            3565.      0.03684332
           3565.4      0.03099247
           3565.8      0.02996328
           3566.2      0.02882918
           3566.6      0.02728933
            3567.       0.0306385
           3567.4      0.03574438
           3567.8      0.03887279
           3568.2      0.03883099
           3568.6      0.03985832
            3569.      0.03963891
           3569.4      0.03324677
           3569.8        0.027954
           3570.2        0.024775
           3570.6      0.02451794
            3571.      0.02831372
           3571.4      0.03245284
           3571.8      0.03401916
           3572.2      0.03294701
           3572.6      0.03202212
            3573.       0.0360916
           3573.4      0.03996028
           3573.8      0.03804721
           3574.2      0.03780471
           3574.6      0.03755808
            3575.      0.03736863
           3575.4       0.0339741
           3575.8      0.03410387
           3576.2      0.03544078
           3576.6      0.03327072
            3577.       0.0337331
           3577.4      0.03587452
           3577.8      0.03265984
           3578.2      0.02899463
           3578.6      0.02791175
            3579.       0.0270727
           3579.4      0.02650249
           3579.8      0.02878487
           3580.2      0.03264951
           3580.6      0.03122335
            3581.      0.02826286
           3581.4      0.02407333
           3581.8      0.02228747
           3582.2      0.02430264
           3582.6      0.02950528
            3583.      0.03599145
           3583.4      0.03806453
           3583.8      0.04271853
           3584.2      0.04493308
           3584.6      0.03978414
            3585.      0.03232012
           3585.4      0.02537733
           3585.8      0.02468584
           3586.2      0.02598917
           3586.6      0.02811593
            3587.       0.0301665
           3587.4      0.03014669
           3587.8      0.03038719
           3588.2      0.03381556
           3588.6      0.03847719
            3589.      0.03857192
           3589.4      0.03562769
           3589.8      0.03817404
           3590.2      0.03763616
           3590.6      0.04003936
            3591.       0.0425331
           3591.4      0.04573085
           3591.8      0.04913168
           3592.2      0.04664572
           3592.6      0.04067412
            3593.      0.03703614
           3593.4       0.0330382
           3593.8      0.02895908
           3594.2      0.02987815
           3594.6      0.03171384
            3595.      0.03390653
           3595.4      0.03604419
           3595.8      0.04084169
           3596.2      0.04507891
           3596.6      0.04874054
            3597.      0.05002743
           3597.4      0.04987312
           3597.8       0.0475131
           3598.2      0.04761493
           3598.6      0.05122553
            3599.      0.05365916
           3599.4      0.05766662
           3599.8      0.05786531
           3600.2      0.05963663
           3600.6      0.06180876
            3601.      0.06096208
           3601.4      0.05743805
           3601.8      0.05055919
           3602.2      0.04218077
           3602.6      0.04037136
            3603.       0.0402151
           3603.4      0.04125723
           3603.8      0.04201321
           3604.2      0.03790768
           3604.6      0.03671077
            3605.      0.03312909
           3605.4      0.03043578
           3605.8      0.02869265
           3606.2      0.02933438
           3606.6      0.03575255
            3607.      0.03814782
           3607.4      0.04014599
           3607.8      0.04362913
           3608.2      0.04388124
           3608.6      0.04106128
            3609.      0.03557216
