#K OBJECT   '113092'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 113092
#K OBJRA    12:59:55.07
#K OBJDEC   +66:35:50.2
#K OBJBMAG  6.675000E+00
#K OBJVMAG  5.378000E+00
#K SPTYPE   K2III
#K OBJRV    -3.040000E+01
#K HDNAME   HD 113092
#K BDNAME   BD+67 773
#K HIPNAME  HIP 63432
#K SAONAME  SAO 15960
#K VHELIO   -1.35791841953476E+01
#K VLSR     -2.73150152056827E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446316E+03
#K CMAX1    4.771930E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4240  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.110000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -8.300000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.8-5462.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.1289475
           3465.4       0.1082631
           3465.8      0.08388703
           3466.2      0.07602436
           3466.6      0.08567151
            3467.      0.09981731
           3467.4       0.1116049
           3467.8        0.124365
           3468.2       0.1347134
           3468.6       0.1376341
            3469.       0.1321119
           3469.4       0.1270649
           3469.8       0.1322853
           3470.2       0.1452786
           3470.6       0.1553626
            3471.       0.1504243
           3471.4       0.1347311
           3471.8       0.1183518
           3472.2       0.1029336
           3472.6      0.09469501
            3473.      0.09365509
           3473.4      0.09109318
           3473.8      0.08154393
           3474.2      0.07297365
           3474.6      0.06818222
            3475.       0.0616919
           3475.4       0.0554663
           3475.8      0.05410297
           3476.2      0.05542649
           3476.6      0.05500098
            3477.      0.05998576
           3477.4       0.0800892
           3477.8        0.101905
           3478.2       0.1129436
           3478.6       0.1123989
            3479.       0.1106973
           3479.4       0.1111913
           3479.8        0.108232
           3480.2       0.1075895
           3480.6       0.1151059
            3481.       0.1230712
           3481.4       0.1297052
           3481.8        0.136267
           3482.2        0.140378
           3482.6       0.1256692
            3483.        0.104181
           3483.4      0.08928078
           3483.8      0.09122312
           3484.2       0.1019901
           3484.6       0.1085634
            3485.       0.1058398
           3485.4       0.1042568
           3485.8       0.1150313
           3486.2       0.1336301
           3486.6       0.1534641
            3487.       0.1665379
           3487.4       0.1632835
           3487.8       0.1550871
           3488.2       0.1443134
           3488.6       0.1282987
            3489.       0.1129202
           3489.4      0.09582222
           3489.8      0.07926746
           3490.2      0.06418709
           3490.6      0.05529427
            3491.      0.06109617
           3491.4        0.079061
           3491.8      0.09623466
           3492.2      0.09657665
           3492.6      0.07977954
            3493.      0.06836898
           3493.4      0.07342041
           3493.8      0.09166916
           3494.2       0.1117626
           3494.6       0.1236261
            3495.       0.1225916
           3495.4        0.108255
           3495.8      0.08881305
           3496.2      0.07822588
           3496.6      0.07657435
            3497.      0.07405028
           3497.4      0.07274209
           3497.8      0.07645848
           3498.2      0.09091525
           3498.6       0.1152257
            3499.       0.1385915
           3499.4       0.1556388
           3499.8       0.1575715
           3500.2       0.1428221
           3500.6       0.1305854
            3501.       0.1321267
           3501.4       0.1420781
           3501.8       0.1445337
           3502.2       0.1322688
           3502.6       0.1311015
            3503.       0.1560269
           3503.4       0.1821139
           3503.8       0.1941932
           3504.2       0.1834131
           3504.6       0.1568643
            3505.        0.131918
           3505.4       0.1217806
           3505.8       0.1187934
           3506.2       0.1122199
           3506.6       0.1102266
            3507.       0.1198092
           3507.4       0.1333327
           3507.8       0.1455473
           3508.2       0.1541246
           3508.6       0.1567478
            3509.       0.1515302
           3509.4       0.1340096
