#K OBJECT   '114038'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 114038
#K OBJRA    13:07:53.81
#K OBJDEC   -10:44:25.5
#K OBJBMAG  6.290000E+00
#K OBJVMAG  5.164000E+00
#K SPTYPE   K1III
#K OBJRV    -9.100000E+00
#K HDNAME   HD 114038
#K BDNAME   BD-09 3628
#K HIPNAME  HIP 64078
#K SAONAME  SAO 157739
#K VHELIO   -2.27703946337978E+01
#K VLSR     -1.99408707464804E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784896E+03
#K CMAX1    8.120752E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4530  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.710000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -4.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1649788
           3465.4       0.1352582
           3465.8       0.1122706
           3466.2       0.1062309
           3466.6        0.118941
            3467.        0.139051
           3467.4       0.1554926
           3467.8       0.1730401
           3468.2       0.1865559
           3468.6       0.1807225
            3469.       0.1701629
           3469.4       0.1759529
           3469.8       0.1926673
           3470.2       0.2157977
           3470.6       0.2207714
            3471.       0.2109287
           3471.4       0.1868559
           3471.8       0.1610325
           3472.2       0.1435606
           3472.6       0.1374101
            3473.       0.1372002
           3473.4       0.1335199
           3473.8       0.1246896
           3474.2       0.1125141
           3474.6       0.1015973
            3475.      0.09255832
           3475.4      0.07603704
           3475.8      0.07757206
           3476.2      0.08254185
           3476.6      0.08331727
            3477.      0.09592535
           3477.4       0.1249189
           3477.8       0.1483258
           3478.2       0.1584667
           3478.6       0.1601114
            3479.       0.1592373
           3479.4       0.1604166
           3479.8       0.1497286
           3480.2       0.1455187
           3480.6       0.1503522
            3481.       0.1518665
           3481.4       0.1586323
           3481.8       0.1657271
           3482.2       0.1599604
           3482.6       0.1441962
            3483.       0.1271489
           3483.4       0.1188729
           3483.8       0.1267075
           3484.2       0.1392688
           3484.6        0.137317
            3485.       0.1275555
           3485.4       0.1301656
           3485.8       0.1411769
           3486.2       0.1670301
           3486.6       0.1903651
            3487.       0.2085497
           3487.4       0.2106404
           3487.8       0.1975457
           3488.2        0.175914
           3488.6         0.15453
            3489.        0.133117
           3489.4       0.1121505
           3489.8      0.09901468
           3490.2      0.08795158
           3490.6      0.08313195
            3491.      0.09100062
           3491.4       0.1172277
           3491.8       0.1275359
           3492.2       0.1176047
           3492.6       0.1020471
            3493.       0.0979976
           3493.4       0.1143563
           3493.8        0.140962
           3494.2       0.1652234
           3494.6       0.1745073
            3495.       0.1660814
           3495.4       0.1498599
           3495.8       0.1248792
           3496.2       0.1151993
           3496.6       0.1066035
            3497.      0.09606458
           3497.4      0.09563218
           3497.8       0.1069426
           3498.2       0.1260866
           3498.6       0.1631645
            3499.       0.1997837
           3499.4        0.220996
           3499.8       0.2264286
           3500.2       0.2135653
           3500.6       0.2007114
            3501.       0.2009749
           3501.4       0.2060979
           3501.8       0.1939484
           3502.2       0.1853068
           3502.6       0.1961675
            3503.       0.2284116
           3503.4       0.2655788
           3503.8       0.2820113
           3504.2       0.2626567
           3504.6       0.2208363
            3505.       0.1887767
           3505.4       0.1799314
           3505.8       0.1763121
           3506.2       0.1671445
           3506.6       0.1655067
            3507.       0.1752832
           3507.4       0.1994522
           3507.8       0.2148363
           3508.2       0.2229128
           3508.6       0.2166895
            3509.       0.2042864
           3509.4       0.1788306
           3509.8       0.1454163
           3510.2       0.1265194
           3510.6       0.1341616
            3511.       0.1609071
           3511.4       0.1756631
           3511.8       0.1711994
           3512.2       0.1624673
           3512.6       0.1376249
            3513.       0.1230525
           3513.4       0.1100709
           3513.8      0.09867967
           3514.2      0.09560893
           3514.6      0.09332322
            3515.       0.0957178
           3515.4       0.1202165
           3515.8        0.154921
           3516.2       0.1772629
           3516.6       0.1953279
            3517.       0.2179346
           3517.4       0.2470302
           3517.8       0.2551865
           3518.2       0.2509112
           3518.6       0.2366332
            3519.       0.2263295
           3519.4       0.2091481
           3519.8       0.1821723
           3520.2       0.1663236
           3520.6       0.1531437
            3521.       0.1319888
           3521.4        0.119504
           3521.8       0.1232052
           3522.2       0.1392257
           3522.6       0.1416533
            3523.       0.1269319
           3523.4       0.1043424
           3523.8      0.08782526
           3524.2       0.0733369
           3524.6      0.07042453
            3525.      0.07992371
           3525.4      0.08879888
