#K OBJECT   '114357'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 114357
#K OBJRA    13:09:38.65
#K OBJDEC   +37:25:23.3
#K OBJBMAG  7.194000E+00
#K OBJVMAG  6.020000E+00
#K SPTYPE   K3III
#K OBJRV    -1.880000E+01
#K HDNAME   HD 114357
#K BDNAME   BD+38 2407
#K HIPNAME  HIP 64212
#K SAONAME  SAO 63372
#K VHELIO   1.39198387918172E+01
#K VLSR     2.38919734751755E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434970E+03
#K CMAX1    4.763436E+03
#K PICKTYPE K3III
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9451.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.1010078
           3465.4      0.08641045
           3465.8      0.07140396
           3466.2      0.07114148
           3466.6      0.07758174
            3467.      0.08937467
           3467.4      0.09796347
           3467.8       0.1067455
           3468.2       0.1120085
           3468.6       0.1094435
            3469.       0.1050559
           3469.4       0.1048331
           3469.8       0.1163301
           3470.2       0.1287231
           3470.6       0.1306387
            3471.       0.1262213
           3471.4       0.1138277
           3471.8      0.09913313
           3472.2       0.0877836
           3472.6      0.08279716
            3473.      0.08291008
           3473.4       0.0835152
           3473.8      0.07820893
           3474.2      0.07161964
           3474.6      0.06725611
            3475.      0.06369673
           3475.4      0.05783607
           3475.8      0.05430695
           3476.2      0.05459524
           3476.6      0.05526226
            3477.      0.06396859
           3477.4      0.07492217
           3477.8       0.0885291
           3478.2      0.09754741
           3478.6      0.09979587
            3479.       0.1011126
           3479.4       0.1042565
           3479.8       0.1017807
           3480.2      0.09511971
           3480.6      0.09237463
            3481.      0.09421124
           3481.4       0.1006442
           3481.8       0.1073092
           3482.2        0.102905
           3482.6      0.09294565
            3483.      0.08142652
           3483.4      0.07670286
           3483.8       0.0801667
           3484.2      0.08582635
           3484.6      0.08709946
            3485.      0.08490425
           3485.4      0.08304385
           3485.8      0.09049336
           3486.2       0.1038213
           3486.6       0.1157779
            3487.       0.1253948
           3487.4       0.1261899
           3487.8       0.1220385
           3488.2       0.1074162
           3488.6      0.09571916
            3489.      0.08484317
           3489.4      0.07580013
           3489.8      0.06796569
           3490.2      0.06173015
           3490.6      0.05904654
            3491.      0.06117247
           3491.4      0.07178306
           3491.8      0.08190871
           3492.2      0.07741065
           3492.6       0.0680091
            3493.      0.06387754
           3493.4      0.06599155
           3493.8      0.08626462
           3494.2       0.1016869
           3494.6       0.1051157
            3495.       0.1029212
           3495.4      0.09192315
           3495.8      0.07804676
           3496.2      0.07042795
           3496.6      0.06638106
            3497.      0.06283256
           3497.4       0.0615256
           3497.8      0.06467681
           3498.2       0.0776922
           3498.6      0.09715509
            3499.       0.1159182
           3499.4       0.1319587
           3499.8       0.1322749
           3500.2       0.1259753
           3500.6       0.1176326
            3501.       0.1152062
           3501.4       0.1150144
           3501.8       0.1142209
           3502.2       0.1108536
           3502.6       0.1133805
            3503.       0.1329364
           3503.4       0.1481974
           3503.8       0.1567511
           3504.2       0.1491526
           3504.6       0.1349657
            3505.       0.1158059
           3505.4       0.1105753
           3505.8       0.1072237
           3506.2       0.1027691
           3506.6       0.1018523
            3507.       0.1078067
           3507.4       0.1178536
           3507.8        0.126448
           3508.2        0.132077
           3508.6       0.1269394
            3509.       0.1141855
           3509.4       0.1053956
           3509.8      0.09152289
           3510.2      0.07901268
           3510.6      0.07948543
            3511.      0.09376613
           3511.4        0.102775
           3511.8        0.102568
           3512.2      0.09609044
           3512.6      0.08595069
            3513.      0.07973604
           3513.4      0.07483707
           3513.8      0.06667434
           3514.2      0.06300607
           3514.6      0.06188473
            3515.      0.06783752
           3515.4        0.078018
           3515.8      0.09374386
           3516.2        0.105591
           3516.6       0.1162049
            3517.       0.1273109
           3517.4       0.1360201
           3517.8       0.1408999
           3518.2       0.1400142
           3518.6       0.1337453
            3519.       0.1245922
           3519.4       0.1148585
           3519.8       0.1085769
           3520.2      0.09977258
           3520.6      0.09355824
            3521.      0.08483086
           3521.4       0.0767903
           3521.8      0.08273188
           3522.2      0.09011405
           3522.6      0.08775635
            3523.      0.07987075
           3523.4      0.06999052
           3523.8      0.05898254
           3524.2      0.05035022
           3524.6      0.04991884
            3525.      0.05517906
           3525.4      0.05983363
           3525.8      0.05668768
           3526.2      0.05576185
           3526.6      0.06119675
            3527.      0.07495924
           3527.4       0.0905989
           3527.8       0.1025059
           3528.2       0.1127731
           3528.6       0.1221944
            3529.       0.1257351
           3529.4       0.1192469
           3529.8       0.1113163
           3530.2       0.1139816
           3530.6       0.1144202
            3531.       0.1142704
           3531.4       0.1065622
           3531.8      0.09784023
           3532.2      0.09081098
           3532.6      0.08787626
            3533.       0.0901915
           3533.4       0.1001583
           3533.8         0.11667
           3534.2        0.130008
           3534.6       0.1323341
            3535.       0.1277941
           3535.4        0.124655
           3535.8       0.1202825
           3536.2       0.1247356
           3536.6       0.1234517
            3537.       0.1213969
           3537.4        0.115297
           3537.8       0.1103524
           3538.2       0.1144031
           3538.6       0.1255165
            3539.       0.1394279
           3539.4       0.1494598
           3539.8       0.1493692
           3540.2       0.1413553
           3540.6       0.1281359
            3541.       0.1158888
           3541.4       0.1096584
           3541.8       0.1105037
           3542.2       0.1078597
           3542.6       0.1117197
            3543.       0.1151276
           3543.4       0.1157138
           3543.8        0.123863
           3544.2       0.1342762
           3544.6       0.1372885
            3545.       0.1325869
           3545.4       0.1211838
           3545.8       0.1172795
           3546.2       0.1248148
           3546.6       0.1228758
            3547.       0.1173574
           3547.4       0.1047475
           3547.8      0.09623089
           3548.2      0.09528938
           3548.6        0.106769
            3549.       0.1231734
           3549.4       0.1293555
           3549.8         0.12479
           3550.2       0.1171777
           3550.6       0.1112737
            3551.       0.1092222
           3551.4       0.1099493
           3551.8       0.1130233
           3552.2       0.1141287
           3552.6       0.1111946
            3553.      0.09966234
           3553.4      0.09254161
           3553.8      0.08936972
           3554.2      0.08669436
           3554.6      0.08813399
            3555.      0.09696835
           3555.4       0.1088959
           3555.8       0.1177036
           3556.2       0.1210011
           3556.6       0.1095036
            3557.       0.1041737
           3557.4       0.1072472
           3557.8       0.1087604
           3558.2      0.09486513
           3558.6      0.08289458
            3559.      0.08772133
