#K OBJECT   '114642'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 114642
#K OBJRA    13:12:03.54
#K OBJDEC   -16:11:55.0
#K OBJBMAG  5.500000E+00
#K OBJVMAG  5.040000E+00
#K SPTYPE   F6V
#K OBJRV    -1.410000E+01
#K HDNAME   HD 114642
#K BDNAME   BD-15 3613
#K HIPNAME  HIP 64407
#K SAONAME  SAO 157788
#K VHELIO   -2.19320733353154E+01
#K VLSR     -1.98442212563261E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784280E+03
#K CMAX1    8.120212E+03
#K PICKTYPE F6V
#K NCOMBINE 6
#K TEFF     6375  1993A&A...275..101E (Edvardsson)
#K LOGG     3.940000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.700000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6800305
           3465.4        0.650574
           3465.8       0.6266567
           3466.2       0.6282829
           3466.6       0.6483053
            3467.       0.6735404
           3467.4       0.7007829
           3467.8       0.7128415
           3468.2       0.7093781
           3468.6       0.6913755
            3469.       0.6547902
           3469.4       0.6752748
           3469.8       0.7027426
           3470.2       0.7295263
           3470.6        0.741003
            3471.       0.7227808
           3471.4       0.7006359
           3471.8       0.6803548
           3472.2        0.659804
           3472.6       0.6623838
            3473.       0.6720075
           3473.4       0.6519992
           3473.8       0.6259199
           3474.2       0.6027563
           3474.6       0.5917141
            3475.       0.5799915
           3475.4       0.5549386
           3475.8       0.5499725
           3476.2        0.542222
           3476.6       0.5413815
            3477.       0.5503177
           3477.4        0.583426
           3477.8        0.631865
           3478.2       0.6605676
           3478.6       0.6730245
            3479.       0.6734366
           3479.4       0.6761453
           3479.8       0.6680882
           3480.2       0.6685958
           3480.6       0.6747043
            3481.       0.6835948
           3481.4       0.6792478
           3481.8       0.6744568
           3482.2       0.6618562
           3482.6       0.6395578
            3483.       0.6151108
           3483.4       0.5962815
           3483.8       0.5991133
           3484.2       0.6180003
           3484.6       0.6331185
            3485.       0.6375544
           3485.4       0.6502085
           3485.8       0.6653636
           3486.2       0.6868379
           3486.6       0.7304538
            3487.       0.7637826
           3487.4       0.7551597
           3487.8       0.7312865
           3488.2       0.6912012
           3488.6        0.643373
            3489.       0.6206751
           3489.4       0.6037301
           3489.8        0.591486
           3490.2       0.5883737
           3490.6       0.5878144
            3491.       0.6143261
           3491.4       0.6463208
           3491.8       0.6702569
           3492.2       0.6690122
           3492.6       0.6421046
            3493.       0.6104007
           3493.4       0.6138038
           3493.8       0.6494961
           3494.2       0.6699443
           3494.6        0.656009
            3495.       0.6150755
           3495.4       0.5639372
           3495.8       0.5306643
           3496.2       0.5232881
           3496.6       0.5169784
            3497.       0.5299361
           3497.4       0.5407327
           3497.8       0.5813621
           3498.2        0.637611
           3498.6       0.6873338
            3499.       0.7356197
           3499.4       0.7518067
           3499.8       0.7217953
           3500.2       0.6962849
           3500.6        0.697948
            3501.       0.7040524
           3501.4       0.7065875
           3501.8       0.7113971
           3502.2       0.6983877
           3502.6       0.7136987
            3503.       0.7400559
           3503.4       0.7664179
           3503.8       0.7707369
           3504.2       0.7459004
           3504.6       0.6979777
            3505.       0.6565803
           3505.4       0.6530118
           3505.8        0.646859
           3506.2       0.6477631
           3506.6       0.6524296
            3507.       0.6758195
           3507.4       0.6893052
           3507.8       0.7012537
           3508.2       0.7077171
           3508.6       0.7245854
            3509.       0.7295358
           3509.4       0.7080098
           3509.8       0.6703423
           3510.2       0.6344888
           3510.6       0.6282793
            3511.       0.6497516
           3511.4       0.6769964
           3511.8       0.6845543
           3512.2       0.6710035
           3512.6       0.6659239
            3513.       0.6453463
           3513.4       0.6227469
           3513.8       0.6190958
           3514.2       0.6311433
           3514.6       0.6432315
            3515.       0.6658556
           3515.4       0.7057293
           3515.8       0.7325972
           3516.2       0.7413184
           3516.6       0.7500226
            3517.       0.7428956
           3517.4       0.7457732
           3517.8       0.7486625
           3518.2       0.7365101
           3518.6       0.7387224
            3519.       0.7329859
           3519.4       0.7028566
           3519.8       0.6808711
           3520.2       0.6756954
           3520.6       0.6671568
            3521.       0.6529401
           3521.4       0.6467724
           3521.8       0.6635832
           3522.2        0.690071
           3522.6       0.6925341
            3523.        0.693395
           3523.4       0.6662584
           3523.8       0.6249121
           3524.2       0.6062863
           3524.6        0.614284
            3525.       0.6401868
           3525.4       0.6363283
           3525.8        0.578188
           3526.2       0.5245144
           3526.6       0.5362014
            3527.       0.5959849
           3527.4       0.6486018
           3527.8       0.6938817
           3528.2       0.7368926
           3528.6       0.7527219
            3529.       0.7592676
           3529.4       0.7371083
           3529.8       0.7178322
           3530.2       0.7124223
           3530.6       0.7216899
            3531.       0.7331563
           3531.4       0.7165192
           3531.8        0.683313
           3532.2       0.6605437
           3532.6       0.6491396
            3533.       0.6624777
           3533.4       0.6871594
           3533.8       0.7346185
           3534.2       0.7632195
           3534.6       0.7671884
            3535.       0.7456317
           3535.4       0.7271194
           3535.8       0.7062677
           3536.2       0.7048392
           3536.6       0.7314428
            3537.       0.7443651
           3537.4       0.7323171
           3537.8       0.7147867
           3538.2       0.7304674
           3538.6       0.7595332
            3539.       0.8056579
           3539.4       0.8276893
           3539.8       0.8197932
           3540.2       0.7964672
           3540.6       0.7558883
            3541.       0.7318277
           3541.4        0.726451
           3541.8       0.7287396
           3542.2       0.7355738
           3542.6       0.7475906
            3543.       0.7768878
           3543.4       0.7882236
           3543.8       0.7946167
           3544.2       0.7987998
           3544.6       0.7898641
            3545.       0.7582354
           3545.4       0.7324353
           3545.8        0.748088
           3546.2       0.7755992
           3546.6       0.7939614
            3547.       0.7973059
           3547.4       0.7730665
           3547.8       0.7352071
           3548.2       0.7189935
           3548.6       0.7420772
            3549.       0.7757043
           3549.4       0.7925799
           3549.8       0.8086662
           3550.2        0.818096
           3550.6       0.8134302
            3551.       0.8079994
           3551.4       0.7886369
           3551.8       0.7730706
           3552.2       0.7581329
           3552.6        0.750167
            3553.       0.7545919
           3553.4       0.7361413
           3553.8       0.7113261
           3554.2       0.6905413
           3554.6       0.6905221
            3555.       0.7145017
           3555.4       0.7615762
           3555.8        0.799386
           3556.2       0.7843692
           3556.6       0.7441597
            3557.       0.7412103
           3557.4       0.7698224
           3557.8       0.7949919
           3558.2       0.7858946
           3558.6       0.7522065
            3559.       0.7492957
           3559.4       0.7603776
           3559.8       0.7754932
           3560.2       0.7655508
           3560.6       0.7431918
            3561.       0.7205258
           3561.4       0.7196807
           3561.8       0.7482913
           3562.2        0.786729
           3562.6       0.8294902
            3563.       0.8688363
           3563.4       0.8624651
           3563.8       0.8241552
           3564.2        0.793923
           3564.6       0.7315754
            3565.       0.6618869
           3565.4       0.5783169
           3565.8       0.5489236
           3566.2       0.5681518
           3566.6       0.6108238
            3567.        0.678175
           3567.4        0.717083
           3567.8       0.7275937
           3568.2       0.7218348
           3568.6        0.699419
            3569.       0.6575515
           3569.4       0.5889694
           3569.8       0.5457872
           3570.2       0.5545971
           3570.6       0.6101061
            3571.       0.6852291
           3571.4       0.6989169
           3571.8       0.6698139
           3572.2       0.6383081
           3572.6       0.6520433
            3573.       0.6818651
           3573.4       0.6832696
           3573.8       0.6672449
           3574.2       0.6692504
           3574.6       0.6815927
            3575.       0.6743466
           3575.4       0.6778368
           3575.8       0.6815869
           3576.2       0.6893761
           3576.6        0.700714
            3577.       0.7276135
           3577.4        0.745501
           3577.8       0.7499778
           3578.2       0.7215368
           3578.6       0.6997506
            3579.       0.7270135
           3579.4       0.7650295
           3579.8       0.7771334
           3580.2       0.7383507
           3580.6       0.6343414
            3581.       0.5521417
           3581.4       0.5098549
           3581.8        0.555396
           3582.2       0.6160283
           3582.6       0.6854833
            3583.       0.7317516
           3583.4       0.7494304
           3583.8       0.7375004
           3584.2       0.6872479
           3584.6       0.6148669
            3585.       0.5387563
           3585.4       0.4941954
           3585.8        0.519628
           3586.2       0.5611992
           3586.6        0.573945
            3587.       0.5569745
           3587.4       0.5628497
           3587.8       0.5914832
           3588.2       0.6166913
           3588.6       0.6269845
            3589.       0.6165484
           3589.4       0.6070228
           3589.8       0.6225128
           3590.2       0.6581603
           3590.6       0.7076389
            3591.       0.7635996
           3591.4       0.7906446
           3591.8       0.7739382
           3592.2       0.7671583
           3592.6       0.7381179
            3593.       0.7076522
           3593.4       0.6971123
           3593.8        0.724119
           3594.2       0.7488112
           3594.6       0.7514775
            3595.       0.7495744
           3595.4       0.7485567
           3595.8       0.7514973
           3596.2       0.7600529
           3596.6       0.7743579
            3597.       0.7918525
           3597.4        0.789896
           3597.8       0.7980384
           3598.2       0.7987028
           3598.6       0.7860903
            3599.       0.7673614
           3599.4       0.7739756
           3599.8       0.7900972
           3600.2       0.8056886
           3600.6       0.8156662
            3601.       0.8079717
           3601.4       0.7788714
           3601.8       0.7135188
           3602.2       0.6748196
           3602.6       0.6527905
            3603.       0.6583549
           3603.4       0.6598647
           3603.8       0.6607212
           3604.2       0.6856142
           3604.6       0.7020088
            3605.       0.6764565
           3605.4        0.650412
           3605.8       0.6646698
           3606.2       0.6961021
           3606.6       0.7185423
            3607.       0.7394533
           3607.4       0.7605866
           3607.8       0.7477251
           3608.2       0.6830435
           3608.6        0.636348
            3609.       0.6187224
           3609.4       0.6372774
           3609.8       0.6492886
           3610.2       0.6309977
           3610.6       0.6317899
            3611.       0.6694881
           3611.4       0.7154412
           3611.8       0.7405499
           3612.2       0.7212589
           3612.6       0.6834723
            3613.       0.6393745
           3613.4       0.6090153
           3613.8       0.6094689
           3614.2       0.6344666
           3614.6       0.6811665
            3615.       0.7230811
           3615.4       0.7529095
           3615.8       0.7735983
           3616.2       0.7669062
           3616.6       0.7500153
            3617.       0.7531828
           3617.4       0.7278712
           3617.8       0.6560556
           3618.2       0.6090416
           3618.6       0.5543684
            3619.        0.535741
           3619.4       0.5740345
           3619.8        0.637803
           3620.2       0.6921393
           3620.6       0.7076461
            3621.       0.6860721
           3621.4       0.6628501
           3621.8        0.683194
           3622.2       0.7396378
           3622.6       0.7765656
            3623.       0.7704062
           3623.4       0.7253592
           3623.8       0.6937088
           3624.2       0.6748451
           3624.6        0.682677
            3625.       0.7112568
           3625.4       0.7613647
           3625.8       0.8126796
           3626.2       0.8481046
           3626.6       0.8568338
            3627.       0.8445787
           3627.4       0.8333987
           3627.8       0.8240955
           3628.2        0.816214
           3628.6       0.8238129
            3629.       0.8298655
           3629.4       0.8420176
           3629.8        0.795147
           3630.2       0.7203465
           3630.6       0.6293792
            3631.       0.5410392
           3631.4       0.5027899
           3631.8       0.5267505
           3632.2       0.5893218
           3632.6       0.6558418
            3633.       0.6912026
           3633.4       0.6986264
           3633.8       0.6979035
           3634.2       0.6707663
           3634.6        0.645534
            3635.       0.6542438
           3635.4       0.6879196
           3635.8       0.7176068
           3636.2         0.71192
           3636.6       0.6909981
            3637.       0.6912529
           3637.4       0.7163631
           3637.8       0.7331896
           3638.2       0.7470446
           3638.6       0.7871025
            3639.       0.8137578
           3639.4       0.8257222
           3639.8       0.8187067
           3640.2       0.8098556
           3640.6       0.7910236
            3641.       0.7682121
           3641.4       0.7641444
           3641.8       0.7604946
           3642.2       0.7518353
           3642.6       0.7208792
            3643.       0.6814823
           3643.4       0.6816556
           3643.8       0.7006909
           3644.2       0.6920547
           3644.6       0.6540658
            3645.         0.62549
           3645.4       0.6256115
           3645.8       0.6780349
           3646.2       0.7453655
           3646.6       0.7712158
            3647.       0.7389728
           3647.4        0.686251
           3647.8       0.6593143
           3648.2       0.6830945
           3648.6       0.7242802
            3649.       0.7230409
           3649.4       0.6930146
           3649.8        0.677313
           3650.2       0.6833148
           3650.6       0.7068462
            3651.       0.7161879
           3651.4       0.7125022
           3651.8       0.7179413
           3652.2       0.7606175
           3652.6       0.8028364
            3653.       0.8163684
           3653.4       0.8065636
           3653.8        0.788238
           3654.2       0.7929702
           3654.6       0.8070419
            3655.       0.7855775
           3655.4       0.7663071
           3655.8       0.7654541
           3656.2       0.7831608
           3656.6       0.8062291
            3657.       0.8219125
           3657.4       0.8084109
           3657.8        0.801135
           3658.2       0.8213921
           3658.6       0.8334518
            3659.       0.8311355
           3659.4       0.8159259
           3659.8       0.7869466
           3660.2       0.7970763
           3660.6       0.8210262
            3661.       0.8401473
           3661.4       0.8345757
           3661.8       0.8122464
           3662.2       0.7801841
           3662.6       0.7609061
            3663.       0.7673188
           3663.4       0.7710726
           3663.8       0.7550131
           3664.2       0.7331785
           3664.6       0.7363589
            3665.       0.7780235
           3665.4       0.8167394
           3665.8       0.8188706
           3666.2       0.7861435
           3666.6       0.7638522
            3667.       0.7688616
           3667.4       0.7803704
           3667.8       0.7932597
           3668.2       0.7785963
           3668.6         0.75602
            3669.       0.7218125
           3669.4       0.6770053
           3669.8       0.6710019
           3670.2       0.7000737
           3670.6       0.7259433
            3671.        0.760378
           3671.4        0.811859
           3671.8       0.8311921
           3672.2       0.8607033
           3672.6       0.8513712
            3673.       0.8287687
           3673.4       0.8029279
           3673.8       0.7644811
           3674.2       0.7361246
           3674.6       0.7492419
            3675.       0.7959197
           3675.4       0.8316638
           3675.8       0.8279979
           3676.2       0.7972911
           3676.6       0.7625955
            3677.       0.7129624
           3677.4       0.6570923
           3677.8       0.6460729
           3678.2       0.6861826
           3678.6       0.7414164
            3679.       0.7460832
           3679.4       0.7166213
           3679.8       0.6952998
           3680.2       0.6942015
           3680.6       0.7113242
            3681.       0.7314754
           3681.4       0.7612347
           3681.8       0.7693779
           3682.2        0.741272
           3682.6        0.737711
            3683.       0.7497587
           3683.4       0.7742425
           3683.8       0.7898185
           3684.2       0.7890524
           3684.6       0.7674873
            3685.       0.7253494
           3685.4       0.6908209
           3685.8       0.6910013
           3686.2        0.704185
           3686.6       0.6940987
            3687.       0.6674522
           3687.4       0.6337174
           3687.8       0.6569968
           3688.2       0.7106372
           3688.6       0.7437829
            3689.       0.7551982
           3689.4        0.769779
           3689.8       0.7860126
           3690.2       0.7921447
           3690.6       0.7866828
            3691.       0.7802369
           3691.4       0.7912073
           3691.8       0.8118881
           3692.2         0.82094
           3692.6       0.8331207
            3693.       0.8266516
           3693.4       0.8082392
           3693.8       0.7797811
           3694.2       0.7614079
           3694.6       0.7864602
            3695.       0.8110042
           3695.4       0.8115205
