#K OBJECT   '114710'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 114710
#K OBJRA    13:11:52.39
#K OBJDEC   +27:52:41.5
#K OBJBMAG  4.830000E+00
#K OBJVMAG  4.260000E+00
#K SPTYPE   F9.5V
#K OBJRV    6.100000E+00
#K HDNAME   HD 114710
#K BDNAME   BD+28 2193
#K HIPNAME  HIP 64394
#K SAONAME  SAO 82706
#K VHELIO   1.54997751146673E+01
#K VLSR     2.46562999429631E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679959E+03
#K CMAX1    6.010208E+03
#K PICKTYPE G0V
#K NCOMBINE 6
#K TEFF     6029  1993A&A...275..101E (Edvardsson)
#K LOGG     4.380000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      3.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5833076
           3465.4       0.5279005
           3465.8       0.4711737
           3466.2       0.4663159
           3466.6        0.509888
            3467.       0.5464855
           3467.4       0.5771769
           3467.8       0.5940093
           3468.2       0.6020232
           3468.6       0.5882112
            3469.       0.5648665
           3469.4       0.5652821
           3469.8        0.600337
           3470.2       0.6404085
           3470.6       0.6496905
            3471.       0.6222582
           3471.4       0.5795472
           3471.8       0.5417351
           3472.2       0.5143229
           3472.6       0.5156618
            3473.       0.5289598
           3473.4       0.5245146
           3473.8       0.4986901
           3474.2       0.4775808
           3474.6       0.4681889
            3475.       0.4400763
           3475.4       0.4037019
           3475.8       0.3965378
           3476.2        0.405828
           3476.6       0.4030415
            3477.       0.4127279
           3477.4       0.4652717
           3477.8       0.5234968
           3478.2       0.5516284
           3478.6       0.5638559
            3479.       0.5700459
           3479.4       0.5708489
           3479.8       0.5617841
           3480.2       0.5518594
           3480.6       0.5549929
            3481.       0.5565991
           3481.4       0.5538576
           3481.8       0.5568481
           3482.2       0.5429949
           3482.6       0.5125992
            3483.       0.4831424
           3483.4       0.4617792
           3483.8       0.4723935
           3484.2       0.4978011
           3484.6       0.5046417
            3485.       0.4995954
           3485.4       0.4944549
           3485.8       0.5178235
           3486.2       0.5681824
           3486.6       0.6151169
            3487.       0.6459213
           3487.4       0.6487316
           3487.8       0.6197804
           3488.2       0.5751733
           3488.6       0.5245395
            3489.       0.4756607
           3489.4       0.4579341
           3489.8       0.4489896
           3490.2       0.4317292
           3490.6       0.4184607
            3491.       0.4436607
           3491.4       0.5023515
           3491.8       0.5442477
           3492.2       0.5293285
           3492.6       0.4729395
            3493.       0.4404597
           3493.4       0.4653822
           3493.8       0.5224177
           3494.2       0.5660672
           3494.6       0.5743229
            3495.       0.5473588
           3495.4       0.4924856
           3495.8       0.4455725
           3496.2        0.431925
           3496.6       0.4274172
            3497.       0.4148273
           3497.4       0.4096519
           3497.8       0.4278647
           3498.2       0.4835533
           3498.6       0.5694042
            3499.        0.639429
           3499.4       0.6669242
           3499.8       0.6638402
           3500.2       0.6345387
           3500.6       0.6089625
            3501.       0.6174109
           3501.4       0.6340072
           3501.8       0.6309099
           3502.2        0.613353
           3502.6       0.6202934
            3503.       0.6652445
           3503.4       0.7034183
           3503.8       0.7176992
           3504.2        0.692055
           3504.6       0.6130191
            3505.       0.5706241
           3505.4       0.5672455
           3505.8       0.5642665
           3506.2       0.5517477
           3506.6       0.5531598
            3507.       0.5765315
           3507.4       0.6027576
           3507.8       0.6250795
           3508.2       0.6391172
           3508.6        0.638938
            3509.       0.6354411
           3509.4       0.6089562
           3509.8       0.5559649
           3510.2       0.4999648
           3510.6       0.5022761
            3511.       0.5473419
           3511.4       0.5892193
           3511.8       0.5876808
           3512.2       0.5577336
           3512.6       0.5397911
            3513.       0.5233213
           3513.4       0.4888451
           3513.8       0.4672799
           3514.2       0.4764208
           3514.6       0.4862731
            3515.       0.4905986
           3515.4         0.53293
           3515.8       0.5900384
           3516.2       0.6249446
           3516.6       0.6335413
