#K OBJECT   '115444'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 115444
#K OBJRA    13:16:42.46
#K OBJDEC   +36:22:52.7
#K OBJBMAG  9.700000E+00
#K OBJVMAG  9.000000E+00
#K SPTYPE   K0
#K OBJRV    -28
#K HDNAME   HD 115444
#K BDNAME   BD+37 2388
#K HIPNAME  HIP 64786
#K SAONAME  SAO 63442
#K VHELIO   -2.12626662796934E+01
#K VLSR     -1.09696306065458E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458648E+03
#K CMAX1    4.783790E+03
#K PICKTYPE K0II
#K NCOMBINE 4
#K TEFF     4650  2000ApJ...530..783W (Westin)
#K LOGG     1.500000E+00  2000ApJ...530..783W (Westin)
#K FEH      -2.990000E+00  2000ApJ...530..783W (Westin)
#K COVERAGE 3465.0-8647.0

#      wavelength        spectrum
#       angstroms                

            3465.         0.11705
           3465.4       0.1087717
           3465.8       0.1064087
           3466.2       0.1058515
           3466.6       0.1063459
            3467.       0.1103234
           3467.4       0.1123912
           3467.8       0.1111326
           3468.2       0.1134639
           3468.6       0.1073697
            3469.       0.1075105
           3469.4       0.1047846
           3469.8       0.1003596
           3470.2       0.1086899
           3470.6       0.1137512
            3471.       0.1051577
           3471.4       0.1022485
           3471.8       0.1008313
           3472.2      0.09548454
           3472.6      0.09582401
            3473.      0.09527151
           3473.4      0.09712515
           3473.8       0.0922805
           3474.2      0.08593307
           3474.6      0.08576071
            3475.      0.08562582
           3475.4      0.08362247
           3475.8      0.08030822
           3476.2      0.07788569
           3476.6      0.07693021
            3477.      0.07782225
           3477.4      0.08231058
           3477.8      0.08776671
           3478.2      0.09052786
           3478.6      0.09299263
            3479.      0.09553739
           3479.4      0.09680616
           3479.8      0.09516642
           3480.2      0.09200436
           3480.6      0.09106793
            3481.      0.09259568
           3481.4      0.08966435
           3481.8      0.08699715
           3482.2      0.08918304
           3482.6       0.0865083
            3483.      0.08035073
           3483.4      0.07986362
           3483.8      0.07829826
           3484.2       0.0794572
           3484.6      0.08700065
            3485.      0.08480057
           3485.4      0.08677065
           3485.8      0.08586151
           3486.2      0.08560362
           3486.6      0.08661088
            3487.      0.08757199
           3487.4      0.08701308
           3487.8      0.08421904
           3488.2      0.08356813
           3488.6      0.08357703
            3489.      0.07874284
           3489.4       0.0746414
           3489.8      0.07283253
           3490.2      0.07214046
           3490.6      0.06565075
            3491.      0.06821336
           3491.4      0.07198359
           3491.8      0.07784571
           3492.2      0.07864846
           3492.6      0.07831118
            3493.      0.07789164
           3493.4      0.07675018
           3493.8      0.07779736
           3494.2      0.07876117
           3494.6      0.08029576
            3495.      0.07524487
           3495.4      0.07082587
           3495.8       0.0696919
           3496.2      0.06829558
           3496.6      0.06824773
            3497.      0.06966802
           3497.4      0.07202058
           3497.8      0.07186055
           3498.2      0.07109993
           3498.6      0.07322785
            3499.      0.07666638
           3499.4      0.07780416
           3499.8      0.07622413
           3500.2      0.07607493
           3500.6      0.07583401
            3501.      0.07719057
           3501.4      0.07725553
           3501.8      0.07430995
           3502.2      0.07395296
           3502.6      0.07556248
            3503.      0.07744697
           3503.4      0.07903185
           3503.8      0.07705267
           3504.2       0.0742485
           3504.6      0.07279781
            3505.      0.07192774
           3505.4       0.0747432
           3505.8      0.07106508
           3506.2      0.07004572
           3506.6      0.07204188
            3507.      0.07576007
           3507.4      0.07602243
           3507.8      0.07764851
           3508.2      0.08000959
           3508.6      0.07784053
            3509.      0.07546979
           3509.4      0.07564366
           3509.8      0.07324146
           3510.2      0.06898828
           3510.6      0.06777468
            3511.      0.07092088
           3511.4      0.07739874
           3511.8      0.07642391
           3512.2      0.07387861
           3512.6      0.07035031
            3513.      0.07199612
           3513.4      0.06745063
           3513.8       0.0635907
           3514.2      0.06678686
           3514.6      0.07055205
            3515.       0.0724398
           3515.4      0.07549969
           3515.8      0.07889871
           3516.2      0.07729714
           3516.6      0.08146109
            3517.      0.08452679
           3517.4      0.08115333
           3517.8      0.07762956
           3518.2      0.07886583
           3518.6      0.07945472
            3519.      0.07637253
           3519.4      0.07459136
           3519.8      0.07180631
           3520.2      0.07064199
           3520.6      0.07498894
            3521.      0.07347389
           3521.4      0.07042944
           3521.8      0.07717448
           3522.2       0.0796729
           3522.6      0.07960251
            3523.      0.07940439
           3523.4      0.07489919
           3523.8       0.0695056
           3524.2      0.06968006
           3524.6      0.07112055
            3525.      0.07119156
           3525.4       0.0731084
           3525.8      0.06973026
           3526.2      0.06147702
           3526.6      0.06321008
            3527.      0.06829367
           3527.4      0.07741344
           3527.8      0.08073924
           3528.2      0.07870552
           3528.6      0.07817867
            3529.      0.07887524
           3529.4      0.08100946
           3529.8      0.08011468
           3530.2      0.08025751
           3530.6      0.08484105
            3531.      0.08533812
