#K OBJECT   '115617'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 115617
#K OBJRA    13:18:24.31
#K OBJDEC   -18:18:40.3
#K OBJBMAG  5.450000E+00
#K OBJVMAG  4.740000E+00
#K SPTYPE   G5V
#K OBJRV    -8.500000E+00
#K HDNAME   HD 115617
#K BDNAME   BD-17 3813
#K HIPNAME  HIP 64924
#K SAONAME  SAO 157844
#K VHELIO   -2.11241592664930E+01
#K VLSR     -1.90037387880655E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784171E+03
#K CMAX1    8.120082E+03
#K PICKTYPE G5V
#K NCOMBINE 6
#K TEFF     5590  1993A&A...275..101E (Edvardsson)
#K LOGG     4.230000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -3.000000E-02  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.4481631
           3465.4       0.3867177
           3465.8       0.3304395
           3466.2       0.3184406
           3466.6       0.3393788
            3467.       0.3927256
           3467.4       0.4322969
           3467.8       0.4580451
           3468.2       0.4763595
           3468.6       0.4741733
            3469.       0.4555996
           3469.4       0.4470959
           3469.8       0.4714497
           3470.2       0.5109665
           3470.6       0.5210187
            3471.       0.5024922
           3471.4       0.4716523
           3471.8       0.4271119
           3472.2       0.3925741
           3472.6       0.3763708
            3473.       0.3796547
           3473.4       0.3804045
           3473.8       0.3667166
           3474.2       0.3493216
           3474.6       0.3317594
            3475.       0.3041068
           3475.4       0.2707139
           3475.8       0.2555901
           3476.2       0.2558843
           3476.6       0.2585129
            3477.       0.2866059
           3477.4       0.3311016
           3477.8       0.3926572
           3478.2        0.428125
           3478.6       0.4487724
            3479.       0.4622772
           3479.4        0.465407
           3479.8       0.4633958
           3480.2       0.4514897
           3480.6       0.4453573
            3481.       0.4552882
           3481.4       0.4517678
           3481.8       0.4452112
           3482.2       0.4507483
           3482.6       0.4229132
            3483.       0.3890328
           3483.4       0.3673273
           3483.8       0.3565772
           3484.2       0.3693106
           3484.6       0.3842269
            3485.       0.3840789
           3485.4       0.3813651
           3485.8       0.3981207
           3486.2       0.4495582
           3486.6       0.4904975
            3487.       0.5229264
           3487.4       0.5348552
           3487.8       0.5275435
           3488.2       0.4892465
           3488.6       0.4347624
            3489.       0.3769363
           3489.4       0.3430334
           3489.8       0.3230699
           3490.2       0.2944423
           3490.6       0.2757663
            3491.       0.2895228
           3491.4       0.3329528
           3491.8       0.3740239
           3492.2       0.3727681
           3492.6       0.3425042
            3493.       0.3067197
           3493.4       0.3280106
           3493.8       0.3835133
           3494.2       0.4412196
           3494.6       0.4727083
            3495.        0.472165
           3495.4       0.4373571
           3495.8       0.3872556
           3496.2       0.3609104
           3496.6       0.3431935
            3497.       0.3164439
           3497.4       0.3053916
           3497.8        0.305085
           3498.2       0.3447516
           3498.6       0.4221561
            3499.       0.5058082
           3499.4       0.5598716
           3499.8       0.5752568
           3500.2       0.5565869
           3500.6       0.5237342
            3501.       0.5194041
           3501.4       0.5411857
           3501.8       0.5385574
           3502.2       0.5219688
           3502.6       0.5286635
            3503.       0.5622226
           3503.4       0.6222137
           3503.8       0.6473222
           3504.2       0.6270633
           3504.6       0.5661662
            3505.       0.5087494
           3505.4       0.4924216
           3505.8       0.4905258
           3506.2       0.4826356
           3506.6       0.4762397
            3507.       0.4837185
           3507.4       0.5199285
           3507.8       0.5465637
           3508.2       0.5647757
           3508.6       0.5657819
            3509.       0.5508205
           3509.4       0.5213199
           3509.8       0.4498303
           3510.2       0.3925632
           3510.6       0.3873643
            3511.       0.4277008
           3511.4       0.4767357
           3511.8       0.4847854
           3512.2        0.460791
           3512.6       0.4367418
            3513.        0.407081
           3513.4       0.3820491
           3513.8       0.3481154
           3514.2       0.3350911
           3514.6       0.3242552
            3515.        0.324463
           3515.4       0.3649218
           3515.8       0.4253052
           3516.2       0.4813359
           3516.6        0.523354
            3517.       0.5555845
           3517.4        0.586161
           3517.8        0.605742
           3518.2       0.6083263
           3518.6       0.5800232
            3519.       0.5644149
           3519.4       0.5531877
           3519.8       0.5168113
           3520.2       0.4857272
           3520.6       0.4621492
            3521.       0.4256056
           3521.4       0.3916568
           3521.8       0.3963147
           3522.2       0.4308974
           3522.6       0.4501406
            3523.       0.4345177
           3523.4        0.391993
           3523.8       0.3403868
           3524.2       0.2961662
           3524.6       0.2717355
            3525.       0.2873559
           3525.4       0.3094605
           3525.8       0.2974832
           3526.2        0.260688
           3526.6       0.2626849
            3527.       0.3244702
           3527.4       0.3957594
           3527.8       0.4401169
           3528.2       0.4763025
           3528.6       0.5227147
            3529.       0.5480261
           3529.4       0.5324875
           3529.8       0.5116441
           3530.2       0.5048623
           3530.6       0.5139829
            3531.       0.5357671
           3531.4       0.5357652
           3531.8       0.4944043
           3532.2       0.4462651
           3532.6       0.4166561
            3533.       0.4106477
           3533.4       0.4489499
           3533.8       0.5174953
           3534.2       0.5676957
           3534.6       0.5887176
            3535.       0.5801035
           3535.4       0.5541552
           3535.8       0.5413388
           3536.2       0.5272538
           3536.6       0.5131447
            3537.       0.5044217
           3537.4       0.4978536
           3537.8       0.4903415
           3538.2       0.4965869
           3538.6       0.5413632
            3539.       0.6064534
           3539.4       0.6462355
           3539.8       0.6485023
           3540.2        0.604912
           3540.6       0.5418817
            3541.       0.4894253
           3541.4       0.4685733
           3541.8       0.4672475
           3542.2       0.4740378
           3542.6       0.5015851
            3543.       0.5362051
           3543.4       0.5582291
           3543.8       0.5804541
           3544.2       0.6018628
           3544.6       0.6045675
            3545.       0.5860717
           3545.4       0.5543744
           3545.8       0.5394387
           3546.2       0.5665662
           3546.6       0.5940645
            3547.       0.5901431
           3547.4       0.5557246
           3547.8       0.5017009
           3548.2       0.4783175
           3548.6       0.5139499
            3549.       0.5674763
           3549.4       0.6037754
           3549.8       0.6129291
           3550.2       0.5969481
           3550.6       0.5842496
            3551.       0.5695035
           3551.4        0.561532
           3551.8       0.5543246
           3552.2       0.5490382
           3552.6       0.5303922
            3553.        0.501664
           3553.4       0.4689966
           3553.8        0.440274
           3554.2       0.4191138
           3554.6       0.3986772
            3555.        0.404657
           3555.4       0.4546591
           3555.8       0.5249915
           3556.2       0.5599691
           3556.6        0.527594
            3557.        0.499396
           3557.4       0.5165284
           3557.8       0.5096027
           3558.2       0.4620908
           3558.6       0.4168325
            3559.       0.4146016
           3559.4       0.4559341
           3559.8       0.4959427
           3560.2       0.5068839
           3560.6       0.4979485
            3561.       0.5090647
           3561.4       0.5204937
           3561.8       0.5296618
           3562.2       0.5491938
           3562.6       0.5814294
            3563.       0.6194239
           3563.4       0.6294235
           3563.8       0.6012002
           3564.2       0.5358828
           3564.6       0.4325713
            3565.        0.324948
           3565.4       0.2523433
           3565.8       0.2216061
           3566.2       0.2325623
           3566.6        0.278883
            3567.       0.3354343
