#K OBJECT   '116976'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 116976
#K OBJRA    13:27:27.16
#K OBJDEC   -15:58:24.9
#K OBJBMAG  5.853000E+00
#K OBJVMAG  4.758000E+00
#K SPTYPE   K1IIICN
#K OBJRV    -1.410000E+01
#K HDNAME   HD 116976
#K BDNAME   BD-15 3668
#K HIPNAME  HIP 65639
#K SAONAME  SAO 157946
#K VHELIO   -1.87158376361626E+01
#K VLSR     -1.55278902133148E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446074E+03
#K CMAX1    4.771593E+03
#K PICKTYPE K1III
#K NCOMBINE 6
#K TEFF     4550  1995AJ....110.2968L (Luck)
#K LOGG     2.000000E+00  1995AJ....110.2968L (Luck)
#K FEH      1.000000E-02  1995AJ....110.2968L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5461.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.1810146
           3465.4       0.1542104
           3465.8       0.1242315
           3466.2       0.1108354
           3466.6       0.1191867
            3467.       0.1352066
           3467.4       0.1506613
           3467.8       0.1671892
           3468.2       0.1810696
           3468.6       0.1814618
            3469.       0.1737883
           3469.4       0.1709737
           3469.8       0.1831232
           3470.2        0.209197
           3470.6       0.2266647
            3471.        0.220317
           3471.4       0.1980531
           3471.8       0.1710069
           3472.2       0.1485777
           3472.6       0.1382727
            3473.       0.1392933
           3473.4       0.1419717
           3473.8       0.1362863
           3474.2       0.1261722
           3474.6       0.1165711
            3475.       0.1078911
           3475.4      0.09638352
           3475.8       0.0895642
           3476.2      0.08998687
           3476.6      0.08920061
            3477.      0.09635913
           3477.4        0.117486
           3477.8       0.1426264
           3478.2       0.1588611
           3478.6       0.1627862
            3479.        0.165508
           3479.4       0.1676727
           3479.8       0.1620179
           3480.2       0.1523837
           3480.6       0.1491508
            3481.       0.1523213
           3481.4       0.1593735
           3481.8       0.1650141
           3482.2        0.165685
           3482.6       0.1538167
            3483.       0.1350288
           3483.4       0.1224705
           3483.8       0.1224799
           3484.2       0.1362499
           3484.6        0.144948
            3485.       0.1374272
           3485.4       0.1288481
           3485.8       0.1345412
           3486.2       0.1547723
           3486.6       0.1812164
            3487.       0.2057131
           3487.4       0.2177137
           3487.8       0.2116058
           3488.2       0.1897741
           3488.6        0.163948
            3489.       0.1425264
           3489.4       0.1253016
           3489.8       0.1151085
