#K OBJECT   '117876'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 117876
#K OBJRA    13:32:48.21
#K OBJDEC   +24:20:48.3
#K OBJBMAG  7.070000E+00
#K OBJVMAG  6.110000E+00
#K SPTYPE   G8III
#K OBJRV    6.200000E+00
#K HDNAME   HD 117876
#K BDNAME   BD+25 2643
#K HIPNAME  HIP 66086
#K SAONAME  SAO 82875
#K VHELIO   1.93603055042637E+01
#K VLSR     2.94538581129548E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435899E+03
#K CMAX1    4.764251E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4582  1986A&A...161..314C (Cottrell)
#K LOGG     2.250000E+00  1986A&A...161..314C (Cottrell)
#K FEH      -5.000000E-01  1986A&A...161..314C (Cottrell)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2373546
           3465.4       0.2013778
           3465.8       0.1768607
           3466.2       0.1611981
           3466.6       0.1774609
            3467.       0.2054149
           3467.4       0.2210847
           3467.8       0.2395878
           3468.2       0.2505821
           3468.6       0.2473211
            3469.       0.2368625
           3469.4       0.2363946
           3469.8       0.2494071
           3470.2       0.2674404
           3470.6       0.2866122
            3471.       0.2764212
           3471.4       0.2382987
           3471.8       0.2170456
           3472.2       0.1978376
           3472.6       0.1935402
            3473.       0.1967351
           3473.4       0.1930135
           3473.8        0.179891
           3474.2       0.1647341
           3474.6       0.1547863
            3475.       0.1399449
           3475.4       0.1243924
           3475.8       0.1268946
           3476.2       0.1269253
           3476.6       0.1229903
            3477.       0.1379851
           3477.4       0.1655515
           3477.8       0.1911542
           3478.2        0.201324
           3478.6        0.213521
            3479.       0.2162039
           3479.4       0.2141136
           3479.8       0.2068084
           3480.2       0.1997338
           3480.6        0.202863
            3481.       0.2068703
           3481.4       0.2240967
           3481.8       0.2343226
           3482.2       0.2210304
           3482.6       0.2061872
            3483.       0.1827106
           3483.4       0.1754313
           3483.8       0.1779191
           3484.2        0.187102
           3484.6       0.1906219
            3485.       0.1865043
           3485.4       0.1869215
           3485.8       0.2003766
           3486.2       0.2250166
           3486.6       0.2497254
            3487.       0.2747969
           3487.4       0.2800184
           3487.8        0.265691
           3488.2       0.2403062
           3488.6       0.2236706
            3489.       0.1953322
           3489.4       0.1723233
           3489.8        0.157524
           3490.2       0.1364493
           3490.6       0.1252823
            3491.       0.1396206
           3491.4       0.1673331
           3491.8       0.1905074
           3492.2       0.1888156
           3492.6       0.1617735
            3493.       0.1437318
           3493.4       0.1560955
           3493.8       0.1900099
           3494.2       0.2140885
           3494.6       0.2224178
            3495.       0.2159466
           3495.4       0.1902441
           3495.8        0.165964
           3496.2       0.1566994
           3496.6       0.1483816
            3497.       0.1443598
           3497.4       0.1496984
           3497.8       0.1565342
           3498.2         0.18087
           3498.6       0.2134843
            3499.       0.2488778
           3499.4       0.2774284
           3499.8       0.2727477
           3500.2       0.2514881
           3500.6       0.2478332
            3501.       0.2563435
           3501.4       0.2569021
           3501.8       0.2544756
           3502.2       0.2540223
           3502.6       0.2498273
            3503.       0.2654036
           3503.4       0.3062019
           3503.8       0.3194438
           3504.2       0.3028109
           3504.6       0.2660602
            3505.       0.2333997
           3505.4       0.2222851
           3505.8       0.2174291
           3506.2       0.2055036
           3506.6       0.2065145
            3507.       0.2227324
           3507.4       0.2379569
           3507.8       0.2626811
           3508.2       0.2771477
           3508.6       0.2709373
            3509.       0.2593083
           3509.4       0.2455676
           3509.8       0.2120666
           3510.2       0.1792492
           3510.6       0.1858762
            3511.       0.2155262
           3511.4       0.2299905
           3511.8       0.2257809
           3512.2        0.212244
           3512.6        0.191183
            3513.       0.1732901
           3513.4       0.1636248
           3513.8       0.1531638
           3514.2       0.1468663
           3514.6       0.1418458
            3515.       0.1463166
           3515.4        0.168957
           3515.8       0.2069108
           3516.2       0.2302119
           3516.6        0.246813
            3517.       0.2670927
           3517.4       0.2891845
           3517.8       0.3121899
           3518.2       0.3076603
           3518.6       0.2884765
            3519.       0.2862492
           3519.4       0.2740107
           3519.8       0.2402368
           3520.2       0.2174013
           3520.6       0.2115017
            3521.       0.1948006
           3521.4       0.1800799
           3521.8       0.1813329
           3522.2       0.1991407
           3522.6       0.2055118
            3523.       0.1828346
           3523.4       0.1578003
           3523.8       0.1296975
           3524.2       0.1184874
