#K OBJECT   '118100'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 118100
#K OBJRA    13:34:43.21
#K OBJDEC   -08:20:31.3
#K OBJBMAG  1.051000E+01
#K OBJVMAG  9.310000E+00
#K SPTYPE   K5Ve
#K OBJRV    -19
#K HDNAME   HD 118100
#K BDNAME   BD-07 3646
#K HIPNAME  HIP 66252
#K SAONAME  SAO 139419
#K VHELIO   2.50284783757089E+01
#K VLSR     3.01970158247678E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.792576E+03
#K CMAX1    8.128261E+03
#K PICKTYPE K5V
#K NCOMBINE 5
#K TEFF     4308  1977ApJ...215..188H (Hartmann)
#K LOGG     4.500000E+00  1977ApJ...215..188H (Hartmann)
#K FEH      -1.500000E-01  1977ApJ...215..188H (Hartmann)
#K COVERAGE 3465.0-9469.0
#K GAPS     8129.0-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.      0.09282062
           3465.4      0.08461218
           3465.8      0.06244877
           3466.2      0.05770537
           3466.6      0.06853137
            3467.      0.07895097
           3467.4       0.1039257
           3467.8       0.1215917
           3468.2       0.1219836
           3468.6       0.1256835
            3469.       0.1274235
           3469.4       0.1293998
           3469.8       0.1274182
           3470.2       0.1502303
           3470.6        0.139815
            3471.       0.1393109
           3471.4       0.1295841
           3471.8       0.1117926
           3472.2       0.1094759
           3472.6      0.09261634
            3473.      0.07734435
           3473.4      0.08207681
           3473.8      0.08419305
           3474.2       0.0750573
           3474.6      0.05219347
            3475.      0.04456232
           3475.4      0.04963426
           3475.8        0.056947
           3476.2      0.05521933
           3476.6      0.06349765
            3477.      0.06087872
           3477.4       0.0891078
           3477.8       0.1106268
           3478.2       0.1152937
           3478.6       0.1265639
            3479.        0.139351
           3479.4       0.1514467
           3479.8       0.1503689
           3480.2       0.1382163
           3480.6       0.1322375
            3481.       0.1518257
           3481.4         0.16633
           3481.8       0.1580124
           3482.2       0.1574048
           3482.6       0.1455443
            3483.        0.143649
           3483.4       0.1187953
           3483.8      0.09966874
           3484.2       0.1208073
           3484.6       0.1279869
            3485.       0.1234285
           3485.4       0.1290304
           3485.8       0.1379114
           3486.2       0.1554922
           3486.6       0.1619034
            3487.       0.1604063
           3487.4       0.1582683
           3487.8       0.1633527
           3488.2       0.1460326
           3488.6        0.132154
            3489.       0.1119482
           3489.4      0.08479137
           3489.8      0.07449412
           3490.2       0.0629348
           3490.6        0.056364
            3491.      0.05025955
           3491.4      0.05703982
