#K OBJECT   '120452'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 120452
#K OBJRA    13:49:52.28
#K OBJDEC   -18:08:03.0
#K OBJBMAG  6.019000E+00
#K OBJVMAG  4.970000E+00
#K SPTYPE   K0III
#K OBJRV    -3.970000E+01
#K HDNAME   HD 120452
#K BDNAME   BD-17 3937
#K HIPNAME  HIP 67494
#K SAONAME  SAO 158186
#K VHELIO   2.98174871740555E+01
#K VLSR     3.40498787082335E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.679392E+03
#K CMAX1    6.006570E+03
#K PICKTYPE K0III
#K NCOMBINE 6
#K TEFF     4780  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.800000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -3.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9446.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2029832
           3465.4        0.172227
           3465.8       0.1475237
           3466.2       0.1409837
           3466.6       0.1431682
            3467.       0.1697707
           3467.4       0.1958524
           3467.8       0.2039596
           3468.2       0.2187285
           3468.6       0.2087496
            3469.       0.2011674
           3469.4        0.201775
           3469.8       0.2168119
           3470.2       0.2490828
           3470.6       0.2598132
            3471.       0.2482509
           3471.4       0.2284608
           3471.8       0.1944411
           3472.2       0.1751438
           3472.6       0.1690028
            3473.       0.1702428
           3473.4        0.167962
           3473.8       0.1635656
           3474.2       0.1522534
           3474.6       0.1376213
            3475.        0.122874
           3475.4       0.1095552
           3475.8       0.1097311
           3476.2       0.1118631
           3476.6        0.101662
            3477.       0.1159864
           3477.4        0.144071
           3477.8       0.1734075
           3478.2       0.1828747
           3478.6       0.1826336
            3479.       0.1945535
           3479.4       0.2033394
           3479.8       0.1916453
           3480.2       0.1834517
           3480.6        0.179937
            3481.       0.1768679
           3481.4       0.1906565
           3481.8       0.2023679
           3482.2       0.2016868
           3482.6       0.1820888
            3483.       0.1568399
           3483.4       0.1527369
           3483.8       0.1568341
           3484.2       0.1639105
           3484.6         0.17318
            3485.       0.1702846
           3485.4       0.1558212
           3485.8       0.1614919
           3486.2       0.1931377
           3486.6       0.2256447
            3487.       0.2504632
           3487.4       0.2569979
           3487.8       0.2456108
           3488.2       0.2218717
           3488.6       0.1881747
            3489.       0.1586858
           3489.4       0.1466516
           3489.8       0.1374474
           3490.2       0.1207755
           3490.6        0.109437
            3491.        0.120198
           3491.4       0.1415397
           3491.8       0.1565527
           3492.2       0.1620545
           3492.6       0.1448088
            3493.       0.1273306
           3493.4       0.1425208
           3493.8       0.1755784
           3494.2       0.2075862
           3494.6       0.2135985
            3495.       0.2160358
           3495.4       0.1974989
           3495.8       0.1650494
           3496.2        0.148345
           3496.6       0.1361818
            3497.       0.1263283
           3497.4        0.126642
           3497.8       0.1256933
           3498.2        0.155366
           3498.6       0.1998608
            3499.       0.2464527
           3499.4       0.2827396
           3499.8       0.2863048
           3500.2       0.2742247
           3500.6       0.2517795
            3501.       0.2557141
           3501.4       0.2704777
           3501.8       0.2647669
           3502.2       0.2524247
           3502.6       0.2527981
            3503.       0.2887766
           3503.4        0.330137
           3503.8       0.3428632
           3504.2        0.332195
           3504.6         0.28385
            3505.       0.2435636
           3505.4       0.2306893
           3505.8       0.2256933
           3506.2       0.2154151
           3506.6       0.2075341
            3507.       0.2194365
           3507.4       0.2460058
           3507.8        0.265852
           3508.2       0.2793363
           3508.6       0.2838191
            3509.       0.2658808
           3509.4       0.2412259
           3509.8       0.2086218
           3510.2       0.1766476
           3510.6       0.1690035
            3511.       0.1988659
           3511.4       0.2175395
           3511.8       0.2213523
           3512.2        0.213584
           3512.6       0.1900538
            3513.       0.1686101
           3513.4       0.1519833
           3513.8       0.1491428
           3514.2       0.1348381
           3514.6       0.1328934
            3515.       0.1334554
           3515.4       0.1549065
           3515.8       0.1928512
           3516.2       0.2265406
           3516.6       0.2472814
            3517.       0.2635866
           3517.4       0.2988703
           3517.8       0.3205749
           3518.2       0.3017502
           3518.6       0.2938714
            3519.       0.2957251
           3519.4       0.2804257
           3519.8       0.2495792
           3520.2       0.2204622
           3520.6       0.2140449
            3521.       0.1960799
           3521.4       0.1664585
           3521.8       0.1556439
           3522.2        0.174923
           3522.6       0.1838889
            3523.       0.1667338
           3523.4       0.1476837
           3523.8       0.1261066
           3524.2       0.1048261
           3524.6      0.09786783
            3525.       0.1091673
           3525.4       0.1169753
           3525.8       0.1138431
           3526.2       0.1069445
           3526.6       0.1155713
            3527.       0.1488207
