#K OBJECT   '128750'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 128750
#K OBJRA    14:38:13.99
#K OBJDEC   +18:17:54.2
#K OBJBMAG  7.011000E+00
#K OBJVMAG  5.913000E+00
#K SPTYPE   K2III:
#K OBJRV    -1.440000E+01
#K HDNAME   HD 128750
#K BDNAME   BD+18 2906
#K HIPNAME  HIP 71571
#K SAONAME  SAO 101121
#K VHELIO   2.40642056170954E+01
#K VLSR     3.74617190254727E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.435042E+03
#K CMAX1    4.763533E+03
#K PICKTYPE K2III
#K NCOMBINE 5
#K TEFF     4.610000E+03  1989ApJS...71..715B (Brown)
#K LOGG     2.300000E+00  1989ApJS...71..715B (Brown)
#K FEH      -2.200000E-01  1989ApJS...71..715B (Brown)
#K COVERAGE 3465.0-9451.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.1267726
           3465.4       0.1027348
           3465.8      0.08349052
           3466.2      0.08009965
           3466.6      0.09005056
            3467.        0.105247
           3467.4       0.1205612
           3467.8       0.1320604
           3468.2       0.1399067
           3468.6       0.1375313
            3469.       0.1300585
           3469.4       0.1321874
           3469.8       0.1427154
           3470.2       0.1553541
           3470.6       0.1646772
            3471.       0.1571407
           3471.4       0.1426063
           3471.8       0.1211069
           3472.2       0.1079542
           3472.6       0.1005821
            3473.       0.1025692
           3473.4       0.1008237
           3473.8       0.0934583
           3474.2      0.08358701
           3474.6      0.07507502
            3475.      0.06848396
           3475.4      0.06035955
           3475.8      0.05642059
           3476.2      0.05700875
           3476.6      0.05955098
            3477.      0.06477121
           3477.4      0.07879403
           3477.8       0.1033153
           3478.2       0.1164195
           3478.6       0.1198201
            3479.       0.1200039
           3479.4       0.1193135
           3479.8       0.1151488
           3480.2       0.1105211
           3480.6         0.11179
            3481.       0.1154913
           3481.4       0.1202475
           3481.8       0.1224276
           3482.2       0.1236191
           3482.6        0.116633
            3483.      0.09964161
           3483.4      0.09138163
           3483.8      0.09577628
           3484.2       0.1039887
           3484.6       0.1061784
            3485.        0.101054
           3485.4       0.0976179
           3485.8       0.1051209
           3486.2       0.1238607
           3486.6       0.1443428
            3487.       0.1567589
           3487.4       0.1593644
           3487.8        0.150551
           3488.2       0.1363112
           3488.6       0.1181545
            3489.       0.1002849
           3489.4      0.08680341
           3489.8      0.07359374
           3490.2       0.0626993
           3490.6      0.05976342
            3491.      0.06678666
           3491.4       0.0820061
           3491.8       0.0917023
           3492.2       0.0863599
           3492.6      0.07703611
            3493.      0.07116309
           3493.4      0.07885414
           3493.8      0.09842767
           3494.2        0.119324
           3494.6       0.1289347
            3495.          0.1245
           3495.4       0.1113962
           3495.8        0.097798
           3496.2      0.08627388
           3496.6      0.07717073
            3497.      0.07468778
           3497.4      0.07453062
           3497.8      0.07716057
           3498.2      0.09174795
           3498.6       0.1181838
            3499.        0.142167
           3499.4       0.1611923
           3499.8       0.1677364
           3500.2       0.1576192
           3500.6       0.1463182
            3501.       0.1461839
           3501.4       0.1512368
           3501.8       0.1495546
           3502.2       0.1414772
           3502.6       0.1446995
            3503.        0.164909
           3503.4       0.1886613
           3503.8       0.1984553
           3504.2       0.1872458
           3504.6       0.1657629
            3505.       0.1424582
           3505.4       0.1331819
           3505.8       0.1310933
           3506.2       0.1242966
           3506.6       0.1214729
            3507.       0.1297949
           3507.4       0.1448932
           3507.8       0.1588693
           3508.2       0.1642994
           3508.6       0.1631488
            3509.       0.1514508
           3509.4        0.134257
           3509.8       0.1125719
           3510.2      0.09444506
           3510.6      0.09814379
            3511.       0.1181811
           3511.4       0.1311975
           3511.8        0.128567
           3512.2        0.117822
           3512.6       0.1055516
            3513.       0.0942664
           3513.4      0.08516418
           3513.8      0.07625795
           3514.2      0.07157894
           3514.6      0.06756189
            3515.      0.06865335
           3515.4      0.08340432
           3515.8       0.1072098
           3516.2       0.1286719
           3516.6       0.1453988
            3517.       0.1596111
           3517.4       0.1732524
           3517.8        0.184143
           3518.2       0.1823691
           3518.6       0.1713899
            3519.       0.1646135
           3519.4       0.1529211
           3519.8       0.1383282
           3520.2       0.1249366
           3520.6       0.1157718
            3521.         0.10164
           3521.4      0.08988203
           3521.8      0.09255432
           3522.2       0.1037628
           3522.6       0.1074407
            3523.      0.09761842
           3523.4      0.08183768
           3523.8      0.06536181
           3524.2      0.05518245
           3524.6        0.052838
            3525.      0.05708874
           3525.4      0.06388952
           3525.8      0.06048014
           3526.2      0.05730467
           3526.6      0.06815264
            3527.      0.09020691
           3527.4         0.11025
           3527.8       0.1217694
           3528.2       0.1329011
           3528.6       0.1475198
            3529.       0.1541485
           3529.4         0.14927
           3529.8       0.1403923
           3530.2       0.1368283
           3530.6       0.1403549
            3531.        0.142107
           3531.4       0.1351494
           3531.8       0.1189543
           3532.2       0.1085762
           3532.6       0.1086948
            3533.       0.1097601
           3533.4        0.117791
           3533.8       0.1385613
           3534.2       0.1561627
           3534.6       0.1625632
            3535.       0.1559483
           3535.4       0.1514159
           3535.8       0.1511558
           3536.2       0.1499161
           3536.6       0.1495579
            3537.       0.1460476
           3537.4       0.1424809
           3537.8       0.1378448
           3538.2       0.1361658
           3538.6       0.1477546
            3539.       0.1675257
           3539.4       0.1839352
           3539.8        0.183858
           3540.2       0.1712124
           3540.6       0.1502668
            3541.       0.1377187
           3541.4       0.1322939
           3541.8       0.1309106
           3542.2       0.1287245
           3542.6       0.1321418
            3543.       0.1385485
           3543.4       0.1420219
           3543.8        0.150421
           3544.2       0.1632604
           3544.6       0.1671222
            3545.        0.159379
           3545.4       0.1491058
           3545.8       0.1428349
           3546.2       0.1459045
           3546.6       0.1446865
            3547.       0.1375378
           3547.4       0.1241651
           3547.8       0.1120635
           3548.2       0.1124796
           3548.6       0.1273791
            3549.       0.1471657
           3549.4       0.1562395
           3549.8       0.1505619
           3550.2       0.1419566
           3550.6       0.1345912
            3551.       0.1308537
           3551.4       0.1264133
           3551.8       0.1269929
