#K OBJECT   '129336'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 129336
#K OBJRA    14:41:43.52
#K OBJDEC   +11:39:38.4
#K OBJBMAG  6.500000E+00
#K OBJVMAG  5.560000E+00
#K SPTYPE   G8III
#K OBJRV    -2.330000E+01
#K HDNAME   HD 129336
#K BDNAME   BD+12 2729
#K HIPNAME  HIP 71837
#K SAONAME  SAO 101152
#K VHELIO   -1.61948234980811E+01
#K VLSR     -3.38974070692393E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784578E+03
#K CMAX1    8.120577E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4952  Jones..Coude.Feed.Library
#K LOGG     2.140000E+00  Jones..Coude.Feed.Library
#K FEH      -2.200000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2402712
           3465.4       0.2023658
           3465.8       0.1803986
           3466.2       0.1731096
           3466.6       0.1802976
            3467.       0.1935043
           3467.4       0.2117649
           3467.8        0.231726
           3468.2       0.2419758
           3468.6       0.2437409
            3469.       0.2347505
           3469.4       0.2349145
           3469.8       0.2456106
           3470.2       0.2651415
           3470.6       0.2826175
            3471.       0.2623902
           3471.4       0.2404837
           3471.8       0.2203912
           3472.2       0.2031984
           3472.6       0.1960416
            3473.       0.1933147
           3473.4        0.194434
           3473.8       0.1885909
           3474.2       0.1704876
           3474.6       0.1615111
            3475.       0.1509152
           3475.4       0.1458027
           3475.8       0.1350371
           3476.2        0.132701
           3476.6        0.132541
            3477.       0.1425653
           3477.4        0.165041
           3477.8       0.1905274
           3478.2        0.207288
           3478.6       0.2103709
            3479.       0.2122528
           3479.4       0.2161669
           3479.8       0.2081804
           3480.2       0.1995517
           3480.6       0.1995334
            3481.        0.201642
           3481.4       0.2145146
           3481.8       0.2257952
           3482.2       0.2185319
           3482.6       0.2052696
            3483.       0.1864726
           3483.4       0.1713133
           3483.8       0.1737645
           3484.2       0.1849745
           3484.6       0.1943633
            3485.       0.1868431
           3485.4       0.1793238
           3485.8       0.1955883
           3486.2       0.2246143
           3486.6       0.2566942
            3487.       0.2757002
           3487.4       0.2775058
           3487.8        0.264569
           3488.2       0.2434368
           3488.6       0.2193504
            3489.         0.19621
           3489.4       0.1774996
           3489.8       0.1624943
           3490.2       0.1493872
           3490.6       0.1381785
            3491.       0.1459775
           3491.4       0.1753602
           3491.8       0.1951658
           3492.2       0.1925821
           3492.6       0.1702917
            3493.        0.156458
           3493.4       0.1643776
           3493.8       0.1925084
           3494.2       0.2241695
           3494.6       0.2333718
            3495.       0.2215495
           3495.4       0.1999936
           3495.8       0.1709773
           3496.2       0.1545877
           3496.6       0.1514829
            3497.       0.1531036
           3497.4       0.1509547
           3497.8        0.161224
           3498.2       0.1818674
           3498.6       0.2194579
            3499.        0.260194
           3499.4        0.278926
           3499.8       0.2801263
           3500.2       0.2709151
           3500.6       0.2585159
            3501.        0.264826
           3501.4         0.27614
           3501.8        0.266928
           3502.2       0.2502738
           3502.6       0.2617579
            3503.        0.289299
           3503.4       0.3203419
           3503.8       0.3273159
           3504.2       0.3045497
           3504.6       0.2665563
            3505.        0.236864
           3505.4       0.2303713
           3505.8       0.2235662
           3506.2       0.2133137
           3506.6       0.2121729
            3507.       0.2314754
           3507.4       0.2527398
           3507.8       0.2670954
           3508.2       0.2722756
           3508.6       0.2776165
            3509.       0.2732668
           3509.4       0.2562039
           3509.8       0.2226981
           3510.2       0.1908439
           3510.6       0.1964971
            3511.       0.2239522
           3511.4       0.2397023
           3511.8       0.2343749
           3512.2       0.2181298
           3512.6       0.2067413
            3513.       0.1880116
           3513.4       0.1733875
           3513.8       0.1669055
           3514.2       0.1664735
           3514.6       0.1599813
            3515.        0.161272
           3515.4       0.1866695
           3515.8        0.218908
           3516.2       0.2438782
           3516.6       0.2608053
            3517.       0.2765738
           3517.4       0.2969778
           3517.8        0.309155
           3518.2       0.3059314
           3518.6       0.2948459
            3519.       0.2955322
           3519.4       0.2852316
           3519.8       0.2576338
           3520.2       0.2377422
           3520.6       0.2240952
            3521.       0.2034462
           3521.4       0.1857768
           3521.8       0.1852385
           3522.2       0.2036441
           3522.6       0.2100141
            3523.       0.1963013
           3523.4       0.1710801
           3523.8        0.145596
           3524.2       0.1296564
           3524.6       0.1252864
            3525.       0.1421698
           3525.4       0.1604945
           3525.8       0.1497759
           3526.2       0.1285718
           3526.6       0.1353466
            3527.       0.1689517
           3527.4       0.2027063
           3527.8        0.222363
           3528.2       0.2364012
           3528.6        0.259618
            3529.       0.2609789
           3529.4        0.253305
           3529.8       0.2495536
           3530.2       0.2402889
           3530.6       0.2436122
            3531.       0.2499956
           3531.4       0.2355922
           3531.8       0.2177563
           3532.2       0.2034158
           3532.6       0.1929776
            3533.       0.1956529
           3533.4       0.2106809
           3533.8       0.2463604
           3534.2       0.2748772
           3534.6        0.276853
            3535.         0.26684
           3535.4       0.2615677
           3535.8       0.2638713
           3536.2       0.2630963
           3536.6       0.2568437
            3537.       0.2525454
           3537.4       0.2453611
           3537.8       0.2348345
           3538.2       0.2365884
           3538.6       0.2573528
            3539.       0.2777631
           3539.4       0.2995759
           3539.8       0.3059515
           3540.2       0.2846978
           3540.6       0.2625265
            3541.       0.2473182
           3541.4       0.2382306
           3541.8       0.2346905
           3542.2       0.2283051
           3542.6       0.2269856
            3543.        0.235377
           3543.4       0.2453389
           3543.8       0.2607137
           3544.2       0.2663816
           3544.6       0.2713027
            3545.       0.2630701
           3545.4        0.255029
           3545.8       0.2435693
           3546.2       0.2443531
           3546.6       0.2582108
            3547.       0.2498732
           3547.4       0.2242424
           3547.8        0.211144
           3548.2       0.2107701
           3548.6       0.2325607
            3549.       0.2552283
           3549.4       0.2696411
           3549.8       0.2672784
           3550.2       0.2545607
           3550.6       0.2420981
            3551.       0.2285915
           3551.4       0.2198345
           3551.8       0.2182886
           3552.2        0.224162
           3552.6       0.2225257
            3553.        0.205656
           3553.4       0.1939327
           3553.8        0.183336
           3554.2       0.1864622
           3554.6       0.1846086
            3555.       0.2039485
           3555.4       0.2337354
           3555.8       0.2482868
           3556.2       0.2456249
           3556.6       0.2303592
            3557.       0.2176846
           3557.4       0.2260906
           3557.8       0.2305806
           3558.2       0.2019566
           3558.6       0.1741557
            3559.       0.1754587
           3559.4       0.1875033
           3559.8       0.1965997
           3560.2       0.2031961
           3560.6       0.1984016
            3561.       0.1878679
           3561.4       0.1887687
           3561.8       0.1918833
           3562.2       0.2102608
           3562.6         0.23824
            3563.       0.2554047
           3563.4       0.2673857
           3563.8       0.2601956
           3564.2       0.2260106
           3564.6        0.190524
            3565.       0.1430295
           3565.4       0.1143289
           3565.8       0.1038678
           3566.2       0.1098635
           3566.6       0.1286315
            3567.       0.1604484
           3567.4       0.1838094
           3567.8       0.1978695
           3568.2       0.2019305
           3568.6       0.1845742
            3569.       0.1582084
           3569.4       0.1249432
           3569.8      0.09891366
           3570.2       0.1007653
           3570.6       0.1227593
            3571.       0.1604411
           3571.4       0.1770908
           3571.8       0.1658373
           3572.2       0.1698679
           3572.6       0.1939014
            3573.       0.2186299
           3573.4       0.2217997
           3573.8       0.2058286
           3574.2       0.2022894
           3574.6       0.2039382
            3575.       0.2006327
           3575.4       0.2047684
           3575.8       0.2059997
           3576.2       0.2109926
           3576.6       0.2182626
            3577.       0.2186899
           3577.4       0.2099458
           3577.8       0.1981418
           3578.2       0.1713561
           3578.6       0.1453972
            3579.       0.1462807
           3579.4       0.1569065
           3579.8       0.1550653
           3580.2       0.1343908
           3580.6       0.1103439
            3581.      0.08125798
           3581.4       0.0681112
           3581.8      0.07127569
           3582.2      0.08988783
           3582.6       0.1092721
            3583.       0.1227017
           3583.4        0.127592
           3583.8       0.1217072
           3584.2       0.1133619
           3584.6       0.1041155
            3585.       0.0869164
           3585.4      0.07473289
           3585.8      0.08142002
           3586.2       0.1002274
           3586.6       0.1056492
            3587.       0.1010317
           3587.4       0.1036332
           3587.8       0.1169194
           3588.2       0.1269239
           3588.6       0.1277618
            3589.       0.1200184
           3589.4       0.1136134
           3589.8       0.1172744
           3590.2       0.1341319
           3590.6       0.1782216
            3591.       0.2312775
           3591.4       0.2673346
           3591.8       0.2817532
           3592.2       0.2713079
           3592.6       0.2538922
            3593.       0.2278258
           3593.4       0.2000597
           3593.8       0.2074939
           3594.2       0.2362492
           3594.6       0.2535225
            3595.       0.2587611
           3595.4        0.260418
           3595.8       0.2755942
           3596.2       0.2970363
           3596.6       0.3260194
            3597.       0.3488069
           3597.4       0.3284097
           3597.8        0.310465
           3598.2       0.3142585
           3598.6       0.3137767
            3599.       0.3095554
           3599.4        0.316583
           3599.8       0.3345384
