#K OBJECT   '131156'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 131156
#K OBJRA    14:51:23.38
#K OBJDEC   +19:06:01.7
#K OBJBMAG  5.310000E+00
#K OBJVMAG  4.550000E+00
#K SPTYPE   G8V
#K OBJRV    3.000000E+00
#K HDNAME   HD 131156
#K BDNAME   BD+19 2870
#K HIPNAME  HIP 72659
#K SAONAME  SAO 101250
#K VHELIO   2.30116641774949E+01
#K VLSR     3.72109032180146E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.680139E+03
#K CMAX1    6.010435E+03
#K PICKTYPE G8V
#K NCOMBINE 6
#K TEFF     5500  1995A&A...304..449R (Ruck)
#K LOGG     4.600000E+00  1995A&A...304..449R (Ruck)
#K FEH      -1.500000E-01  1995A&A...304..449R (Ruck)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        0.459721
           3465.4       0.3932778
           3465.8       0.3334309
           3466.2       0.3249477
           3466.6       0.3618081
            3467.        0.409382
           3467.4       0.4490657
           3467.8       0.4782908
           3468.2       0.4899889
           3468.6       0.4827327
            3469.       0.4599116
           3469.4       0.4527443
           3469.8       0.4814139
           3470.2       0.5170184
           3470.6       0.5284675
            3471.        0.504428
           3471.4        0.462989
           3471.8       0.4274361
           3472.2       0.3893436
           3472.6        0.370966
            3473.       0.3770185
           3473.4       0.3738383
           3473.8       0.3565932
           3474.2       0.3330284
           3474.6       0.3079478
            3475.       0.2783625
           3475.4       0.2470794
           3475.8       0.2352674
           3476.2       0.2375066
           3476.6       0.2427393
            3477.       0.2714705
           3477.4       0.3257132
           3477.8       0.3829741
           3478.2       0.4165635
           3478.6       0.4298977
            3479.       0.4483025
           3479.4       0.4513824
           3479.8       0.4412019
           3480.2        0.437355
           3480.6       0.4342795
            3481.        0.432899
           3481.4       0.4362638
           3481.8       0.4336295
           3482.2        0.420252
           3482.6       0.3970751
            3483.       0.3670748
           3483.4       0.3452409
           3483.8       0.3453011
           3484.2       0.3606035
           3484.6       0.3677936
            3485.       0.3663526
           3485.4       0.3643664
           3485.8        0.383615
           3486.2       0.4216777
           3486.6       0.4626801
            3487.       0.4919173
           3487.4       0.4952426
           3487.8       0.4751111
           3488.2       0.4377131
           3488.6       0.3897981
            3489.       0.3456323
           3489.4        0.311841
           3489.8        0.284989
           3490.2       0.2547916
           3490.6       0.2379227
            3491.       0.2551755
           3491.4        0.300893
           3491.8         0.33858
           3492.2       0.3361101
           3492.6       0.3038946
            3493.       0.2809738
           3493.4       0.2982962
           3493.8       0.3541704
           3494.2       0.4028151
           3494.6       0.4239577
            3495.       0.4123889
           3495.4       0.3738501
           3495.8       0.3373651
           3496.2       0.3123783
           3496.6       0.2962443
            3497.       0.2794596
           3497.4       0.2638109
           3497.8       0.2684982
           3498.2       0.3093063
           3498.6       0.3806156
            3499.       0.4473876
           3499.4       0.4903332
           3499.8       0.5003875
           3500.2       0.4725578
           3500.6       0.4480164
            3501.       0.4479389
           3501.4       0.4619153
           3501.8       0.4600878
           3502.2       0.4471259
