#K OBJECT   '131507'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 131507
#K OBJRA    14:51:26.44
#K OBJDEC   +59:17:38.3
#K OBJBMAG  6.887000E+00
#K OBJVMAG  5.493000E+00
#K SPTYPE   K4III
#K OBJRV    1.140000E+01
#K HDNAME   HD 131507
#K BDNAME   BD+59 1615
#K HIPNAME  HIP 72664
#K SAONAME  SAO 29315
#K VHELIO   6.60975155744740E+00
#K VLSR     2.11153335051392E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434539E+03
#K CMAX1    4.762838E+03
#K PICKTYPE K4III
#K NCOMBINE 4
#K TEFF     4140  1990ApJS...74.1075M (McWilliam)
#K LOGG     1.990000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -2.000000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-8645.8

#      wavelength        spectrum
#       angstroms                

            3465.      0.06478124
           3465.4      0.05228541
           3465.8       0.0430635
           3466.2        0.041192
           3466.6      0.04708925
            3467.      0.05551634
           3467.4      0.06429049
           3467.8      0.07323919
           3468.2      0.07960475
           3468.6      0.08014911
            3469.      0.07903421
           3469.4      0.07914942
           3469.8      0.08453441
           3470.2      0.09331008
           3470.6      0.09767211
            3471.      0.09396707
           3471.4      0.08320621
           3471.8      0.07043634
           3472.2      0.05980607
           3472.6      0.05447868
            3473.       0.0534494
           3473.4      0.05153891
           3473.8      0.04704924
           3474.2      0.04088311
           3474.6      0.03512703
            3475.      0.03113016
           3475.4      0.02821835
           3475.8      0.02713109
           3476.2      0.02861411
           3476.6      0.03099445
            3477.      0.03704137
           3477.4      0.05013536
           3477.8      0.06272313
           3478.2      0.07023268
           3478.6      0.07150284
            3479.      0.07201742
           3479.4      0.07267831
           3479.8      0.07093541
           3480.2      0.06947577
           3480.6      0.07119248
            3481.      0.07395847
           3481.4      0.07829954
           3481.8       0.0833033
           3482.2       0.0807883
           3482.6      0.07192358
            3483.      0.06141079
           3483.4      0.05432959
           3483.8      0.05627464
           3484.2      0.06336378
           3484.6      0.06769891
            3485.      0.06614352
           3485.4      0.06360893
           3485.8      0.06870311
           3486.2      0.08083139
           3486.6      0.09248158
            3487.       0.1002613
           3487.4       0.1015388
           3487.8      0.09591334
           3488.2      0.08832975
           3488.6      0.07475302
            3489.      0.06277366
           3489.4       0.0522228
           3489.8      0.04151271
           3490.2      0.03292119
           3490.6       0.0293508
            3491.      0.03240454
           3491.4      0.04093746
           3491.8      0.04790511
           3492.2      0.04620517
           3492.6       0.0400934
            3493.      0.03829741
           3493.4      0.04235508
           3493.8      0.05517706
           3494.2      0.06778134
           3494.6       0.0738081
            3495.      0.07188553
           3495.4      0.06416099
           3495.8      0.05443596
           3496.2      0.04593294
           3496.6      0.04166995
            3497.      0.03938029
           3497.4      0.03827757
           3497.8      0.04282425
           3498.2      0.05175965
           3498.6      0.06666319
            3499.      0.08334357
           3499.4      0.09621119
           3499.8      0.09855856
           3500.2      0.09229494
           3500.6      0.08228738
            3501.      0.07893685
           3501.4      0.08330658
           3501.8      0.08338042
           3502.2       0.0799035
           3502.6      0.08577991
            3503.       0.1010997
           3503.4       0.1181329
           3503.8       0.1289955
           3504.2       0.1220469
           3504.6       0.1055561
            3505.        0.090383
           3505.4      0.08404128
           3505.8      0.07844539
           3506.2      0.07449649
           3506.6      0.07303263
            3507.      0.07634144
           3507.4      0.08644273
           3507.8       0.0954957
           3508.2      0.09879127
           3508.6      0.09722641
            3509.      0.08676278
