#K OBJECT   '132254'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 132254
#K OBJRA    14:56:23.04
#K OBJDEC   +49:37:42.4
#K OBJBMAG  6.130000E+00
#K OBJVMAG  5.600000E+00
#K SPTYPE   F7V
#K OBJRV    -1.460000E+01
#K HDNAME   HD 132254
#K BDNAME   BD+50 2126
#K HIPNAME  HIP 73100
#K SAONAME  SAO 45288
#K VHELIO   -1.17446034766096E+01
#K VLSR     3.54553278589631E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.742915E+03
#K CMAX1    6.069490E+03
#K PICKTYPE F6V
#K NCOMBINE 4
#K TEFF     6231  2000A&AS..141..491C (Chen)
#K LOGG     4.220000E+00  2000A&AS..141..491C (Chen)
#K FEH      7.000000E-02  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-8646.6

#      wavelength        spectrum
#       angstroms                

            3465.       0.7280196
           3465.4       0.6751038
           3465.8       0.6258497
           3466.2       0.6135117
           3466.6       0.6529017
            3467.        0.677552
           3467.4       0.7007672
           3467.8       0.7279002
           3468.2       0.7359102
           3468.6       0.7155816
            3469.       0.6875567
           3469.4       0.6881519
           3469.8        0.721945
           3470.2       0.7619724
           3470.6       0.7809765
            3471.       0.7540201
           3471.4       0.7136165
           3471.8       0.6874223
           3472.2       0.6606234
           3472.6       0.6641216
            3473.       0.6838148
           3473.4       0.6645225
           3473.8       0.6262269
           3474.2       0.6066737
           3474.6        0.594769
            3475.       0.5727401
           3475.4        0.539098
           3475.8       0.5252325
           3476.2       0.5405816
           3476.6       0.5371036
            3477.       0.5440787
           3477.4       0.5811579
           3477.8       0.6338532
           3478.2       0.6600714
           3478.6       0.6809162
            3479.       0.6869527
           3479.4       0.6795602
           3479.8       0.6780778
           3480.2       0.6719569
           3480.6       0.6704625
            3481.       0.6709329
           3481.4       0.6748912
           3481.8       0.6796948
           3482.2        0.668396
           3482.6       0.6425877
            3483.        0.605393
           3483.4       0.5703613
           3483.8       0.5793884
           3484.2       0.6158391
           3484.6       0.6338748
            3485.       0.6271136
           3485.4       0.6185145
           3485.8       0.6317564
           3486.2       0.6766109
           3486.6       0.7413767
            3487.       0.7740621
           3487.4       0.7644831
           3487.8       0.7541234
           3488.2       0.7079763
           3488.6       0.6530825
            3489.       0.6017517
           3489.4       0.5839972
           3489.8       0.5843365
           3490.2       0.5744857
           3490.6       0.5664026
            3491.       0.5840476
           3491.4       0.6396827
           3491.8        0.677987
           3492.2       0.6764963
           3492.6       0.6280248
            3493.       0.5758719
           3493.4       0.5819069
           3493.8       0.6343517
           3494.2       0.6892527
           3494.6       0.6826823
            3495.       0.6428974
           3495.4       0.6023619
           3495.8       0.5567669
           3496.2        0.527921
           3496.6       0.5164803
            3497.       0.5159354
           3497.4       0.5230416
           3497.8       0.5422998
           3498.2       0.6094357
           3498.6       0.6808307
            3499.       0.7680408
           3499.4        0.796429
           3499.8       0.7669277
           3500.2       0.7278425
           3500.6       0.7134829
            3501.       0.7322357
           3501.4       0.7556369
           3501.8        0.752857
           3502.2       0.7293457
           3502.6       0.7367725
            3503.       0.7742923
           3503.4       0.8204303
           3503.8       0.8373949
           3504.2       0.8049971
           3504.6       0.7481337
            3505.       0.6743686
           3505.4       0.6465818
           3505.8       0.6561709
           3506.2       0.6593167
           3506.6       0.6669542
            3507.       0.6827067
           3507.4        0.707541
           3507.8       0.7295651
           3508.2       0.7393165
           3508.6       0.7461725
            3509.       0.7513068
           3509.4       0.7378682
           3509.8       0.6872866
           3510.2       0.6300938
           3510.6       0.6277946
            3511.       0.6698985
           3511.4       0.7009556
           3511.8       0.7022357
           3512.2       0.6823747
           3512.6       0.6570434
            3513.        0.636261
           3513.4          0.6084
           3513.8       0.5986124
           3514.2       0.6026377
           3514.6        0.622021
            3515.       0.6451383
           3515.4       0.6873235
           3515.8       0.7269105
           3516.2       0.7412326
           3516.6       0.7492873
            3517.       0.7715737
           3517.4       0.7997638
           3517.8       0.8110762
           3518.2       0.7951614
           3518.6        0.771745
            3519.       0.7700841
           3519.4       0.7712627
           3519.8       0.7267292
           3520.2        0.691265
           3520.6       0.6819649
            3521.       0.6670361
           3521.4       0.6513575
           3521.8       0.6634362
           3522.2       0.6926338
           3522.6       0.7064421
            3523.       0.6855395
           3523.4       0.6384304
           3523.8       0.6020795
           3524.2       0.5668387
           3524.6       0.5618539
            3525.       0.6066908
           3525.4        0.643276
           3525.8       0.5827073
           3526.2       0.4902776
           3526.6       0.4634196
            3527.       0.5465063
           3527.4       0.6413612
           3527.8       0.6814694
           3528.2        0.726098
           3528.6       0.7700004
            3529.       0.7932664
           3529.4        0.769582
           3529.8       0.7347181
           3530.2        0.720177
           3530.6       0.7321032
            3531.       0.7490482
           3531.4       0.7323467
           3531.8       0.6922246
           3532.2       0.6558217
           3532.6       0.6374198
            3533.        0.645919
           3533.4       0.6821101
           3533.8       0.7388003
           3534.2       0.7911412
           3534.6        0.802158
            3535.        0.777386
           3535.4       0.7400296
           3535.8       0.7224947
           3536.2       0.7249255
           3536.6       0.7411532
            3537.       0.7524035
           3537.4       0.7296069
           3537.8       0.7080075
           3538.2        0.714938
           3538.6       0.7545652
            3539.       0.8294712
           3539.4       0.8797855
           3539.8       0.8791728
           3540.2       0.8322081
           3540.6       0.7749566
            3541.       0.7399533
           3541.4       0.7249135
           3541.8       0.7257419
           3542.2       0.7290246
           3542.6       0.7495273
            3543.        0.772037
           3543.4       0.7850823
           3543.8       0.8037127
           3544.2       0.8192728
           3544.6       0.8133603
            3545.       0.7814806
           3545.4       0.7550376
           3545.8       0.7604047
           3546.2       0.7947293
           3546.6       0.8315613
            3547.       0.8207209
           3547.4       0.7798384
           3547.8       0.7380288
           3548.2       0.7233232
           3548.6       0.7569864
            3549.       0.8084815
           3549.4        0.828832
           3549.8        0.827563
           3550.2       0.8291336
           3550.6       0.8162708
            3551.       0.8134633
           3551.4       0.7992406
           3551.8       0.7786015
           3552.2        0.769084
           3552.6       0.7651651
            3553.       0.7470732
           3553.4       0.7271655
           3553.8       0.7072492
           3554.2       0.6832607
           3554.6       0.6678299
            3555.        0.686748
           3555.4       0.7564308
           3555.8       0.8174349
           3556.2       0.8237991
           3556.6       0.7822295
            3557.       0.7582717
           3557.4       0.7771656
           3557.8       0.8018392
           3558.2       0.7623457
           3558.6       0.7276796
            3559.       0.7370531
           3559.4       0.7574712
           3559.8       0.7654936
           3560.2       0.7504984
           3560.6       0.7337778
            3561.       0.7214835
           3561.4       0.7261165
           3561.8       0.7547525
           3562.2       0.8005646
           3562.6       0.8410137
            3563.       0.8923243
           3563.4       0.9053009
           3563.8       0.8770092
           3564.2       0.8100598
           3564.6       0.7124086
            3565.       0.6165575
           3565.4       0.5321155
           3565.8       0.4826927
           3566.2       0.5047184
           3566.6       0.5675507
            3567.       0.6358683
           3567.4       0.6877822
           3567.8       0.7287978
           3568.2       0.7330281
           3568.6       0.7016532
            3569.       0.6400129
           3569.4       0.5510101
           3569.8       0.4758075
           3570.2       0.4689993
           3570.6       0.5413333
            3571.       0.6343188
           3571.4       0.6654567
           3571.8       0.6400048
           3572.2       0.6258671
           3572.6       0.6375653
            3573.       0.6716921
           3573.4       0.6722667
           3573.8       0.6524623
           3574.2         0.64643
           3574.6       0.6637062
            3575.       0.6645713
           3575.4       0.6576718
           3575.8       0.6713939
           3576.2       0.6862867
           3576.6       0.7068838
            3577.       0.7352979
           3577.4       0.7668969
           3577.8       0.7476106
           3578.2       0.6964735
           3578.6       0.6597288
            3579.       0.6721398
           3579.4        0.723855
           3579.8       0.7308953
           3580.2        0.681676
           3580.6       0.5773304
            3581.       0.4531201
           3581.4       0.4023581
           3581.8       0.4364411
           3582.2       0.5183316
           3582.6       0.5936673
            3583.       0.6664947
           3583.4       0.7110326
           3583.8       0.7095394
           3584.2       0.6700608
           3584.6       0.5871435
            3585.       0.4872452
           3585.4       0.4386545
           3585.8       0.4627524
           3586.2       0.5073768
           3586.6       0.5183557
            3587.       0.4979766
           3587.4       0.4960169
           3587.8       0.5373945
           3588.2        0.581057
           3588.6       0.6052678
            3589.       0.6060792
           3589.4        0.590448
           3589.8       0.6013739
           3590.2       0.6406074
           3590.6       0.6932129
            3591.        0.753655
           3591.4       0.7901085
           3591.8       0.7915165
           3592.2       0.7768752
           3592.6       0.7411575
            3593.       0.7006674
           3593.4       0.6740102
           3593.8       0.7029567
           3594.2       0.7435991
           3594.6       0.7577754
            3595.       0.7504016
           3595.4       0.7606155
           3595.8       0.7668514
           3596.2        0.776889
           3596.6        0.812923
            3597.       0.8366483
           3597.4       0.8252181
           3597.8       0.8080118
           3598.2       0.7979518
           3598.6       0.7896862
            3599.       0.7859665
           3599.4       0.7887465
           3599.8       0.8003075
           3600.2       0.8298948
           3600.6       0.8490053
            3601.       0.8459515
           3601.4       0.8264195
           3601.8       0.7551244
           3602.2       0.6707395
           3602.6       0.6429888
            3603.       0.6407255
           3603.4       0.6424229
           3603.8       0.6388519
           3604.2       0.6585245
           3604.6       0.6694806
            3605.       0.6415358
           3605.4       0.6047038
           3605.8       0.6186964
           3606.2       0.6636519
           3606.6       0.6950129
            3607.         0.72863
           3607.4       0.7514599
           3607.8       0.7233204
           3608.2       0.6545667
           3608.6       0.5738638
            3609.       0.5366886
           3609.4       0.5615162
           3609.8       0.5925834
           3610.2       0.5966941
           3610.6       0.6006979
            3611.       0.6419001
           3611.4       0.7002137
           3611.8       0.7438791
           3612.2        0.739317
           3612.6       0.7005005
            3613.       0.6514323
           3613.4       0.5941636
           3613.8       0.5765493
           3614.2       0.6158693
           3614.6       0.6640456
            3615.       0.7093771
           3615.4       0.7543005
           3615.8        0.771558
           3616.2       0.7590855
           3616.6       0.7649931
            3617.       0.7509703
           3617.4       0.7059684
           3617.8       0.6447346
           3618.2       0.5640371
           3618.6       0.4774703
            3619.        0.425119
           3619.4       0.4579615
           3619.8       0.5446206
           3620.2         0.63422
           3620.6       0.6680314
            3621.       0.6570075
           3621.4       0.6374494
           3621.8       0.6559244
           3622.2        0.719633
           3622.6       0.7747052
            3623.       0.7781327
           3623.4       0.7342295
           3623.8       0.6818783
           3624.2        0.657097
           3624.6        0.658884
            3625.       0.6925551
           3625.4       0.7589177
           3625.8       0.8203784
           3626.2       0.8643596
           3626.6       0.8783519
            3627.       0.8855851
           3627.4       0.8696648
           3627.8        0.841673
           3628.2       0.8325353
           3628.6       0.8435906
            3629.       0.8542197
           3629.4       0.8477324
           3629.8       0.8133302
           3630.2       0.7322901
           3630.6       0.6204733
            3631.       0.5093133
           3631.4       0.4383491
           3631.8       0.4488903
           3632.2       0.5358984
           3632.6       0.6079515
            3633.       0.6543505
           3633.4       0.6905203
           3633.8       0.6859736
           3634.2       0.6480029
           3634.6       0.6178889
            3635.       0.6149877
           3635.4       0.6583908
           3635.8       0.7131503
           3636.2       0.7084353
           3636.6       0.6845285
            3637.       0.6758622
           3637.4       0.7025035
           3637.8       0.7209543
           3638.2       0.7313433
