#K OBJECT   '133165'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 133165
#K OBJRA    15:02:54.04
#K OBJDEC   +02:05:28.7
#K OBJBMAG  5.445000E+00
#K OBJVMAG  4.404000E+00
#K SPTYPE   K0.5IIIb
#K OBJRV    -1.640000E+01
#K HDNAME   HD 133165
#K BDNAME   BD+02 2905
#K HIPNAME  HIP 73620
#K SAONAME  SAO 120809
#K VHELIO   -1.30753390050467E+01
#K VLSR     -5.26109741986184E-01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785271E+03
#K CMAX1    8.121203E+03
#K PICKTYPE K0III
#K NCOMBINE 7
#K TEFF     4650  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.990000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -2.200000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1970357
           3465.4       0.1643019
           3465.8       0.1419565
           3466.2       0.1351682
           3466.6       0.1516706
            3467.       0.1720708
           3467.4       0.1876128
           3467.8       0.2079902
           3468.2        0.212564
           3468.6       0.2149918
            3469.       0.2039862
           3469.4       0.2109634
           3469.8       0.2277024
           3470.2       0.2474672
           3470.6       0.2575884
            3471.       0.2420466
           3471.4       0.2160688
           3471.8       0.1925224
           3472.2       0.1740128
           3472.6       0.1685461
            3473.       0.1646861
           3473.4       0.1670952
           3473.8        0.153811
           3474.2       0.1414863
           3474.6       0.1286681
            3475.       0.1169495
           3475.4       0.1029968
           3475.8      0.09695907
           3476.2      0.09732076
           3476.6        0.101868
            3477.       0.1224218
           3477.4       0.1493372
           3477.8       0.1718995
           3478.2       0.1845139
           3478.6       0.1895588
            3479.       0.1948306
           3479.4       0.1932606
           3479.8       0.1827319
           3480.2       0.1783435
           3480.6       0.1792576
            3481.       0.1844622
           3481.4        0.192507
           3481.8       0.1988777
           3482.2       0.1942374
           3482.6       0.1735333
            3483.       0.1553651
           3483.4       0.1514552
           3483.8       0.1615626
           3484.2        0.168222
           3484.6       0.1685041
            3485.       0.1634167
           3485.4       0.1646904
           3485.8       0.1756143
           3486.2       0.2042807
           3486.6       0.2319146
            3487.       0.2475505
           3487.4       0.2529474
           3487.8       0.2427853
           3488.2       0.2218697
           3488.6       0.1873494
            3489.       0.1635205
           3489.4       0.1413327
           3489.8       0.1316622
           3490.2       0.1134696
           3490.6       0.1072927
            3491.       0.1269238
           3491.4       0.1455805
           3491.8       0.1584585
           3492.2       0.1564701
           3492.6       0.1334704
            3493.       0.1247796
           3493.4       0.1448692
           3493.8       0.1737818
           3494.2       0.2046827
           3494.6       0.2089365
            3495.       0.1980119
           3495.4       0.1793491
           3495.8       0.1584845
           3496.2       0.1398032
           3496.6       0.1278115
            3497.        0.123796
           3497.4       0.1228946
           3497.8        0.131464
           3498.2       0.1608713
           3498.6       0.2001014
            3499.       0.2332881
           3499.4       0.2586507
           3499.8       0.2634135
           3500.2       0.2498283
           3500.6       0.2359944
            3501.       0.2444449
           3501.4       0.2498295
           3501.8       0.2409658
           3502.2       0.2310426
           3502.6       0.2384655
            3503.       0.2724556
           3503.4       0.3109641
           3503.8       0.3172269
           3504.2       0.2897654
           3504.6       0.2551723
            3505.       0.2252761
           3505.4       0.2103099
           3505.8       0.2063707
           3506.2       0.2002845
           3506.6       0.2014653
            3507.       0.2143432
           3507.4       0.2402554
           3507.8        0.259288
           3508.2       0.2662914
           3508.6       0.2621318
            3509.       0.2433034
           3509.4       0.2179707
           3509.8       0.1859518
           3510.2       0.1685524
           3510.6       0.1750711
            3511.       0.2021355
           3511.4       0.2197264
           3511.8       0.2173394
           3512.2       0.1891854
           3512.6       0.1736087
            3513.        0.164304
           3513.4       0.1470152
           3513.8       0.1342686
           3514.2        0.127858
           3514.6       0.1246272
            3515.       0.1310783
           3515.4       0.1583387
           3515.8       0.1961892
           3516.2       0.2268195
           3516.6       0.2425116
            3517.       0.2668687
           3517.4       0.2886556
           3517.8       0.3021423
           3518.2       0.2954571
           3518.6       0.2787803
            3519.        0.267285
           3519.4       0.2507268
           3519.8       0.2285248
           3520.2       0.2113273
           3520.6       0.1922269
            3521.       0.1719509
           3521.4       0.1589441
           3521.8       0.1646801
           3522.2       0.1791675
           3522.6       0.1827836
            3523.       0.1659925
           3523.4       0.1347065
           3523.8       0.1124008
           3524.2      0.09873996
           3524.6      0.09353121
            3525.       0.1080787
           3525.4        0.120116
           3525.8       0.1114044
           3526.2        0.102852
           3526.6       0.1167419
            3527.       0.1575752
           3527.4       0.1932212
           3527.8       0.2163357
           3528.2        0.229799
           3528.6       0.2476658
            3529.       0.2569657
           3529.4       0.2461005
           3529.8       0.2346935
           3530.2       0.2335291
           3530.6       0.2373586
            3531.       0.2395708
           3531.4       0.2230431
           3531.8       0.2030717
           3532.2       0.1866296
           3532.6       0.1798304
            3533.       0.1873802
           3533.4       0.2086725
           3533.8       0.2305312
           3534.2       0.2567409
           3534.6       0.2665751
            3535.       0.2519313
           3535.4       0.2443917
           3535.8        0.246627
           3536.2       0.2416281
           3536.6       0.2412607
            3537.       0.2393273
           3537.4       0.2314699
           3537.8       0.2285418
           3538.2       0.2293072
           3538.6       0.2533025
            3539.       0.2848435
           3539.4        0.304471
           3539.8       0.2988655
           3540.2        0.273431
           3540.6       0.2468525
            3541.       0.2282749
           3541.4        0.220753
           3541.8       0.2186043
           3542.2       0.2151304
           3542.6       0.2228209
            3543.       0.2316314
           3543.4       0.2398395
           3543.8       0.2513101
           3544.2         0.26763
           3544.6       0.2674878
            3545.       0.2559358
           3545.4       0.2480474
           3545.8       0.2456178
           3546.2       0.2442342
           3546.6       0.2378064
            3547.       0.2253072
           3547.4       0.2074756
           3547.8        0.195567
           3548.2       0.1969999
           3548.6       0.2193056
            3549.       0.2460676
           3549.4       0.2549464
           3549.8       0.2471285
           3550.2       0.2368735
           3550.6       0.2260365
            3551.       0.2144247
           3551.4       0.2086125
           3551.8       0.2092816
           3552.2       0.2116304
           3552.6        0.207842
            3553.       0.1902956
           3553.4       0.1769978
           3553.8       0.1710754
           3554.2       0.1708696
           3554.6       0.1730999
            3555.        0.190254
           3555.4       0.2260307
           3555.8       0.2414239
           3556.2       0.2256512
           3556.6       0.2065277
            3557.       0.2004107
           3557.4       0.2040717
           3557.8       0.1974094
           3558.2       0.1739186
           3558.6        0.148107
            3559.        0.152783
           3559.4       0.1739682
           3559.8       0.1877693
           3560.2       0.1891276
           3560.6       0.1885874
            3561.       0.1826973
           3561.4       0.1787407
           3561.8       0.1876142
           3562.2       0.2070093
           3562.6       0.2292177
            3563.       0.2448989
           3563.4       0.2520738
           3563.8        0.234322
           3564.2       0.1989309
           3564.6       0.1475641
            3565.       0.1063654
           3565.4      0.08651524
           3565.8      0.08190587
           3566.2      0.09581725
           3566.6        0.120425
            3567.       0.1463151
           3567.4       0.1666583
           3567.8       0.1727502
           3568.2       0.1673207
           3568.6       0.1495029
            3569.       0.1215842
           3569.4      0.09401781
           3569.8      0.07317752
           3570.2      0.07745612
           3570.6      0.09185344
            3571.       0.1171561
           3571.4       0.1334479
           3571.8        0.135916
           3572.2       0.1491773
           3572.6       0.1783336
            3573.       0.1997993
           3573.4       0.1972739
           3573.8       0.1836258
           3574.2       0.1804754
           3574.6       0.1856412
            3575.       0.1822302
           3575.4       0.1819779
           3575.8        0.190692
           3576.2       0.1946607
           3576.6       0.1985307
            3577.       0.1978915
           3577.4       0.1827238
           3577.8       0.1564103
           3578.2       0.1251655
           3578.6       0.1047896
            3579.       0.1071007
           3579.4       0.1129015
           3579.8       0.1171439
           3580.2      0.09598663
           3580.6      0.07194491
            3581.      0.05588771
           3581.4      0.05259833
           3581.8      0.06216944
           3582.2      0.07745577
           3582.6       0.0904476
            3583.       0.1022834
           3583.4       0.1133039
           3583.8       0.1162238
           3584.2       0.1058844
           3584.6      0.08665157
            3585.      0.07574315
           3585.4      0.06963162
           3585.8      0.07672173
           3586.2      0.08301934
           3586.6      0.08380298
            3587.      0.08325154
           3587.4      0.09166179
           3587.8       0.1085092
           3588.2       0.1194365
           3588.6       0.1174323
            3589.       0.1082174
           3589.4       0.1020781
           3589.8       0.1109203
           3590.2       0.1405768
           3590.6       0.1896861
            3591.       0.2334293
           3591.4       0.2624975
           3591.8       0.2664494
           3592.2       0.2553636
           3592.6       0.2212252
            3593.         0.17888
           3593.4       0.1586968
           3593.8        0.175064
           3594.2       0.2044677
           3594.6       0.2177329
            3595.        0.231971
           3595.4       0.2507702
           3595.8        0.272738
           3596.2       0.2865843
           3596.6       0.3119571
            3597.       0.3126564
           3597.4       0.2814921
           3597.8       0.2681307
           3598.2       0.2778172
           3598.6       0.2846186
            3599.       0.2915882
           3599.4       0.3015588
           3599.8       0.3144386
           3600.2       0.3343523
           3600.6       0.3344847
            3601.       0.3237641
           3601.4       0.2920947
           3601.8       0.2357738
           3602.2       0.2052465
           3602.6       0.1913894
            3603.       0.2035457
           3603.4       0.2138089
           3603.8       0.2105311
           3604.2       0.2106823
           3604.6       0.1994895
            3605.       0.1729174
           3605.4       0.1618907
           3605.8       0.1729951
           3606.2       0.1988328
           3606.6       0.2262784
            3607.       0.2364485
           3607.4       0.2412046
           3607.8       0.2064975
           3608.2        0.151324
           3608.6       0.1102329
            3609.      0.09563202
           3609.4       0.1080189
           3609.8       0.1255034
           3610.2       0.1342334
           3610.6       0.1549044
            3611.       0.1919471
           3611.4       0.2264731
           3611.8         0.24696
           3612.2       0.2446066
           3612.6       0.2211829
            3613.       0.1967904
           3613.4       0.1853012
           3613.8       0.1957814
           3614.2       0.2182324
           3614.6       0.2536771
            3615.       0.2862026
           3615.4       0.2950094
           3615.8       0.2922458
           3616.2       0.2835985
           3616.6       0.2732103
            3617.       0.2464409
           3617.4       0.2054007
           3617.8       0.1547822
           3618.2         0.11541
           3618.6      0.08503001
            3619.      0.07469568
           3619.4      0.08904764
           3619.8       0.1201776
           3620.2       0.1592351
           3620.6       0.1894566
            3621.       0.2016542
           3621.4       0.2136853
           3621.8       0.2433649
           3622.2       0.2847154
           3622.6       0.3129204
            3623.       0.3021054
           3623.4       0.2607654
           3623.8       0.2307117
           3624.2       0.2315579
           3624.6        0.245647
            3625.       0.2685833
           3625.4       0.3103219
           3625.8         0.35061
           3626.2          0.3708
           3626.6       0.3763621
            3627.       0.3605081
           3627.4        0.340317
           3627.8       0.3197294
           3628.2       0.3165605
           3628.6        0.331228
            3629.       0.3357032
           3629.4        0.329815
           3629.8       0.2945685
           3630.2       0.2262471
           3630.6       0.1610586
            3631.       0.1148575
           3631.4      0.09429596
           3631.8       0.1086614
           3632.2       0.1368652
           3632.6       0.1763865
            3633.       0.2010065
           3633.4        0.216305
           3633.8       0.2171628
           3634.2       0.2019804
           3634.6       0.1885747
            3635.       0.1938493
           3635.4       0.2211417
           3635.8       0.2562659
           3636.2          0.2592
           3636.6       0.2435592
            3637.       0.2517467
           3637.4       0.2550566
           3637.8       0.2573109
           3638.2       0.2745507
           3638.6       0.3090013
            3639.       0.3197168
           3639.4       0.3225672
           3639.8       0.3265491
           3640.2       0.3321017
           3640.6       0.3362603
            3641.       0.3304457
           3641.4       0.3127707
           3641.8       0.2963689
           3642.2       0.2856869
           3642.6       0.2729919
            3643.        0.268945
           3643.4       0.2782896
           3643.8       0.2925131
           3644.2       0.2731914
           3644.6       0.2326203
            3645.       0.1972072
           3645.4       0.1896494
           3645.8       0.2150249
           3646.2       0.2348512
           3646.6        0.226944
            3647.       0.1951545
           3647.4        0.150668
           3647.8       0.1243912
           3648.2       0.1332758
           3648.6       0.1702264
            3649.       0.1901374
           3649.4       0.1890879
           3649.8       0.1959804
           3650.2       0.2202146
           3650.6       0.2525693
            3651.       0.2604198
           3651.4       0.2465046
           3651.8       0.2539684
           3652.2       0.2968093
           3652.6        0.334979
            3653.        0.332391
           3653.4       0.3117744
           3653.8       0.3087454
           3654.2       0.3093824
           3654.6       0.3151827
            3655.        0.306771
           3655.4       0.3019593
           3655.8       0.3125903
           3656.2       0.3382268
           3656.6       0.3557535
            3657.        0.359949
           3657.4       0.3500982
           3657.8        0.340408
           3658.2       0.3627921
           3658.6       0.3973257
            3659.        0.411394
           3659.4       0.3910024
           3659.8       0.3511491
           3660.2        0.337981
           3660.6       0.3347686
            3661.       0.3531468
           3661.4       0.3655507
           3661.8       0.3552891
           3662.2       0.3357107
           3662.6       0.3216856
            3663.       0.3086008
           3663.4       0.2904392
           3663.8       0.2764609
           3664.2       0.2693807
           3664.6       0.2955564
            3665.       0.3359071
           3665.4       0.3722304
           3665.8       0.3547203
           3666.2       0.3101065
           3666.6       0.2841108
            3667.       0.3035908
           3667.4       0.3411083
           3667.8       0.3502183
           3668.2       0.3246551
           3668.6       0.2862735
            3669.       0.2542122
           3669.4       0.2392795
           3669.8       0.2412429
           3670.2        0.252347
           3670.6       0.2733617
            3671.       0.3015795
           3671.4       0.3300085
           3671.8       0.3536144
           3672.2       0.3657646
           3672.6       0.3605653
            3673.       0.3398744
           3673.4        0.320376
           3673.8        0.310052
           3674.2       0.3078273
           3674.6       0.3316294
            3675.       0.3676922
           3675.4       0.3753415
           3675.8       0.3691112
           3676.2       0.3433057
           3676.6       0.3100628
            3677.       0.2817348
           3677.4       0.2487053
           3677.8       0.2400132
           3678.2       0.2679952
           3678.6       0.2894645
            3679.       0.2671691
           3679.4       0.2144151
           3679.8        0.178747
           3680.2       0.1851825
           3680.6       0.2219768
            3681.       0.2695193
           3681.4       0.2997679
           3681.8       0.3043507
           3682.2       0.2883705
           3682.6       0.2726981
            3683.       0.2856922
           3683.4       0.3142377
           3683.8       0.3331956
           3684.2       0.3263289
           3684.6       0.2926126
            3685.       0.2611926
           3685.4       0.2403509
           3685.8       0.2355912
           3686.2       0.2351841
