#K OBJECT   '135148'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 135148
#K OBJRA    15:13:17.46
#K OBJDEC   +12:27:25.5
#K OBJBMAG  1.083000E+01
#K OBJVMAG  9.380000E+00
#K SPTYPE   K0
#K OBJRV    -92
#K HDNAME   HD 135148
#K BDNAME   BD+12 2804
#K HIPNAME  HIP 74491
#K VHELIO   -1.24621827303529E+01
#K VLSR     2.13685875312727E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458561E+03
#K CMAX1    4.784172E+03
#K PICKTYPE K0III
#K NCOMBINE 4
#K TEFF     4275  2000ApJ...544..302B (Burris)
#K LOGG     8.000000E-01  2000ApJ...544..302B (Burris)
#K FEH      -1.900000E+00  2000ApJ...544..302B (Burris)
#K COVERAGE 3465.0-8109.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.2305062
           3465.4       0.1727082
           3465.8       0.1650233
           3466.2       0.1719818
           3466.6       0.1703801
            3467.       0.1968532
           3467.4       0.2063733
           3467.8        0.200347
           3468.2       0.2308854
           3468.6       0.2490674
            3469.       0.2217324
           3469.4        0.197933
           3469.8       0.2218786
           3470.2       0.2315323
           3470.6       0.2521577
            3471.       0.2165959
           3471.4       0.2186141
           3471.8       0.2204324
           3472.2       0.2061756
           3472.6       0.1849233
            3473.       0.1663103
           3473.4       0.1769179
           3473.8       0.1742255
           3474.2       0.1493167
           3474.6       0.1388194
            3475.       0.1238137
           3475.4       0.1260592
           3475.8       0.1464746
           3476.2       0.1376333
           3476.6       0.1467834
            3477.       0.1292491
           3477.4       0.1410229
           3477.8       0.1712242
           3478.2       0.1705518
           3478.6       0.1652415
            3479.       0.1742671
           3479.4       0.2067745
           3479.8       0.2063582
           3480.2       0.1829363
           3480.6       0.1917771
            3481.       0.2029255
           3481.4       0.2085445
           3481.8       0.2058651
           3482.2       0.2282742
           3482.6       0.2053514
            3483.       0.1725784
           3483.4        0.175166
           3483.8       0.1729536
           3484.2       0.1721885
           3484.6       0.1829106
            3485.       0.1895937
           3485.4       0.1761556
           3485.8       0.1782344
           3486.2       0.2021735
           3486.6       0.2282114
            3487.       0.2445877
           3487.4       0.2411539
           3487.8       0.2294824
           3488.2       0.2163273
           3488.6       0.2122694
            3489.       0.1944078
           3489.4       0.1603879
           3489.8        0.145859
           3490.2       0.1309991
           3490.6       0.1362499
            3491.       0.1358271
           3491.4       0.1665595
           3491.8       0.1848229
           3492.2       0.2036111
           3492.6        0.196757
            3493.       0.1634732
           3493.4       0.1430085
           3493.8       0.1651817
           3494.2       0.2035145
           3494.6       0.2039333
            3495.       0.1733397
           3495.4       0.1503747
           3495.8       0.1289365
           3496.2       0.1215683
           3496.6       0.1321632
            3497.        0.135616
           3497.4       0.1435072
           3497.8       0.1632364
           3498.2       0.1785109
           3498.6       0.1814627
            3499.       0.2022551
           3499.4       0.2108307
           3499.8       0.1903648
           3500.2       0.1936296
           3500.6         0.19428
            3501.       0.1777477
           3501.4       0.1969366
           3501.8       0.2085723
           3502.2       0.2047027
           3502.6       0.1863746
            3503.       0.2121245
           3503.4       0.2150206
           3503.8       0.2079113
           3504.2       0.2178107
           3504.6       0.2178514
            3505.       0.1970711
           3505.4       0.1653158
           3505.8       0.1679724
           3506.2       0.2081354
           3506.6       0.2090268
            3507.         0.23512
           3507.4       0.2087341
           3507.8       0.2162959
           3508.2       0.1788585
           3508.6       0.1865273
            3509.       0.2067526
           3509.4       0.1914963
           3509.8       0.1756349
           3510.2       0.1698607
           3510.6       0.1600617
            3511.       0.1660645
           3511.4         0.20592
           3511.8       0.2036715
           3512.2       0.1867945
           3512.6       0.1754954
            3513.       0.1818923
           3513.4       0.1745828
           3513.8       0.1589034
           3514.2       0.1580072
           3514.6       0.1712018
            3515.       0.1684594
           3515.4       0.1579739
           3515.8       0.1821122
           3516.2       0.2117076
           3516.6        0.202709
            3517.       0.2005614
           3517.4       0.2082961
           3517.8       0.2276392
           3518.2       0.2053529
           3518.6       0.2046153
            3519.       0.2002994
           3519.4       0.1798372
           3519.8       0.1692206
           3520.2       0.1648044
           3520.6       0.1661089
            3521.       0.1670321
           3521.4       0.1577152
           3521.8       0.1583954
