#K OBJECT   '138716'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 138716
#K OBJRA    15:34:10.70
#K OBJDEC   -10:03:52.3
#K OBJBMAG  5.630000E+00
#K OBJVMAG  4.610000E+00
#K SPTYPE   K1IV
#K OBJRV    4.770000E+01
#K HDNAME   HD 138716
#K BDNAME   BD-09 4171
#K HIPNAME  HIP 76219
#K SAONAME  SAO 140609
#K VHELIO   -9.45581888486428E+00
#K VLSR     2.33995878125641E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.783198E+03
#K CMAX1    8.118862E+03
#K PICKTYPE K1IV
#K NCOMBINE 8
#K TEFF     4730  1990ApJS...74.1075M (McWilliam)
#K LOGG     3.200000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.200000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2913583
           3465.4      0.06294928
           3465.8     0.004243568
           3466.2      0.06748271
           3466.6      0.08183378
            3467.       0.1661861
           3467.4       0.2523119
           3467.8       0.2061976
           3468.2       0.1414517
           3468.6       0.2301252
            3469.       0.3113154
           3469.4       0.2417993
           3469.8       0.3122479
           3470.2       0.2760156
           3470.6       0.3054103
            3471.       0.1309633
           3471.4       0.3412265
           3471.8       0.4047582
           3472.2       0.2392546
           3472.6       0.2034497
            3473.       0.1016341
           3473.4       0.1450205
           3473.8       0.2551793
           3474.2       0.1238183
           3474.6       0.2392816
            3475.       0.1012936
           3475.4      0.03886565
           3475.8       0.1672786
           3476.2        0.182359
           3476.6       0.2125893
            3477.      0.07480845
           3477.4       0.2395204
           3477.8       0.3071552
           3478.2       0.2141124
           3478.6       0.1253428
            3479.      0.09921626
           3479.4       0.2453346
           3479.8        0.231059
           3480.2       0.2446219
           3480.6       0.2513063
            3481.       0.1655911
           3481.4        0.194883
           3481.8        0.230416
           3482.2       0.2250424
           3482.6       0.1371563
            3483.       0.1183661
           3483.4       0.2329811
           3483.8       0.2834594
           3484.2       0.2294197
           3484.6       0.2150767
            3485.       0.2146847
           3485.4       0.1753954
           3485.8       0.2020241
           3486.2       0.1822128
           3486.6      0.04148219
            3487.         0.16922
           3487.4       0.3722581
           3487.8       0.3383276
           3488.2       0.2347119
           3488.6       0.1847924
            3489.       0.1780437
           3489.4       0.1416719
           3489.8      0.06902822
           3490.2      0.08424441
           3490.6       0.1205141
            3491.       0.1166642
           3491.4      0.08686633
           3491.8      0.04769319
           3492.2       0.1991525
           3492.6       0.3917281
            3493.       0.2487962
           3493.4       0.1065824
           3493.8      0.02550063
           3494.2       0.2494544
           3494.6       0.3257389
            3495.         0.11246
           3495.4       0.2321334
           3495.8       0.2618499
           3496.2       0.2150249
           3496.6       0.1356135
            3497.       0.1962423
           3497.4       0.2145949
           3497.8       0.1834883
           3498.2        0.162893
           3498.6      0.07979047
            3499.       0.3259435
           3499.4       0.4396156
           3499.8       0.3428344
           3500.2        0.368267
           3500.6        0.320196
            3501.       0.2374634
           3501.4       0.1778551
           3501.8       0.3556314
           3502.2       0.3639176
           3502.6       0.2698604
            3503.       0.3179504
           3503.4       0.1834571
           3503.8       0.2221847
           3504.2        0.404754
           3504.6       0.3541013
            3505.       0.1364512
           3505.4      0.05604666
           3505.8       0.1787796
           3506.2       0.3319081
           3506.6       0.3214885
            3507.       0.1404375
           3507.4        0.136529
           3507.8        0.052615
           3508.2       0.1611584
           3508.6       0.3153123
            3509.       0.3305763
           3509.4       0.2747021
           3509.8       0.2039838
           3510.2       0.2724335
           3510.6       0.2481462
            3511.        0.138895
           3511.4       0.2650444
           3511.8       0.2237835
           3512.2       0.1328847
           3512.6       0.3065126
            3513.       0.2098989
           3513.4       0.2403764
           3513.8      0.02077749
           3514.2      0.08904967
           3514.6          0.2746
            3515.       0.3516494
           3515.4       0.2401666
           3515.8       0.1283454
           3516.2        0.236654
           3516.6       0.2855218
            3517.       0.2338304
           3517.4       0.3672549
           3517.8       0.3490943
           3518.2       0.2991272
           3518.6       0.4019379
            3519.        0.345718
           3519.4       0.2472157
           3519.8        0.290355
           3520.2       0.1991317
           3520.6        0.238734
            3521.       0.2768118
           3521.4         0.13123
           3521.8       0.1309287
           3522.2       0.1590142
           3522.6       0.1613351
            3523.        0.278659
           3523.4       0.2175182
