#K OBJECT   '139457'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 139457
#K OBJRA    15:37:59.21
#K OBJDEC   +10:14:23.6
#K OBJBMAG  7.600000E+00
#K OBJVMAG  7.040000E+00
#K SPTYPE   F8V
#K OBJRV    3.820000E+01
#K HDNAME   HD 139457
#K BDNAME   BD+10 2886
#K HIPNAME  HIP 76543
#K SAONAME  SAO 101658
#K VHELIO   -8.51332584104848E+00
#K VLSR     6.97253696645341E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.087680E+03
#K CMAX1    5.413530E+03
#K PICKTYPE F8V
#K NCOMBINE 4
#K TEFF     5941  2000A&AS..141..491C (Chen)
#K LOGG     4.060000E+00  2000A&AS..141..491C (Chen)
#K FEH      -5.200000E-01  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-8105.8
#K GAPS     5414.2-5467.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.5722944
           3465.4       0.5357646
           3465.8       0.5236603
           3466.2       0.5298807
           3466.6       0.5610924
            3467.       0.5794561
           3467.4       0.5960464
           3467.8       0.6111779
           3468.2       0.6123453
           3468.6       0.5921268
            3469.       0.5779553
           3469.4       0.5856187
           3469.8       0.6130776
           3470.2       0.6381444
           3470.6       0.6396008
            3471.       0.6238537
           3471.4       0.6036432
           3471.8       0.5860606
           3472.2       0.5788892
           3472.6       0.5761001
            3473.       0.5740223
           3473.4       0.5583066
           3473.8       0.5317317
           3474.2       0.5193166
           3474.6       0.5052131
            3475.       0.4766134
           3475.4        0.458921
           3475.8       0.4616267
           3476.2       0.4638001
           3476.6       0.4634645
            3477.       0.4806499
           3477.4       0.5142748
           3477.8       0.5488341
           3478.2       0.5869401
           3478.6       0.5972465
            3479.       0.5951359
           3479.4       0.6006207
           3479.8       0.5943193
           3480.2       0.5903773
           3480.6        0.596239
            3481.       0.6035848
           3481.4       0.6107068
           3481.8       0.6106175
           3482.2       0.5971884
           3482.6       0.5672073
            3483.       0.5323194
           3483.4       0.5231789
           3483.8       0.5339925
           3484.2       0.5610094
           3484.6       0.5682564
            3485.       0.5676079
           3485.4       0.5693285
           3485.8       0.5841851
           3486.2       0.6160844
           3486.6       0.6504691
            3487.        0.670814
           3487.4       0.6644014
           3487.8       0.6343321
           3488.2       0.6009481
           3488.6       0.5742751
            3489.       0.5510048
           3489.4       0.5297371
           3489.8       0.5191381
           3490.2       0.5025406
           3490.6       0.4898376
            3491.       0.5079697
           3491.4       0.5574185
           3491.8       0.5980687
           3492.2       0.5835487
           3492.6       0.5353478
            3493.       0.5204532
           3493.4       0.5411841
           3493.8       0.5707836
           3494.2       0.5950539
           3494.6       0.5877941
            3495.       0.5508335
           3495.4       0.5087064
           3495.8        0.476449
           3496.2       0.4679146
           3496.6       0.4742836
            3497.       0.4765612
           3497.4       0.4810205
           3497.8       0.5023476
           3498.2       0.5482302
           3498.6        0.614695
            3499.       0.6573996
           3499.4       0.6608405
           3499.8       0.6520991
           3500.2       0.6286815
           3500.6       0.6130381
            3501.        0.626533
           3501.4       0.6352452
           3501.8       0.6224223
           3502.2       0.6116273
           3502.6       0.6277808
            3503.       0.6593902
           3503.4       0.6800321
           3503.8       0.6853019
           3504.2       0.6604948
           3504.6       0.6180878
            3505.       0.5832624
           3505.4       0.5806269
           3505.8       0.5824975
           3506.2       0.5711995
           3506.6         0.58117
            3507.        0.605372
           3507.4       0.6109856
           3507.8       0.6178976
           3508.2       0.6347437
           3508.6       0.6446794
            3509.       0.6494265
           3509.4       0.6239607
           3509.8       0.5871624
           3510.2       0.5510328
           3510.6       0.5534579
            3511.       0.5820398
           3511.4       0.6103699
           3511.8       0.6068645
           3512.2       0.5876153
           3512.6       0.5729334
            3513.       0.5589562
           3513.4       0.5391644
           3513.8       0.5270477
           3514.2        0.535468
           3514.6       0.5473655
            3515.       0.5677798
           3515.4       0.6011614
           3515.8       0.6305389
           3516.2       0.6441939
           3516.6        0.644799
            3517.       0.6549171
           3517.4       0.6731452
           3517.8       0.6748168
           3518.2        0.660973
           3518.6       0.6502914
            3519.       0.6460181
           3519.4       0.6315377
           3519.8       0.6033599
           3520.2       0.5886207
           3520.6       0.5761351
            3521.       0.5689148
           3521.4       0.5617715
           3521.8       0.5774845
           3522.2       0.6084884
           3522.6       0.6155016
            3523.       0.5925471
           3523.4       0.5619496
           3523.8       0.5256122
           3524.2       0.4939032
           3524.6       0.5082086
            3525.        0.553057
           3525.4       0.5435466
           3525.8       0.4793773
           3526.2       0.4415986
           3526.6       0.4359973
            3527.       0.4946313
           3527.4       0.5718369
           3527.8       0.6187724
           3528.2       0.6426605
           3528.6       0.6642062
            3529.       0.6592144
           3529.4       0.6445733
           3529.8       0.6431329
           3530.2         0.63318
           3530.6       0.6404923
            3531.        0.636277
           3531.4       0.6327438
           3531.8       0.6065043
           3532.2       0.5860707
           3532.6       0.5782006
            3533.       0.5887911
           3533.4       0.6156186
           3533.8       0.6610777
           3534.2       0.6947368
           3534.6       0.6871024
            3535.       0.6665426
           3535.4       0.6520937
           3535.8       0.6374261
           3536.2       0.6494988
           3536.6       0.6611203
            3537.       0.6505753
           3537.4       0.6440776
           3537.8       0.6301604
           3538.2       0.6419348
           3538.6       0.6922416
            3539.       0.7273703
           3539.4       0.7331839
           3539.8       0.7238812
           3540.2       0.6935154
           3540.6       0.6548448
            3541.       0.6377683
           3541.4       0.6423637
           3541.8       0.6430888
           3542.2       0.6496907
           3542.6       0.6673723
            3543.       0.6958981
           3543.4       0.7032321
           3543.8       0.7108799
           3544.2       0.7152743
           3544.6       0.7081139
            3545.       0.6873462
           3545.4       0.6668061
           3545.8       0.6743175
           3546.2       0.7035306
           3546.6       0.7273003
            3547.       0.7141445
           3547.4        0.668025
           3547.8       0.6493791
           3548.2       0.6432945
           3548.6       0.6738992
            3549.       0.7031672
           3549.4       0.7188337
           3549.8       0.7218951
           3550.2       0.7219529
           3550.6       0.7187252
            3551.       0.7077209
           3551.4       0.6960407
           3551.8       0.6782708
           3552.2       0.6735998
           3552.6       0.6718377
            3553.       0.6616487
           3553.4       0.6349379
           3553.8       0.6171067
           3554.2       0.6030006
           3554.6       0.5992849
            3555.       0.6239028
           3555.4       0.6766339
           3555.8       0.7149327
           3556.2       0.6971492
           3556.6       0.6550377
