#K OBJECT   '142860'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 142860
#K OBJRA    15:56:27.18
#K OBJDEC   +15:39:41.8
#K OBJBMAG  4.330000E+00
#K OBJVMAG  3.850000E+00
#K SPTYPE   F6IV
#K OBJRV    6.700000E+00
#K HDNAME   HD 142860
#K BDNAME   BD+16 2849
#K HIPNAME  HIP 78072
#K SAONAME  SAO 101826
#K VHELIO   -5.07609171727943E+00
#K VLSR     1.17911979954407E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445552E+03
#K CMAX1    4.771112E+03
#K PICKTYPE F5IV
#K NCOMBINE 6
#K TEFF     6333  1993A&A...275..101E (Edvardsson)
#K LOGG     4.250000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -1.600000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5461.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.7480422
           3465.4       0.7059522
           3465.8        0.654649
           3466.2       0.6546085
           3466.6       0.6933511
            3467.       0.7231849
           3467.4       0.7406518
           3467.8       0.7587852
           3468.2       0.7667901
           3468.6       0.7469295
            3469.        0.715488
           3469.4       0.7155192
           3469.8       0.7486533
           3470.2       0.7826539
           3470.6       0.7897447
            3471.       0.7821907
           3471.4       0.7511742
           3471.8       0.7136762
           3472.2       0.6949778
           3472.6       0.6968618
            3473.       0.7113813
           3473.4       0.7014537
           3473.8       0.6605129
           3474.2       0.6392288
           3474.6       0.6378195
            3475.        0.621255
           3475.4       0.5799594
           3475.8       0.5677459
           3476.2       0.5778775
           3476.6       0.5701883
            3477.       0.5689689
           3477.4       0.6101712
           3477.8       0.6743543
           3478.2       0.7187594
           3478.6       0.7270706
            3479.       0.7281294
           3479.4       0.7316622
           3479.8       0.7204856
           3480.2        0.723529
           3480.6       0.7221685
            3481.       0.7222463
           3481.4       0.7198083
           3481.8       0.7359864
           3482.2       0.7274398
           3482.6         0.69232
            3483.       0.6495718
           3483.4       0.6248045
           3483.8       0.6301531
           3484.2       0.6593167
           3484.6       0.6834889
            3485.       0.6843445
           3485.4       0.6907598
           3485.8       0.6957577
           3486.2       0.7378303
           3486.6       0.7796526
            3487.       0.8087758
           3487.4       0.8166921
           3487.8       0.7933927
           3488.2       0.7463894
           3488.6       0.6956397
            3489.       0.6551451
           3489.4       0.6366023
           3489.8       0.6377783
           3490.2       0.6292878
           3490.6        0.606699
            3491.       0.6141632
           3491.4       0.6656317
           3491.8       0.7293889
           3492.2       0.7365624
           3492.6       0.6922777
            3493.       0.6435861
           3493.4       0.6386165
           3493.8       0.6798177
           3494.2        0.716231
           3494.6        0.708689
            3495.       0.6730652
           3495.4       0.6215931
           3495.8       0.5674415
           3496.2       0.5631387
           3496.6       0.5681974
            3497.       0.5749282
           3497.4       0.5677065
           3497.8       0.5899696
           3498.2       0.6562691
           3498.6       0.7334048
            3499.       0.7888436
           3499.4       0.8044729
           3499.8       0.7949899
           3500.2       0.7692483
           3500.6        0.742574
            3501.        0.751698
           3501.4       0.7655537
           3501.8       0.7616891
           3502.2       0.7425136
           3502.6       0.7425008
            3503.       0.7806605
           3503.4       0.8241044
           3503.8       0.8392135
           3504.2       0.8135526
           3504.6       0.7588329
            3505.       0.7059063
           3505.4       0.6909147
           3505.8       0.6998376
           3506.2        0.687749
           3506.6       0.6835464
            3507.       0.7170894
           3507.4        0.740714
           3507.8       0.7447355
           3508.2        0.752721
           3508.6       0.7666152
            3509.       0.7829662
           3509.4       0.7692097
           3509.8       0.7243734
           3510.2       0.6681647
           3510.6       0.6551419
            3511.       0.6960765
           3511.4       0.7283137
           3511.8       0.7353628
           3512.2       0.7072843
           3512.6        0.695114
            3513.       0.6814665
           3513.4       0.6533992
           3513.8       0.6351701
           3514.2       0.6422426
           3514.6       0.6714041
            3515.        0.685523
           3515.4       0.7154735
           3515.8       0.7637047
           3516.2       0.7756454
           3516.6       0.7680393
            3517.       0.7777372
           3517.4       0.7991399
           3517.8       0.8110546
           3518.2       0.8007686
           3518.6       0.7752056
            3519.       0.7773411
           3519.4       0.7686453
           3519.8       0.7291924
           3520.2       0.7121161
           3520.6       0.7116334
            3521.       0.6896998
           3521.4       0.6712375
           3521.8        0.683793
           3522.2       0.7104098
           3522.6       0.7303156
            3523.       0.7196885
           3523.4       0.6890196
           3523.8        0.644121
           3524.2        0.613467
           3524.6       0.6030437
            3525.        0.642373
           3525.4       0.6747254
           3525.8        0.624863
           3526.2       0.5315485
           3526.6       0.5036936
            3527.       0.5738136
           3527.4       0.6655866
           3527.8       0.7195983
           3528.2       0.7546643
           3528.6       0.7847728
            3529.       0.7897403
           3529.4       0.7692049
           3529.8       0.7475254
           3530.2       0.7345104
           3530.6       0.7400856
            3531.       0.7540708
           3531.4       0.7512285
           3531.8       0.7212065
           3532.2       0.6862847
           3532.6       0.6757791
            3533.       0.6834753
           3533.4       0.7041055
           3533.8       0.7569749
           3534.2       0.8023659
           3534.6       0.8039416
            3535.       0.7912326
           3535.4       0.7667871
           3535.8       0.7473139
           3536.2       0.7508933
           3536.6        0.761056
            3537.       0.7641954
           3537.4       0.7514116
           3537.8       0.7272941
           3538.2       0.7361473
           3538.6       0.7861878
            3539.       0.8384989
           3539.4       0.8746792
           3539.8       0.8712994
           3540.2       0.8278788
           3540.6       0.7839444
            3541.       0.7470383
           3541.4       0.7398224
           3541.8       0.7439768
           3542.2       0.7455854
           3542.6       0.7675937
            3543.        0.801333
           3543.4       0.8147304
           3543.8       0.8142219
           3544.2       0.8303947
           3544.6       0.8241053
            3545.       0.8055772
           3545.4       0.7731293
           3545.8       0.7757016
           3546.2       0.8155926
           3546.6        0.840479
            3547.       0.8377167
           3547.4       0.8042561
           3547.8       0.7518183
           3548.2       0.7355589
           3548.6       0.7692195
            3549.       0.8087407
           3549.4       0.8350675
           3549.8       0.8381472
           3550.2       0.8415124
           3550.6        0.837171
            3551.       0.8296174
           3551.4       0.8093121
           3551.8       0.7895848
           3552.2       0.7913011
           3552.6       0.7874937
            3553.       0.7697604
           3553.4       0.7533419
           3553.8       0.7265105
           3554.2        0.702257
           3554.6       0.7017779
            3555.       0.7184183
           3555.4       0.7682003
           3555.8       0.8126649
           3556.2       0.8178223
           3556.6       0.7664998
            3557.       0.7463802
           3557.4       0.7851528
           3557.8       0.8195586
           3558.2       0.7984429
           3558.6       0.7524776
            3559.       0.7480594
           3559.4       0.7752473
           3559.8       0.7897888
           3560.2       0.7908204
           3560.6       0.7582582
            3561.       0.7359568
           3561.4       0.7429871
           3561.8       0.7599192
           3562.2       0.7944592
           3562.6       0.8622974
            3563.       0.9065556
           3563.4       0.9005796
           3563.8       0.8732002
           3564.2       0.8235249
           3564.6       0.7433315
            3565.       0.6524245
           3565.4       0.5815271
           3565.8       0.5444057
           3566.2       0.5570924
           3566.6       0.6038388
            3567.       0.6703262
           3567.4       0.7184131
           3567.8       0.7401654
           3568.2       0.7523255
           3568.6       0.7330871
            3569.       0.6700079
           3569.4       0.5958678
           3569.8       0.5300198
           3570.2       0.5090721
           3570.6       0.5858236
            3571.        0.673455
           3571.4       0.7045916
           3571.8       0.6713824
           3572.2       0.6469465
           3572.6       0.6594492
            3573.       0.6925191
           3573.4        0.695261
           3573.8        0.667674
           3574.2        0.671028
           3574.6       0.6870505
            3575.       0.6690105
           3575.4       0.6659374
           3575.8       0.6871455
