#K OBJECT   '145502'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 145502
#K OBJRA    16:11:59.73
#K OBJDEC   -19:27:38.6
#K OBJBMAG  4.110000E+00
#K OBJVMAG  4.130000E+00
#K SPTYPE   B2IV
#K OBJRV    2.400000E+00
#K HDNAME   HD 145502
#K BDNAME   BD-19 4333
#K HIPNAME  HIP 79374
#K SAONAME  SAO 159764
#K VHELIO   -3.11323891629363E+00
#K VLSR     7.97891868178858E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785043E+03
#K CMAX1    8.120936E+03
#K PICKTYPE B2IV
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.4-8136.6

#      wavelength        spectrum
#       angstroms                

            3465.        4.262304
           3465.4        4.243518
           3465.8        4.226683
           3466.2        4.251467
           3466.6        4.254264
            3467.        4.243618
           3467.4        4.211078
           3467.8        4.201982
           3468.2         4.17182
           3468.6        4.165666
            3469.        4.143657
           3469.4         4.14619
           3469.8         4.18439
           3470.2        4.158422
           3470.6        4.126241
            3471.        4.136616
           3471.4         4.14047
           3471.8        4.182251
           3472.2        4.110703
           3472.6        4.124724
            3473.        4.144024
           3473.4        4.165967
           3473.8        4.121495
           3474.2        4.101579
           3474.6        4.126707
            3475.        4.147167
           3475.4        4.135357
           3475.8        4.104174
           3476.2        4.120229
           3476.6        4.091571
            3477.        4.098413
           3477.4        4.094448
           3477.8        4.074162
           3478.2         4.07053
           3478.6         4.08187
            3479.         4.08609
           3479.4        4.077162
           3479.8        4.076284
           3480.2        4.081611
           3480.6        4.061653
            3481.        4.042328
           3481.4         4.05388
           3481.8        4.044135
           3482.2        4.045741
           3482.6        4.069267
            3483.        4.033693
           3483.4        4.059811
           3483.8        4.048788
           3484.2        4.007631
           3484.6         4.00151
            3485.        4.013228
           3485.4        4.002658
           3485.8        3.993028
           3486.2        4.005713
           3486.6        3.996231
            3487.        3.983156
           3487.4        4.009855
           3487.8        3.991612
           3488.2        4.002137
           3488.6        4.016354
            3489.        4.015975
           3489.4        4.011697
           3489.8         4.00848
           3490.2        3.980415
           3490.6        3.984271
            3491.        4.009839
           3491.4        4.006472
           3491.8        4.016976
           3492.2        4.014865
           3492.6        3.999121
            3493.        3.983927
           3493.4        3.975631
           3493.8        3.954031
           3494.2        3.987368
           3494.6        3.963813
            3495.        3.934986
           3495.4        3.935961
           3495.8        3.938355
           3496.2        3.929395
           3496.6        3.926234
            3497.        3.929143
           3497.4        3.902136
           3497.8        3.915526
           3498.2        3.957762
           3498.6        3.935608
            3499.        3.892682
           3499.4        3.895821
           3499.8        3.913537
           3500.2        3.925582
           3500.6        3.912253
            3501.        3.939817
           3501.4        3.964279
           3501.8        3.924772
           3502.2        3.914399
           3502.6        3.935752
            3503.        3.939924
           3503.4        3.939367
           3503.8        3.931011
           3504.2        3.902858
           3504.6        3.919977
            3505.        3.928418
           3505.4        3.934538
           3505.8        3.929897
           3506.2        3.916639
           3506.6        3.916547
            3507.        3.930213
           3507.4        3.929798
           3507.8        3.917901
           3508.2        3.937399
           3508.6        3.924385
            3509.         3.89429
           3509.4        3.897842
           3509.8        3.883315
           3510.2        3.894087
           3510.6        3.861274
            3511.        3.858549
           3511.4        3.865854
           3511.8         3.83646
           3512.2         3.82741
           3512.6        3.837156
            3513.        3.838716
           3513.4        3.837137
           3513.8        3.814894
           3514.2        3.828519
           3514.6        3.842492
            3515.        3.842947
           3515.4        3.826237
           3515.8        3.836219
           3516.2        3.845436
           3516.6        3.851314
            3517.        3.861526
           3517.4         3.85095
           3517.8        3.841077
           3518.2        3.862176
           3518.6        3.871224
            3519.        3.870125
           3519.4         3.89466
           3519.8        3.849427
           3520.2        3.857521
           3520.6          3.8701
            3521.        3.860049
           3521.4        3.837525
           3521.8        3.842811
           3522.2        3.866968
           3522.6        3.868884
            3523.        3.862477
           3523.4        3.851437
           3523.8        3.825422
           3524.2         3.83238
           3524.6        3.837634
