#K OBJECT   '14770'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 14770
#K OBJRA    02:24:24.92
#K OBJDEC   +50:00:23.6
#K OBJBMAG  6.161000E+00
#K OBJVMAG  5.192000E+00
#K SPTYPE   G8III
#K OBJRV    -1.330000E+01
#K HDNAME   HD 14770
#K BDNAME   BD+49 649
#K HIPNAME  HIP 11220
#K SAONAME  SAO 38005
#K VHELIO   -2.50413483227099E+01
#K VLSR     -2.37847795141288E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.791525E+03
#K CMAX1    8.126954E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4.827000E+03  Jones..Coude.Feed.Library
#K LOGG     2.140000E+00  Jones..Coude.Feed.Library
#K FEH      -6.000000E-02  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.4-8146.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.2475242
           3465.4       0.2308336
           3465.8       0.1774803
           3466.2       0.1860937
           3466.6       0.1879401
            3467.       0.2048466
           3467.4       0.2201681
           3467.8       0.2335965
           3468.2       0.2495633
           3468.6       0.2488327
            3469.       0.2317074
           3469.4        0.218569
           3469.8       0.2379562
           3470.2       0.2842902
           3470.6       0.3013255
            3471.       0.2906623
           3471.4       0.2422847
           3471.8       0.2128119
           3472.2       0.2149323
           3472.6       0.1938636
            3473.       0.1910912
           3473.4       0.2059477
           3473.8       0.2055885
           3474.2       0.2027014
           3474.6       0.1829141
            3475.        0.153859
           3475.4       0.1596949
           3475.8       0.1467355
           3476.2       0.1336114
           3476.6       0.1432377
            3477.       0.1584506
           3477.4       0.1937125
           3477.8       0.2059052
           3478.2       0.2030424
           3478.6       0.2009115
            3479.        0.194188
           3479.4       0.1986151
           3479.8       0.2038066
           3480.2       0.1915927
           3480.6       0.1906692
            3481.       0.1953349
           3481.4       0.2048918
           3481.8       0.2099299
           3482.2       0.1965094
           3482.6        0.177828
            3483.       0.1787053
           3483.4       0.1771618
           3483.8       0.1583983
           3484.2       0.1821507
           3484.6       0.2058225
            3485.       0.1840244
           3485.4       0.1852286
           3485.8       0.2046088
           3486.2       0.2230946
           3486.6       0.2515663
            3487.       0.2705732
           3487.4       0.2648369
           3487.8       0.2582287
           3488.2       0.2352483
           3488.6       0.1928625
            3489.       0.1640635
           3489.4       0.1660787
           3489.8       0.1601412
           3490.2       0.1496726
           3490.6       0.1448077
            3491.       0.1430466
           3491.4       0.1922624
           3491.8        0.207152
           3492.2       0.1879047
           3492.6        0.169479
            3493.       0.1459601
           3493.4       0.1633633
           3493.8       0.1926458
           3494.2       0.2158038
           3494.6       0.2218511
            3495.       0.2212202
           3495.4       0.1999049
           3495.8       0.1589971
           3496.2       0.1510411
           3496.6       0.1545745
            3497.       0.1448386
           3497.4       0.1504752
           3497.8       0.1589719
           3498.2       0.1797041
           3498.6       0.2255387
            3499.       0.2698194
           3499.4       0.2737772
           3499.8       0.2718816
           3500.2       0.2746702
           3500.6       0.2717634
            3501.        0.293042
           3501.4       0.2998198
           3501.8       0.2536767
           3502.2       0.2522539
           3502.6       0.2726306
            3503.        0.301196
           3503.4       0.3366839
           3503.8       0.3579484
           3504.2       0.3143121
           3504.6       0.2498276
            3505.       0.2346062
           3505.4       0.2353121
           3505.8       0.2194239
           3506.2       0.1995328
           3506.6        0.205241
            3507.       0.2483028
           3507.4       0.2767652
           3507.8       0.2913971
           3508.2       0.2806429
           3508.6       0.2723858
            3509.       0.2591804
           3509.4       0.2451948
           3509.8       0.1916185
           3510.2       0.1727244
           3510.6      0.05517255
            3511.      0.08792472
           3511.4       0.2498081
           3511.8       0.2293251
           3512.2       0.2120883
           3512.6       0.2138418
            3513.       0.2122834
           3513.4       0.1728326
           3513.8       0.1583337
           3514.2       0.1706735
           3514.6       0.1628866
            3515.        0.167125
           3515.4       0.2046786
           3515.8        0.232263
           3516.2       0.2413177
           3516.6       0.2608874
            3517.       0.3036526
           3517.4       0.3407809
           3517.8       0.3299096
           3518.2       0.3034529
           3518.6       0.3036206
            3519.       0.3041202
           3519.4       0.2805988
           3519.8       0.2646393
           3520.2       0.2559375
           3520.6       0.2313039
            3521.       0.2027658
           3521.4       0.1780671
           3521.8       0.1692855
           3522.2       0.2020883
           3522.6       0.2269052
            3523.       0.1940526
           3523.4       0.1650878
           3523.8         0.13798
           3524.2       0.1321452
           3524.6       0.1477445
            3525.       0.1509901
           3525.4       0.1617087
           3525.8        0.139994
           3526.2       0.1184624
           3526.6       0.1435856
            3527.       0.1762263
           3527.4       0.1967079
           3527.8       0.2168419
           3528.2       0.2368588
           3528.6       0.2683502
            3529.       0.2705033
           3529.4       0.2491489
           3529.8       0.2235405
           3530.2       0.2309895
           3530.6       0.2490321
            3531.       0.2521584
           3531.4       0.2118504
           3531.8       0.2103856
           3532.2       0.1967943
           3532.6       0.1697784
            3533.       0.1934133
           3533.4       0.2081846
           3533.8       0.2439531
           3534.2       0.2927583
           3534.6       0.2810126
            3535.       0.2570084
           3535.4       0.2573232
           3535.8       0.2761785
           3536.2       0.2708939
           3536.6       0.2679816
            3537.       0.2507727
           3537.4       0.2404036
           3537.8       0.2396962
           3538.2        0.237273
           3538.6       0.2615202
            3539.       0.2977343
           3539.4        0.321082
           3539.8       0.3016122
           3540.2       0.2812276
           3540.6       0.2639212
            3541.       0.2547248
           3541.4       0.2491399
           3541.8       0.2232772
           3542.2         0.20395
           3542.6       0.2055525
            3543.       0.2376276
           3543.4       0.2579769
           3543.8       0.2644743
           3544.2       0.3029861
           3544.6       0.2961613
            3545.       0.2734919
           3545.4       0.2623227
           3545.8       0.2595147
           3546.2       0.2578399
           3546.6       0.2565329
            3547.       0.2178617
           3547.4       0.2075505
           3547.8       0.2138325
           3548.2       0.2243338
           3548.6       0.2496045
            3549.       0.2674967
           3549.4       0.2746974
           3549.8       0.2688521
           3550.2       0.2588149
           3550.6       0.2301272
            3551.       0.2286403
           3551.4       0.2377774
           3551.8       0.2199331
           3552.2        0.207681
           3552.6       0.2222292
            3553.       0.2009394
           3553.4        0.181822
           3553.8       0.1881338
           3554.2        0.184463
           3554.6       0.1840464
            3555.       0.2018395
           3555.4       0.2539304
           3555.8       0.2652776
           3556.2       0.2320959
           3556.6       0.2230798
            3557.       0.2478512
           3557.4       0.2518484
           3557.8       0.2266911
           3558.2       0.1976101
           3558.6       0.1878981
            3559.       0.1772196
           3559.4       0.1769308
           3559.8       0.1932482
           3560.2       0.1854239
           3560.6       0.1832246
            3561.       0.1706498
           3561.4       0.1693085
           3561.8       0.1960098
           3562.2       0.2203239
           3562.6       0.2495202
            3563.       0.2661231
           3563.4       0.2687156
           3563.8       0.2547144
           3564.2       0.2162732
           3564.6       0.1598324
            3565.       0.1122027
           3565.4      0.09707215
           3565.8       0.1009368
           3566.2       0.1133407
           3566.6       0.1397231
            3567.       0.1659267
           3567.4       0.1930151
           3567.8       0.1930003
           3568.2       0.1965419
           3568.6        0.178663
            3569.       0.1504612
           3569.4       0.1272574
           3569.8       0.1013336
           3570.2      0.09335908
           3570.6       0.1197381
            3571.       0.1593931
           3571.4       0.1771817
           3571.8       0.1761031
           3572.2       0.2003587
           3572.6       0.2146421
            3573.       0.2293921
           3573.4        0.223821
           3573.8       0.2200276
           3574.2       0.2079531
           3574.6       0.1975484
            3575.       0.1971643
           3575.4       0.1890838
           3575.8       0.1891495
           3576.2       0.2114078
           3576.6       0.2262011
            3577.       0.2135455
           3577.4       0.2156746
           3577.8       0.2094183
           3578.2       0.1702138
           3578.6       0.1368177
            3579.       0.1351715
           3579.4       0.1422962
           3579.8       0.1444609
           3580.2       0.1322339
           3580.6      0.09812335
            3581.      0.07184369
           3581.4      0.07282977
           3581.8      0.07440104
           3582.2      0.08008511
           3582.6      0.09855442
            3583.       0.1144314
           3583.4       0.1079752
           3583.8        0.110063
           3584.2       0.1007633
           3584.6      0.09733286
            3585.      0.08028609
           3585.4      0.06982177
           3585.8      0.08368288
           3586.2      0.09397939
           3586.6      0.09578168
            3587.      0.08748294
           3587.4       0.1048955
           3587.8       0.1238337
           3588.2       0.1225157
           3588.6       0.1202328
            3589.       0.1133023
           3589.4       0.1182173
           3589.8       0.1052224
           3590.2        0.144868
           3590.6       0.2055777
            3591.       0.2573308
           3591.4       0.2920989
           3591.8        0.273955
           3592.2       0.2668243
           3592.6       0.2360086
            3593.       0.2050288
           3593.4       0.2003905
           3593.8       0.2075342
           3594.2       0.2316804
           3594.6       0.2326503
            3595.       0.2550794
           3595.4       0.2771898
           3595.8       0.2987848
           3596.2       0.3220694
           3596.6       0.3300997
            3597.       0.3336194
           3597.4       0.3215963
