#K OBJECT   '14938'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 14938
#K OBJRA    02:24:23.31
#K OBJDEC   -03:06:14.5
#K OBJBMAG  7.660000E+00
#K OBJVMAG  7.200000E+00
#K SPTYPE   F5
#K HDNAME   HD 14938
#K BDNAME   BD-03 372
#K HIPNAME  HIP 11218
#K SAONAME  SAO 129879
#K VHELIO   2.66855760931796E+00
#K VLSR     -7.82680441458313E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.449099E+03
#K CMAX1    4.774486E+03
#K PICKTYPE F5V
#K NCOMBINE 5
#K TEFF     6164  1993A&A...275..101E (Edvardsson)
#K LOGG     4.090000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -3.700000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     6790.6-6810.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.7359358
           3465.4       0.6997031
           3465.8        0.669888
           3466.2        0.671743
           3466.6       0.7041059
            3467.       0.7340014
           3467.4       0.7532415
           3467.8       0.7678722
           3468.2       0.7619816
           3468.6       0.7486023
            3469.       0.7145537
           3469.4       0.7387198
           3469.8       0.7664496
           3470.2       0.7997427
           3470.6       0.8058075
            3471.       0.7749827
           3471.4       0.7488993
           3471.8       0.7315763
           3472.2       0.7211305
           3472.6       0.7215064
            3473.       0.7168257
           3473.4       0.7055401
           3473.8       0.6785049
           3474.2       0.6458497
           3474.6       0.6355227
            3475.       0.6129342
           3475.4       0.5907229
           3475.8       0.5929091
           3476.2       0.5965821
           3476.6       0.5894147
            3477.       0.6011978
           3477.4       0.6448671
           3477.8       0.7048731
           3478.2       0.7487233
           3478.6       0.7573209
            3479.       0.7664699
           3479.4       0.7760041
           3479.8       0.7692306
           3480.2       0.7655044
           3480.6       0.7416385
            3481.       0.7483183
           3481.4       0.7621261
           3481.8       0.7510927
           3482.2       0.7486872
           3482.6       0.7261851
            3483.       0.6839195
           3483.4       0.6708969
           3483.8       0.6762983
           3484.2       0.7066954
           3484.6        0.728029
            3485.       0.7266205
           3485.4       0.7340637
           3485.8       0.7475741
           3486.2       0.7864087
           3486.6       0.8209483
            3487.       0.8410229
           3487.4       0.8405237
           3487.8       0.8068699
           3488.2       0.7619797
           3488.6        0.720624
            3489.       0.6764606
           3489.4       0.6585453
           3489.8       0.6679931
           3490.2       0.6530782
           3490.6       0.6313094
            3491.        0.652252
           3491.4       0.7136341
           3491.8        0.766271
           3492.2       0.7526383
           3492.6       0.7182161
            3493.       0.6943364
           3493.4       0.6836274
           3493.8        0.714247
           3494.2       0.7513628
           3494.6       0.7343842
            3495.       0.6934515
           3495.4         0.64353
           3495.8       0.5998101
           3496.2       0.5964712
           3496.6       0.5991811
            3497.       0.6042789
           3497.4       0.6175503
           3497.8       0.6412284
           3498.2       0.7006572
           3498.6       0.7745391
            3499.       0.8211887
           3499.4       0.8393911
           3499.8         0.82276
           3500.2       0.7887522
           3500.6       0.7828763
            3501.       0.7732615
           3501.4       0.7883775
           3501.8       0.7940011
           3502.2       0.7813171
           3502.6       0.7774361
            3503.       0.8051986
           3503.4       0.8402598
           3503.8       0.8482218
           3504.2        0.821838
           3504.6       0.7726181
            3505.       0.7336228
           3505.4       0.7281809
           3505.8       0.7284167
           3506.2        0.727097
           3506.6       0.7317038
            3507.       0.7524029
           3507.4       0.7723368
           3507.8       0.7773376
           3508.2       0.7898178
           3508.6       0.7895204
            3509.       0.7855123
           3509.4       0.7720421
           3509.8       0.7310444
           3510.2       0.6955526
           3510.6       0.6844407
            3511.       0.7111949
           3511.4       0.7370753
           3511.8       0.7437884
           3512.2       0.7362731
           3512.6       0.7222041
            3513.        0.700238
           3513.4       0.6703111
           3513.8       0.6590099
           3514.2        0.675817
           3514.6       0.6862382
            3515.       0.6994343
           3515.4       0.7398717
           3515.8       0.7786095
           3516.2       0.8059976
           3516.6       0.8021633
            3517.       0.8151124
           3517.4       0.8308889
           3517.8       0.8418288
           3518.2       0.8110215
           3518.6       0.7908323
            3519.       0.7923191
           3519.4       0.7806135
           3519.8       0.7545198
           3520.2       0.7337682
           3520.6        0.727595
            3521.       0.7197318
           3521.4       0.6961062
           3521.8       0.6952853
           3522.2       0.7254736
           3522.6       0.7426196
            3523.       0.7413116
           3523.4       0.6947625
           3523.8       0.6575447
           3524.2       0.6297479
           3524.6       0.6199791
            3525.       0.6549095
           3525.4       0.6814739
           3525.8       0.6337551
           3526.2       0.5611084
           3526.6       0.5608729
            3527.       0.6291667
           3527.4       0.6977373
           3527.8        0.733489
           3528.2       0.7790091
           3528.6       0.8103396
            3529.        0.818775
           3529.4       0.7972679
           3529.8       0.7760853
           3530.2        0.777983
           3530.6       0.7804993
            3531.       0.7724538
           3531.4       0.7662513
           3531.8       0.7449264
           3532.2       0.7071314
           3532.6       0.7083017
            3533.       0.7013046
           3533.4       0.7310844
           3533.8       0.7923443
           3534.2       0.8369355
           3534.6        0.830433
            3535.       0.8052283
           3535.4       0.7748221
           3535.8       0.7614108
           3536.2       0.7689041
           3536.6       0.7714218
            3537.       0.7776494
           3537.4       0.7717502
           3537.8       0.7647316
           3538.2       0.7698042
           3538.6       0.8113172
            3539.       0.8510987
           3539.4       0.8642288
           3539.8       0.8627496
           3540.2        0.826973
           3540.6       0.7707839
            3541.       0.7510176
           3541.4       0.7614154
           3541.8       0.7630314
           3542.2       0.7739912
           3542.6       0.8033794
            3543.       0.8174652
           3543.4       0.8194331
           3543.8       0.8465701
           3544.2       0.8514138
           3544.6       0.8427733
            3545.       0.8154623
           3545.4       0.7897121
           3545.8       0.7926612
           3546.2        0.818779
           3546.6       0.8411638
            3547.        0.837772
           3547.4       0.8070463
           3547.8       0.7650303
           3548.2       0.7457438
           3548.6       0.7779136
            3549.       0.8161406
           3549.4       0.8299369
           3549.8       0.8436893
           3550.2       0.8464887
           3550.6       0.8455885
            3551.       0.8410112
           3551.4       0.8231159
           3551.8       0.7947062
           3552.2       0.7779307
           3552.6       0.7883587
            3553.       0.7901195
           3553.4        0.756038
           3553.8       0.7306014
           3554.2       0.7146469
           3554.6       0.7126287
            3555.        0.744572
           3555.4       0.7828888
           3555.8       0.8146957
           3556.2       0.8108545
           3556.6       0.7789285
            3557.        0.768091
           3557.4       0.7922832
           3557.8       0.8131636
           3558.2       0.7915819
           3558.6       0.7578841
            3559.       0.7749002
           3559.4       0.7996734
           3559.8       0.8159154
           3560.2       0.8051945
           3560.6       0.7810543
            3561.       0.7688968
           3561.4       0.7643235
           3561.8       0.7761154
           3562.2       0.8130158
           3562.6       0.8501482
            3563.       0.8798993
           3563.4       0.8954061
           3563.8       0.8640127
           3564.2       0.8171191
           3564.6       0.7489102
            3565.       0.6599216
           3565.4       0.5876907
           3565.8       0.5703067
           3566.2        0.585821
           3566.6       0.6345755
            3567.       0.7000395
           3567.4       0.7360289
           3567.8       0.7520047
           3568.2       0.7596464
           3568.6       0.7319687
            3569.       0.6779653
           3569.4       0.6064691
           3569.8        0.547713
           3570.2       0.5309851
           3570.6       0.5848777
            3571.       0.6746764
           3571.4       0.7254283
           3571.8       0.6891972
           3572.2        0.656311
           3572.6       0.6775363
            3573.       0.6932684
           3573.4        0.684795
           3573.8       0.6831974
           3574.2       0.6939432
           3574.6       0.7112885
            3575.       0.7050759
           3575.4        0.689284
           3575.8       0.7045381
           3576.2       0.7139924
           3576.6       0.7221389
            3577.       0.7531009
           3577.4       0.7751929
           3577.8       0.7670899
           3578.2       0.7275637
           3578.6       0.7026579
            3579.       0.7236966
           3579.4       0.7530649
           3579.8       0.7751156
           3580.2        0.729458
           3580.6       0.6354269
            3581.        0.530937
           3581.4       0.4798538
           3581.8        0.518182
           3582.2       0.6107754
           3582.6       0.6810579
            3583.       0.7307229
           3583.4       0.7567912
           3583.8       0.7474589
           3584.2       0.7054623
           3584.6       0.6253849
            3585.       0.5456061
           3585.4       0.4955535
           3585.8       0.5161217
           3586.2       0.5632468
           3586.6        0.581534
            3587.        0.552631
           3587.4       0.5519821
           3587.8        0.592625
           3588.2       0.6339607
           3588.6       0.6508168
            3589.       0.6484892
           3589.4       0.6405244
           3589.8       0.6495178
           3590.2        0.691882
           3590.6       0.7380043
            3591.       0.7892824
           3591.4       0.8113719
           3591.8       0.8113267
           3592.2       0.7980538
           3592.6       0.7555472
            3593.       0.7105716
           3593.4       0.7066775
           3593.8       0.7308378
           3594.2       0.7523513
           3594.6       0.7591914
            3595.       0.7597184
           3595.4       0.7720591
           3595.8        0.775803
           3596.2       0.7732975
           3596.6        0.805133
            3597.       0.8191081
           3597.4        0.824686
           3597.8       0.8075662
           3598.2       0.8026967
           3598.6       0.8037764
            3599.       0.8030328
           3599.4       0.8005588
           3599.8       0.8040543
           3600.2       0.8284395
           3600.6       0.8426235
            3601.       0.8318038
           3601.4       0.8201628
           3601.8       0.7688113
           3602.2       0.7024262
           3602.6       0.6674576
            3603.       0.6752039
           3603.4       0.6676447
           3603.8       0.6755756
           3604.2       0.6986747
           3604.6       0.7047049
            3605.       0.6777456
           3605.4       0.6508007
           3605.8       0.6771931
           3606.2       0.7089395
           3606.6       0.7213321
            3607.       0.7477295
           3607.4       0.7603912
           3607.8       0.7528105
           3608.2       0.7034149
           3608.6       0.6357529
            3609.        0.597113
           3609.4       0.6193355
           3609.8       0.6481197
           3610.2       0.6462561
           3610.6       0.6496419
            3611.       0.6913034
           3611.4       0.7533939
           3611.8       0.7624173
           3612.2        0.746261
           3612.6       0.7256324
            3613.       0.6802202
           3613.4       0.6309412
           3613.8       0.6261029
           3614.2       0.6505922
           3614.6       0.6938466
            3615.       0.7508657
           3615.4       0.7864851
           3615.8       0.7885118
           3616.2       0.7800852
           3616.6       0.7747819
            3617.       0.7705767
           3617.4       0.7365562
           3617.8       0.6744038
           3618.2       0.6106038
           3618.6       0.5513732
            3619.       0.5170181
           3619.4       0.5478781
           3619.8       0.6239291
           3620.2       0.6911322
           3620.6       0.7254685
            3621.       0.7132989
           3621.4       0.6799013
           3621.8       0.6922806
           3622.2       0.7472613
           3622.6       0.7970317
            3623.       0.8026837
           3623.4       0.7644611
           3623.8       0.7081637
           3624.2       0.6924223
           3624.6       0.7008959
            3625.       0.7270401
           3625.4       0.7837797
           3625.8       0.8490065
           3626.2       0.8789681
           3626.6       0.8811359
            3627.       0.8799524
           3627.4       0.8593128
           3627.8       0.8440074
           3628.2       0.8313896
           3628.6       0.8366268
            3629.       0.8581056
           3629.4       0.8545102
           3629.8       0.8294222
           3630.2       0.7575334
           3630.6       0.6496263
            3631.       0.5574464
           3631.4       0.5126765
           3631.8       0.5283681
           3632.2       0.5949618
           3632.6       0.6632584
            3633.       0.6963428
           3633.4       0.7158793
           3633.8       0.7286729
           3634.2       0.6963767
           3634.6       0.6569067
            3635.       0.6671084
           3635.4       0.6983281
           3635.8       0.7304649
           3636.2       0.7288611
           3636.6       0.7164531
            3637.       0.7355571
           3637.4       0.7477198
           3637.8       0.7451384
           3638.2       0.7588124
           3638.6       0.7898257
            3639.       0.8339854
           3639.4       0.8469481
           3639.8         0.83109
           3640.2       0.8318077
           3640.6       0.8230581
            3641.       0.7984555
           3641.4       0.7873504
           3641.8       0.7819625
           3642.2       0.7724375
           3642.6        0.750282
            3643.       0.7126324
           3643.4       0.7080401
           3643.8       0.7185057
           3644.2       0.7164658
           3644.6       0.6884079
            3645.       0.6517676
           3645.4       0.6550875
           3645.8       0.6864158
           3646.2       0.7431446
           3646.6       0.7793527
            3647.       0.7542021
           3647.4       0.6904062
           3647.8       0.6479582
           3648.2       0.6779857
           3648.6       0.7356107
            3649.       0.7383972
           3649.4       0.7175742
           3649.8       0.6904216
           3650.2       0.7005854
           3650.6       0.7323393
            3651.       0.7428133
           3651.4       0.7324251
           3651.8       0.7437667
           3652.2       0.7881196
           3652.6       0.8361225
            3653.       0.8560062
           3653.4       0.8378886
           3653.8       0.8161892
           3654.2       0.8258645
           3654.6       0.8378938
            3655.       0.8350036
           3655.4       0.8078495
           3655.8        0.786217
           3656.2       0.8082479
           3656.6       0.8389122
            3657.       0.8590186
           3657.4       0.8556952
           3657.8       0.8439025
           3658.2       0.8515933
           3658.6       0.8729714
            3659.       0.8817006
           3659.4       0.8460755
           3659.8       0.8220137
           3660.2       0.8309073
           3660.6       0.8500683
            3661.       0.8676304
           3661.4       0.8674517
           3661.8       0.8469909
           3662.2       0.8235448
           3662.6       0.8092856
            3663.       0.8083265
           3663.4       0.8031685
           3663.8       0.7865767
           3664.2       0.7824336
           3664.6       0.7905586
            3665.        0.820748
           3665.4       0.8685563
           3665.8         0.87383
           3666.2       0.8377413
           3666.6       0.8047421
            3667.       0.8069181
           3667.4       0.8172088
           3667.8        0.823236
           3668.2       0.8217192
           3668.6       0.7996205
            3669.       0.7641965
           3669.4       0.7368941
           3669.8       0.7308483
           3670.2       0.7419373
           3670.6       0.7664829
            3671.       0.8032312
           3671.4       0.8451012
