#K OBJECT   '150177'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 150177
#K OBJRA    16:39:39.13
#K OBJDEC   -09:33:16.5
#K OBJBMAG  6.775000E+00
#K OBJVMAG  6.339000E+00
#K SPTYPE   F3V
#K HDNAME   HD 150177
#K BDNAME   BD-09 4430
#K HIPNAME  HIP 81580
#K SAONAME  SAO 141298
#K VHELIO   2.33428940778269E+00
#K VLSR     1.66131849690337E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445785E+03
#K CMAX1    4.771431E+03
#K PICKTYPE F2V
#K NCOMBINE 6
#K TEFF     6200  1993A&A...275..101E (Edvardsson)
#K LOGG     3.980000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -5.600000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5461.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.7155333
           3465.4       0.6631979
           3465.8       0.6405577
           3466.2         0.66731
           3466.6       0.7045574
            3467.        0.722867
           3467.4       0.7352788
           3467.8        0.749981
           3468.2       0.7454669
           3468.6       0.7243989
            3469.       0.7044622
           3469.4       0.7122694
           3469.8       0.7433895
           3470.2       0.7758824
           3470.6       0.7790561
            3471.        0.752702
           3471.4        0.733111
           3471.8       0.7188454
           3472.2       0.7088411
           3472.6       0.7030034
            3473.       0.7041358
           3473.4       0.6875397
           3473.8        0.656353
           3474.2        0.635732
           3474.6       0.6284704
            3475.       0.6120302
           3475.4       0.5886584
           3475.8       0.5863038
           3476.2         0.58554
           3476.6       0.5712513
            3477.       0.5932164
           3477.4       0.6434792
           3477.8       0.6970688
           3478.2        0.728919
           3478.6       0.7358639
            3479.       0.7368402
           3479.4       0.7332116
           3479.8       0.7321094
           3480.2       0.7378095
           3480.6       0.7396097
            3481.       0.7395802
           3481.4       0.7479383
           3481.8       0.7538031
           3482.2       0.7392032
           3482.6       0.7005686
            3483.       0.6557878
           3483.4        0.646032
           3483.8       0.6602863
           3484.2       0.6917434
           3484.6       0.7165025
            3485.        0.711791
           3485.4       0.7097068
           3485.8       0.7318518
           3486.2       0.7653467
           3486.6       0.7946349
            3487.       0.8032221
           3487.4       0.7918537
           3487.8       0.7741303
           3488.2       0.7357696
           3488.6       0.6990992
            3489.        0.678618
           3489.4        0.658204
           3489.8       0.6484657
           3490.2       0.6327255
           3490.6       0.6240655
            3491.       0.6479734
           3491.4       0.7021152
           3491.8       0.7409377
           3492.2       0.7319694
           3492.6       0.6943291
            3493.       0.6611739
           3493.4       0.6739964
           3493.8       0.7070265
           3494.2        0.727569
           3494.6       0.7148786
            3495.       0.6692635
           3495.4       0.6153318
           3495.8       0.5841262
           3496.2       0.5859323
           3496.6       0.5977837
            3497.       0.6007237
           3497.4        0.612666
           3497.8       0.6490482
           3498.2       0.7040709
           3498.6       0.7697574
            3499.       0.8013772
           3499.4       0.8008278
           3499.8       0.7708485
           3500.2       0.7441191
           3500.6       0.7356795
            3501.       0.7451285
           3501.4       0.7506571
           3501.8       0.7410176
           3502.2        0.730468
           3502.6       0.7415742
            3503.       0.7772587
           3503.4        0.805603
           3503.8       0.7993573
           3504.2       0.7680352
           3504.6       0.7307667
            3505.       0.7006907
           3505.4       0.7023468
           3505.8       0.7056661
           3506.2       0.7023453
           3506.6       0.7086425
            3507.       0.7345095
           3507.4       0.7467648
           3507.8       0.7502519
           3508.2       0.7668902
           3508.6       0.7735208
            3509.       0.7780275
           3509.4       0.7514568
           3509.8       0.7029191
           3510.2       0.6738973
           3510.6       0.6812615
            3511.       0.7142701
           3511.4       0.7370887
           3511.8       0.7371489
           3512.2       0.7227781
           3512.6       0.7033775
            3513.       0.6816338
           3513.4       0.6555508
           3513.8       0.6401619
           3514.2        0.656834
           3514.6       0.6883338
            3515.       0.7125436
           3515.4       0.7367163
           3515.8       0.7657309
           3516.2       0.7736732
           3516.6       0.7716948
            3517.       0.7741352
           3517.4       0.7896264
           3517.8       0.7968413
           3518.2        0.776468
           3518.6       0.7566745
            3519.       0.7540075
           3519.4       0.7390187
           3519.8       0.7060725
           3520.2        0.684365
           3520.6       0.6981041
            3521.       0.6887221
           3521.4       0.6723242
           3521.8       0.6936411
           3522.2       0.7290553
           3522.6       0.7356425
            3523.       0.7144468
           3523.4       0.6826347
           3523.8       0.6429814
           3524.2       0.6103796
           3524.6       0.6209992
            3525.       0.6686153
           3525.4       0.6716844
           3525.8       0.5933392
           3526.2       0.5327734
           3526.6       0.5554471
            3527.        0.633763
           3527.4       0.6948509
           3527.8       0.7389912
           3528.2       0.7700559
           3528.6       0.7844117
            3529.       0.7829087
           3529.4       0.7581185
           3529.8       0.7347133
           3530.2       0.7373248
           3530.6       0.7421122
            3531.       0.7499029
           3531.4       0.7424813
           3531.8       0.7185653
           3532.2       0.7044792
           3532.6       0.6958808
            3533.       0.7008849
           3533.4       0.7324232
           3533.8       0.7774383
           3534.2       0.8038673
           3534.6       0.7947353
            3535.       0.7670354
           3535.4       0.7491449
           3535.8       0.7499214
           3536.2       0.7576796
           3536.6       0.7741671
            3537.       0.7732052
           3537.4       0.7512127
           3537.8       0.7505576
           3538.2       0.7722011
           3538.6       0.8041553
            3539.       0.8396159
           3539.4       0.8518525
           3539.8        0.826935
           3540.2       0.7904317
           3540.6       0.7634847
            3541.       0.7486366
           3541.4        0.750803
           3541.8       0.7518874
           3542.2       0.7603092
           3542.6       0.7763922
            3543.        0.801372
           3543.4       0.8168599
           3543.8        0.823191
           3544.2        0.822687
           3544.6       0.8081982
            3545.       0.7790983
           3545.4       0.7617913
           3545.8        0.781051
           3546.2       0.8110205
           3546.6       0.8281805
            3547.       0.8118514
           3547.4        0.781418
           3547.8       0.7458075
           3548.2       0.7459634
           3548.6       0.7737172
            3549.       0.8055931
           3549.4        0.820908
           3549.8       0.8183662
           3550.2       0.8175141
           3550.6       0.8175849
            3551.       0.8065609
           3551.4       0.7922556
           3551.8       0.7769976
           3552.2       0.7719091
           3552.6       0.7744637
            3553.       0.7515809
           3553.4       0.7409064
           3553.8       0.7245533
           3554.2       0.7062762
           3554.6       0.7132813
            3555.       0.7442598
           3555.4       0.7924713
           3555.8       0.8166868
           3556.2       0.7782081
           3556.6       0.7403311
            3557.        0.754375
           3557.4       0.7895169
           3557.8       0.7925228
