#K OBJECT   '150997'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 150997
#K OBJRA    16:42:53.77
#K OBJDEC   +38:55:20.1
#K OBJBMAG  4.392000E+00
#K OBJVMAG  3.487000E+00
#K SPTYPE   G7.5IIIb
#K OBJRV    8.300000E+00
#K HDNAME   HD 150997
#K BDNAME   BD+39 3029
#K HIPNAME  HIP 81833
#K SAONAME  SAO 65504
#K VHELIO   -3.07640005794661E+00
#K VLSR     1.58502195559299E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784899E+03
#K CMAX1    8.120765E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     4925  1991ApJS...75..579L (Luck)
#K LOGG     2.210000E+00  1991ApJS...75..579L (Luck)
#K FEH      -1.800000E-01  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.2511086
           3465.4       0.2214794
           3465.8       0.1886106
           3466.2       0.1676625
           3466.6       0.1690268
            3467.       0.1852514
           3467.4       0.2057097
           3467.8       0.2235368
           3468.2       0.2391906
           3468.6        0.243379
            3469.       0.2325394
           3469.4       0.2245297
           3469.8       0.2310801
           3470.2       0.2562743
           3470.6       0.2744876
            3471.       0.2709031
           3471.4       0.2557077
           3471.8       0.2273287
           3472.2       0.2064877
           3472.6       0.1965231
            3473.       0.1947279
           3473.4       0.1965733
           3473.8       0.1922298
           3474.2       0.1764554
           3474.6       0.1674953
            3475.       0.1580464
           3475.4        0.141493
           3475.8       0.1304457
           3476.2       0.1312626
           3476.6         0.13073
            3477.       0.1281674
           3477.4       0.1486967
           3477.8       0.1813895
           3478.2       0.2026782
           3478.6       0.2095164
            3479.        0.210337
           3479.4        0.214356
           3479.8       0.2114613
           3480.2       0.2026423
           3480.6       0.1995047
            3481.        0.200277
           3481.4       0.2043188
           3481.8       0.2122495
           3482.2       0.2161665
           3482.6       0.2106764
            3483.       0.1910659
           3483.4        0.173431
           3483.8       0.1676984
           3484.2       0.1763015
           3484.6       0.1868306
            3485.       0.1829594
           3485.4       0.1777699
           3485.8       0.1804626
           3486.2       0.1999985
           3486.6       0.2308655
            3487.       0.2564976
           3487.4       0.2700338
           3487.8       0.2648926
           3488.2       0.2451676
           3488.6       0.2179545
            3489.       0.1934425
           3489.4       0.1752428
           3489.8          0.1685
           3490.2       0.1565076
           3490.6       0.1398665
            3491.       0.1339456
           3491.4       0.1579162
           3491.8       0.1883876
           3492.2        0.194246
           3492.6       0.1815724
            3493.       0.1606359
           3493.4       0.1523541
           3493.8       0.1760447
           3494.2       0.2091479
           3494.6       0.2285939
            3495.       0.2288209
           3495.4       0.2096523
           3495.8       0.1813447
           3496.2        0.161244
           3496.6       0.1559675
            3497.       0.1519518
           3497.4       0.1435697
           3497.8       0.1455591
           3498.2       0.1628365
           3498.6       0.1913667
            3499.       0.2306089
           3499.4       0.2572592
           3499.8       0.2750773
           3500.2       0.2729151
           3500.6        0.262683
            3501.       0.2527631
           3501.4        0.261609
           3501.8       0.2667782
           3502.2        0.254195
           3502.6       0.2473867
            3503.       0.2647676
           3503.4        0.297229
           3503.8       0.3215705
           3504.2       0.3247176
           3504.6       0.2939143
            3505.        0.250828
           3505.4        0.230197
           3505.8       0.2261854
           3506.2       0.2179935
           3506.6       0.2155944
            3507.       0.2233232
           3507.4       0.2378729
           3507.8       0.2525304
           3508.2       0.2682055
           3508.6       0.2796506
            3509.       0.2728976
           3509.4       0.2583757
           3509.8       0.2286636
           3510.2        0.197939
           3510.6       0.1824422
            3511.       0.2009217
           3511.4       0.2290625
           3511.8       0.2394788
           3512.2       0.2251935
           3512.6       0.2030019
            3513.       0.1905161
           3513.4       0.1841595
           3513.8       0.1713814
           3514.2       0.1592665
           3514.6       0.1602172
            3515.       0.1589372
           3515.4        0.162968
           3515.8       0.1946038
           3516.2       0.2347951
           3516.6       0.2535891
            3517.       0.2684515
           3517.4        0.286492
           3517.8       0.3041946
           3518.2       0.3070639
           3518.6       0.2948008
            3519.       0.2876626
           3519.4       0.2846626
           3519.8       0.2699425
           3520.2       0.2448014
           3520.6       0.2247304
            3521.       0.2124334
           3521.4       0.1923024
           3521.8       0.1816342
           3522.2       0.1915042
           3522.6       0.2110565
            3523.       0.2059264
           3523.4       0.1868748
           3523.8       0.1676689
           3524.2        0.143636
           3524.6       0.1290113
            3525.       0.1356844
           3525.4        0.157333
           3525.8       0.1561285
           3526.2       0.1362969
           3526.6       0.1246523
            3527.       0.1485307
           3527.4       0.1878432
           3527.8       0.2108223
           3528.2       0.2321898
           3528.6       0.2525052
            3529.       0.2659283
           3529.4       0.2672299
           3529.8       0.2487194
           3530.2       0.2360164
           3530.6       0.2463197
            3531.       0.2553347
           3531.4       0.2495848
           3531.8       0.2368053
           3532.2       0.2142139
           3532.6       0.2011424
            3533.       0.1985862
           3533.4       0.2051655
           3533.8       0.2304409
           3534.2       0.2633259
           3534.6       0.2817672
            3535.       0.2806069
           3535.4       0.2682713
           3535.8       0.2578948
           3536.2       0.2572213
           3536.6       0.2627987
            3537.       0.2578461
           3537.4       0.2478091
           3537.8       0.2420739
           3538.2       0.2357349
           3538.6       0.2416022
            3539.       0.2689278
           3539.4       0.3027843
           3539.8       0.3144892
           3540.2       0.3021355
           3540.6       0.2815175
            3541.       0.2524688
           3541.4       0.2363779
           3541.8       0.2399896
           3542.2       0.2259769
           3542.6       0.2275455
            3543.       0.2401043
           3543.4        0.247675
           3543.8       0.2539694
           3544.2       0.2659932
           3544.6       0.2786425
            3545.       0.2782543
           3545.4       0.2636032
           3545.8        0.248226
           3546.2       0.2471022
           3546.6       0.2604527
            3547.       0.2582752
           3547.4       0.2410503
           3547.8       0.2231054
           3548.2       0.2113897
           3548.6       0.2161179
            3549.       0.2395961
           3549.4       0.2621123
           3549.8       0.2720004
           3550.2       0.2675178
           3550.6       0.2523918
            3551.       0.2402319
           3551.4       0.2323759
           3551.8       0.2244574
           3552.2       0.2288846
           3552.6       0.2285128
            3553.       0.2233125
           3553.4       0.2060697
           3553.8       0.1973531
           3554.2       0.1911829
           3554.6       0.1857587
            3555.       0.1885778
           3555.4       0.2109441
           3555.8       0.2411897
           3556.2         0.25123
           3556.6       0.2362856
