#K OBJECT   '1522'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 1522
#K OBJRA    00:19:25.67
#K OBJDEC   -08:49:26.1
#K OBJBMAG  4.782000E+00
#K OBJVMAG  3.558000E+00
#K SPTYPE   K1.5III
#K OBJRV    1.860000E+01
#K HDNAME   HD 1522
#K BDNAME   BD-09 48
#K HIPNAME  HIP 1562
#K SAONAME  SAO 128694
#K VHELIO   -1.57799405688359E+01
#K VLSR     -1.84756539209738E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.453613E+03
#K CMAX1    4.778665E+03
#K PICKTYPE K1III
#K NCOMBINE 5
#K TEFF     4500  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.340000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -9.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     8120.6-8145.0

#      wavelength        spectrum
#       angstroms                

            3465.        0.175131
           3465.4       0.1438601
           3465.8       0.1149852
           3466.2       0.1049964
           3466.6       0.1149161
            3467.       0.1346117
           3467.4       0.1492272
           3467.8       0.1663944
           3468.2       0.1787229
           3468.6       0.1867339
            3469.       0.1764059
           3469.4       0.1731571
           3469.8       0.1926302
           3470.2       0.2191503
           3470.6       0.2357809
            3471.       0.2228006
           3471.4       0.1950272
           3471.8       0.1735298
           3472.2        0.155982
           3472.6       0.1426248
            3473.        0.135935
           3473.4       0.1292837
           3473.8       0.1273813
           3474.2       0.1222111
           3474.6       0.1077235
            3475.      0.09135325
           3475.4      0.08287173
           3475.8       0.0803704
           3476.2      0.08038544
           3476.6      0.08689579
            3477.      0.09427854
           3477.4       0.1123812
           3477.8       0.1387029
           3478.2       0.1584206
           3478.6         0.16522
            3479.       0.1618746
           3479.4         0.16638
           3479.8       0.1675482
           3480.2       0.1584213
           3480.6       0.1545003
            3481.        0.158635
           3481.4       0.1643122
           3481.8       0.1725112
           3482.2       0.1762825
           3482.6       0.1642778
            3483.        0.142376
           3483.4       0.1260532
           3483.8       0.1253138
           3484.2       0.1414378
           3484.6       0.1566117
            3485.        0.146391
           3485.4       0.1357152
           3485.8         0.14509
           3486.2       0.1654159
           3486.6       0.1929109
            3487.       0.2185903
           3487.4       0.2279889
           3487.8       0.2157488
           3488.2       0.1964038
           3488.6       0.1686397
            3489.       0.1426421
           3489.4       0.1214678
           3489.8       0.1053343
           3490.2      0.09388757
           3490.6      0.08583152
            3491.      0.09146523
           3491.4       0.1110893
           3491.8       0.1283029
           3492.2       0.1301673
           3492.6       0.1145176
            3493.       0.1015408
           3493.4       0.1058774
           3493.8       0.1305863
           3494.2       0.1571585
           3494.6       0.1827467
            3495.       0.1842642
           3495.4       0.1610713
           3495.8       0.1370709
           3496.2       0.1236005
           3496.6       0.1115685
            3497.        0.102836
           3497.4       0.1031019
           3497.8       0.1061256
           3498.2       0.1266773
           3498.6       0.1650182
            3499.       0.2005994
           3499.4       0.2267617
           3499.8         0.24117
           3500.2       0.2275216
           3500.6       0.2034296
            3501.       0.1972613
           3501.4       0.2048307
           3501.8       0.2054009
           3502.2       0.1957899
           3502.6       0.1989058
            3503.       0.2295766
           3503.4       0.2693387
           3503.8       0.2960198
           3504.2       0.2817224
           3504.6       0.2488297
            3505.       0.2076452
           3505.4       0.1936147
           3505.8       0.1860002
           3506.2        0.177084
           3506.6       0.1716965
            3507.       0.1760956
           3507.4       0.1951229
           3507.8       0.2177556
           3508.2       0.2263937
           3508.6       0.2195958
            3509.       0.2111919
           3509.4       0.1879817
           3509.8       0.1611569
           3510.2       0.1272495
           3510.6       0.1242438
            3511.       0.1515296
           3511.4        0.177207
           3511.8       0.1759943
           3512.2       0.1617271
           3512.6       0.1485798
            3513.         0.13186
           3513.4       0.1159465
           3513.8       0.1043509
           3514.2      0.09605713
           3514.6      0.09315676
            3515.      0.09721331
           3515.4       0.1134209
           3515.8       0.1387066
           3516.2       0.1691891
           3516.6       0.1962251
            3517.        0.222891
           3517.4        0.245963
           3517.8       0.2625567
           3518.2       0.2642302
           3518.6       0.2477561
            3519.       0.2322562
           3519.4       0.2196864
           3519.8       0.2033337
           3520.2       0.1732795
           3520.6       0.1585231
            3521.       0.1428573
           3521.4       0.1193058
           3521.8       0.1166199
           3522.2        0.133157
           3522.6       0.1402931
            3523.       0.1267336
           3523.4       0.1055749
           3523.8       0.0896116
           3524.2      0.07629146
           3524.6       0.0658545
            3525.      0.07135285
           3525.4      0.08704931
           3525.8      0.08885684
           3526.2      0.08155645
           3526.6      0.09091255
            3527.       0.1182881
           3527.4       0.1472207
           3527.8       0.1673931
           3528.2       0.1845654
           3528.6       0.2018911
            3529.       0.2138521
           3529.4       0.2092209
           3529.8       0.1885791
           3530.2       0.1816519
           3530.6       0.1851378
            3531.       0.1872236
           3531.4       0.1776864
           3531.8       0.1624308
           3532.2       0.1413567
           3532.6        0.135525
            3533.       0.1395878
           3533.4       0.1500766
           3533.8       0.1734784
           3534.2       0.2060427
           3534.6       0.2245844
            3535.       0.2147347
           3535.4       0.2083732
           3535.8       0.2057694
           3536.2       0.2008478
           3536.6       0.2080078
            3537.       0.2019252
           3537.4       0.2010635
           3537.8       0.1854065
           3538.2       0.1798964
           3538.6       0.1973253
            3539.       0.2192679
           3539.4       0.2409982
           3539.8       0.2516643
           3540.2       0.2377883
           3540.6       0.2104406
            3541.       0.1868679
           3541.4       0.1806691
           3541.8       0.1785445
           3542.2       0.1674769
           3542.6       0.1611794
            3543.       0.1728997
           3543.4       0.1814752
           3543.8       0.1916053
           3544.2       0.2096754
           3544.6        0.223681
            3545.       0.2223569
           3545.4       0.2013195
           3545.8       0.1827456
           3546.2        0.185603
           3546.6       0.1842715
            3547.       0.1740569
           3547.4       0.1563732
           3547.8       0.1417964
           3548.2       0.1356124
           3548.6       0.1576699
            3549.       0.1847142
           3549.4       0.1955411
           3549.8       0.1921674
           3550.2       0.1771335
           3550.6       0.1637807
            3551.        0.159984
           3551.4       0.1540692
