#K OBJECT   '153653'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 153653
#K OBJRA    17:00:29.40
#K OBJDEC   +06:35:01.3
#K OBJBMAG  6.790000E+00
#K OBJVMAG  6.564000E+00
#K SPTYPE   A7V
#K OBJRV    -10
#K HDNAME   HD 153653
#K BDNAME   BD+06 3332
#K HIPNAME  HIP 83223
#K SAONAME  SAO 121995
#K VHELIO   9.59409956040829E-01
#K VLSR     1.86587685001826E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785396E+03
#K CMAX1    8.121361E+03
#K PICKTYPE A7V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.7390755
           3465.4       0.7356724
           3465.8       0.7207472
           3466.2       0.7260256
           3466.6       0.7392557
            3467.       0.7499557
           3467.4       0.7546029
           3467.8       0.7580091
           3468.2       0.7593326
           3468.6       0.7592503
            3469.       0.7712141
           3469.4       0.7715138
           3469.8       0.7580755
           3470.2       0.7626294
           3470.6       0.7673956
            3471.       0.7697043
           3471.4       0.7622321
           3471.8       0.7421505
           3472.2       0.7352477
           3472.6       0.7240065
            3473.       0.7121978
           3473.4       0.7066656
           3473.8       0.6979137
           3474.2          0.6863
           3474.6        0.660516
            3475.       0.6631856
           3475.4       0.6526256
           3475.8       0.6453053
           3476.2       0.6537922
           3476.6       0.6596087
            3477.       0.6707549
           3477.4       0.6833651
           3477.8       0.6905608
           3478.2       0.7107604
           3478.6       0.7391298
            3479.        0.751668
           3479.4       0.7519057
           3479.8       0.7502009
           3480.2        0.753724
           3480.6       0.7585257
            3481.       0.7545204
           3481.4        0.746511
           3481.8        0.739975
           3482.2        0.733018
           3482.6       0.7163167
            3483.       0.7145888
           3483.4       0.7184201
           3483.8       0.7186785
           3484.2       0.7237465
           3484.6       0.7286403
            3485.       0.7394757
           3485.4       0.7441112
           3485.8       0.7525294
           3486.2        0.764024
           3486.6       0.7693804
            3487.       0.7722036
           3487.4       0.7564302
           3487.8       0.7500568
           3488.2       0.7344809
           3488.6       0.7136509
            3489.       0.7017895
           3489.4       0.6971163
           3489.8       0.6948653
           3490.2       0.6815161
           3490.6       0.6849957
            3491.       0.6990054
           3491.4        0.703222
           3491.8       0.7074308
           3492.2       0.7072461
           3492.6        0.706635
            3493.       0.7078798
           3493.4       0.7090802
           3493.8       0.7025857
           3494.2       0.6939888
           3494.6       0.6850622
            3495.       0.6752561
           3495.4       0.6711519
