#K OBJECT   '153808'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 153808
#K OBJRA    17:00:17.37
#K OBJDEC   +30:55:35.1
#K OBJBMAG  3.900000E+00
#K OBJVMAG  3.906000E+00
#K SPTYPE   A0V
#K OBJRV    -2.510000E+01
#K HDNAME   HD 153808
#K BDNAME   BD+31 2947
#K HIPNAME  HIP 83207
#K SAONAME  SAO 65716
#K VHELIO   -7.96925313455669E-01
#K VLSR     1.86331946937902E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785703E+03
#K CMAX1    8.121729E+03
#K PICKTYPE A0V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.9323339
           3465.4       0.9366084
           3465.8       0.9290864
           3466.2       0.9305558
           3466.6       0.9356942
            3467.       0.9289922
           3467.4       0.9278668
           3467.8       0.9301603
           3468.2       0.9296268
           3468.6       0.9287015
            3469.       0.9260477
           3469.4       0.9334703
           3469.8       0.9228964
           3470.2       0.9210272
           3470.6       0.9306097
            3471.       0.9229856
           3471.4       0.9187813
           3471.8       0.9332156
           3472.2       0.9307773
           3472.6       0.9094095
            3473.       0.9011241
           3473.4       0.8982079
           3473.8       0.8885277
           3474.2       0.8853777
           3474.6       0.8976628
            3475.       0.8997468
           3475.4        0.903325
           3475.8       0.9092191
           3476.2        0.902747
           3476.6        0.901812
            3477.       0.9120104
           3477.4       0.9108241
           3477.8       0.9100521
           3478.2       0.9195623
           3478.6       0.9154446
            3479.         0.92174
           3479.4       0.9377062
           3479.8        0.935303
           3480.2       0.9323843
           3480.6        0.931407
            3481.       0.9228891
           3481.4       0.9201607
           3481.8        0.923342
           3482.2       0.9171497
           3482.6       0.9083481
            3483.       0.9130829
           3483.4       0.9191266
           3483.8       0.9110243
           3484.2       0.9180416
           3484.6       0.9160736
            3485.       0.9188164
           3485.4       0.9158654
           3485.8       0.9245255
           3486.2        0.918668
           3486.6       0.9179357
            3487.       0.9216038
           3487.4       0.9147536
           3487.8       0.9145508
           3488.2       0.9120263
           3488.6       0.9056494
            3489.       0.9093182
           3489.4       0.9066274
           3489.8       0.9090111
           3490.2       0.9089407
           3490.6       0.9009778
            3491.        0.908641
           3491.4        0.915216
           3491.8       0.9062511
           3492.2       0.9017472
           3492.6       0.9072596
            3493.       0.9058076
           3493.4       0.9039803
           3493.8        0.905866
           3494.2       0.8903118
           3494.6       0.8821628
            3495.       0.8756959
           3495.4       0.8834669
           3495.8       0.8872767
           3496.2       0.8736823
           3496.6       0.8692633
            3497.       0.8716139
           3497.4       0.8815753
           3497.8       0.8914335
           3498.2       0.8957919
           3498.6       0.9049049
            3499.       0.9092957
           3499.4       0.9109707
           3499.8       0.9146939
           3500.2       0.9167676
           3500.6       0.9259984
            3501.       0.9129204
           3501.4       0.9173113
           3501.8       0.9163229
           3502.2       0.9150254
           3502.6       0.9178665
            3503.       0.9189372
           3503.4       0.9207686
           3503.8       0.9202505
           3504.2       0.9201642
           3504.6       0.9182466
            3505.       0.9112186
           3505.4       0.9155214
           3505.8       0.9019371
           3506.2       0.9082522
           3506.6         0.91901
            3507.       0.9155908
           3507.4       0.9153328
           3507.8       0.9160629
           3508.2       0.9169358
           3508.6        0.923447
            3509.        0.917278
           3509.4       0.9060745
           3509.8       0.9114591
           3510.2       0.9055705
           3510.6       0.9068267
            3511.       0.8953124
           3511.4       0.9037305
           3511.8       0.9015777
           3512.2       0.8997248
           3512.6       0.9027968
            3513.        0.901799
           3513.4       0.8966457
           3513.8       0.8964179
           3514.2       0.9010571
           3514.6       0.8993633
            3515.       0.8958779
           3515.4       0.9001624
           3515.8       0.9012516
           3516.2        0.902405
           3516.6       0.9072869
            3517.       0.9152976
           3517.4       0.9137284
           3517.8       0.9110277
           3518.2       0.9171728
           3518.6        0.921544
            3519.       0.9180169
           3519.4       0.9169835
           3519.8       0.9193596
           3520.2       0.9145732
           3520.6       0.9094137
            3521.       0.9122453
           3521.4       0.9106902
           3521.8       0.9200079
           3522.2       0.9263726
           3522.6       0.9097162
            3523.       0.9078578
           3523.4       0.9198797
           3523.8       0.9238874
           3524.2       0.9162865
           3524.6       0.9157303
            3525.       0.9191904
           3525.4       0.9101403
           3525.8       0.9133272
           3526.2       0.9186262
           3526.6       0.9042425
            3527.       0.9033384
           3527.4       0.9083661
           3527.8       0.9050311
           3528.2       0.9133658
           3528.6       0.9245459
            3529.       0.9331734
           3529.4       0.9344726
           3529.8       0.9284881
           3530.2       0.9229295
           3530.6       0.9237546
            3531.       0.9334714
           3531.4       0.9323163
           3531.8       0.9285706
           3532.2       0.9387277
           3532.6       0.9323589
            3533.       0.9247531
           3533.4       0.9234229
           3533.8       0.9258165
           3534.2       0.9244162
           3534.6       0.9220904
            3535.       0.9195897
           3535.4       0.9171308
           3535.8       0.9261096
           3536.2       0.9350959
           3536.6       0.9244993
            3537.       0.9213586
           3537.4       0.9261154
           3537.8       0.9327181
           3538.2       0.9325055
           3538.6       0.9245242
            3539.       0.9210361
           3539.4       0.9278089
           3539.8       0.9273295
           3540.2       0.9329892
           3540.6       0.9394345
            3541.       0.9338291
           3541.4       0.9359364
           3541.8       0.9295685
           3542.2       0.9289386
           3542.6       0.9250352
            3543.       0.9222575
           3543.4       0.9285521
           3543.8       0.9366939
           3544.2       0.9351471
           3544.6       0.9271455
            3545.       0.9216623
           3545.4       0.9250964
           3545.8       0.9320101
           3546.2       0.9263232
           3546.6       0.9195291
            3547.       0.9278708
           3547.4       0.9257228
           3547.8        0.930132
           3548.2       0.9281413
           3548.6       0.9306373
            3549.       0.9176983
           3549.4       0.9246089
           3549.8       0.9295273
           3550.2       0.9338681
           3550.6       0.9356365
            3551.       0.9335743
           3551.4       0.9302205
           3551.8       0.9294389
           3552.2       0.9414999
           3552.6       0.9306313
            3553.       0.9325827
           3553.4       0.9276561
           3553.8       0.9285597
           3554.2       0.9235498
           3554.6        0.914363
            3555.       0.9017819
           3555.4       0.9195206
           3555.8       0.9286185
           3556.2       0.9212958
           3556.6       0.9240587
            3557.       0.9225718
           3557.4       0.9164315
           3557.8        0.901284
           3558.2       0.9100229
           3558.6       0.9132794
            3559.       0.9158034
           3559.4       0.9117876
           3559.8       0.9207711
