#K OBJECT   '157466'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 157466
#K OBJRA    17:22:27.65
#K OBJDEC   +24:52:46.0
#K OBJBMAG  7.364000E+00
#K OBJVMAG  6.891000E+00
#K SPTYPE   F8V
#K OBJRV    28
#K HDNAME   HD 157466
#K BDNAME   BD+25 3252
#K HIPNAME  HIP 85007
#K SAONAME  SAO 85045
#K VHELIO   3.58109488352018E+00
#K VLSR     2.32457016373178E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445527E+03
#K CMAX1    4.771006E+03
#K PICKTYPE F8V
#K NCOMBINE 5
#K TEFF     5935  2000A&AS..141..491C (Chen)
#K LOGG     4.320000E+00  2000A&AS..141..491C (Chen)
#K FEH      -4.400000E-01  2000A&AS..141..491C (Chen)
#K COVERAGE 3465.0-8106.2
#K GAPS     5414.6-5462.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.6143144
           3465.4       0.5679625
           3465.8       0.5152593
           3466.2       0.5097532
           3466.6       0.5478404
            3467.       0.5849342
           3467.4       0.6064644
           3467.8       0.6213797
           3468.2       0.6280997
           3468.6        0.618656
            3469.        0.594411
           3469.4       0.5829162
           3469.8        0.609984
           3470.2       0.6419452
           3470.6       0.6541129
            3471.       0.6397725
           3471.4       0.6147025
           3471.8       0.5917741
           3472.2       0.5748441
           3472.6       0.5720319
            3473.       0.5805992
           3473.4       0.5714268
           3473.8       0.5420451
           3474.2       0.5204572
           3474.6       0.5116943
            3475.       0.4926721
           3475.4        0.450882
           3475.8       0.4353765
           3476.2       0.4447169
           3476.6       0.4463066
            3477.       0.4505304
           3477.4       0.4925571
           3477.8       0.5538995
           3478.2       0.5892327
           3478.6       0.6029087
            3479.       0.6151543
           3479.4       0.6167228
           3479.8       0.6063327
           3480.2       0.6061735
           3480.6       0.6159133
            3481.       0.6166728
           3481.4       0.6228976
           3481.8       0.6209444
           3482.2        0.606979
           3482.6       0.5771013
            3483.       0.5485268
           3483.4       0.5301545
           3483.8        0.530661
           3484.2       0.5487425
           3484.6        0.564271
            3485.       0.5652008
           3485.4       0.5618019
           3485.8       0.5784199
           3486.2       0.6170466
           3486.6       0.6422721
            3487.       0.6722965
           3487.4       0.6733851
           3487.8       0.6517054
           3488.2       0.6234813
           3488.6       0.5885479
            3489.       0.5570747
           3489.4       0.5351281
           3489.8       0.5180875
           3490.2       0.4973937
           3490.6       0.4786517
            3491.         0.49098
           3491.4       0.5390983
           3491.8       0.5942792
           3492.2       0.5977643
           3492.6        0.555847
            3493.       0.5108736
           3493.4       0.5134683
           3493.8       0.5603004
           3494.2       0.6024881
           3494.6       0.6117908
            3495.        0.583912
           3495.4       0.5378838
           3495.8       0.4999473
           3496.2       0.4809832
           3496.6       0.4878246
            3497.       0.4835054
           3497.4       0.4740711
           3497.8       0.4845366
           3498.2       0.5372375
           3498.6       0.5962582
            3499.       0.6559263
           3499.4       0.6855035
           3499.8       0.6732337
           3500.2       0.6500433
           3500.6       0.6328144
            3501.       0.6289682
           3501.4       0.6447304
           3501.8        0.651013
           3502.2       0.6327852
           3502.6        0.632998
            3503.       0.6581619
           3503.4        0.688173
           3503.8       0.7025148
           3504.2       0.6817736
           3504.6        0.638655
            3505.       0.5996776
           3505.4       0.5908459
           3505.8       0.6010365
           3506.2       0.5992398
           3506.6       0.5953254
            3507.       0.6074224
           3507.4       0.6237648
           3507.8       0.6336387
           3508.2       0.6388853
           3508.6       0.6507895
            3509.       0.6561316
           3509.4       0.6435844
           3509.8       0.5962078
           3510.2        0.550086
           3510.6       0.5438954
            3511.       0.5735182
           3511.4       0.6087658
           3511.8       0.6176477
           3512.2       0.6059624
           3512.6       0.5946783
            3513.       0.5679417
           3513.4       0.5377162
           3513.8       0.5223208
           3514.2       0.5304375
           3514.6       0.5353307
            3515.       0.5395117
           3515.4       0.5709258
           3515.8       0.6184044
           3516.2         0.64509
           3516.6       0.6475375
            3517.       0.6604634
           3517.4       0.6866279
           3517.8       0.6918274
           3518.2       0.6852729
           3518.6       0.6594259
            3519.       0.6539431
           3519.4       0.6488967
           3519.8       0.6216393
           3520.2       0.5963342
           3520.6       0.5939566
            3521.        0.581938
           3521.4       0.5587077
           3521.8       0.5615185
           3522.2       0.5952738
           3522.6       0.6213374
            3523.       0.6073092
           3523.4       0.5777788
           3523.8       0.5399145
           3524.2       0.4923607
           3524.6       0.4696664
            3525.       0.5067015
           3525.4       0.5443062
           3525.8       0.5111597
           3526.2       0.4347207
           3526.6       0.4186785
            3527.       0.4860785
           3527.4       0.5612463
           3527.8       0.6029956
           3528.2       0.6331483
           3528.6        0.663659
            3529.       0.6709288
           3529.4       0.6577386
           3529.8       0.6392865
           3530.2       0.6371511
           3530.6       0.6407769
            3531.       0.6476158
           3531.4       0.6433299
           3531.8       0.6221048
           3532.2       0.5964171
           3532.6       0.5750956
            3533.       0.5662715
           3533.4       0.5863202
           3533.8       0.6400111
           3534.2       0.6927117
           3534.6        0.703675
            3535.       0.6940215
           3535.4       0.6670353
           3535.8        0.650661
           3536.2       0.6506166
           3536.6       0.6460246
            3537.       0.6511053
           3537.4       0.6483169
           3537.8       0.6322532
           3538.2       0.6376956
           3538.6        0.670315
            3539.       0.7223096
           3539.4       0.7546047
           3539.8       0.7526425
           3540.2       0.7171828
           3540.6       0.6697054
            3541.       0.6308045
           3541.4       0.6242818
           3541.8       0.6311501
           3542.2       0.6394722
           3542.6       0.6614966
            3543.        0.688432
           3543.4       0.7066651
           3543.8       0.7184376
           3544.2       0.7223805
           3544.6       0.7226515
            3545.       0.7089744
           3545.4        0.679782
           3545.8       0.6803117
           3546.2       0.6985169
           3546.6       0.7291242
            3547.       0.7253433
           3547.4       0.6952832
           3547.8       0.6585742
           3548.2       0.6381794
           3548.6       0.6668493
            3549.       0.7068006
           3549.4       0.7162148
           3549.8       0.7300888
           3550.2       0.7359285
           3550.6       0.7328182
            3551.       0.7223337
           3551.4        0.710732
           3551.8       0.6942959
           3552.2       0.6846867
           3552.6       0.6743178
            3553.       0.6598481
           3553.4       0.6486986
           3553.8       0.6286818
           3554.2       0.6026089
           3554.6       0.5886384
            3555.       0.5942519
           3555.4       0.6511502
           3555.8       0.7056031
           3556.2       0.7130142
           3556.6       0.6734753
            3557.       0.6566861
           3557.4       0.6830778
           3557.8       0.6988853
           3558.2        0.670435
           3558.6       0.6340349
            3559.       0.6256828
           3559.4       0.6519223
           3559.8       0.6898269
           3560.2       0.6933218
           3560.6       0.6763639
            3561.       0.6632416
           3561.4       0.6610075
           3561.8       0.6694359
           3562.2       0.6944425
           3562.6       0.7446743
            3563.       0.7800038
           3563.4       0.7799255
           3563.8       0.7519346
           3564.2       0.7072663
           3564.6       0.6386656
            3565.       0.5390372
           3565.4       0.4576072
           3565.8       0.4385287
           3566.2       0.4542938
           3566.6       0.5004771
            3567.        0.567532
           3567.4       0.6230561
           3567.8       0.6469225
           3568.2       0.6620159
           3568.6       0.6388582
            3569.       0.5737049
           3569.4       0.4952364
           3569.8       0.4211861
           3570.2        0.393544
           3570.6       0.4488764
            3571.       0.5393029
           3571.4       0.5802599
           3571.8        0.569581
           3572.2       0.5514902
           3572.6       0.5672505
            3573.       0.6117456
           3573.4       0.6174026
           3573.8       0.5861506
           3574.2       0.5846713
           3574.6       0.6032068
            3575.       0.5974689
           3575.4       0.5895939
           3575.8       0.6077918
           3576.2       0.6272593
           3576.6       0.6344867
            3577.       0.6617378
           3577.4        0.689357
           3577.8       0.6814374
           3578.2       0.6362116
           3578.6       0.5956157
            3579.       0.5944179
           3579.4       0.6327349
           3579.8        0.653887
           3580.2        0.610851
           3580.6       0.5111851
            3581.       0.3996904
           3581.4       0.3440551
           3581.8       0.3730427
           3582.2       0.4532273
           3582.6       0.5389211
            3583.       0.6151681
           3583.4       0.6392865
           3583.8       0.6407267
           3584.2       0.6145278
           3584.6       0.5415773
            3585.       0.4516146
           3585.4        0.398262
           3585.8       0.4085887
           3586.2       0.4543529
           3586.6       0.4753419
            3587.       0.4550858
           3587.4       0.4488584
           3587.8       0.4988542
           3588.2        0.544575
           3588.6       0.5615709
            3589.       0.5577391
           3589.4       0.5456641
           3589.8       0.5520529
           3590.2       0.5867511
           3590.6       0.6359876
            3591.        0.680904
           3591.4       0.7087252
           3591.8       0.7141852
           3592.2       0.7003792
           3592.6       0.6775095
            3593.       0.6385217
           3593.4        0.606905
           3593.8       0.6197318
           3594.2       0.6551663
           3594.6       0.6642218
            3595.       0.6622495
           3595.4       0.6737103
           3595.8       0.6840789
           3596.2        0.696427
           3596.6       0.7230114
            3597.       0.7350194
           3597.4        0.718072
           3597.8       0.7076313
           3598.2        0.714821
           3598.6       0.7135529
            3599.       0.6978251
           3599.4       0.6875148
           3599.8       0.7151389
           3600.2       0.7471426
           3600.6       0.7557821
            3601.        0.755259
           3601.4        0.740371
           3601.8       0.6862751
           3602.2       0.6159644
           3602.6       0.5828461
            3603.       0.5876341
           3603.4       0.5970063
           3603.8       0.5956602
           3604.2        0.606352
           3604.6       0.6205944
            3605.       0.5961981
           3605.4        0.552712
           3605.8       0.5630084
           3606.2       0.6000388
           3606.6       0.6226771
            3607.       0.6517109
           3607.4        0.680283
           3607.8       0.6696609
           3608.2       0.6062209
           3608.6       0.5159317
            3609.       0.4608157
           3609.4       0.4822393
           3609.8       0.5284783
           3610.2       0.5358458
           3610.6       0.5399536
            3611.       0.5907891
           3611.4       0.6528236
           3611.8        0.682805
           3612.2       0.6759607
           3612.6        0.639493
            3613.        0.591536
           3613.4       0.5529375
           3613.8       0.5428907
           3614.2       0.5681462
           3614.6       0.6082018
            3615.       0.6475684
           3615.4       0.6815848
