#K OBJECT   '159307'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 159307
#K OBJRA    17:34:08.42
#K OBJDEC   -03:03:20.2
#K OBJBMAG  7.810000E+00
#K OBJVMAG  7.410000E+00
#K SPTYPE   F8
#K HDNAME   HD 159307
#K BDNAME   BD-02 4398
#K HIPNAME  HIP 85963
#K SAONAME  SAO 141736
#K VHELIO   7.76372636739610E+00
#K VLSR     2.43809959839903E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445995E+03
#K CMAX1    4.771656E+03
#K PICKTYPE F8V
#K NCOMBINE 6
#K TEFF     6227  1993A&A...275..101E (Edvardsson)
#K LOGG     3.940000E+00  1993A&A...275..101E (Edvardsson)
#K FEH      -7.100000E-01  1993A&A...275..101E (Edvardsson)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5461.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.5868372
           3465.4       0.5528036
           3465.8       0.5319794
           3466.2       0.5484447
           3466.6       0.5757527
            3467.       0.5955966
           3467.4       0.6061706
           3467.8       0.6090896
           3468.2        0.605962
           3468.6       0.5962452
            3469.       0.5881354
           3469.4       0.5919654
           3469.8       0.6061752
           3470.2        0.621475
           3470.6       0.6197144
            3471.       0.6075449
           3471.4       0.5919362
           3471.8       0.5887103
           3472.2       0.5867351
           3472.6       0.5778278
            3473.       0.5730817
           3473.4       0.5642013
           3473.8       0.5405715
           3474.2       0.5269325
           3474.6       0.5271402
            3475.       0.5083191
           3475.4       0.4932428
           3475.8       0.4888898
           3476.2       0.4909184
           3476.6       0.4787197
            3477.       0.4846931
           3477.4        0.530136
           3477.8       0.5638595
           3478.2        0.581252
           3478.6       0.5926807
            3479.       0.5953003
           3479.4       0.5975231
           3479.8       0.5857947
           3480.2       0.5878301
           3480.6       0.5988537
            3481.       0.5989212
           3481.4       0.5998364
           3481.8       0.6016761
           3482.2       0.5915497
           3482.6       0.5611197
            3483.       0.5358494
           3483.4       0.5288954
           3483.8       0.5370263
           3484.2       0.5599411
           3484.6       0.5757199
            3485.       0.5716425
