#K OBJECT   '160054'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 160054
#K OBJRA    17:36:36.75
#K OBJDEC   +30:47:06.6
#K OBJBMAG  6.198000E+00
#K OBJVMAG  6.051000E+00
#K SPTYPE   A5V
#K OBJRV    -17
#K HDNAME   HD 160054
#K BDNAME   BD+30 3033
#K HIPNAME  HIP 86178
#K SAONAME  SAO 66175
#K VHELIO   2.64157872625249E+00
#K VLSR     2.25349147195815E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.784927E+03
#K CMAX1    8.120934E+03
#K PICKTYPE A5V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.4-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.        0.716749
           3465.4       0.7144971
           3465.8       0.7133765
           3466.2       0.7145298
           3466.6       0.7139494
            3467.       0.7213908
           3467.4       0.7413554
           3467.8       0.7433302
           3468.2       0.7422514
           3468.6       0.7483701
            3469.       0.7329435
           3469.4       0.7335424
           3469.8       0.7515867
           3470.2       0.7444763
           3470.6       0.7356162
            3471.       0.7441357
           3471.4        0.752651
           3471.8       0.7346877
           3472.2        0.714775
           3472.6       0.7208202
            3473.       0.7183096
           3473.4       0.7016577
           3473.8       0.6750881
           3474.2       0.6785532
           3474.6       0.6467302
            3475.       0.6373335
           3475.4       0.6388577
           3475.8       0.6324658
           3476.2       0.6412389
           3476.6       0.6510973
            3477.       0.6459966
           3477.4       0.6520727
           3477.8       0.6802853
           3478.2       0.7074814
           3478.6       0.7184193
            3479.       0.7187633
           3479.4       0.7284279
           3479.8        0.726213
           3480.2       0.7144983
           3480.6       0.7313148
            3481.       0.7303736
           3481.4       0.7172624
           3481.8       0.7251722
           3482.2       0.7143136
           3482.6       0.7027706
            3483.       0.7057909
           3483.4       0.6815639
           3483.8       0.6827881
           3484.2       0.7028825
           3484.6        0.711304
            3485.       0.7113834
           3485.4       0.7348017
           3485.8        0.732312
           3486.2        0.743631
           3486.6       0.7616235
            3487.       0.7513739
           3487.4       0.7468985
           3487.8       0.7441241
           3488.2       0.7193453
           3488.6       0.7058463
            3489.       0.7032338
           3489.4       0.6884293
           3489.8       0.6741132
           3490.2       0.6747452
           3490.6       0.6604671
            3491.       0.6567098
           3491.4       0.6804273
           3491.8       0.7006763
           3492.2        0.715458
           3492.6       0.7116899
            3493.       0.6914473
           3493.4       0.6820924
           3493.8       0.6803329
           3494.2       0.6756362
           3494.6       0.6710745
            3495.       0.6570555
           3495.4       0.6388295
           3495.8       0.6253059
           3496.2       0.6047634
           3496.6       0.5972202
            3497.       0.6089367
           3497.4       0.6228074
           3497.8       0.6425746
           3498.2       0.6700682
           3498.6       0.7032737
            3499.       0.7191092
           3499.4       0.7064997
           3499.8       0.7145732
           3500.2       0.7298325
           3500.6       0.7182018
            3501.        0.709561
           3501.4        0.721411
           3501.8       0.7243907
           3502.2       0.7282956
           3502.6       0.7383651
            3503.       0.7462496
           3503.4        0.748237
           3503.8       0.7453307
           3504.2        0.732083
           3504.6        0.705093
            3505.       0.6841251
           3505.4       0.6801737
           3505.8       0.6778955
           3506.2       0.6937833
           3506.6        0.704384
            3507.       0.7327894
           3507.4       0.7272093
           3507.8       0.7315927
           3508.2       0.7492808
           3508.6       0.7425995
            3509.       0.7396415
           3509.4       0.7491258
           3509.8        0.725934
           3510.2       0.6874485
           3510.6       0.6795848
            3511.       0.6786296
           3511.4       0.6821887
           3511.8       0.6852985
           3512.2       0.6923071
           3512.6       0.7031717
            3513.       0.7220731
           3513.4       0.7090113
           3513.8       0.6892872
           3514.2       0.6900392
           3514.6       0.6889569
            3515.       0.6843538
           3515.4       0.6918159
           3515.8         0.70794
           3516.2       0.7226985
           3516.6       0.7424912
            3517.         0.74593
           3517.4       0.7537654
           3517.8       0.7722429
           3518.2       0.7578759
           3518.6       0.7550718
            3519.       0.7572996
