#K OBJECT   '163624'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 163624
#K OBJRA    17:57:04.31
#K OBJDEC   +00:04:00.0
#K OBJBMAG  6.072000E+00
#K OBJVMAG  5.955000E+00
#K SPTYPE   A3V
#K OBJRV    -1.060000E+01
#K HDNAME   HD 163624
#K BDNAME   BD+00 3816
#K HIPNAME  HIP 87875
#K SAONAME  SAO 122950
#K VHELIO   2.76180433979131E+01
#K VLSR     4.49417057539407E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.441847E+03
#K CMAX1    4.767857E+03
#K PICKTYPE A3V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8108.2-8137.4

#      wavelength        spectrum
#       angstroms                

            3465.        0.831088
           3465.4       0.8081563
           3465.8        0.805171
           3466.2       0.8110349
           3466.6       0.8304509
            3467.       0.8481752
           3467.4       0.8467394
           3467.8       0.8610383
           3468.2       0.8459587
           3468.6        0.850142
            3469.       0.8507531
           3469.4       0.8574381
           3469.8       0.8594388
           3470.2       0.8651843
           3470.6       0.8620957
            3471.       0.8539349
           3471.4       0.8502354
           3471.8       0.8421134
           3472.2       0.8379739
           3472.6       0.8290088
            3473.       0.8298882
           3473.4       0.8280557
           3473.8       0.8043649
           3474.2       0.7967185
           3474.6       0.7778405
            3475.       0.7671348
           3475.4       0.7666819
           3475.8       0.7655889
           3476.2       0.7778852
           3476.6       0.7901273
            3477.        0.785468
           3477.4       0.7862729
           3477.8       0.8013465
           3478.2       0.8207718
           3478.6       0.8255823
            3479.       0.8413493
           3479.4       0.8398288
           3479.8       0.8322577
           3480.2       0.8367624
           3480.6       0.8362677
            3481.       0.8382663
           3481.4       0.8396752
           3481.8       0.8352739
           3482.2       0.8314273
           3482.6       0.8258756
            3483.       0.8190522
           3483.4        0.803105
           3483.8       0.7948042
           3484.2       0.8053778
           3484.6       0.8128415
            3485.       0.8367245
           3485.4        0.851455
           3485.8       0.8420267
           3486.2       0.8547402
           3486.6       0.8607289
            3487.       0.8562402
           3487.4       0.8597236
           3487.8       0.8505434
           3488.2       0.8334622
           3488.6       0.8049505
            3489.       0.8040796
           3489.4       0.8029099
           3489.8       0.7985433
           3490.2       0.8052779
           3490.6       0.7911808
            3491.       0.7925179
           3491.4       0.7920364
           3491.8       0.7986395
           3492.2       0.8179911
           3492.6       0.8220317
            3493.       0.8062398
           3493.4       0.7839602
           3493.8       0.7804317
           3494.2        0.792587
           3494.6       0.7838849
            3495.       0.7685825
           3495.4       0.7628779
           3495.8       0.7321537
           3496.2       0.7238975
           3496.6       0.7288751
            3497.       0.7404106
           3497.4       0.7530055
           3497.8       0.7650434
           3498.2       0.7789887
           3498.6        0.796553
            3499.       0.8235433
           3499.4       0.8274859
           3499.8       0.8351933
           3500.2       0.8268895
           3500.6       0.8204527
            3501.       0.8283631
           3501.4       0.8270324
           3501.8       0.8251544
           3502.2       0.8356056
           3502.6       0.8476285
