#K OBJECT   '163993'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 163993
#K OBJRA    17:57:45.89
#K OBJDEC   +29:14:52.4
#K OBJBMAG  4.621000E+00
#K OBJVMAG  3.705000E+00
#K SPTYPE   G8III
#K OBJRV    -1.500000E+00
#K HDNAME   HD 163993
#K BDNAME   BD+29 3156
#K HIPNAME  HIP 87933
#K SAONAME  SAO 85590
#K VHELIO   7.24476626457022E+00
#K VLSR     2.72377487464411E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.445804E+03
#K CMAX1    4.771455E+03
#K PICKTYPE G8III
#K NCOMBINE 6
#K TEFF     5030  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.920000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      -1.000000E-01  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5461.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.2443628
           3465.4       0.2102222
           3465.8       0.1790957
           3466.2       0.1678729
           3466.6       0.1800211
            3467.       0.1995568
           3467.4       0.2167965
           3467.8        0.231733
           3468.2       0.2447427
           3468.6       0.2418901
            3469.       0.2296661
           3469.4       0.2265975
           3469.8       0.2475457
           3470.2       0.2783845
           3470.6       0.2917647
            3471.       0.2791474
           3471.4       0.2482197
           3471.8       0.2206274
           3472.2       0.2011202
           3472.6       0.1918061
            3473.       0.1978814
           3473.4       0.1990909
           3473.8       0.1905487
           3474.2       0.1770238
           3474.6       0.1690783
            3475.       0.1576887
           3475.4       0.1416419
           3475.8       0.1359439
           3476.2       0.1359927
           3476.6       0.1336284
            3477.       0.1393509
           3477.4       0.1608271
           3477.8       0.1973033
           3478.2       0.2146982
           3478.6       0.2146699
            3479.       0.2177524
           3479.4       0.2209471
           3479.8       0.2121895
           3480.2       0.1999603
           3480.6         0.19798
            3481.       0.2036276
           3481.4       0.2082689
           3481.8       0.2127151
           3482.2       0.2151802
           3482.6       0.2016501
            3483.       0.1781357
           3483.4       0.1639359
           3483.8       0.1660927
           3484.2       0.1829345
           3484.6       0.1924019
            3485.       0.1817182
           3485.4       0.1724214
           3485.8       0.1840947
           3486.2       0.2113086
           3486.6       0.2437261
            3487.       0.2695013
           3487.4       0.2760438
           3487.8       0.2664725
           3488.2       0.2398476
           3488.6       0.2085184
            3489.       0.1812278
           3489.4       0.1660015
           3489.8       0.1603446
           3490.2        0.150349
           3490.6       0.1387155
            3491.       0.1456244
           3491.4       0.1740219
           3491.8       0.1982354
           3492.2       0.1968545
           3492.6       0.1742643
            3493.       0.1526839
           3493.4        0.160546
