#K OBJECT   '164259'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 164259
#K OBJRA    18:00:29.01
#K OBJDEC   -03:41:25.0
#K OBJBMAG  4.990000E+00
#K OBJVMAG  4.633000E+00
#K SPTYPE   F2IV
#K OBJRV    -4.290000E+01
#K HDNAME   HD 164259
#K BDNAME   BD-03 4217
#K HIPNAME  HIP 88175
#K SAONAME  SAO 142025
#K VHELIO   9.64349896278486E+00
#K VLSR     2.62818658905293E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.743598E+03
#K CMAX1    6.070394E+03
#K PICKTYPE F2IV
#K NCOMBINE 6
#K TEFF     6732  1990ApJ...354..310B (Balachandran)
#K LOGG     4.140000E+00  1990ApJ...354..310B (Balachandran)
#K FEH      -1.200000E-01  1990ApJ...354..310B (Balachandran)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.6894189
           3465.4       0.6751757
           3465.8       0.6702766
           3466.2       0.6668748
           3466.6       0.6914305
            3467.       0.7225128
           3467.4       0.7250957
           3467.8        0.717316
           3468.2       0.7145876
           3468.6       0.7115761
            3469.       0.7070296
           3469.4       0.7116211
           3469.8       0.7402428
           3470.2       0.7482627
           3470.6       0.7382427
            3471.       0.7350554
           3471.4       0.7087457
           3471.8       0.6973841
           3472.2       0.7103231
           3472.6       0.6976382
            3473.       0.6748267
           3473.4       0.6653023
           3473.8       0.6463666
           3474.2       0.6340768
           3474.6       0.6184761
            3475.       0.5976657
           3475.4       0.5816351
           3475.8       0.5718365
           3476.2       0.5727519
           3476.6       0.5751311
            3477.       0.6008219
           3477.4        0.634392
           3477.8       0.6653841
           3478.2       0.6914268
           3478.6       0.7021233
            3479.       0.7072785
           3479.4       0.7120898
           3479.8       0.7126626
           3480.2       0.6980501
           3480.6       0.6979046
            3481.       0.6969217
           3481.4       0.6926174
           3481.8       0.7120991
           3482.2       0.6891255
           3482.6        0.649475
            3483.        0.637461
           3483.4       0.6343113
           3483.8       0.6368731
           3484.2       0.6545532
           3484.6         0.67799
            3485.       0.6940715
           3485.4       0.6975729
           3485.8       0.7112111
           3486.2       0.7333018
           3486.6       0.7663597
            3487.       0.7716666
           3487.4       0.7574456
           3487.8       0.7329392
           3488.2       0.7034528
           3488.6       0.6716508
            3489.       0.6419396
           3489.4       0.6299043
           3489.8        0.630929
           3490.2       0.6309733
           3490.6       0.6398987
            3491.       0.6549008
           3491.4       0.6874062
           3491.8       0.7089546
           3492.2       0.6979914
           3492.6       0.6856132
            3493.       0.6589606
           3493.4        0.656521
           3493.8       0.6786007
           3494.2       0.6701372
           3494.6       0.6483797
            3495.       0.6305053
           3495.4       0.5880785
           3495.8       0.5622365
           3496.2       0.5571762
           3496.6       0.5367289
            3497.       0.5452231
           3497.4         0.58362
           3497.8         0.62595
           3498.2       0.6841249
           3498.6       0.7279216
            3499.       0.7537864
           3499.4       0.7612454
           3499.8       0.7421539
           3500.2       0.7271695
           3500.6       0.7218623
            3501.       0.7189345
           3501.4       0.7246563
           3501.8       0.7286913
           3502.2        0.737839
           3502.6       0.7511445
            3503.       0.7669821
           3503.4       0.7752878
           3503.8         0.75818
           3504.2       0.7270756
           3504.6       0.6950225
            3505.       0.6731381
           3505.4       0.6679389
           3505.8       0.6698101
           3506.2       0.6815066
           3506.6       0.6912721
            3507.       0.7094335
           3507.4       0.7162515
           3507.8       0.7210338
           3508.2       0.7337826
           3508.6        0.740297
            3509.       0.7312083
           3509.4       0.7162391
           3509.8       0.6949726
           3510.2       0.6710996
           3510.6       0.6584943
            3511.       0.6664537
           3511.4       0.6871526
           3511.8       0.6904693
           3512.2        0.701474
           3512.6       0.6913241
            3513.       0.6760941
           3513.4       0.6726532
           3513.8       0.6601275
           3514.2       0.6573808
           3514.6       0.6774673
            3515.       0.7127408
           3515.4       0.7412269
           3515.8       0.7502737
           3516.2       0.7460827
           3516.6       0.7423043
            3517.       0.7573089
           3517.4       0.7542228
           3517.8       0.7588158
           3518.2       0.7532699
           3518.6       0.7567139
            3519.       0.7405181
           3519.4       0.7101139
           3519.8        0.703324
           3520.2        0.685877
           3520.6         0.67119
            3521.       0.6768986
           3521.4       0.6791593
           3521.8       0.6935205
           3522.2       0.6972697
           3522.6       0.7204369
            3523.        0.724723
           3523.4       0.6864762
           3523.8        0.653933
           3524.2       0.6412864
           3524.6       0.6353412
            3525.       0.6571537
           3525.4       0.6540755
           3525.8       0.6113617
           3526.2       0.5766686
           3526.6       0.5796018
            3527.       0.6191779
           3527.4       0.6599558
           3527.8       0.7150597
           3528.2       0.7400873
           3528.6       0.7566969
            3529.       0.7560529
           3529.4       0.7410999
           3529.8       0.7236583
           3530.2       0.7257984
           3530.6       0.7239155
            3531.       0.7168705
           3531.4       0.7118649
           3531.8       0.6986204
           3532.2       0.6820864
           3532.6       0.6693916
            3533.       0.6859779
           3533.4       0.7150926
           3533.8       0.7319872
           3534.2       0.7480355
           3534.6       0.7525852
            3535.       0.7398741
           3535.4       0.7195908
           3535.8        0.705426
           3536.2       0.7157567
           3536.6       0.7276829
            3537.       0.7306601
           3537.4       0.7375414
           3537.8       0.7387946
           3538.2       0.7599764
           3538.6       0.7811171
            3539.       0.7993447
           3539.4       0.8028765
           3539.8       0.7991564
           3540.2       0.7550104
           3540.6       0.7377471
            3541.       0.7379008
           3541.4       0.7206116
           3541.8       0.7229574
           3542.2       0.7427933
           3542.6       0.7514682
            3543.       0.7675112
           3543.4       0.7849447
           3543.8       0.7958918
           3544.2       0.7892378
           3544.6       0.7697499
            3545.       0.7539758
           3545.4        0.740576
           3545.8       0.7656795
           3546.2       0.7871744
           3546.6       0.7918319
            3547.       0.7762398
           3547.4       0.7451344
           3547.8         0.73006
           3548.2       0.7286242
           3548.6       0.7417562
            3549.       0.7667123
           3549.4       0.7789608
           3549.8       0.8019375
           3550.2       0.8006541
           3550.6       0.7988943
            3551.       0.7937823
           3551.4       0.7739786
           3551.8       0.7594466
           3552.2       0.7523535
           3552.6       0.7426493
            3553.       0.7356269
           3553.4         0.72554
           3553.8       0.7041286
           3554.2       0.6900933
           3554.6       0.6966745
            3555.       0.7225688
           3555.4       0.7345134
           3555.8       0.7536199
           3556.2        0.749482
           3556.6       0.7371833
            3557.       0.7357069
           3557.4       0.7523055
           3557.8       0.7566502
           3558.2       0.7372199
           3558.6        0.730962
            3559.       0.7405953
           3559.4       0.7543589
           3559.8       0.7587066
           3560.2        0.743111
           3560.6       0.7252372
            3561.       0.7347569
           3561.4       0.7262014
           3561.8       0.7499759
           3562.2       0.7783478
           3562.6       0.8001664
            3563.       0.8247237
           3563.4       0.8243846
           3563.8       0.8005576
           3564.2       0.7626101
           3564.6       0.7008562
            3565.       0.6406187
           3565.4       0.6029359
           3565.8       0.5837736
           3566.2       0.5881169
           3566.6       0.6226481
            3567.       0.6580055
           3567.4       0.7049612
           3567.8       0.7288514
           3568.2       0.7138147
           3568.6       0.6845185
            3569.       0.6424463
           3569.4       0.5967961
           3569.8       0.5791073
           3570.2       0.6023394
           3570.6       0.6384174
            3571.       0.6609557
           3571.4       0.6748674
           3571.8       0.6590867
           3572.2       0.6423594
           3572.6       0.6387286
            3573.       0.6508628
           3573.4       0.6584175
           3573.8       0.6570451
           3574.2       0.6647223
           3574.6       0.6697524
            3575.       0.6643063
           3575.4       0.6658396
           3575.8        0.663862
           3576.2       0.6604716
           3576.6       0.6798937
            3577.       0.6965598
           3577.4       0.7193836
           3577.8       0.7120017
           3578.2       0.6995356
           3578.6       0.7165197
            3579.       0.7364995
           3579.4       0.7543995
           3579.8       0.7558506
           3580.2       0.7068462
           3580.6       0.6443638
            3581.       0.5815914
