#K OBJECT   '16458'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 16458
#K OBJRA    02:47:47.71
#K OBJDEC   +81:26:54.5
#K OBJBMAG  7.122000E+00
#K OBJVMAG  5.790000E+00
#K SPTYPE   G8p...
#K OBJRV    18
#K HDNAME   HD 16458
#K BDNAME   BD+80 86
#K HIPNAME  HIP 13055
#K SAONAME  SAO 433
#K VHELIO   -1.34924547032897E+01
#K VLSR     -5.29045365666936E+00
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.434687E+03
#K CMAX1    4.762862E+03
#K PICKTYPE G8I
#K NCOMBINE 4
#K TEFF     4500  1990AJ.....99.1961F (Fernandez-Villacanas)
#K LOGG     1.400000E+00  1990AJ.....99.1961F (Fernandez-Villacanas)
#K FEH      -3.600000E-01  1990AJ.....99.1961F (Fernandez-Villacanas)
#K COVERAGE 3465.0-8125.8

#      wavelength        spectrum
#       angstroms                

            3465.      0.09560751
           3465.4      0.08885204
           3465.8      0.07350439
           3466.2      0.06922182
           3466.6      0.07732929
            3467.      0.08729012
           3467.4      0.09258227
           3467.8      0.09983488
           3468.2       0.1098898
           3468.6       0.1162089
            3469.       0.1189343
           3469.4       0.1193287
           3469.8       0.1220593
           3470.2       0.1316022
           3470.6       0.1348121
            3471.       0.1269584
           3471.4       0.1142375
           3471.8       0.1018522
           3472.2      0.09087327
           3472.6      0.08802295
            3473.      0.09198719
           3473.4      0.08788736
           3473.8      0.07955455
           3474.2      0.07503659
           3474.6      0.06737339
            3475.      0.06473148
           3475.4      0.06323253
           3475.8      0.06072114
           3476.2      0.05751529
           3476.6      0.05306518
            3477.        0.058269
           3477.4      0.07158329
           3477.8      0.08795407
           3478.2      0.09797478
           3478.6      0.09929997
            3479.      0.09539063
           3479.4      0.09284042
           3479.8      0.09340651
           3480.2      0.09124703
           3480.6      0.09846309
            3481.       0.1016216
           3481.4       0.1045783
           3481.8       0.1100893
           3482.2       0.1146687
           3482.6       0.1037019
            3483.      0.09077612
           3483.4      0.08127749
           3483.8      0.08492277
           3484.2      0.09849539
           3484.6       0.1025565
            3485.        0.100113
           3485.4       0.1000602
           3485.8       0.1103085
           3486.2       0.1269296
           3486.6       0.1406386
            3487.       0.1564736
           3487.4       0.1652305
           3487.8       0.1539055
           3488.2       0.1382686
           3488.6       0.1288432
            3489.          0.1156
           3489.4       0.1004905
           3489.8      0.09084078
           3490.2      0.07813714
           3490.6      0.06613402
            3491.      0.07030601
           3491.4       0.0826404
           3491.8       0.1021013
           3492.2       0.1022664
           3492.6      0.09234561
            3493.      0.07953779
           3493.4      0.08074486
           3493.8      0.09847991
           3494.2       0.1133514
           3494.6       0.1164034
            3495.       0.1130835
           3495.4       0.1057701
           3495.8      0.09199081
           3496.2      0.07471725
           3496.6      0.07019798
            3497.      0.07614991
           3497.4      0.07668744
           3497.8      0.07847194
           3498.2      0.08683454
           3498.6       0.1035776
            3499.       0.1236915
           3499.4       0.1394495
           3499.8       0.1479233
           3500.2       0.1464116
           3500.6       0.1353376
            3501.       0.1284796
           3501.4       0.1322666
           3501.8       0.1309535
           3502.2       0.1289695
           3502.6       0.1334484
            3503.       0.1451038
           3503.4       0.1647145
           3503.8       0.1784918
           3504.2       0.1771512
           3504.6       0.1571109
            3505.       0.1304065
           3505.4       0.1144588
           3505.8       0.1124974
           3506.2       0.1130294
           3506.6       0.1079141
            3507.       0.1139412
           3507.4       0.1251406
           3507.8       0.1334005
           3508.2       0.1515858
           3508.6       0.1531229
            3509.       0.1465613
           3509.4       0.1359306
           3509.8       0.1168497
           3510.2      0.09724533
           3510.6      0.09816622
            3511.       0.1178368
