#K OBJECT   '165029'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 165029
#K OBJRA    18:03:14.56
#K OBJDEC   +19:36:47.4
#K OBJBMAG  6.427000E+00
#K OBJVMAG  6.411000E+00
#K SPTYPE   A0V
#K OBJRV    -32
#K HDNAME   HD 165029
#K BDNAME   BD+19 3508
#K HIPNAME  HIP 88429
#K SAONAME  SAO 103334
#K VHELIO   7.08616590368616E+00
#K VLSR     2.67580681545569E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785243E+03
#K CMAX1    8.121385E+03
#K PICKTYPE A0V
#K NCOMBINE 6
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.9322259
           3465.4       0.9305787
           3465.8       0.9241658
           3466.2       0.9399288
           3466.6       0.9496428
            3467.       0.9332434
           3467.4       0.9295346
           3467.8       0.9363523
           3468.2       0.9330542
           3468.6       0.9301497
            3469.       0.9337886
           3469.4       0.9320866
           3469.8       0.9245252
           3470.2       0.9289079
           3470.6       0.9374239
            3471.       0.9349239
           3471.4       0.9276832
           3471.8       0.9359835
           3472.2        0.933165
           3472.6       0.9130653
            3473.       0.9082843
           3473.4       0.9105327
           3473.8       0.9060461
           3474.2       0.9032145
           3474.6       0.8986455
            3475.       0.8901508
           3475.4        0.882662
           3475.8       0.8919004
           3476.2       0.9009035
           3476.6       0.8932868
            3477.          0.8936
           3477.4       0.8980247
           3477.8       0.9074979
           3478.2       0.9188792
           3478.6       0.9153266
            3479.       0.9125419
           3479.4       0.9212452
           3479.8       0.9189782
           3480.2       0.9117944
           3480.6        0.920482
            3481.       0.9306273
           3481.4        0.922138
           3481.8       0.9167697
           3482.2       0.9242296
           3482.6       0.9121405
            3483.       0.9012136
           3483.4       0.9060598
           3483.8       0.9169697
           3484.2       0.9173657
           3484.6       0.9163516
            3485.        0.923065
           3485.4       0.9192452
           3485.8       0.9097629
           3486.2        0.906782
           3486.6       0.9113193
            3487.       0.9151768
           3487.4       0.9173055
           3487.8       0.9172157
           3488.2       0.9120314
           3488.6       0.9087827
            3489.       0.9012887
           3489.4        0.902438
           3489.8       0.9037735
           3490.2       0.8988603
           3490.6       0.8981363
            3491.       0.8908296
           3491.4        0.900299
           3491.8          0.8992
           3492.2       0.8909609
           3492.6       0.8964161
            3493.       0.8961918
           3493.4       0.8926203
           3493.8       0.8976014
           3494.2       0.8920092
           3494.6       0.8914665
            3495.       0.8931562
           3495.4        0.879136
           3495.8       0.8779017
           3496.2       0.8843368
           3496.6       0.8743537
            3497.       0.8871506
           3497.4       0.8897365
           3497.8       0.8913016
           3498.2       0.8959668
           3498.6       0.9050654
            3499.       0.9070039
           3499.4       0.9032452
           3499.8       0.9040821
           3500.2       0.9103062
           3500.6       0.9160977
            3501.       0.9137908
           3501.4       0.9056919
           3501.8       0.9075851
           3502.2       0.9151856
           3502.6       0.9122126
            3503.       0.9072618
           3503.4       0.9033135
           3503.8       0.8990257
           3504.2       0.9089014
           3504.6       0.9112619
            3505.       0.9016488
           3505.4        0.898606
           3505.8       0.9035664
           3506.2       0.9085073
           3506.6       0.9048744
            3507.        0.897248
           3507.4       0.9082497
           3507.8       0.9174718
           3508.2       0.9134593
           3508.6       0.9042293
            3509.        0.915307
           3509.4       0.9120547
           3509.8       0.9106416
           3510.2       0.9030086
           3510.6       0.8988131
            3511.       0.9048052
           3511.4       0.8941637
           3511.8       0.8869688
           3512.2       0.9020355
           3512.6       0.8986718
            3513.       0.8962008
           3513.4       0.9063398
           3513.8        0.907704
           3514.2       0.9122106
           3514.6       0.9138811
            3515.       0.9061825
           3515.4       0.8987377
           3515.8       0.9008994
           3516.2       0.9051437
           3516.6       0.9042705
            3517.       0.9021679
           3517.4       0.9016951
           3517.8       0.9093606
           3518.2       0.9177346
           3518.6       0.9040454
            3519.       0.9218774
           3519.4       0.9142622
           3519.8       0.9041085
           3520.2       0.9041508
           3520.6       0.8991175
            3521.       0.9021351
           3521.4       0.9105153
           3521.8       0.9197571
           3522.2       0.9230722
           3522.6        0.915952
            3523.       0.9224945
           3523.4       0.9225823
           3523.8       0.9205903
           3524.2       0.9218348
           3524.6       0.9208642
            3525.       0.9200863
           3525.4       0.9202379
           3525.8       0.9064927
           3526.2       0.9138482
           3526.6       0.9259443
            3527.       0.9280856
           3527.4       0.9313821
           3527.8       0.9271589
           3528.2       0.9252459
           3528.6       0.9209601
            3529.       0.9229709
           3529.4       0.9155905
           3529.8       0.9229722
           3530.2       0.9250839
           3530.6       0.9265194
            3531.       0.9284971
           3531.4       0.9220794
           3531.8       0.9243693
           3532.2       0.9329134
           3532.6        0.924324
            3533.       0.9190135
           3533.4       0.9321383
           3533.8        0.931918
           3534.2       0.9285635
           3534.6       0.9204477
            3535.       0.9190817
           3535.4       0.9302426
           3535.8       0.9185984
           3536.2       0.9191784
           3536.6       0.9189687
            3537.       0.9288163
           3537.4       0.9326183
           3537.8       0.9180306
           3538.2       0.9214807
           3538.6        0.930104
            3539.       0.9250749
           3539.4       0.9290234
           3539.8       0.9313219
           3540.2       0.9264824
           3540.6       0.9360666
            3541.       0.9263508
           3541.4       0.9222365
           3541.8       0.9295356
           3542.2       0.9356031
           3542.6       0.9304857
            3543.       0.9327043
           3543.4       0.9403124
           3543.8        0.932004
           3544.2       0.9282896
           3544.6       0.9248435
            3545.       0.9232426
           3545.4       0.9203715
           3545.8       0.9317637
           3546.2        0.934489
           3546.6       0.9232633
            3547.       0.9245025
           3547.4       0.9315932
           3547.8       0.9322923
           3548.2       0.9320635
           3548.6       0.9275857
            3549.       0.9243243
           3549.4       0.9311235
           3549.8        0.933649
           3550.2       0.9395474
           3550.6       0.9311836
            3551.       0.9322495
           3551.4       0.9237323
           3551.8       0.9308026
           3552.2       0.9193658
           3552.6       0.9200172
            3553.       0.9335233
           3553.4        0.933945
           3553.8       0.9326629
           3554.2       0.9274893
           3554.6       0.9161491
            3555.        0.922697
           3555.4       0.9308025
           3555.8       0.9174128
           3556.2       0.9214106
