#K OBJECT   '166229'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 166229
#K OBJRA    18:08:02.24
#K OBJDEC   +36:24:04.6
#K OBJBMAG  6.650000E+00
#K OBJVMAG  5.480000E+00
#K SPTYPE   K2.5III
#K OBJRV    -6.600000E+00
#K HDNAME   HD 166229
#K BDNAME   BD+36 3027
#K HIPNAME  HIP 88836
#K SAONAME  SAO 66666
#K VHELIO   6.75713424255671E+00
#K VLSR     2.66300489668092E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.446048E+03
#K CMAX1    4.771646E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4540  1990ApJS...74.1075M (McWilliam)
#K LOGG     2.580000E+00  1990ApJS...74.1075M (McWilliam)
#K FEH      1.000000E-02  1990ApJS...74.1075M (McWilliam)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.4-5460.2

#      wavelength        spectrum
#       angstroms                

            3465.        0.118234
           3465.4      0.09382106
           3465.8      0.07560744
           3466.2      0.07177586
           3466.6      0.08427937
            3467.      0.09843843
           3467.4       0.1090758
           3467.8       0.1258197
           3468.2       0.1378347
           3468.6       0.1339486
            3469.       0.1268675
           3469.4       0.1263726
           3469.8       0.1412479
           3470.2       0.1586357
           3470.6         0.16939
            3471.        0.163509
           3471.4       0.1449254
           3471.8       0.1235435
           3472.2       0.1012384
           3472.6      0.09292985
            3473.       0.1030004
           3473.4       0.1052586
           3473.8      0.09263965
           3474.2       0.0828037
           3474.6      0.07636763
            3475.      0.06466333
           3475.4      0.05520577
           3475.8      0.05221137
           3476.2      0.05528136
           3476.6        0.058184
            3477.      0.06839781
           3477.4      0.09022278
           3477.8       0.1112014
           3478.2       0.1214651
           3478.6       0.1254089
            3479.       0.1299359
           3479.4        0.131726
           3479.8       0.1255108
           3480.2       0.1207379
           3480.6       0.1154699
            3481.       0.1181839
           3481.4       0.1257291
           3481.8       0.1320211
           3482.2       0.1328641
           3482.6       0.1204882
            3483.        0.102041
           3483.4      0.09135847
           3483.8      0.09355246
           3484.2       0.1062882
           3484.6       0.1140525
            3485.       0.1067457
           3485.4       0.1017743
           3485.8       0.1089799
           3486.2       0.1242723
           3486.6       0.1491246
            3487.       0.1662361
           3487.4       0.1672942
           3487.8       0.1582617
           3488.2        0.142521
           3488.6       0.1251476
            3489.       0.1070447
           3489.4      0.08827201
           3489.8      0.07525703
           3490.2      0.06417808
           3490.6      0.05979571
            3491.      0.06694017
           3491.4       0.0781021
           3491.8      0.09296313
           3492.2      0.09090301
           3492.6      0.07600884
            3493.      0.07028172
           3493.4      0.08246309
           3493.8       0.1054311
           3494.2       0.1284211
           3494.6       0.1423681
            3495.        0.139726
           3495.4       0.1226102
           3495.8       0.1058127
           3496.2      0.09434358
           3496.6      0.08395726
            3497.      0.07784955
           3497.4      0.07459009
           3497.8       0.0773104
           3498.2      0.09452747
           3498.6       0.1230423
            3499.        0.154738
           3499.4       0.1817427
           3499.8       0.1899068
           3500.2       0.1746371
           3500.6       0.1563918
            3501.       0.1547198
           3501.4       0.1618364
           3501.8       0.1563704
           3502.2       0.1441373
           3502.6       0.1512071
            3503.       0.1826624
           3503.4       0.2107215
           3503.8       0.2219252
           3504.2        0.214177
           3504.6       0.1855841
            3505.       0.1565373
           3505.4       0.1465342
           3505.8       0.1447569
           3506.2       0.1394522
           3506.6       0.1308393
            3507.       0.1445841
           3507.4       0.1608785
           3507.8       0.1773042
           3508.2       0.1847784
           3508.6       0.1777737
            3509.       0.1625303
           3509.4       0.1376283
           3509.8       0.1098699
           3510.2      0.09509338
           3510.6       0.1001577
            3511.       0.1189454
           3511.4        0.135039
           3511.8       0.1375111
           3512.2       0.1221665
           3512.6       0.1113657
            3513.      0.09975971
           3513.4       0.0863621
           3513.8      0.07456626
           3514.2      0.07159436
           3514.6       0.0706054
            3515.      0.07169029
           3515.4      0.08705368
           3515.8       0.1118897
           3516.2       0.1326689
           3516.6       0.1501378
            3517.       0.1685035
           3517.4       0.1912232
           3517.8       0.2045647
           3518.2       0.1933675
           3518.6       0.1792648
            3519.       0.1755883
           3519.4       0.1605173
