#K OBJECT   '168270'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 168270
#K OBJRA    18:18:07.71
#K OBJDEC   +18:07:54.1
#K OBJBMAG  6.230000E+00
#K OBJVMAG  6.236000E+00
#K SPTYPE   B9V
#K OBJRV    -2.650000E+01
#K HDNAME   HD 168270
#K BDNAME   BD+18 3623
#K HIPNAME  HIP 89684
#K SAONAME  SAO 103581
#K VHELIO   8.57980196095072E+00
#K VLSR     2.81198859547172E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.785268E+03
#K CMAX1    8.121344E+03
#K PICKTYPE B9V
#K NCOMBINE 5
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-9469.0
#K GAPS     8121.8-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.        1.245571
           3465.4        1.248398
           3465.8        1.234892
           3466.2        1.237259
           3466.6         1.24999
            3467.        1.233572
           3467.4        1.217926
           3467.8        1.216193
           3468.2        1.216587
           3468.6        1.209752
            3469.        1.205873
           3469.4         1.21069
           3469.8        1.209213
           3470.2        1.219425
           3470.6        1.239619
            3471.        1.219282
           3471.4        1.209338
           3471.8         1.20513
           3472.2        1.195083
           3472.6        1.199966
            3473.        1.177634
           3473.4        1.151997
           3473.8        1.145212
           3474.2        1.149695
           3474.6        1.159391
            3475.        1.163051
           3475.4        1.181349
           3475.8        1.196901
           3476.2        1.191747
           3476.6        1.202935
            3477.        1.186293
           3477.4        1.185138
           3477.8        1.191464
           3478.2        1.187498
           3478.6        1.203766
            3479.         1.20261
           3479.4        1.186343
           3479.8        1.202265
           3480.2        1.214426
           3480.6        1.203069
            3481.        1.196155
           3481.4         1.18503
           3481.8        1.180837
           3482.2        1.166435
           3482.6        1.150358
            3483.        1.168284
           3483.4        1.168052
           3483.8        1.178898
           3484.2        1.189138
           3484.6         1.19096
            3485.        1.200733
           3485.4        1.199708
           3485.8        1.191194
           3486.2        1.179365
           3486.6        1.183233
            3487.        1.192211
           3487.4        1.172393
           3487.8        1.170681
           3488.2        1.160178
           3488.6        1.160462
            3489.        1.161617
           3489.4        1.169591
           3489.8          1.1689
           3490.2        1.158557
           3490.6        1.157601
            3491.        1.155464
           3491.4        1.168604
           3491.8        1.179948
           3492.2        1.162328
           3492.6        1.168914
            3493.        1.164301
           3493.4        1.152491
           3493.8        1.161058
           3494.2        1.166024
           3494.6        1.149142
            3495.        1.119025
           3495.4        1.115878
           3495.8        1.132871
           3496.2        1.132717
           3496.6         1.14016
            3497.        1.152017
           3497.4        1.155261
           3497.8        1.148987
           3498.2        1.159725
           3498.6        1.175328
            3499.        1.183121
           3499.4        1.163697
           3499.8        1.167323
           3500.2        1.175012
           3500.6        1.169644
            3501.        1.171349
           3501.4        1.168603
           3501.8        1.165986
           3502.2        1.171614
           3502.6        1.179568
            3503.        1.170702
           3503.4        1.160998
           3503.8        1.161056
           3504.2        1.155876
           3504.6        1.158692
            3505.        1.161163
           3505.4        1.163211
           3505.8        1.159736
           3506.2        1.165479
           3506.6        1.183645
            3507.        1.180072
           3507.4        1.172521
           3507.8        1.176023
           3508.2         1.17839
           3508.6        1.188894
            3509.        1.175237
           3509.4        1.165101
           3509.8        1.167806
           3510.2        1.170068
           3510.6        1.156983
            3511.        1.158986
           3511.4        1.162749
           3511.8        1.161837
           3512.2        1.176002
           3512.6        1.168874
            3513.        1.165228
           3513.4        1.163051
           3513.8        1.169027
           3514.2        1.170882
           3514.6        1.166936
            3515.         1.17921
           3515.4           1.172
           3515.8        1.175977
           3516.2         1.17977
           3516.6        1.176025
            3517.        1.174481
           3517.4        1.175662
           3517.8        1.184496
           3518.2        1.175679
           3518.6        1.195207
            3519.        1.172637
           3519.4        1.180225
           3519.8        1.177089
           3520.2        1.166608
           3520.6        1.172436
            3521.        1.186185
           3521.4        1.188856
           3521.8        1.177621
           3522.2        1.181609
           3522.6        1.186976
            3523.        1.181453
           3523.4        1.195414
           3523.8        1.173184
           3524.2        1.185878
           3524.6        1.193924
            3525.        1.182741
           3525.4        1.184246
           3525.8        1.186216
           3526.2        1.185376
           3526.6        1.192101
            3527.         1.20162
           3527.4        1.197182
           3527.8        1.195916
           3528.2        1.204348
           3528.6        1.198035
            3529.        1.204627
           3529.4        1.199608
           3529.8         1.18622
           3530.2        1.171886
           3530.6        1.175988
            3531.        1.196255
           3531.4        1.203082
           3531.8        1.193802
           3532.2        1.188966
           3532.6        1.181397
            3533.        1.176717
           3533.4        1.189613
           3533.8        1.191297
           3534.2          1.1882
           3534.6        1.201815
            3535.        1.182235
           3535.4        1.181322
           3535.8        1.180319
           3536.2        1.186185
           3536.6        1.189028
            3537.         1.19052
           3537.4        1.187324
           3537.8        1.190073
           3538.2        1.210289
           3538.6        1.210429
            3539.        1.183488
           3539.4        1.185671
           3539.8        1.204914
           3540.2        1.207202
           3540.6        1.175595
            3541.        1.178239
           3541.4        1.181555
           3541.8        1.195905
           3542.2        1.199096
           3542.6        1.187516
            3543.        1.190825
           3543.4        1.207621
           3543.8         1.20891
           3544.2        1.199176
           3544.6        1.192616
            3545.        1.173555
           3545.4         1.18694
           3545.8        1.199291
           3546.2        1.219357
           3546.6          1.2252
            3547.        1.206384
           3547.4         1.18017
           3547.8        1.201176
           3548.2        1.216869
           3548.6        1.202732
            3549.        1.200906
           3549.4        1.197731
           3549.8         1.19266
           3550.2        1.207123
           3550.6        1.222051
            3551.        1.191281
           3551.4        1.203134
           3551.8        1.224944
           3552.2        1.218091
           3552.6        1.197954
            3553.        1.203748
           3553.4         1.22046
           3553.8         1.21355
           3554.2        1.198971
           3554.6         1.19346
            3555.        1.187171
           3555.4        1.194727
           3555.8        1.206658
           3556.2        1.192621
           3556.6        1.193721
            3557.        1.202813
           3557.4        1.201611
           3557.8        1.202951
           3558.2        1.201273
           3558.6        1.196462
            3559.        1.188465
           3559.4        1.180658
           3559.8         1.19025
           3560.2         1.20077
           3560.6        1.189705
            3561.        1.193175
           3561.4        1.207949
           3561.8         1.21783
           3562.2         1.21718
           3562.6          1.2231
            3563.         1.21934
           3563.4        1.199984
           3563.8        1.205816
           3564.2        1.207152
           3564.6        1.202239
            3565.        1.193635
           3565.4        1.171005
           3565.8        1.183351
           3566.2        1.184278
           3566.6        1.185005
            3567.        1.200355
           3567.4        1.199549
           3567.8        1.211396
           3568.2         1.22962
           3568.6        1.200356
            3569.        1.181379
           3569.4        1.180229
           3569.8        1.172746
           3570.2        1.186003
           3570.6         1.19859
            3571.        1.192366
           3571.4        1.208259
           3571.8        1.211406
           3572.2        1.209254
           3572.6        1.201988
            3573.        1.201903
           3573.4        1.207434
           3573.8        1.200143
           3574.2        1.201803
           3574.6        1.196076
            3575.        1.197287
           3575.4        1.211269
           3575.8        1.205237
           3576.2        1.201292
           3576.6        1.214698
            3577.        1.212296
           3577.4        1.186939
           3577.8        1.195627
           3578.2        1.191289
           3578.6        1.200818
            3579.        1.201894
           3579.4        1.202182
           3579.8        1.207284
           3580.2         1.19459
           3580.6        1.186667
            3581.         1.18746
           3581.4        1.178103
           3581.8        1.190902
           3582.2        1.208886
           3582.6        1.213784
            3583.        1.198679
           3583.4        1.199488
           3583.8        1.193352
           3584.2        1.184125
           3584.6        1.168725
            3585.        1.161949
           3585.4        1.154187
           3585.8        1.147965
           3586.2        1.170946
           3586.6        1.196804
            3587.        1.195284
           3587.4         1.20416
           3587.8        1.217915
           3588.2        1.197446
           3588.6        1.197026
            3589.        1.200293
           3589.4        1.202865
           3589.8        1.191596
           3590.2        1.193673
           3590.6        1.211998
            3591.        1.209397
           3591.4        1.196318
           3591.8        1.205835
           3592.2        1.214395
           3592.6        1.204286
            3593.        1.201536
           3593.4        1.192556
           3593.8        1.201278
           3594.2        1.194833
           3594.6        1.186801
            3595.        1.197296
           3595.4        1.194983
           3595.8        1.184876
           3596.2        1.189677
           3596.6        1.200327
            3597.        1.187528
           3597.4         1.17799
           3597.8        1.201996
           3598.2        1.193275
           3598.6        1.205051
            3599.        1.196189
           3599.4        1.193558
           3599.8        1.199763
           3600.2        1.198852
           3600.6        1.195645
            3601.        1.191509
           3601.4        1.191011
           3601.8        1.198136
           3602.2        1.192809
           3602.6        1.174554
            3603.        1.163553
           3603.4        1.155581
           3603.8        1.173385
           3604.2        1.171749
           3604.6        1.165428
            3605.        1.194054
           3605.4        1.176189
           3605.8        1.177542
           3606.2        1.189745
           3606.6        1.185933
            3607.        1.173735
           3607.4        1.169979
           3607.8        1.176836
           3608.2        1.160697
           3608.6         1.15374
            3609.        1.174042
           3609.4         1.16598
           3609.8        1.162738
           3610.2        1.176476
           3610.6        1.174278
            3611.        1.173312
           3611.4        1.191563
           3611.8        1.194869
           3612.2         1.17961
           3612.6        1.164418
            3613.        1.163784
           3613.4         1.17223
           3613.8        1.161637
           3614.2        1.170496
           3614.6        1.181576
            3615.        1.187618
           3615.4        1.176068
           3615.8        1.173698
           3616.2        1.164463
           3616.6        1.185022
            3617.        1.196177
           3617.4        1.169232
           3617.8        1.155347
           3618.2         1.16908
           3618.6        1.177789
            3619.         1.16642
           3619.4        1.154148
           3619.8        1.178508
           3620.2        1.187975
           3620.6        1.169009
            3621.        1.166371
           3621.4        1.169263
           3621.8        1.168455
           3622.2        1.169737
           3622.6        1.160589
            3623.        1.159139
           3623.4        1.160531
           3623.8        1.150859
           3624.2        1.158423
           3624.6        1.157682
            3625.        1.161046
           3625.4        1.166431
           3625.8        1.175576
           3626.2        1.164612
           3626.6        1.168824
            3627.         1.17387
           3627.4        1.169395
           3627.8        1.165268
           3628.2        1.172031
           3628.6        1.173155
            3629.        1.157578
           3629.4        1.151196
           3629.8        1.155969
           3630.2        1.161116
           3630.6        1.148338
            3631.        1.118425
           3631.4        1.117736
           3631.8         1.12469
           3632.2        1.133764
           3632.6        1.153629
            3633.        1.167757
           3633.4        1.162903
           3633.8         1.15478
           3634.2        1.153526
           3634.6        1.153745
            3635.         1.15495
           3635.4        1.153286
           3635.8        1.156359
           3636.2         1.14426
           3636.6        1.161787
            3637.        1.167753
           3637.4        1.156722
           3637.8        1.153215
           3638.2        1.172612
           3638.6        1.167371
            3639.        1.153386
           3639.4        1.161138
           3639.8        1.144046
           3640.2           1.129
           3640.6        1.142001
            3641.        1.131709
           3641.4        1.143956
           3641.8        1.135014
           3642.2        1.140399
           3642.6        1.135822
            3643.        1.139402
           3643.4        1.131965
           3643.8        1.125407
           3644.2        1.145384
           3644.6        1.154411
            3645.        1.145307
           3645.4        1.151189
           3645.8        1.151263
           3646.2        1.145165
           3646.6        1.146007
            3647.         1.13553
           3647.4        1.136887
           3647.8        1.137611
           3648.2        1.135718
           3648.6        1.134671
            3649.        1.141379
           3649.4        1.134706
           3649.8        1.124735
           3650.2        1.129972
           3650.6        1.133291
            3651.        1.140601
           3651.4        1.129246
           3651.8        1.135601
           3652.2        1.126926
           3652.6        1.117953
            3653.        1.118683
           3653.4        1.143798
           3653.8         1.13216
           3654.2        1.130801
           3654.6        1.144309
            3655.        1.136886
           3655.4        1.135098
           3655.8        1.139681
           3656.2        1.139042
           3656.6        1.131007
            3657.        1.135422
           3657.4        1.138533
           3657.8        1.131332
           3658.2        1.132075
           3658.6        1.136704
            3659.        1.132179
           3659.4        1.121156
           3659.8        1.128684
           3660.2        1.120558
           3660.6        1.103441
            3661.         1.11795
           3661.4        1.119887
           3661.8        1.125187
           3662.2        1.120753
           3662.6        1.115922
            3663.        1.119787
           3663.4         1.11698
           3663.8        1.114532
           3664.2        1.114885
           3664.6        1.119597
            3665.        1.119863
           3665.4        1.126078
           3665.8        1.125787
           3666.2        1.109212
           3666.6        1.111972
            3667.        1.114563
           3667.4        1.106658
           3667.8        1.101634
           3668.2        1.105213
           3668.6         1.11324
            3669.        1.101248
           3669.4        1.113957
           3669.8        1.119358
           3670.2        1.108142
           3670.6        1.109411
            3671.        1.116665
           3671.4        1.115205
           3671.8        1.107159
           3672.2        1.106778
           3672.6        1.118758
            3673.        1.117125
           3673.4        1.101732
           3673.8        1.099775
           3674.2        1.090734
           3674.6        1.108878
            3675.        1.109661
           3675.4        1.088092
           3675.8        1.083691
           3676.2        1.076828
           3676.6        1.070502
            3677.        1.078899
           3677.4        1.068019
           3677.8        1.070835
           3678.2        1.072271
           3678.6        1.073529
            3679.        1.075666
           3679.4        1.080404
           3679.8        1.095344
           3680.2        1.105478
           3680.6        1.102539
            3681.        1.097739
           3681.4        1.083979
           3681.8        1.071908
           3682.2        1.075969
           3682.6         1.07036
            3683.        1.070448
           3683.4        1.085101
           3683.8        1.089992
           3684.2        1.093757
           3684.6        1.081143
            3685.        1.057498
           3685.4        1.050167
           3685.8        1.038603
           3686.2        1.031647
           3686.6        1.044142
            3687.        1.052597
           3687.4        1.065197
           3687.8        1.100254
           3688.2        1.121717
           3688.6        1.122358
            3689.        1.124141
           3689.4        1.120748
           3689.8        1.094345
           3690.2        1.074795
           3690.6        1.021965
            3691.        1.003745
           3691.4        1.021362
           3691.8        1.027884
           3692.2         1.04986
           3692.6        1.094649
            3693.        1.129597
           3693.4        1.147565
           3693.8        1.153946
           3694.2        1.158598
           3694.6        1.133497
            3695.        1.098418
           3695.4        1.075297
           3695.8        1.037747
           3696.2       0.9868756
           3696.6       0.9579049
            3697.       0.9438493
           3697.4       0.9682089
           3697.8        1.027436
           3698.2        1.066824
           3698.6        1.114217
            3699.        1.155704
           3699.4          1.1826
           3699.8        1.220357
           3700.2        1.221591
           3700.6        1.212032
            3701.        1.187665
           3701.4        1.147408
           3701.8        1.101719
           3702.2         1.04144
           3702.6       0.9716004
            3703.       0.9237497
           3703.4       0.9009148
           3703.8        0.887391
           3704.2       0.9110307
           3704.6       0.9770246
            3705.        1.027394
           3705.4        1.073157
           3705.8        1.116046
           3706.2        1.175516
           3706.6        1.232947
            3707.        1.270357
           3707.4        1.298274
           3707.8        1.300136
           3708.2        1.277718
           3708.6        1.248173
            3709.        1.204775
           3709.4         1.16369
           3709.8        1.097392
           3710.2        1.031756
           3710.6       0.9600144
            3711.       0.8844647
           3711.4        0.837747
           3711.8       0.8296175
           3712.2       0.8447862
           3712.6       0.8847182
            3713.       0.9561034
           3713.4        1.037604
           3713.8        1.114755
           3714.2        1.190654
           3714.6        1.250125
            3715.        1.299471
           3715.4        1.342336
           3715.8        1.367917
           3716.2        1.412284
           3716.6         1.42529
            3717.        1.415437
           3717.4        1.398037
           3717.8        1.381208
           3718.2        1.332711
           3718.6        1.268558
            3719.         1.21475
           3719.4        1.136537
           3719.8        1.048146
           3720.2       0.9572158
           3720.6       0.8857522
            3721.       0.8190538
           3721.4       0.7738011
           3721.8       0.7679158
           3722.2       0.8047239
           3722.6        0.851616
            3723.       0.9097801
           3723.4       0.9979694
           3723.8        1.091695
           3724.2        1.174623
           3724.6        1.249766
            3725.        1.318277
           3725.4        1.403411
           3725.8        1.459472
           3726.2        1.501799
           3726.6         1.53808
            3727.         1.54686
           3727.4        1.567883
           3727.8        1.589275
           3728.2        1.605293
           3728.6        1.585478
            3729.        1.556306
           3729.4        1.538553
           3729.8         1.48287
           3730.2        1.406907
           3730.6        1.340908
            3731.        1.280699
           3731.4        1.196426
           3731.8        1.103501
           3732.2         1.02314
           3732.6       0.9483286
            3733.       0.8612905
           3733.4       0.7805032
           3733.8       0.7356012
           3734.2       0.7226789
           3734.6        0.747297
            3735.       0.8081521
           3735.4       0.8710766
           3735.8       0.9337754
           3736.2        1.000871
           3736.6        1.094556
            3737.         1.17794
           3737.4        1.279246
           3737.8        1.370657
           3738.2        1.438485
           3738.6        1.507472
            3739.        1.583398
           3739.4         1.64862
           3739.8        1.701158
           3740.2        1.750829
           3740.6        1.774274
            3741.        1.765885
           3741.4        1.782728
           3741.8        1.800574
           3742.2        1.824662
           3742.6        1.823303
            3743.         1.80925
           3743.4        1.789486
           3743.8        1.765301
           3744.2        1.699844
           3744.6        1.627721
            3745.        1.570701
           3745.4        1.495975
           3745.8        1.417617
           3746.2        1.351617
           3746.6        1.291545
            3747.        1.204486
           3747.4        1.115925
           3747.8         1.02058
           3748.2       0.9363092
           3748.6       0.8498316
            3749.       0.7775834
           3749.4       0.7225119
           3749.8       0.6930457
           3750.2       0.6929466
           3750.6       0.7288718
            3751.       0.8034258
           3751.4       0.8867851
           3751.8       0.9799351
           3752.2        1.070363
           3752.6        1.152104
            3753.        1.223003
           3753.4         1.30411
           3753.8        1.394454
           3754.2         1.46622
           3754.6        1.529163
            3755.        1.609654
           3755.4        1.686581
           3755.8        1.755926
           3756.2        1.823001
           3756.6        1.856863
            3757.        1.873019
           3757.4        1.886145
           3757.8        1.917891
           3758.2        1.930576
           3758.6        1.944184
            3759.        1.942651
           3759.4        1.956591
           3759.8         1.99674
           3760.2        2.021229
           3760.6        1.993134
            3761.        1.969107
           3761.4        1.978472
           3761.8        1.969813
           3762.2        1.969201
           3762.6        1.956008
            3763.         1.91087
           3763.4        1.858187
           3763.8        1.804314
           3764.2        1.759917
           3764.6        1.700763
            3765.        1.641443
           3765.4        1.582056
           3765.8        1.522635
           3766.2        1.439674
           3766.6        1.343079
            3767.         1.26907
           3767.4        1.170496
           3767.8        1.079254
           3768.2        1.010194
           3768.6       0.9226838
            3769.       0.8430983
           3769.4       0.7493905
           3769.8       0.6843597
           3770.2        0.657874
           3770.6       0.6533547
            3771.       0.6938875
           3771.4       0.7625533
           3771.8       0.8306764
           3772.2       0.9067307
           3772.6       0.9877251
            3773.         1.09344
           3773.4        1.187234
           3773.8        1.254514
           3774.2         1.33703
           3774.6         1.42732
            3775.        1.505945
           3775.4        1.564313
           3775.8        1.643459
           3776.2        1.730514
           3776.6        1.799999
            3777.        1.846574
           3777.4        1.888757
           3777.8        1.953925
           3778.2        1.991875
           3778.6        2.035302
            3779.        2.081964
           3779.4        2.136943
           3779.8        2.172225
           3780.2        2.193155
           3780.6        2.217575
            3781.        2.230458
           3781.4        2.243954
           3781.8        2.270139
           3782.2         2.28039
           3782.6        2.275568
            3783.        2.272624
           3783.4        2.270165
           3783.8        2.305664
           3784.2        2.310439
           3784.6        2.317825
            3785.        2.306858
           3785.4        2.299263
           3785.8         2.30517
           3786.2         2.27531
           3786.6        2.252187
            3787.        2.235693
           3787.4        2.202187
           3787.8        2.179581
           3788.2        2.149033
           3788.6        2.102545
            3789.        2.062444
           3789.4        2.060663
           3789.8        1.997709
           3790.2        1.950372
           3790.6        1.905611
            3791.        1.855858
           3791.4        1.792272
           3791.8         1.70789
           3792.2        1.649248
           3792.6        1.590093
            3793.        1.500633
           3793.4        1.431355
           3793.8        1.347062
           3794.2        1.246924
           3794.6        1.175192
            3795.        1.082014
           3795.4       0.9951808
           3795.8       0.9066334
           3796.2       0.8146198
           3796.6       0.7477997
            3797.        0.680881
           3797.4       0.6254821
           3797.8       0.6216969
           3798.2       0.6562296
           3798.6       0.7123236
            3799.       0.7876164
           3799.4       0.8684679
           3799.8       0.9576671
           3800.2        1.037175
           3800.6        1.135561
            3801.        1.228623
           3801.4        1.306578
           3801.8         1.38144
           3802.2        1.452615
           3802.6        1.527583
            3803.         1.60802
           3803.4        1.674226
           3803.8        1.727491
           3804.2        1.788668
           3804.6        1.854719
            3805.        1.915676
           3805.4        1.958203
           3805.8        2.020871
           3806.2        2.054791
           3806.6        2.076069
            3807.        2.116738
           3807.4         2.15271
           3807.8        2.186294
           3808.2         2.22951
           3808.6        2.256329
            3809.        2.260294
           3809.4        2.278342
           3809.8        2.315155
           3810.2        2.333205
           3810.6        2.354496
            3811.        2.370119
           3811.4        2.370873
           3811.8         2.38445
           3812.2        2.379281
           3812.6        2.365391
            3813.        2.354857
           3813.4        2.355592
           3813.8        2.356617
           3814.2        2.351801
           3814.6        2.362065
            3815.        2.359913
           3815.4        2.361536
           3815.8        2.380626
           3816.2        2.401223
           3816.6        2.415262
            3817.        2.412916
           3817.4        2.419265
           3817.8        2.409285
           3818.2        2.375778
           3818.6        2.349613
            3819.        2.327411
           3819.4         2.29607
           3819.8         2.26827
           3820.2        2.261764
           3820.6        2.283773
            3821.        2.287558
           3821.4        2.312022
           3821.8        2.303764
           3822.2         2.29633
           3822.6        2.284007
            3823.        2.281016
           3823.4        2.259017
           3823.8        2.208183
           3824.2        2.164011
           3824.6        2.131756
            3825.        2.092581
           3825.4        2.049873
           3825.8        2.022744
           3826.2        1.989044
           3826.6        1.971039
            3827.        1.926596
           3827.4        1.888674
           3827.8        1.846318
           3828.2         1.80066
           3828.6        1.720502
            3829.        1.642719
           3829.4        1.584336
           3829.8        1.517711
           3830.2        1.464949
           3830.6        1.412432
            3831.        1.334004
           3831.4        1.231599
           3831.8        1.150315
           3832.2        1.059333
           3832.6       0.9860532
            3833.       0.9219022
           3833.4       0.8498112
           3833.8       0.7772379
           3834.2       0.7045956
           3834.6       0.6377988
            3835.       0.6013702
           3835.4       0.6063842
           3835.8       0.6461515
           3836.2       0.7141668
           3836.6       0.7902618
            3837.       0.8583739
           3837.4       0.9269974
           3837.8       0.9945261
           3838.2        1.072703
           3838.6        1.150737
            3839.         1.24573
           3839.4        1.326372
           3839.8         1.39802
           3840.2        1.472323
           3840.6        1.538436
            3841.        1.619609
           3841.4        1.682124
           3841.8        1.752789
           3842.2        1.813292
           3842.6        1.861971
            3843.        1.926664
           3843.4        1.974608
           3843.8        1.999367
           3844.2        2.012274
           3844.6        2.046841
            3845.        2.079741
           3845.4        2.098164
           3845.8        2.130374
           3846.2         2.16592
           3846.6        2.204431
            3847.        2.214537
           3847.4         2.20896
           3847.8        2.217398
           3848.2        2.238557
           3848.6        2.250444
            3849.         2.26385
           3849.4        2.256348
           3849.8        2.259895
           3850.2        2.294456
           3850.6        2.331046
            3851.        2.363701
           3851.4        2.382726
           3851.8        2.384524
           3852.2        2.397401
           3852.6        2.380003
            3853.        2.333388
           3853.4        2.318266
           3853.8        2.355096
           3854.2        2.364057
           3854.6        2.363539
            3855.        2.337418
           3855.4        2.278195
           3855.8        2.259767
           3856.2        2.302134
           3856.6        2.358758
            3857.        2.405553
           3857.4        2.429544
           3857.8        2.445769
           3858.2         2.45136
           3858.6        2.455441
            3859.        2.424855
           3859.4        2.416763
           3859.8        2.395655
           3860.2        2.414036
           3860.6        2.443411
            3861.        2.429162
           3861.4        2.405441
           3861.8        2.355692
           3862.2        2.308159
           3862.6        2.319428
            3863.        2.335237
           3863.4        2.385577
           3863.8        2.421448
           3864.2        2.422586
           3864.6        2.413018
            3865.        2.400772
           3865.4        2.403211
           3865.8        2.411201
           3866.2        2.425255
           3866.6        2.425081
            3867.        2.398882
           3867.4        2.404138
           3867.8        2.413577
           3868.2        2.416004
           3868.6        2.421236
            3869.        2.401511
           3869.4        2.420016
           3869.8        2.429841
           3870.2        2.405041
           3870.6        2.387786
            3871.        2.391718
           3871.4        2.364144
           3871.8        2.334826
           3872.2        2.339491
           3872.6        2.326717
            3873.        2.338031
           3873.4        2.332185
           3873.8        2.333586
           3874.2        2.321667
           3874.6        2.316453
            3875.        2.294123
           3875.4        2.292052
           3875.8        2.257894
           3876.2        2.232159
           3876.6        2.216218
            3877.        2.181931
           3877.4        2.165419
           3877.8        2.128604
           3878.2        2.088502
           3878.6        2.064981
            3879.        2.033244
           3879.4        1.995206
           3879.8        1.975776
           3880.2         1.94521
           3880.6         1.90377
            3881.        1.860812
           3881.4         1.81838
           3881.8        1.776996
           3882.2        1.720663
           3882.6        1.647567
            3883.        1.583464
           3883.4        1.523641
           3883.8        1.452663
           3884.2        1.385291
           3884.6        1.319065
            3885.        1.246124
           3885.4         1.15943
           3885.8        1.081374
           3886.2        1.009625
           3886.6       0.9325112
            3887.       0.8509415
           3887.4       0.7736611
           3887.8       0.7047384
           3888.2       0.6375853
           3888.6       0.5951918
            3889.       0.6068939
           3889.4       0.6289523
           3889.8       0.6951045
           3890.2       0.7573735
           3890.6       0.8464085
            3891.       0.9280384
           3891.4        1.004019
           3891.8         1.07519
           3892.2         1.15062
           3892.6        1.225209
            3893.        1.302557
           3893.4        1.392356
           3893.8        1.453394
           3894.2        1.522931
           3894.6        1.584044
            3895.        1.637924
           3895.4        1.695261
           3895.8         1.73704
           3896.2        1.796244
           3896.6        1.846522
