#K OBJECT   '17081'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 17081
#K OBJRA    02:44:07.35
#K OBJDEC   -13:51:31.3
#K OBJBMAG  4.123000E+00
#K OBJVMAG  4.235000E+00
#K SPTYPE   B7IV
#K OBJRV    1.540000E+01
#K HDNAME   HD 17081
#K BDNAME   BD-14 519
#K HIPNAME  HIP 12770
#K SAONAME  SAO 148575
#K VHELIO   -2.37425498357688E+01
#K VLSR     -3.69619616023476E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790082E+03
#K CMAX1    8.125496E+03
#K PICKTYPE B6IV
#K NCOMBINE 6
#K TEFF     13250  1993A&A...274..335S (Smith)
#K LOGG     3.800000E+00  1993A&A...274..335S (Smith)
#K FEH      0.000000E+00  1993A&A...274..335S (Smith)
#K COVERAGE 3465.0-9469.0
#K GAPS     8126.2-8145.4

#      wavelength        spectrum
#       angstroms                

            3465.        1.654683
           3465.4        1.631507
           3465.8        1.646393
           3466.2        1.646299
           3466.6        1.662632
            3467.        1.672397
           3467.4        1.648848
           3467.8        1.653086
           3468.2        1.662311
           3468.6        1.637115
            3469.        1.639799
           3469.4         1.64599
           3469.8        1.646938
           3470.2         1.65706
           3470.6        1.658408
            3471.        1.643751
           3471.4        1.646201
           3471.8        1.650128
           3472.2        1.649298
           3472.6        1.647196
            3473.        1.640766
           3473.4        1.640154
           3473.8        1.637311
           3474.2        1.622651
           3474.6        1.621296
            3475.        1.617466
           3475.4        1.629692
           3475.8        1.657055
           3476.2        1.631589
           3476.6           1.636
            3477.        1.647582
           3477.4        1.641273
           3477.8        1.648243
           3478.2        1.657128
           3478.6        1.669729
            3479.        1.668558
           3479.4        1.632069
           3479.8        1.646863
           3480.2        1.659268
           3480.6        1.648053
            3481.        1.628338
           3481.4        1.647752
           3481.8        1.657097
           3482.2        1.634291
           3482.6        1.621441
            3483.         1.61914
           3483.4        1.630852
           3483.8        1.662608
           3484.2        1.668154
           3484.6        1.638344
            3485.        1.628757
           3485.4        1.643592
           3485.8        1.660847
           3486.2        1.663621
           3486.6        1.634069
            3487.        1.637131
           3487.4        1.639524
           3487.8        1.636485
           3488.2        1.617085
           3488.6        1.614652
            3489.        1.629365
           3489.4        1.622496
           3489.8        1.637654
           3490.2        1.666266
           3490.6        1.647201
            3491.        1.640879
           3491.4        1.637771
           3491.8        1.618801
           3492.2        1.619783
           3492.6        1.618735
            3493.        1.599302
           3493.4        1.597358
           3493.8        1.594532
           3494.2        1.603143
           3494.6        1.627711
            3495.        1.630289
           3495.4        1.626521
           3495.8        1.614838
           3496.2         1.63416
           3496.6        1.630691
            3497.        1.631093
           3497.4        1.617448
           3497.8        1.623385
           3498.2        1.634924
           3498.6        1.640676
            3499.        1.644104
           3499.4         1.62854
           3499.8        1.624718
           3500.2        1.616937
           3500.6        1.587967
            3501.        1.622736
           3501.4        1.619632
           3501.8        1.625123
           3502.2         1.61138
           3502.6        1.615081
            3503.        1.618089
           3503.4         1.59953
           3503.8        1.601001
           3504.2        1.608727
           3504.6         1.60791
            3505.        1.602048
           3505.4        1.593721
           3505.8          1.5963
           3506.2        1.597312
           3506.6        1.606042
            3507.        1.615817
           3507.4        1.592912
           3507.8        1.597485
           3508.2        1.595159
           3508.6        1.599366
            3509.        1.604209
           3509.4        1.606217
           3509.8        1.614172
           3510.2        1.617873
           3510.6        1.600485
            3511.        1.589043
           3511.4        1.607522
           3511.8         1.60603
           3512.2        1.604755
           3512.6        1.623041
            3513.        1.593985
           3513.4        1.584403
           3513.8        1.588746
           3514.2        1.597357
           3514.6        1.594077
            3515.        1.601426
           3515.4        1.612546
           3515.8        1.607024
           3516.2        1.596588
           3516.6        1.595682
            3517.        1.621559
           3517.4        1.619902
           3517.8        1.615592
           3518.2        1.621481
           3518.6        1.641313
            3519.        1.620984
           3519.4        1.612423
           3519.8        1.625857
           3520.2        1.627511
           3520.6        1.626845
            3521.        1.629791
           3521.4        1.617173
           3521.8        1.595635
           3522.2        1.599297
           3522.6        1.628962
            3523.        1.624277
           3523.4        1.615579
           3523.8        1.622746
           3524.2        1.622048
           3524.6        1.622362
            3525.        1.611994
           3525.4        1.608646
           3525.8         1.63216
           3526.2        1.627828
           3526.6        1.602808
            3527.        1.607104
           3527.4        1.605942
           3527.8        1.619259
           3528.2        1.623736
           3528.6        1.621618
            3529.        1.615617
           3529.4        1.615522
           3529.8        1.615653
           3530.2        1.634222
           3530.6        1.606436
            3531.        1.577326
           3531.4        1.600416
           3531.8        1.619081
           3532.2        1.614973
           3532.6        1.610986
            3533.          1.6056
           3533.4        1.597702
           3533.8        1.602075
           3534.2        1.610349
           3534.6        1.609363
            3535.        1.591522
           3535.4        1.593144
           3535.8        1.605763
           3536.2        1.605596
           3536.6          1.6018
            3537.        1.590678
           3537.4        1.584955
           3537.8        1.597602
           3538.2        1.590394
           3538.6        1.588502
            3539.        1.582301
           3539.4        1.575413
           3539.8        1.579348
           3540.2        1.580449
           3540.6        1.594179
            3541.        1.613292
           3541.4        1.617643
           3541.8        1.594185
           3542.2        1.583386
           3542.6         1.59477
            3543.        1.580657
           3543.4        1.571413
           3543.8        1.586229
           3544.2        1.585457
           3544.6         1.58143
            3545.        1.593056
           3545.4        1.578344
           3545.8        1.582532
           3546.2        1.588709
           3546.6         1.58874
            3547.        1.576485
           3547.4        1.568484
           3547.8        1.576137
           3548.2        1.579754
           3548.6        1.584075
            3549.        1.583495
           3549.4        1.594033
           3549.8         1.58993
           3550.2        1.587032
           3550.6        1.596943
            3551.        1.584533
           3551.4        1.573677
           3551.8        1.579861
           3552.2        1.592403
           3552.6        1.586058
            3553.        1.586815
           3553.4        1.598541
           3553.8        1.590294
           3554.2        1.599652
           3554.6        1.583266
            3555.        1.599182
           3555.4        1.609879
           3555.8        1.589124
           3556.2        1.573435
           3556.6        1.593516
            3557.         1.59509
           3557.4        1.588851
           3557.8        1.592851
           3558.2        1.594443
           3558.6        1.602929
            3559.        1.600922
           3559.4         1.58233
           3559.8         1.58847
           3560.2        1.584652
           3560.6        1.582642
            3561.        1.567745
           3561.4        1.596558
           3561.8         1.61254
           3562.2        1.595711
           3562.6        1.579031
            3563.        1.600956
           3563.4        1.616387
           3563.8        1.594533
           3564.2        1.585929
           3564.6         1.58281
            3565.        1.577155
           3565.4        1.575501
           3565.8        1.550917
           3566.2        1.573143
           3566.6        1.583984
            3567.        1.591084
           3567.4        1.594773
           3567.8         1.60258
           3568.2        1.604095
           3568.6         1.59789
            3569.        1.588011
           3569.4        1.578977
           3569.8        1.590652
           3570.2        1.598641
           3570.6        1.587988
            3571.        1.574467
           3571.4        1.583563
           3571.8        1.578631
           3572.2        1.583386
           3572.6        1.579167
            3573.        1.593303
           3573.4        1.589086
           3573.8         1.57961
           3574.2        1.590455
           3574.6        1.576691
            3575.        1.561735
           3575.4        1.574807
           3575.8        1.567267
           3576.2        1.544061
           3576.6        1.569114
            3577.        1.566178
           3577.4        1.563178
           3577.8        1.568042
           3578.2        1.583054
           3578.6         1.58272
            3579.        1.586427
           3579.4        1.594988
           3579.8        1.580275
           3580.2        1.567236
           3580.6        1.573318
            3581.        1.579871
           3581.4        1.550657
           3581.8        1.545466
           3582.2        1.552266
           3582.6        1.564523
            3583.        1.557572
           3583.4        1.570041
           3583.8        1.588681
           3584.2        1.576787
           3584.6        1.570854
            3585.        1.561321
           3585.4        1.539873
           3585.8        1.550193
           3586.2        1.550759
           3586.6        1.575964
            3587.        1.551717
           3587.4        1.567263
           3587.8        1.553703
           3588.2        1.539471
           3588.6        1.560667
            3589.        1.581161
           3589.4         1.56376
           3589.8        1.529381
           3590.2         1.53869
           3590.6        1.562517
            3591.        1.560072
           3591.4        1.574287
           3591.8        1.545207
           3592.2        1.559319
           3592.6        1.557124
            3593.        1.528265
           3593.4        1.536731
           3593.8        1.549923
           3594.2        1.552504
           3594.6        1.546662
            3595.        1.548083
           3595.4        1.550065
           3595.8        1.549057
           3596.2        1.549758
           3596.6        1.539465
            3597.        1.563872
           3597.4        1.567579
           3597.8        1.546309
           3598.2        1.537349
           3598.6        1.538796
            3599.        1.533332
           3599.4        1.538671
           3599.8         1.54241
           3600.2        1.537283
           3600.6        1.537932
            3601.        1.549922
           3601.4        1.548211
           3601.8        1.531914
           3602.2        1.540186
           3602.6         1.52607
            3603.        1.540933
           3603.4        1.518688
           3603.8         1.52996
           3604.2        1.548023
           3604.6         1.53249
            3605.        1.546888
           3605.4         1.55854
           3605.8        1.547724
           3606.2        1.541233
           3606.6        1.536989
            3607.         1.53747
           3607.4        1.518017
           3607.8        1.522757
           3608.2        1.529977
           3608.6        1.516136
            3609.        1.509834
           3609.4        1.532639
           3609.8        1.532194
           3610.2        1.531267
           3610.6        1.549614
            3611.        1.538075
           3611.4        1.518376
           3611.8         1.52715
           3612.2        1.525574
           3612.6        1.514953
            3613.        1.510562
           3613.4         1.52665
           3613.8        1.510207
           3614.2        1.536885
           3614.6        1.531684
            3615.        1.523885
           3615.4        1.532037
           3615.8        1.529976
           3616.2        1.543527
           3616.6        1.545394
            3617.        1.520544
           3617.4        1.516479
           3617.8        1.521001
           3618.2        1.536231
           3618.6        1.515879
            3619.        1.512429
           3619.4        1.524213
           3619.8        1.518494
           3620.2        1.514809
           3620.6        1.510616
            3621.        1.506149
           3621.4         1.51622
           3621.8         1.52472
           3622.2        1.523733
           3622.6        1.525967
            3623.        1.528042
           3623.4        1.526801
           3623.8        1.502089
           3624.2          1.4946
           3624.6        1.527388
            3625.        1.507694
           3625.4        1.501852
           3625.8        1.515166
           3626.2        1.515129
           3626.6        1.514328
            3627.        1.522297
           3627.4        1.509271
           3627.8        1.485837
           3628.2        1.491311
           3628.6         1.50786
            3629.         1.52813
           3629.4        1.511726
           3629.8        1.523346
           3630.2        1.508145
           3630.6        1.511163
            3631.        1.502833
           3631.4        1.502396
           3631.8        1.496776
           3632.2        1.475464
           3632.6        1.486666
            3633.        1.509696
           3633.4        1.503879
           3633.8        1.507334
           3634.2        1.505747
           3634.6        1.498286
            3635.         1.49745
           3635.4         1.50313
           3635.8        1.505206
           3636.2        1.516014
           3636.6        1.510663
            3637.        1.488811
           3637.4         1.50899
           3637.8        1.514074
           3638.2        1.490337
           3638.6        1.502469
            3639.        1.495972
           3639.4        1.495227
           3639.8        1.488171
           3640.2         1.49971
           3640.6        1.507172
            3641.        1.489502
           3641.4        1.479002
           3641.8        1.485482
           3642.2        1.490191
           3642.6        1.494696
            3643.        1.485064
           3643.4        1.460153
           3643.8        1.468495
           3644.2        1.500367
           3644.6        1.498316
            3645.        1.493311
           3645.4        1.483056
           3645.8        1.479443
           3646.2          1.4834
           3646.6        1.488016
            3647.         1.49363
           3647.4        1.478062
           3647.8        1.473531
           3648.2        1.482164
           3648.6         1.48343
            3649.        1.486112
           3649.4        1.482191
           3649.8        1.480269
           3650.2         1.48426
           3650.6         1.47432
            3651.         1.47975
           3651.4         1.49242
           3651.8        1.502629
           3652.2        1.499624
           3652.6         1.46241
            3653.        1.455174
           3653.4        1.479535
           3653.8        1.470662
           3654.2        1.458828
           3654.6        1.475292
            3655.        1.469719
           3655.4        1.453156
           3655.8         1.44334
           3656.2        1.442729
           3656.6        1.460393
            3657.        1.470009
           3657.4        1.463679
           3657.8        1.458153
           3658.2        1.453656
           3658.6        1.457811
            3659.         1.46806
           3659.4        1.466705
           3659.8        1.461543
           3660.2         1.46533
           3660.6        1.465752
            3661.        1.457571
           3661.4        1.452901
           3661.8        1.459333
           3662.2        1.465159
           3662.6        1.466483
            3663.         1.46451
           3663.4         1.46695
           3663.8        1.467885
           3664.2        1.451514
           3664.6        1.446334
            3665.        1.464376
           3665.4        1.470163
           3665.8        1.465391
           3666.2        1.445616
           3666.6        1.455796
            3667.        1.458533
           3667.4        1.466438
           3667.8        1.451453
           3668.2        1.451048
           3668.6        1.458239
            3669.         1.45401
           3669.4        1.441085
           3669.8        1.457108
           3670.2        1.474822
           3670.6        1.448003
            3671.        1.451455
           3671.4        1.460857
           3671.8         1.45597
           3672.2        1.439707
           3672.6         1.43574
            3673.        1.425086
           3673.4        1.446545
           3673.8        1.439558
           3674.2        1.427356
           3674.6        1.458074
            3675.          1.4548
           3675.4        1.433018
           3675.8        1.452303
           3676.2        1.442182
           3676.6        1.445848
            3677.        1.446265
           3677.4           1.429
           3677.8        1.435934
           3678.2        1.449288
           3678.6        1.449879
            3679.        1.445633
           3679.4        1.454983
           3679.8         1.44804
           3680.2        1.437145
           3680.6        1.452252
            3681.         1.45627
           3681.4        1.441217
           3681.8        1.434598
           3682.2         1.42942
           3682.6        1.433958
            3683.        1.437455
           3683.4        1.444149
           3683.8        1.448882
           3684.2         1.44471
           3684.6        1.427688
            3685.        1.431471
           3685.4        1.422569
           3685.8        1.393134
           3686.2        1.400076
           3686.6         1.41236
            3687.         1.41127
           3687.4        1.426752
           3687.8        1.429892
           3688.2        1.451842
           3688.6        1.449776
            3689.        1.447673
           3689.4        1.459957
           3689.8         1.43702
           3690.2        1.417759
           3690.6        1.415059
            3691.        1.404727
           3691.4        1.386138
           3691.8        1.380786
           3692.2        1.418759
           3692.6        1.431587
            3693.          1.4453
           3693.4        1.459724
           3693.8        1.480509
           3694.2        1.483017
           3694.6         1.47849
            3695.        1.460053
           3695.4         1.43596
           3695.8        1.398312
           3696.2        1.365478
           3696.6        1.345841
            3697.        1.323546
           3697.4        1.338124
           3697.8        1.368308
           3698.2        1.386687
           3698.6         1.43451
            3699.        1.479417
           3699.4        1.501977
           3699.8        1.529554
           3700.2        1.523938
           3700.6        1.506178
            3701.        1.496492
           3701.4        1.479891
           3701.8        1.450347
           3702.2        1.411645
