#K OBJECT   '172816'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 172816
#K OBJRA    18:42:55.10
#K OBJDEC   -19:17:03.2
#K OBJBMAG  8.040000E+00
#K OBJVMAG  6.440000E+00
#K SPTYPE   M4III
#K HDNAME   HD 172816
#K BDNAME   BD-19 5134
#K HIPNAME  HIP 91781
#K SAONAME  SAO 161754
#K VHELIO   2.95744239356460E+01
#K VLSR     4.23822462355413E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.441809E+03
#K CMAX1    4.767770E+03
#K PICKTYPE M4III
#K NCOMBINE 5
#K TEFF     3.497000E+03  1999A&A...344..511R (Richichi)
#K LOGG     -2147483647  1999A&A...344..511R (Richichi)
#K FEH      -2147483647  1999A&A...344..511R (Richichi)
#K COVERAGE 3465.0-9469.0
#K GAPS     8107.8-8137.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.0175176
           3465.4      0.02016671
           3465.8      0.02123767
           3466.2      0.01677672
           3466.6      0.02626707
            3467.      0.02819969
           3467.4      0.01742184
           3467.8      0.01985001
           3468.2       0.0182795
           3468.6      0.01701664
            3469.      0.02795277
           3469.4      0.02462628
           3469.8      0.02728355
           3470.2      0.02503972
           3470.6      0.04024714
            3471.      0.03975719
           3471.4      0.02375601
           3471.8      0.02253376
           3472.2       0.0271947
           3472.6       0.0289628
            3473.      0.01709941
           3473.4      0.02588749
           3473.8      0.02466487
           3474.2      0.01888749
           3474.6      0.01879507
            3475.      0.02306611
           3475.4      0.02145053
           3475.8      0.01737916
           3476.2      0.01321964
           3476.6         0.01124
            3477.      0.01798895
           3477.4      0.03139919
           3477.8      0.03515711
           3478.2      0.02808059
           3478.6      0.03144215
            3479.      0.03090086
           3479.4      0.02866126
           3479.8      0.03031342
           3480.2       0.0197652
           3480.6      0.02735063
            3481.      0.03609995
           3481.4      0.02805199
           3481.8       0.0297159
           3482.2      0.02859964
           3482.6      0.02241592
            3483.      0.03207617
           3483.4      0.03063887
           3483.8       0.0258338
           3484.2      0.02633246
           3484.6      0.02646027
            3485.      0.01809499
           3485.4      0.03069313
           3485.8      0.03454278
           3486.2      0.03093659
           3486.6      0.02759535
            3487.      0.03099957
           3487.4      0.02753942
           3487.8      0.02405322
           3488.2      0.03449285
           3488.6       0.0367774
            3489.      0.03464002
           3489.4      0.02972764
           3489.8      0.02275714
           3490.2      0.01500284
           3490.6      0.02432194
            3491.      0.02461334
           3491.4      0.02528964
           3491.8      0.02211629
           3492.2      0.02465806
           3492.6      0.02591373
            3493.      0.02438095
           3493.4      0.02061092
           3493.8      0.01580835
           3494.2      0.03008668
           3494.6      0.02732052
            3495.      0.02531752
           3495.4      0.02546541
           3495.8      0.02662055
           3496.2      0.02874426
           3496.6      0.02818425
            3497.      0.03263176
           3497.4      0.03614564
           3497.8      0.02820074
           3498.2      0.02938828
           3498.6       0.0363517
            3499.      0.02852975
           3499.4      0.03017313
           3499.8      0.03481362
           3500.2      0.02459878
           3500.6      0.03631528
            3501.      0.03650361
           3501.4      0.02661978
           3501.8      0.03088596
           3502.2       0.0229673
           3502.6      0.01959696
            3503.      0.03090324
           3503.4      0.03879271
           3503.8      0.03896711
           3504.2      0.03669298
           3504.6      0.03467922
            3505.      0.03367811
           3505.4      0.03144097
           3505.8      0.02529611
           3506.2      0.03590609
           3506.6      0.03310879
            3507.      0.03062952
           3507.4      0.02907987
           3507.8       0.0269267
           3508.2      0.02767424
           3508.6       0.0320773
            3509.      0.03128571
           3509.4      0.02480068
           3509.8      0.02396154
           3510.2      0.02290163
           3510.6      0.02199254
            3511.      0.03512498
           3511.4      0.03769547
           3511.8      0.02873409
           3512.2      0.02907175
           3512.6      0.02410489
            3513.      0.03498168
           3513.4      0.04510185
           3513.8      0.03426341
           3514.2      0.02160061
           3514.6      0.01033437
            3515.      0.01279799
           3515.4      0.03302551
           3515.8      0.02741152
           3516.2      0.03938105
           3516.6      0.03747395
            3517.      0.04086459
           3517.4      0.03379903
           3517.8      0.02734085
           3518.2      0.04963741
           3518.6      0.04489704
            3519.       0.0258009
           3519.4      0.02972091
           3519.8      0.03748707
           3520.2      0.03386675
           3520.6      0.02708781
            3521.      0.03061034
           3521.4      0.03135478
           3521.8      0.02802589
           3522.2      0.02609967
           3522.6      0.03669609
            3523.      0.02664845
           3523.4      0.02509325
           3523.8      0.02517276
           3524.2      0.02672318
           3524.6      0.02214605
            3525.      0.01985892
           3525.4      0.02572233
           3525.8      0.02264682
           3526.2      0.03406671
           3526.6      0.03886034
            3527.       0.0243902
           3527.4      0.03029135
           3527.8      0.03295732
           3528.2      0.03104669
           3528.6      0.03102132
            3529.      0.03610455
           3529.4      0.03546391
           3529.8      0.03799276
           3530.2      0.04616511
           3530.6      0.04055849
            3531.      0.03550668
           3531.4       0.0432511
           3531.8      0.03504294
           3532.2      0.03374441
           3532.6      0.03630116
            3533.      0.04984602
           3533.4       0.0338177
           3533.8      0.03145159
           3534.2      0.03581896
           3534.6      0.04069786
            3535.      0.05123557
           3535.4      0.04901699
           3535.8      0.04414551
           3536.2      0.05059994
           3536.6      0.05238579
            3537.      0.05067657
           3537.4      0.03863301
           3537.8      0.05099224
           3538.2      0.04456456
           3538.6      0.03341889
            3539.      0.05460985
           3539.4      0.06475943
           3539.8      0.05297771
           3540.2      0.04916122
           3540.6      0.04541118
            3541.      0.04695701
           3541.4       0.0569679
           3541.8      0.04556756
           3542.2      0.03509294
           3542.6      0.04644526
            3543.       0.0580012
           3543.4      0.05301578
           3543.8      0.04868193
           3544.2      0.05158744
           3544.6      0.04883244
            3545.      0.05378943
           3545.4       0.0480295
           3545.8      0.04732017
           3546.2       0.0570344
           3546.6      0.05340336
            3547.      0.04711796
           3547.4      0.04171254
           3547.8      0.03999716
           3548.2      0.04699754
           3548.6      0.04629041
            3549.      0.04651245
           3549.4      0.04204231
           3549.8      0.04452928
           3550.2      0.03274801
           3550.6      0.03999777
            3551.      0.04689628
           3551.4      0.04565417
           3551.8      0.05278427
           3552.2      0.04854246
           3552.6      0.04197569
            3553.      0.03728147
           3553.4      0.03879792
           3553.8      0.04337906
           3554.2      0.02826419
           3554.6      0.03426806
            3555.      0.05568852
           3555.4       0.0533452
           3555.8      0.05213142
           3556.2      0.05378036
           3556.6      0.05497746
            3557.      0.05159561
           3557.4      0.04230268
           3557.8      0.04433195
           3558.2      0.04472212
           3558.6      0.05083218
            3559.      0.04839706
           3559.4      0.04941896
           3559.8      0.05215727
           3560.2      0.04737832
           3560.6      0.04427909
            3561.      0.04718075
           3561.4      0.04457702
           3561.8      0.04762071
           3562.2       0.0611008
           3562.6      0.06190773
            3563.      0.05276706
           3563.4      0.05202873
           3563.8      0.04495256
           3564.2      0.03493153
           3564.6      0.03665384
            3565.      0.02923069
           3565.4      0.03612481
           3565.8      0.03151705
           3566.2      0.03160146
           3566.6       0.0377515
            3567.       0.0397036
           3567.4      0.04163493
           3567.8      0.04706878
           3568.2      0.04849143
           3568.6      0.03551495
            3569.      0.02539271
           3569.4      0.03035261
           3569.8      0.03065068
           3570.2      0.03563848
           3570.6      0.03394121
            3571.      0.03230938
           3571.4      0.03613698
           3571.8      0.02721233
           3572.2      0.03289848
           3572.6      0.04667671
            3573.      0.03809936
           3573.4      0.04125848
           3573.8      0.05278362
           3574.2      0.03105435
           3574.6      0.03007786
            3575.      0.03380205
           3575.4      0.03429905
           3575.8       0.0376627
           3576.2      0.03601958
           3576.6      0.03640926
            3577.      0.03376621
           3577.4       0.0305776
           3577.8      0.02961271
           3578.2      0.02408748
           3578.6      0.01976129
            3579.      0.01957935
           3579.4      0.02173275
           3579.8      0.03814535
           3580.2      0.03786442
           3580.6      0.02674182
            3581.      0.01729628
           3581.4      0.03071659
           3581.8      0.03123622
           3582.2      0.02826107
           3582.6      0.02772294
            3583.      0.04615576
           3583.4      0.05356411
           3583.8      0.04271851
           3584.2      0.05238837
           3584.6      0.04295874
            3585.       0.0245213
           3585.4      0.02229472
           3585.8      0.01775717
           3586.2      0.03150533
           3586.6      0.03858646
            3587.      0.03016442
           3587.4      0.02856008
           3587.8      0.04493516
           3588.2      0.03598432
           3588.6      0.02219007
            3589.      0.03565748
           3589.4      0.04423169
           3589.8      0.04440188
           3590.2      0.03961595
           3590.6      0.03883576
            3591.      0.04042558
           3591.4      0.04004331
           3591.8      0.03686126
           3592.2      0.03925991
           3592.6      0.03404626
            3593.      0.03057867
           3593.4      0.02155292
           3593.8      0.02687084
           3594.2      0.03577461
           3594.6      0.03327072
            3595.      0.04113181
           3595.4      0.03310696
           3595.8      0.04618861
           3596.2      0.04921861
           3596.6      0.04744596
            3597.      0.05147878
           3597.4      0.05302367
           3597.8      0.04788854
           3598.2      0.04545001
           3598.6      0.04865611
            3599.      0.05539872
           3599.4      0.06096272
