#K OBJECT   '17463'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200microns'  aperture
#K OBJNAME  HD 17463
#K OBJRA    02:51:58.75
#K OBJDEC   +68:53:18.6
#K OBJBMAG  6.600000E+00
#K OBJVMAG  5.940000E+00
#K SPTYPE   F5Ib...
#K OBJRV    -6.500000E+00
#K HDNAME   HD 17463
#K BDNAME   BD+68 200
#K HIPNAME  HIP 13367
#K SAONAME  SAO 12472
#K VHELIO   -1.96195113143538E+01
#K VLSR     -1.44651167098298E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    6.790666E+03
#K CMAX1    8.126195E+03
#K PICKTYPE F5I
#K NCOMBINE 6
#K TEFF     6222  1981ApJ...245.1018L (Luck)
#K LOGG     1.700000E+00  1981ApJ...245.1018L (Luck)
#K FEH      -1.200000E-01  1981ApJ...245.1018L (Luck)
#K COVERAGE 3465.0-9469.0
#K GAPS     8127.0-8145.8

#      wavelength        spectrum
#       angstroms                

            3465.       0.4429387
           3465.4       0.4311416
           3465.8       0.4225574
           3466.2       0.4072409
           3466.6        0.428507
            3467.       0.4462356
           3467.4       0.4632542
           3467.8       0.4572898
           3468.2       0.4557709
           3468.6       0.4491965
            3469.        0.432982
           3469.4       0.4462884
           3469.8       0.4673739
           3470.2       0.4768923
           3470.6       0.4958628
            3471.       0.4840941
           3471.4       0.4716121
           3471.8       0.4345762
           3472.2       0.4268355
           3472.6       0.4586348
            3473.       0.4571772
           3473.4       0.4371426
           3473.8       0.4054008
           3474.2       0.3826766
           3474.6       0.3680447
            3475.       0.3513302
           3475.4       0.3535644
           3475.8       0.3603161
           3476.2       0.3591855
           3476.6        0.367937
            3477.       0.3488453
           3477.4       0.3653589
           3477.8         0.41035
           3478.2       0.4222959
           3478.6       0.4196115
            3479.       0.4327793
           3479.4       0.4232791
           3479.8       0.4172038
           3480.2       0.4263863
           3480.6       0.4238734
            3481.       0.4257438
           3481.4       0.4232708
           3481.8       0.4300544
           3482.2       0.4465226
           3482.6       0.4249579
            3483.       0.3871311
           3483.4       0.3735663
           3483.8       0.3685442
           3484.2       0.3917069
           3484.6        0.428423
            3485.       0.4418392
           3485.4       0.4320045
           3485.8       0.4421841
           3486.2       0.4766366
           3486.6       0.5002045
            3487.       0.5152286
           3487.4       0.4910458
           3487.8       0.4847856
           3488.2       0.4311711
           3488.6       0.4071283
            3489.       0.3864006
           3489.4       0.3844145
           3489.8       0.3964515
           3490.2       0.4046767
           3490.6        0.392198
            3491.       0.3851836
           3491.4       0.4215607
           3491.8       0.4575427
           3492.2       0.4606469
           3492.6       0.4486513
            3493.       0.4160323
           3493.4       0.4101484
           3493.8       0.4153504
           3494.2       0.4345156
           3494.6        0.415992
            3495.       0.3695789
           3495.4       0.3362643
           3495.8       0.3152102
           3496.2       0.3008074
           3496.6       0.3089648
            3497.       0.3298466
           3497.4       0.3417701
           3497.8       0.3743205
           3498.2       0.4280094
           3498.6       0.4654185
            3499.       0.4814156
           3499.4       0.4904231
           3499.8       0.4732219
           3500.2        0.435194
           3500.6       0.4208888
            3501.        0.450489
           3501.4       0.4823714
           3501.8       0.4747826
           3502.2       0.4605804
           3502.6       0.4748892
            3503.        0.484556
           3503.4       0.4953261
           3503.8       0.5024289
           3504.2       0.4735515
           3504.6       0.4408792
            3505.       0.3949026
           3505.4       0.3815983
           3505.8       0.3986796
           3506.2        0.409267
           3506.6       0.4238472
            3507.       0.4526642
           3507.4       0.4641301
           3507.8       0.4522664
           3508.2       0.4564056
           3508.6       0.4757546
            3509.       0.4866012
           3509.4       0.4905237
           3509.8       0.4639155
           3510.2       0.4421304
           3510.6       0.1171804
            3511.       0.2507946
           3511.4       0.4699139
           3511.8       0.4461534
           3512.2       0.4648779
           3512.6       0.4564796
            3513.       0.4422163
           3513.4       0.4275976
           3513.8        0.413192
           3514.2       0.4142649
           3514.6       0.4314751
            3515.       0.4719735
           3515.4       0.4900635
           3515.8       0.5052186
           3516.2       0.5134887
           3516.6       0.4982992
            3517.       0.4903431
           3517.4       0.4984707
           3517.8        0.505003
           3518.2       0.5124839
           3518.6       0.5140383
            3519.       0.5100609
           3519.4       0.5016115
           3519.8       0.4463274
           3520.2       0.4197197
           3520.6       0.4241651
            3521.       0.4408726
           3521.4       0.4394324
           3521.8       0.4524246
           3522.2       0.4742116
           3522.6       0.4836956
            3523.       0.4725578
           3523.4       0.4527355
           3523.8       0.4415284
           3524.2        0.412654
           3524.6       0.4146388
            3525.       0.4336734
           3525.4       0.4516838
           3525.8       0.4196829
           3526.2       0.3706733
           3526.6       0.3684764
            3527.       0.4002557
           3527.4       0.4520248
           3527.8       0.4888472
           3528.2       0.5106984
           3528.6       0.5425263
            3529.        0.545051
           3529.4       0.5162147
           3529.8       0.4970439
           3530.2       0.4863243
           3530.6       0.4887251
            3531.       0.4835057
           3531.4       0.4725434
           3531.8        0.468682
           3532.2        0.460081
           3532.6       0.4620384
            3533.       0.4662404
           3533.4       0.4639405
           3533.8       0.4780607
           3534.2       0.5098954
           3534.6        0.521112
            3535.       0.4827941
           3535.4       0.4472023
           3535.8       0.4394016
