#K OBJECT   '175156'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 175156
#K OBJRA    18:54:43.11
#K OBJDEC   -15:36:10.9
#K OBJBMAG  5.223000E+00
#K OBJVMAG  5.098000E+00
#K SPTYPE   B3II
#K OBJRV    -2.800000E+00
#K HDNAME   HD 175156
#K BDNAME   BD-15 5143
#K HIPNAME  HIP 92814
#K SAONAME  SAO 161964
#K VHELIO   1.64342645014278E+01
#K VLSR     3.00166054477611E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.088339E+03
#K CMAX1    5.414481E+03
#K PICKTYPE B5II
#K NCOMBINE 6
#K TEFF     15750  1976IAUCo..32..563V (Vilhu)
#K LOGG     3.600000E+00  1976IAUCo..32..563V (Vilhu)
#K FEH      7.000000E-01  1976IAUCo..32..563V (Vilhu)
#K COVERAGE 3465.0-9469.0
#K GAPS     5415.0-5460.2

#      wavelength        spectrum
#       angstroms                

            3465.        2.495293
           3465.4        2.465457
           3465.8         2.45288
           3466.2        2.475372
           3466.6        2.459173
            3467.         2.46506
           3467.4         2.43784
           3467.8        2.468073
           3468.2        2.489842
           3468.6        2.465601
            3469.         2.46148
           3469.4        2.477189
           3469.8        2.439757
           3470.2        2.465789
           3470.6        2.450022
            3471.        2.431789
           3471.4        2.457063
           3471.8        2.422662
           3472.2        2.398118
           3472.6         2.40623
            3473.         2.42635
           3473.4        2.438844
           3473.8        2.427336
           3474.2        2.424162
           3474.6        2.436467
            3475.        2.415645
           3475.4        2.407293
           3475.8        2.419373
           3476.2        2.457744
           3476.6         2.46921
            3477.        2.428428
           3477.4         2.42028
           3477.8         2.42897
           3478.2        2.416642
           3478.6         2.43335
            3479.        2.419114
           3479.4        2.401805
           3479.8         2.38689
           3480.2         2.37989
           3480.6        2.405891
            3481.        2.414012
           3481.4        2.404428
           3481.8        2.418143
           3482.2        2.441365
           3482.6        2.414882
            3483.        2.360526
           3483.4        2.382339
           3483.8        2.416941
           3484.2        2.417423
           3484.6        2.432986
            3485.        2.410679
           3485.4        2.407006
           3485.8        2.368889
           3486.2        2.388713
           3486.6        2.416279
            3487.         2.39129
           3487.4        2.370285
           3487.8        2.385321
           3488.2        2.411375
           3488.6        2.398757
            3489.        2.386545
           3489.4        2.383156
           3489.8        2.391851
           3490.2        2.451326
           3490.6        2.400616
            3491.        2.418373
           3491.4        2.430908
           3491.8        2.378086
           3492.2        2.356075
           3492.6        2.385558
            3493.        2.390078
           3493.4        2.358889
           3493.8        2.355774
           3494.2        2.374266
           3494.6         2.39222
            3495.        2.352017
           3495.4        2.395827
           3495.8        2.399995
           3496.2        2.394072
           3496.6        2.394591
            3497.        2.411778
           3497.4        2.372133
           3497.8        2.339919
           3498.2         2.36704
           3498.6        2.364951
            3499.        2.353099
           3499.4        2.344513
           3499.8        2.355934
           3500.2        2.401134
           3500.6        2.361288
            3501.        2.365106
           3501.4        2.353391
           3501.8        2.353712
           3502.2        2.369338
           3502.6        2.369447
            3503.        2.381428
           3503.4        2.383542
           3503.8        2.370835
           3504.2        2.351228
           3504.6        2.299281
            3505.        2.337473
           3505.4        2.374885
           3505.8        2.355685
           3506.2         2.34936
           3506.6        2.329443
            3507.        2.344109
           3507.4        2.387337
           3507.8        2.326612
           3508.2        2.325448
           3508.6        2.363644
            3509.        2.337923
           3509.4        2.366064
           3509.8        2.374489
           3510.2        2.373422
           3510.6        2.357699
            3511.        2.314918
           3511.4        2.298809
           3511.8        2.317627
           3512.2         2.34263
           3512.6        2.346629
            3513.        2.321309
           3513.4        2.278622
           3513.8        2.273928
           3514.2        2.298289
           3514.6        2.303231
            3515.        2.310694
           3515.4        2.324297
           3515.8        2.343417
           3516.2        2.355292
           3516.6        2.373247
            3517.        2.330848
           3517.4        2.356413
           3517.8        2.364094
           3518.2        2.381067
           3518.6        2.394483
            3519.         2.34296
           3519.4        2.352561
           3519.8        2.406999
           3520.2        2.393083
           3520.6        2.405489
            3521.        2.346287
           3521.4        2.310486
           3521.8        2.320991
           3522.2        2.363863
           3522.6        2.332211
            3523.        2.342439
           3523.4        2.397771
           3523.8        2.400513
           3524.2        2.360314
           3524.6        2.316387
            3525.        2.334015
           3525.4        2.403868
           3525.8        2.404291
           3526.2         2.39377
           3526.6         2.37832
            3527.        2.339198
           3527.4        2.359258
           3527.8        2.389808
           3528.2        2.404262
           3528.6        2.377471
            3529.        2.336203
           3529.4        2.348184
           3529.8        2.370464
           3530.2        2.353271
           3530.6        2.337441
            3531.        2.349249
           3531.4        2.366451
           3531.8        2.349227
           3532.2         2.38252
           3532.6         2.35601
            3533.        2.362549
           3533.4        2.383096
           3533.8        2.415148
           3534.2        2.389779
           3534.6        2.340192
            3535.        2.326658
           3535.4        2.346009
           3535.8        2.356128
           3536.2         2.34163
           3536.6        2.348183
            3537.        2.339359
           3537.4        2.361503
           3537.8        2.358297
           3538.2        2.361651
           3538.6        2.356102
            3539.        2.362824
           3539.4        2.354559
           3539.8        2.326198
           3540.2         2.34841
           3540.6        2.393134
            3541.        2.348865
           3541.4        2.308041
           3541.8        2.345191
           3542.2        2.308343
           3542.6        2.362207
            3543.        2.361429
           3543.4        2.337938
           3543.8        2.343796
           3544.2        2.332355
           3544.6        2.388284
            3545.        2.369084
           3545.4        2.321682
           3545.8         2.34665
           3546.2        2.352058
           3546.6        2.347716
            3547.        2.350752
           3547.4        2.327573
           3547.8        2.379745
           3548.2        2.374236
           3548.6         2.33506
            3549.        2.352737
           3549.4        2.360206
           3549.8        2.347321
           3550.2        2.345909
           3550.6        2.366544
            3551.        2.370914
           3551.4        2.332251
           3551.8        2.327533
           3552.2        2.378186
           3552.6        2.362152
            3553.        2.319738
           3553.4        2.338533
           3553.8        2.314687
           3554.2        2.316617
