#K OBJECT   '175306'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 175306
#K OBJRA    18:51:12.10
#K OBJDEC   +59:23:18.1
#K OBJBMAG  5.813000E+00
#K OBJVMAG  4.642000E+00
#K SPTYPE   G9IIIb
#K OBJRV    -1.950000E+01
#K HDNAME   HD 175306
#K BDNAME   BD+59 1925
#K HIPNAME  HIP 92512
#K SAONAME  SAO 31218
#K VHELIO   4.32591426118289E+00
#K VLSR     2.15659546821343E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458890E+03
#K CMAX1    4.784107E+03
#K PICKTYPE G8III
#K NCOMBINE 4
#K TEFF     4275  1991ApJS...75..579L (Luck)
#K LOGG     1.190000E+00  1991ApJS...75..579L (Luck)
#K FEH      -4.600000E-01  1991ApJS...75..579L (Luck)
#K COVERAGE 3465.0-8107.8

#      wavelength        spectrum
#       angstroms                

            3465.        0.190866
           3465.4       0.2147404
           3465.8       0.1570281
           3466.2       0.1622031
           3466.6        0.209566
            3467.       0.1890572
           3467.4       0.1995221
           3467.8       0.2170172
           3468.2       0.1939709
           3468.6       0.2028804
            3469.       0.2378913
           3469.4       0.2493085
           3469.8       0.2705906
           3470.2       0.3167693
           3470.6       0.3431915
            3471.        0.255242
           3471.4       0.2095234
           3471.8        0.237739
           3472.2       0.2377434
           3472.6       0.1500336
            3473.       0.1466261
           3473.4       0.1571931
           3473.8       0.1663647
           3474.2       0.1742137
           3474.6       0.1499676
            3475.       0.1442263
           3475.4       0.1229006
           3475.8       0.1250995
           3476.2       0.1337776
           3476.6       0.1069473
            3477.        0.137119
           3477.4       0.2145408
           3477.8       0.2354191
           3478.2       0.2418585
           3478.6       0.2160534
            3479.       0.1990638
           3479.4       0.2100862
           3479.8       0.2203587
           3480.2       0.2276293
           3480.6       0.2105816
            3481.       0.2041762
           3481.4       0.2286746
           3481.8       0.2522159
           3482.2       0.2512777
           3482.6       0.1851385
            3483.       0.1761651
           3483.4       0.1949868
           3483.8       0.1845312
           3484.2       0.1852517
           3484.6       0.1881608
            3485.       0.1920913
           3485.4       0.2155178
           3485.8       0.2158087
           3486.2       0.2274953
           3486.6       0.2872358
            3487.       0.2820841
           3487.4       0.2742171
           3487.8       0.2536836
           3488.2       0.2161394
           3488.6       0.2185216
            3489.       0.1881302
           3489.4       0.1524615
           3489.8       0.1309603
           3490.2       0.1292555
           3490.6       0.1496251
            3491.       0.1707283
           3491.4       0.1894698
           3491.8       0.1723267
           3492.2       0.1946733
           3492.6       0.1783119
            3493.        0.167314
           3493.4       0.2033937
           3493.8       0.2292752
           3494.2       0.2383027
           3494.6       0.2085023
            3495.       0.1722336
           3495.4       0.1557792
           3495.8       0.1410396
           3496.2       0.1497591
           3496.6       0.1707345
            3497.       0.1634419
           3497.4       0.1621724
           3497.8        0.129349
           3498.2       0.1940989
           3498.6       0.2471707
            3499.       0.3018404
           3499.4       0.2787627
           3499.8       0.2640104
           3500.2       0.2708841
           3500.6       0.2446086
            3501.       0.2378261
           3501.4       0.2574835
           3501.8       0.2455159
           3502.2       0.2340764
           3502.6       0.2464755
            3503.       0.2760788
           3503.4       0.3507214
           3503.8       0.3416339
           3504.2       0.3310763
           3504.6       0.2379734
            3505.       0.2327744
           3505.4       0.2200178
