#K OBJECT   '175545'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 175545
#K OBJRA    18:55:51.45
#K OBJDEC   -00:44:22.1
#K OBJBMAG  8.600000E+00
#K OBJVMAG  7.400000E+00
#K SPTYPE   K2III
#K OBJRV    -19
#K HDNAME   HD 175545
#K BDNAME   BD-00 3595
#K HIPNAME  HIP 92914
#K SAONAME  SAO 142812
#K VHELIO   1.57664703908774E+01
#K VLSR     3.25116955760273E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.743271E+03
#K CMAX1    6.069987E+03
#K PICKTYPE K2III
#K NCOMBINE 6
#K TEFF     4429  Jones..Coude.Feed.Library
#K LOGG     2.940000E+00  Jones..Coude.Feed.Library
#K FEH      2.900000E-01  Jones..Coude.Feed.Library
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.       0.1145068
           3465.4      0.09352788
           3465.8      0.07606949
           3466.2       0.0788457
           3466.6       0.0858743
            3467.       0.1008738
           3467.4       0.1156889
           3467.8       0.1263599
           3468.2       0.1343668
           3468.6       0.1399426
            3469.       0.1363934
           3469.4       0.1335658
           3469.8       0.1476749
           3470.2       0.1640743
           3470.6        0.164252
            3471.       0.1543495
           3471.4       0.1378953
           3471.8       0.1188889
           3472.2       0.1042727
           3472.6      0.09985409
            3473.       0.1001043
           3473.4      0.09602836
           3473.8      0.09027272
           3474.2      0.08123937
           3474.6      0.07041037
            3475.      0.06060031
           3475.4      0.05397032
           3475.8      0.05201254
           3476.2      0.05561735
           3476.6      0.06286006
            3477.      0.07118686
           3477.4      0.09085916
           3477.8       0.1108531
           3478.2       0.1207237
           3478.6       0.1194475
            3479.       0.1266066
           3479.4        0.128878
           3479.8       0.1230526
           3480.2       0.1153296
           3480.6       0.1114269
            3481.       0.1189047
           3481.4       0.1293658
           3481.8       0.1283599
           3482.2       0.1209888
           3482.6       0.1106725
            3483.      0.09425476
           3483.4      0.08783144
           3483.8      0.09508412
           3484.2       0.1086228
           3484.6       0.1097609
            3485.       0.1007809
           3485.4       0.1003642
           3485.8       0.1101298
           3486.2       0.1249715
           3486.6       0.1426064
            3487.        0.156657
           3487.4       0.1603487
           3487.8       0.1478104
           3488.2       0.1323331
           3488.6        0.113369
            3489.      0.09750846
           3489.4      0.08158439
           3489.8      0.07000533
           3490.2      0.06117139
           3490.6      0.06009288
            3491.      0.06578224
           3491.4      0.07781519
           3491.8      0.08909994
           3492.2      0.08555284
           3492.6      0.07549594
            3493.      0.07228408
           3493.4      0.08363084
           3493.8       0.1040515
           3494.2       0.1220652
           3494.6       0.1327654
            3495.       0.1264978
           3495.4       0.1153953
           3495.8       0.1018374
           3496.2      0.08878002
           3496.6      0.08116829
            3497.      0.07486203
           3497.4      0.07187425
           3497.8      0.07817436
           3498.2      0.09168033
           3498.6       0.1165124
            3499.         0.14956
           3499.4        0.172425
           3499.8       0.1779215
           3500.2       0.1643399
           3500.6       0.1518199
            3501.       0.1502084
           3501.4        0.145938
           3501.8       0.1410861
           3502.2       0.1414149
           3502.6       0.1495423
            3503.       0.1720285
           3503.4       0.1970906
           3503.8         0.21102
           3504.2        0.196144
           3504.6       0.1667331
            3505.       0.1495289
           3505.4       0.1402505
           3505.8       0.1346699
           3506.2       0.1313692
           3506.6       0.1288455
            3507.         0.13633
           3507.4       0.1521227
           3507.8       0.1660128
           3508.2       0.1736024
           3508.6       0.1680361
            3509.       0.1515634
           3509.4       0.1278038
           3509.8        0.106551
           3510.2      0.09138313
           3510.6       0.0993893
            3511.       0.1165434
           3511.4       0.1302769
           3511.8       0.1288354
           3512.2       0.1155478
