#K OBJECT   '175640'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K OBJNAME  HD 175640
#K OBJRA    18:56:22.66
#K OBJDEC   -01:47:59.5
#K OBJBMAG  6.150000E+00
#K OBJVMAG  6.198000E+00
#K SPTYPE   B9III
#K OBJRV    -26
#K HDNAME   HD 175640
#K BDNAME   BD-01 3602
#K HIPNAME  HIP 92963
#K SAONAME  SAO 142825
#K VHELIO   1.58689335956577E+01
#K VLSR     3.24130513838167E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    4.743401E+03
#K CMAX1    6.070149E+03
#K PICKTYPE B9III
#K NCOMBINE 6
#K TEFF     12100  1993A&A...274..335S (Smith)
#K LOGG     4.000000E+00  1993A&A...274..335S (Smith)
#K FEH      -5.500000E-01  1993A&A...274..335S (Smith)
#K COVERAGE 3465.0-9469.0

#      wavelength        spectrum
#       angstroms                

            3465.        1.162231
           3465.4        1.174101
           3465.8        1.185309
           3466.2        1.190927
           3466.6         1.17593
            3467.        1.186489
           3467.4         1.19651
           3467.8        1.205562
           3468.2        1.182712
           3468.6        1.176738
            3469.        1.192491
           3469.4        1.196092
           3469.8         1.20716
           3470.2        1.209068
           3470.6        1.182159
            3471.        1.166358
           3471.4        1.181916
           3471.8        1.161395
           3472.2        1.158464
           3472.6        1.159623
            3473.        1.169123
           3473.4        1.109761
           3473.8        1.059411
           3474.2        1.064688
           3474.6        1.089216
            3475.        1.115814
           3475.4        1.139513
           3475.8        1.173179
           3476.2        1.174579
           3476.6        1.173339
            3477.        1.159086
           3477.4        1.140421
           3477.8        1.159948
           3478.2        1.173964
           3478.6        1.188916
            3479.         1.20132
           3479.4        1.193203
           3479.8        1.187125
           3480.2        1.203508
           3480.6          1.2083
            3481.          1.1797
           3481.4        1.165212
           3481.8         1.16163
           3482.2        1.115617
           3482.6        1.077918
            3483.        1.091723
           3483.4        1.102068
           3483.8        1.141812
           3484.2        1.164622
           3484.6        1.168297
            3485.        1.187873
           3485.4        1.189989
           3485.8         1.17326
           3486.2        1.176757
           3486.6        1.180874
            3487.        1.174268
           3487.4        1.163103
           3487.8        1.130871
           3488.2        1.120579
           3488.6        1.112772
            3489.        1.090033
           3489.4        1.107587
           3489.8        1.140746
           3490.2        1.163634
           3490.6        1.166168
            3491.         1.15465
           3491.4        1.151851
           3491.8        1.140056
           3492.2         1.15235
           3492.6        1.161016
            3493.        1.145307
           3493.4        1.170027
           3493.8        1.169289
           3494.2        1.137351
           3494.6        1.137793
            3495.        1.120925
           3495.4        1.073245
           3495.8        1.038692
           3496.2        1.040653
           3496.6        1.065295
            3497.        1.069054
           3497.4         1.07538
           3497.8        1.110174
           3498.2        1.142618
           3498.6        1.148791
            3499.        1.163029
           3499.4        1.178504
           3499.8        1.177689
           3500.2         1.17164
           3500.6        1.166757
            3501.        1.161927
           3501.4        1.166389
           3501.8        1.179668
           3502.2        1.186409
           3502.6        1.186947
            3503.         1.18461
           3503.4        1.175036
           3503.8        1.177977
           3504.2        1.147209
           3504.6        1.136076
            3505.        1.118765
           3505.4         1.12946
           3505.8        1.153416
           3506.2        1.167319
           3506.6        1.163715
            3507.        1.153909
           3507.4        1.161602
           3507.8        1.152965
           3508.2        1.152338
           3508.6        1.160339
            3509.        1.141373
           3509.4        1.118812
           3509.8        1.109239
           3510.2        1.108035
           3510.6        1.098803
            3511.        1.099404
