#K OBJECT   '177178'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 177178
#K OBJRA    19:03:32.25
#K OBJDEC   +01:49:07.6
#K OBJBMAG  6.002000E+00
#K OBJVMAG  5.826000E+00
#K SPTYPE   A4V
#K OBJRV    -22
#K HDNAME   HD 177178
#K BDNAME   BD+01 3865
#K HIPNAME  HIP 93580
#K SAONAME  SAO 124203
#K VHELIO   1.57406663738677E+01
#K VLSR     3.27849297107753E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.458136E+03
#K CMAX1    4.783563E+03
#K PICKTYPE A5V
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-8108.2

#      wavelength        spectrum
#       angstroms                

            3465.       0.7170613
           3465.4       0.7072841
           3465.8       0.7223842
           3466.2       0.7250809
           3466.6       0.7171268
            3467.       0.7150205
           3467.4       0.7188805
           3467.8       0.7406087
           3468.2       0.7532667
           3468.6        0.735005
            3469.          0.7365
           3469.4       0.7415731
           3469.8       0.7378101
           3470.2       0.7411547
           3470.6       0.7549689
            3471.       0.7421033
           3471.4       0.7164641
           3471.8       0.7268147
           3472.2       0.7213183
           3472.6       0.7049802
            3473.       0.7006125
           3473.4       0.6878203
           3473.8       0.6813177
           3474.2       0.6720116
           3474.6       0.6831459
            3475.       0.6646863
           3475.4       0.6495557
           3475.8       0.6399829
           3476.2       0.6564987
           3476.6       0.6669723
            3477.       0.6825382
           3477.4        0.680831
           3477.8         0.67769
           3478.2       0.7028856
           3478.6       0.7208788
            3479.       0.7193857
           3479.4       0.7223552
           3479.8       0.7286813
           3480.2       0.7325395
           3480.6       0.7339269
            3481.       0.7373129
           3481.4       0.7309797
           3481.8       0.6983328
           3482.2       0.7029705
           3482.6       0.6979824
            3483.       0.6857466
           3483.4        0.699759
           3483.8       0.7028587
           3484.2        0.706116
           3484.6       0.7251029
            3485.       0.7191942
           3485.4       0.7167566
           3485.8       0.7267244
           3486.2       0.7383375
           3486.6       0.7508279
            3487.       0.7338334
           3487.4       0.7325728
           3487.8       0.7322419
           3488.2       0.7145406
           3488.6       0.7052228
            3489.        0.708546
           3489.4       0.7048146
           3489.8         0.69452
           3490.2       0.6868783
           3490.6       0.6737834
            3491.        0.688549
           3491.4       0.6898341
           3491.8       0.6865141
           3492.2        0.710348
           3492.6       0.7056369
            3493.       0.6927856
           3493.4       0.6942464
           3493.8       0.7017374
           3494.2       0.6918277
           3494.6       0.6658157
            3495.       0.6575061
           3495.4       0.6535907
           3495.8       0.6501351
           3496.2       0.6437404
           3496.6       0.6421698
            3497.          0.6623
           3497.4       0.6714385
           3497.8       0.6793155
           3498.2       0.6910821
           3498.6        0.705875
            3499.       0.7133921
           3499.4       0.7194344
           3499.8       0.7303557
           3500.2       0.7363608
           3500.6       0.7409375
            3501.       0.7376953
           3501.4       0.7366151
           3501.8       0.7349659
           3502.2       0.7522432
           3502.6          0.7487
            3503.       0.7360517
           3503.4       0.7348619
           3503.8       0.7353727
           3504.2       0.7276911
           3504.6       0.7292374
            3505.       0.7271121
           3505.4       0.7082266
           3505.8       0.7066502
           3506.2       0.7146302
           3506.6       0.7256463
            3507.       0.7295625
           3507.4       0.7331752
           3507.8       0.7226006
           3508.2       0.7235334
           3508.6       0.7228172
            3509.       0.7136388
           3509.4       0.7114595
           3509.8       0.6981534
           3510.2       0.6869147
           3510.6        0.692602
