#K OBJECT   '177196'  Name of the object observed
#K OBSERVAT 'KPNO'  observatory
#K TELESCOP 'kpcdf'  telescope name
#K DETECTOR 'f3kb'  detector name
#K APERTURE '200 microns'  aperture
#K OBJNAME  HD 177196
#K OBJRA    19:01:26.37
#K OBJDEC   +46:56:05.3
#K OBJBMAG  5.195000E+00
#K OBJVMAG  5.013000E+00
#K SPTYPE   A7V
#K OBJRV    7.600000E+00
#K HDNAME   HD 177196
#K BDNAME   BD+46 2602
#K HIPNAME  HIP 93408
#K SAONAME  SAO 48011
#K VHELIO   7.93998218578635E+00
#K VLSR     2.67012080917376E+01
#K VSUN     20.    18.    30.  1900.
#K CMIN1    3.457703E+03
#K CMAX1    4.782965E+03
#K PICKTYPE A7V
#K NCOMBINE 4
#K TEFF     -2147483647
#K LOGG     -2147483647
#K FEH      -2147483647
#K COVERAGE 3465.0-8107.4

#      wavelength        spectrum
#       angstroms                

            3465.       0.7297608
           3465.4       0.7125764
           3465.8       0.7171099
           3466.2        0.729156
           3466.6       0.7377662
            3467.       0.7674523
           3467.4       0.7733072
           3467.8       0.7459645
           3468.2       0.7583143
           3468.6        0.774201
            3469.       0.7479158
           3469.4       0.7573256
           3469.8       0.7610099
           3470.2       0.7621683
           3470.6       0.7555176
            3471.       0.7512932
           3471.4       0.7440583
           3471.8       0.7526081
           3472.2       0.7458505
           3472.6       0.7282432
            3473.        0.720291
           3473.4       0.7077631
           3473.8       0.6947361
           3474.2       0.6808641
           3474.6       0.6776705
            3475.       0.6644047
           3475.4       0.6667951
           3475.8       0.6615989
           3476.2       0.6597769
           3476.6       0.6659706
            3477.        0.675114
           3477.4       0.6948221
           3477.8       0.7201079
           3478.2       0.7310807
           3478.6       0.7388891
            3479.       0.7514961
           3479.4       0.7473933
           3479.8        0.739278
           3480.2       0.7295365
           3480.6       0.7530224
            3481.       0.7540044
           3481.4       0.7569157
           3481.8       0.7328492
           3482.2       0.7260991
           3482.6       0.7255304
            3483.       0.7153721
           3483.4       0.7069989
           3483.8        0.705362
           3484.2       0.7188075
           3484.6       0.7369789
            3485.       0.7521743
           3485.4       0.7618636
           3485.8         0.76024
           3486.2       0.7586939
           3486.6       0.7759609
            3487.       0.7705381
           3487.4       0.7562287
           3487.8       0.7406927
           3488.2       0.7236059
           3488.6       0.7166939
            3489.        0.710007
           3489.4        0.698945
           3489.8       0.7008798
           3490.2       0.7067344
           3490.6       0.7102619
            3491.         0.71788
           3491.4       0.7159837
           3491.8       0.7268343
           3492.2       0.7340137
           3492.6       0.7192483
            3493.       0.7120755
           3493.4       0.7235821
           3493.8       0.7183177
           3494.2       0.7020828
           3494.6       0.6902511
            3495.       0.6732122
           3495.4       0.6547248
           3495.8       0.6178689
           3496.2       0.6169153
           3496.6       0.6210809
            3497.       0.6442918
           3497.4       0.6693303
           3497.8       0.6825324
           3498.2       0.7200199
           3498.6       0.7508812
            3499.       0.7591987
           3499.4        0.750581
           3499.8       0.7432464
           3500.2       0.7518013
           3500.6       0.7509899
            3501.       0.7570034
           3501.4       0.7532837
           3501.8       0.7613764
           3502.2       0.7638841
           3502.6       0.7624509
            3503.       0.7679312
           3503.4       0.7542918
           3503.8       0.7546501
           3504.2       0.7432666
           3504.6       0.7179198
            3505.       0.7077371
           3505.4       0.7059156
           3505.8       0.7205889
           3506.2       0.7321667
           3506.6       0.7356507
            3507.       0.7347631
           3507.4       0.7500305
           3507.8       0.7525493
           3508.2       0.7480118
           3508.6       0.7634238
            3509.       0.7432977
           3509.4       0.7127311
           3509.8       0.7126972
           3510.2       0.7063418
           3510.6        0.698297
            3511.        0.708687
           3511.4       0.7067404
           3511.8       0.7159226
           3512.2       0.7197986
           3512.6       0.7198886
            3513.       0.7211899
           3513.4       0.7023858
           3513.8        0.697041
           3514.2       0.6999418
           3514.6       0.7027501
            3515.       0.7229608
           3515.4       0.7389511
           3515.8       0.7408895
           3516.2       0.7482702
           3516.6       0.7533875
            3517.       0.7650099
           3517.4       0.7600805
           3517.8       0.7595082
           3518.2       0.7693779
           3518.6       0.7562502
            3519.       0.7690757
           3519.4       0.7676533
           3519.8       0.7408953
           3520.2       0.7242389
           3520.6       0.7196938
            3521.        0.733804
           3521.4       0.7447101
           3521.8        0.728706
           3522.2       0.7514325
           3522.6       0.7720894
            3523.       0.7428201
           3523.4       0.7257829
           3523.8       0.7180617
           3524.2       0.7070367
           3524.6       0.6968929
            3525.       0.6954134
           3525.4       0.6878762
           3525.8       0.6791339
           3526.2       0.6857072
           3526.6       0.7004924
            3527.       0.7109272
           3527.4       0.7195178
           3527.8       0.7396696
           3528.2       0.7569985
           3528.6       0.7823441
            3529.       0.7695413
           3529.4       0.7733525
           3529.8       0.7621506
           3530.2       0.7622802
           3530.6       0.7580463
            3531.       0.7471725
           3531.4       0.7477348
           3531.8       0.7478072
           3532.2       0.7497239
           3532.6        0.748513
            3533.          0.7484
           3533.4       0.7572984
           3533.8       0.7679933
           3534.2       0.7599134
           3534.6       0.7372525
            3535.        0.734543
           3535.4       0.7284732
           3535.8       0.7309025
           3536.2       0.7384224
           3536.6       0.7413437
            3537.       0.7493548
           3537.4       0.7627798
           3537.8       0.7828669
           3538.2       0.7879574
           3538.6       0.7770757
            3539.       0.7799251
           3539.4       0.7777225
           3539.8       0.7680299
           3540.2       0.7689302
           3540.6       0.7637181
            3541.       0.7592054
           3541.4       0.7548936
           3541.8       0.7528847
           3542.2       0.7617696
           3542.6       0.7734772
            3543.       0.7756754
           3543.4       0.7731103
           3543.8       0.7889147
           3544.2       0.7812832
           3544.6        0.773378
            3545.       0.7633691
           3545.4       0.7624701
           3545.8       0.7638018
           3546.2       0.7800937
           3546.6       0.7932706
            3547.       0.7811963
           3547.4       0.7635452
           3547.8       0.7606484
           3548.2       0.7570801
           3548.6       0.7494171
            3549.       0.7629131
           3549.4       0.7632572
           3549.8       0.7729161
           3550.2       0.7876422
           3550.6       0.7853159
            3551.       0.7839714
           3551.4       0.7742099
           3551.8       0.7716844
           3552.2       0.7718333
           3552.6       0.7698283
            3553.       0.7592391
           3553.4       0.7413267
           3553.8       0.7452791
           3554.2       0.7356799
           3554.6         0.73966
            3555.       0.7522873
           3555.4       0.7468399
           3555.8       0.7485304
           3556.2       0.7399932
           3556.6       0.7389058
            3557.       0.7451236
           3557.4       0.7389006
           3557.8       0.7340424
           3558.2       0.7532774
           3558.6       0.7770643
            3559.       0.7738659
           3559.4       0.7666554
           3559.8       0.7813979
           3560.2       0.7816678
           3560.6       0.7736231
            3561.       0.7723107
           3561.4       0.7902739
